activity;['لفظة جديدة', 'الكلمات الجديدة', 'تعبير جديد', 'تعبير جديد السياسية'];كلمة أو تعبير نُحت حديثاً.
agentive-figure;['تكتل', 'شركة أم', 'إمبراطورية', 'شركة قابضة', 'conglomerate'];مجموعة من الدول أو الأقاليم التي تدين بالولاء لقوة أجنبية.
amount-of-matter;['بالاديوم', 'بَلَادْيُوم\u200e', 'pd', 'البلاديوم', 'palladium', 'البالاديوم', 'بلاديوم', 'الذرية رقم 46', 'تمثال بالاس أثينا'];عنصر كيميائي رمزه Pd و عدده الذري 46، معدن انتقالي أبيض فضي.
biological-object;['أنف', 'خشم', 'أَنْف\u200e', 'خَشَم\u200e', 'nose', 'الأنف', 'الانف', 'انف', 'عضو الشم'];العضو الموجود بالوجه و الذي يستخدم في شم الأشياء.
genetic-collective;['ذرية'];الجيل القادم أو اللاحق.
language;['العربية', 'اللغة العربية', 'اللُّغَة الْعَرَبِيَّة\u200e', 'الْعَرَبِيَّة\u200e', 'عَرَبِيّ\u200e', 'عربية', 'اللغة العربي', 'لغة الضاد', 'لغة القرآن', 'لغة عربية', 'باللغة العربية', 'ع', 'عربي', 'لغة عربي', 'arabic', 'arabic language', 'iso 639:ara', 'العربي الفصيح', 'اللسان العربي', 'اللغة العربية أصل اللغات', 'اللغة العربيّة', 'اللغةالعربية', 'اللغه العربية', 'بالعربية', 'تطور اللغة العربية', 'خصائص اللغة العربية', 'لسان عربي', 'لغة العربية', 'لغة العريبة', 'لغة القرآن الكريم', 'لغه عربيه'];العربية لغة سامية، يتكلمها العرب بشكل رئيسي في العالم العربي -الشرق الأوسط وشمال إفريقيا- وهي لغة دين الإسلام التي نزل بها القرآن.
political-geographic-object;['عمان', 'سلطنة عمان', 'عُمان', 'سلطنة مسقط وعمان', 'عُمَان\u200e', '‘umān', 'سلطنة عُمان', 'مسقط وعمان', 'سلطنة مسقط وعُمان', 'محمية مسقط وعمان', 'oman', 'الدولة العمانية', 'الطاقة المتجددة في سلطنة عمان', 'العُمانية', 'سلطنة عُُمان', 'سلطنه عمان'];سلطنة في جنوبي شبه الجزيرة العربية.
political-geographic-object;['إسرائيل', 'اسرائيل', 'إِسْرَائِيل', 'إِسْرَائِيل\u200e', 'دولة إسرائيل', 'الدولة العبرية', 'israel', 'ישראל', 'מדינת ישראל', 'أسرائيل', 'إسرائيلي', 'إسرائيليين', 'الإحتلال الإسرائيلي', 'الإحتلال الصهيوني', 'الإسرائلية', 'الإسرائيلي', 'الإسرائيليين', 'الاحتلال الإسرائيلي', 'الكيان الصهيونى', 'الكيان اليهودي', 'بإسرائيل', 'دولة الشعب اليهودي', 'دولة الطوارئ الاسرائيلية', 'كيان صهيوني', 'يسرائيل'];دولة في جنوب غرب آسيا.
quality;['سِنّ', 'عُمْر', 'عمر', 'الشيخوخة', 'طول العمر'];فترة تاريخية
region;['ثلاثة', '3', 'ثلاث', '٣', 'ثَلاثَة', 'الرقم 3', 'العدد 3', 'العدد ثلاثة', 'ⅲ', 'iii', 'ternion', 'terzetto', 'ثلاثي', 'شيطان-ace', 'مقطع ثلاثي في الشعر'];العدد الأساسي الذي يقع بعد العدد اثنين، وقبل العدد أربعة، يمثل في الترقيم العربي بالرقم 3، وفي الروماني بالرمز III.
region;['1', 'واحد', 'فرْد', 'وَاحِد', 'وَاحِد\u200e', '١\u200e', '١', 'one-dimensional space', 'العدد 1', 'العدد واحد', 'الواحد', '۱', 'ⅰ', 'الصفوف', 'الصفوف tuple', 'سداسية', 'هوية المضاعف'];العدد الأصلي الذي يتبع العدد صفر، ويسبق العدد اثنين، يمثل في نظام الترقيم العربي بالرمز 1 وفي نظام الترقيم الروماني بالرمز I.
situation;['ندبة', 'نُدبة', 'نَدْبَة\u200e', 'نَدْب\u200e', 'scar', 'ندبه', 'cicatrice', 'الندبة', 'تندب'];أثر دائم على البشرة ينتج عن جرح.
socially-constructed-person;['أب', 'أبّ', 'مُنْجِب', 'وَالِد', 'أَب', 'father', 'آباء', 'أبي', 'الأب', 'والد', 'المنجب', 'ذكر الوالد'];الرجل من الوالدين.
socially-constructed-person;['مُؤسِّس', 'متعهد', 'مُؤَسِّس', 'المشاريع التجارية'];المبادر أو المؤسس لفكرة أو منظمة.
socially-constructed-person;['راهبة', 'أُمّ', 'رَاهِبَة\u200e', 'الأم', 'الراهبات'];امرأة لها ولد واحد على الأقل.
socially-constructed-person;['قاصر', 'طِفْل', 'حدث', 'رضِيع', 'صبِيّ', 'صغِير', 'غُلام', 'وَلَد', 'القاصرين', 'minor', 'tiddler', 'الأحداث', 'الطفل', 'دون السن القانونية', 'شاب'];شخص في عمر ما تحت سن البلاغة.
