information-realization;['ديكسيونير'];كناش د لكلمات ؤ لمعنى ديالهوم
political-geographic-object;['شيلي'];بلاد فلجنوب لغربي ديال أمريكا اللاتينيا
political-geographic-object;['port louis'];لعاصمة ديال جزر موريس
political-geographic-object;['ڤيينتان', 'vientiane'];عاصمة لاووص
political-geographic-object;['mińsk'];لعاصمة د بيلاروسيا
region;['الدولار لكندي'];لفلوس د كندا
region;['دينار أردني'];فلوس د لأردن
region;['الدينار لكويتي'];لفلوس د لكويت
region;['كوردوبا'];لفلوس د نيكاراڭوا
socially-constructed-person;['بحري', 'بحّار'];شي واحد كيخدم ف لبحر
socially-constructed-person;['ماركو پولو'];مستكشف من ڤينيزيا
subject;['العلوم تاع السياسية', 'القراية تاع السياسة'];علم اجتماعي كيديها فالدراسة تاع السياسات ؤ نظم الحكم
temporal-region;['نهار الصنادق'];نهار التقدية ف دجنبر
temporal-region;['1 نونبر'];تاريخ
temporal-region;['25 دجنبر'];نهار
temporal-region;['الجمعة لمقدس'];عيد ديني عند لمسيحيين
temporal-region;['1 ماي'];نهار
temporal-region;['لوقت ديال لمنطقة د الجبل'];وقت
temporal-region;['لوقت ديال لمحيط لمهدّن'];وقت
temporal-region;['لوقت ديال لوسط'];وقت ف أمريكا الشمالية
