activity;['sənədli film', 'azərbaycan kinosu-sənədli filmlər', 'sənədli', 'sənədli kino'];reallıqları təsvir edən kinofilm
activity;['film', 'kino', 'kinofilm', 'kinematoqrafiya'];hərəkət təəssüratı verən şəkillər ardıcıllığı
activity;['video oyun', 'kompüter oyunu', 'oyun', 'videooyun', 'kompüter oyunları', 'video-oyun'];Televizor ekranı, virtual reallıq kaskası və ya kompüter monitoru kimi ikiölçülü və ya üçölçülü video displey cihazında əks əlaqə yaratmaq üçün istifadəçi interfeysi ilə qarşılıqlı əlaqədən ibarət elektron oyun.
activity;['taekvondo', 'taekvando'];idman növü
activity;['amfibiya müharibə'];Hərbi hücum əməliyyatı növü
activity;['amputasiya'];hahahahhaha
activity;['rok', 'rok-n-roll', 'rock'];Populyar musiqi janrı
activity;['heyvandarlıq', 'maldarlıq'];Insanlar tərəfindən kənd təsərrüfatı heyvanlarının idarəsi və qulluğu
activity;['ölüm cəzası', 'edam', 'edam cəzası'];Bir şəxsin cinayətə görə cəza olaraq dövlət tərəfindən məhkəmə prosesi nəticəsində öldürülməsi
activity;['dempinq', 'dumping'];iqtisadiyyat termini
activity;['tədqiq', 'tədqiqat', 'tətbiq', 'tətbiqat'];Biliyi artırmaq üçün həyata keçirilən sistematik öyrənmə
activity;['müəssisə', 'biznes', 'kompaniya', 'müəssisənin quruluşu'];Iqtisadiyyat və ya sənaye üzrə fəaliyyət göstərən təşkilat
activity;['məşğuliyyət', 'iş', 'vəzifə', 'peşə', 'qeyri-peşəkar iş fəaliyyəti'];Qoşulduğu bir fəaliyyətə əsaslanaraq bir şəxsə verilən etiket
activity;['tibbi ixtisas', 'tibbin qolu'];Tibb elminin qolu
activity;['xidmət', 'servis'];Təchizatçı və istehlakçının qarşılıqlı əlaqəsinin nəticəsi
agentive-figure;['kerber', 'serber'];Mifik köpək
agentive-figure;['amazonlar', 'amazonkalar'];Döyüşkən və cəsur türk qadın qəbiləsi
agentive-figure;['yötunlar'];Skandinav mifologiyasında divlər irqi.
agentive-figure;['almaniya i̇mperiyası', 'alman i̇mperiyası', 'alman imperiyası', 'almaniya imperiyası'];1871-1918 arası Alman dövləti
agentive-figure;['kafedra', 'akademik departament'];Universitetdə və ya başqa bir akademik müəssisədə altfakültə
agentive-figure;['dövlət', 'suveren dövlət', 'millət', 'ştat'];Suveren ərazi təşkilatı
agentive-figure;['dövlət', 'suveren dövlət', 'millət', 'ştat'];Mərkəzləşmiş müstəqil hökuməti olan siyasi təşkilat
agentive-figure;['təhsil müəssisəsi'];Təhsil verən müəssisə
agentive-figure;['i̇slam', 'islam', 'i̇slam dini'];Monoteist dinlərdən biri
agentive-figure;['şiəlik', 'şiə'];İslam dinində məzhəb
agentive-figure;['amerika birləşmiş ştatları quru qoşunları', 'abş ordusu', 'abş quru qoşunları', 'amerika birləşmiş ştatları', 'amerika ordusu'];Amerika Birləşmiş Ştatları Silahlı Qüvvələrinin qolu
