activity;['радиоуглеродный анализ', 'күмерсә-тарҡалышлыҡ тикшереүе', 'күмерсә-тарҡалышлыҡтың үйлек билдәләүе'];Күмерсә-тарҡалышлыҡ йүне
activity;['карнавал'];күп халыҡ ҡатнашлығында урамдарҙа үтә торған сағыу байрам
activity;['волейбол тубы', 'волейбол өсөн туп'];Волейбол уйынында ҡулланған туп
activity;['сквош', 'squash', 'иҫк. рэкетс'];Ракеткалы спорт
activity;['өҫтәл теннисы', 'пинг-понг', 'настольный теннис'];Олимпия спорт төрө
activity;['һыуға һикереү', 'прыжки в воду'];Спорт төрө
activity;['һайлау'];Ниндәйҙер вазифаға дәғәүә итеүселәр өсөн тауыш биреү
activity;['күңел асыу'];Викимедиа категорияһы
activity;['һөнәр', 'профессия'];Эш, хеҙмәт, эшмәкәрлек төрө
activity;['туҡыусылыҡ'];туҡыу станоктарында туҡыма етештереү иң боронғо һөнәр.
activity;['бокс'];Спорттың бергә-бер алышы
activity;['конкур'];Ат спорты дисциплинаһы
activity;['инвестициялар'];капиталды килем алыу маҡсатында урынлаштырыу
activity;['трамплиндан саңғыла һикереү'];Олимпия уйындарында һәм донъя чемпионаттарында трамплиндан саңғыла һикереү
activity;['йөҙөү'];Спорт төрө йәки спорт дисциплинаһы
activity;['лексикография', 'лексикограф'];тел ғилеменең һүҙлектәр төҙөү һәм уларҙы өйрәнеү мәсьәләләре менән шөғөлләнгән киҫәге. һүҙҙәрҙең семантик структураһын, үҙенсәлектәрен өйрәнеүсе, уларҙы аңлатыусы фән.
activity;['үлсәү'];Физик дәүмәлдең һан менән билдәләнеше
activity;['бас'];Йырсы тауышы тибы
activity;['һунар', 'аусылыҡ, һунарсылыҡ', 'охота'];Башҡорттарҙың боронғо шөғөлө
activity;['скейтбординг'];2017 йылдан спорттың олимпия төрө
activity;['биологик ҡорал'];Дошманға һөжүм итеү өсөн бөжәктәрҙе ҡулланған энтомологик ҡорал
agentive-figure;['франчайзинг', 'коммерция концессияһы договоры'];Бизнес-моделде лицензиялау
agentive-figure;['аждаһа', 'дракон', 'ҡанатлы йылан'];Мифик йән эйәһе
agentive-figure;['divan'];Wikimedia-Listn
agentive-figure;['совет социалистик республикалар союзы', 'ссср', 'советтар союзы'];1922–1991 йылдарҙа Евразияла урынлашҡан дәүләт
agentive-figure;['ҡораллы көстәр', 'хәрби көстәр'];Дәүләттең суверенитетын, территорияһын яҡлаусы, һаҡлаусы ҡораллы ойошма
agentive-physical-object;['эукариоттар', 'eukaryota'];Күҙәнәктәрендә ядролары булған тере организмдарҙың домены (өҫбатшалыҡ).
agentive-physical-object;['кеше', 'homo sapiens', 'әҙәм, бәндә, инсан, хомо сапиенс, аңлы йән эйәһе'];Гоминидтар ғаиләһе төрө, Кеше ырыуының һаҡланып ҡалған төрө
agentive-physical-object;['баҡса культуралары'];Баҡса культуралары – ҡабаҡ һымаҡтар ғаиләһендәге 114 ырыуҙағы 760 төрҙө берләштергән (ҡарбуз, ҡауын, ҡабаҡ) үҫәмлектәр
agentive-physical-object;['татлы тамыр'];Күп йыллыҡ үҫемлек
agentive-physical-object;['фил', 'фил һымаҡтар'];Имеҙеүселәр класы томшоҡлолар отряды филдәр ғәиләһенә ҡараған иң эре ҡоро ер хайуаны
agentive-physical-object;['быуын үләне', 'cichorium intybus', 'цикорий'];Зәңгәр сәскәле күп йыллыҡ үҫемлек
amount-of-matter;['гәрәбә', 'янтарь, бернит, бирмит, сукцинит'];Таш булып ҡатҡан ҡаҙылдыҡ ыҫмала
amount-of-matter;['днк', 'дезоксирибонуклеин кислотаһы', 'дезоксирибонуклеиновая кислота', 'тереяҙма'];Икеләтә ишелмә тѳрѳндә терелек күҙәнәктәренең оҙон бәйләнешмәһе
amount-of-matter;['аҡһымдар'];Аминокислоталар ҡалдығынан торған юғары молекуляр органик берләшмәләр
amount-of-matter;['кислоталар'];Составына водород ингән химик берләшмәләр
amount-of-matter;['липидтар', 'липиды'];Липидтар — һыуҙа эремәгән, әммә бензинда, эфирҙа, ацетонда эреүсән органик матдәләр.
amount-of-matter;['зәйтүн майы', 'оливковое масло'];Үҫемлек майы
biological-object;['гамета', 'енес күҙәнәктәре'];Төп функциялары енси юл менән үрсеүҙе (репродукция) тәьмин итеү булған генератив күҙәнәктәр.
biological-object;['күҙәнәк ядроһы'];.Эукарио́т (я́дролылар) күҙәнәктең структур өлөшө.
biological-object;['иммунлыҡ системаһы'];Кеше һәм хайуан организмын сирҙән һаҡлау системаһы
biological-object;['һөйәк'];умыртҡалы хайуандарҙың таяныу-хәрәкәт итеү системаһында һөлдәһен төҙөүсе ағза
chemical-object;['аҡһымдар'];Аминокислоталар ҡалдығынан торған юғары молекуляр органик берләшмәләр
cognitive-event;['тәнҡит'];Текстарҙы анализлау ысулы
cognitive-event;['кредит', 'үтес'];Үтескә аҡса биреп тороу
cognitive-modal-description;['федерализм', 'федераль дәүләт'];федерацияның төп принцибы
collection;['күргәҙмә', 'ваҡытлыса күргәҙмә', 'витрина', 'исем туйы', 'күргәҙмә сараһы', 'музей', 'презентация', 'тамаша', 'таныштырыу', 'экспозиция'];йәмғиәткә ҡаҙаныштарҙы, әҫәрҙәрҙе күрһәтеү
dependent-place;['токамак', 'tokamak'];Идара ителеүсе термоядро синтезы өсөн кәрәкле шарттарҙы тыуҙырыу маҡсатында плазманы магнит менән тотҡарлау тороидаль ҡоролмаһы
event;['марафон'];Еңел атлетика дисциплинаһы
event;['йәҙрә ташлау'];Еңел атлетиканың техник дисциплинаһы
functional-matter;['гәрәбә', 'янтарь, бернит, бирмит, сукцинит'];Таш булып ҡатҡан ҡаҙылдыҡ ыҫмала
functional-matter;['тальк'];минерал
functional-matter;['ярым үткәргес'];Сағыштырма үткәреүсәнлеге буйынса үткәргестәр һәм диэлектриктар араһында торған материал
functional-matter;['вакцина', 'вакциналар', 'иммунизация'];Йоғошло ауырыуҙарға ҡаршы иммунитет булдырыу өмөн тәғәйенләнгән медицина йәки ветеринария иммунобиологик препарат
functional-matter;['плацебо', 'плацебо эффекты'];Дауалау үҙенсәлектәренә эйә булмаған, тикшеренеүҙәр үткәргәндә дарыу сараһы ҡиәфәтендә ҡулланылған матдә
functional-matter;['бәлеш', 'бәрәмәс', 'бәлештәр'];Бәлеш - сөсө йәки әсе ҡамыр эсенә ит фаршы йәки туралған ит һалып, өҫкө яҡтан мотлаҡ тишек ҡалдырылып майҙа ҡурылған ҡамыр ризығы.
functional-matter;['үҙағас', 'утын'];Ағастың ҡабығы аҫтында ятҡан өлөшө
functional-matter;['хроматин'];Хромосома матдәһе. ДНК, РНК һәм аҡһымдарҙың. комплексы булып тора.
geographical-object;['хуанхэ'];Ҡытайҙағы йылға, Азиялағы иң ҙур йылға
geographical-object;['яңы гвинея'];Тымыҡ океандың көнбайышындағы утрау
geographical-object;['синай ярымутрауы', 'синай, синай сүллеге', 'синайский полуостров'];Ҡыҙыл диңгеҙҙәге ярымутрау
geographical-object;['яңы каледония'];Викимедиа категорияһы
geographical-object;['лусон', 'luzon'];Филиппин архипелагындағы иң ҙур утрау
information-encoding-system;['фразеология'];тел ғилеме бүлеге
information-object;['палиндром', 'палиндромон', 'әүерелмә'];Ике яҡҡа ла бер төрлө уҡылған һан, хәрефтәр теҙмәһе, һүҙ йәки текст
information-object;['апокопа'];Һүҙ аҙағында бер йәки бер нисә өндөң, ҡағиҙә булараҡ, һуҙынҡының төшөп ҡалыуынан торған һәм һүҙҙең ҡыҫҡарыуына килтергән фонетик күренеш
information-object;['докторантура', 'фән докторы', 'докторант'];ғилми дәрәжә
information-object;['фамилия', 'фамилия йөрөтөүсе', 'фамилиялар', 'фамилиялаштар'];Ғаилә, нәҫел-нәсәп атамаһы
information-realization;['операцион система', 'операция системаһы'];Компьютер ресурстары менән менән идара итеүсе программа тәьминәте
information-realization;['опера', 'operă'];Музыкаль драма сәнғәте жанры, һүҙ, сәхнә уйыны һәм музыка ҡатнашмаһы
information-realization;['одиссея'];Боронғо грек эпик поэмаһы
information-realization;['браузер'];ғәмәли программа тәьминәте
information-realization;['ҡануниәт', 'закондар йыйылмаһы'];Закондар сығарыу. закондар йыйылмаһы
information-realization;['шына яҙыу', 'шына яҙма'];иң боронғо яҙыу системаһы
information-realization;['хеҙмәт договоры'];Хеҙмәткәр менән эш биреүсе араһында төҙөлгән килешеү
information-realization;['коллектив договор'];Ойошмала йә индивидуаль эшҡыуарҙың социаль-хеҙмәт мөнәсәбәттәрен көйләүсе хоҡуҡи акт
information-realization;['регги', 'reggae'];Ямайҙағы билдәле музыка төрө
information-realization;['авеста', 'avestā'];зороастрийлыларҙың изге текстары йыйынтығы. Иранистикала «авестий» теле тип аталған үҙенсәлекле телдә төҙөлгән боронғо иран (фарсы) әҙәбиәте ҡомартҡыһы.
information-realization;['ҡөрьән', 'ҡөрьән кәрим', 'ҡөрьән шәриф'];Мосолмандарҙың изге китабы
language;['швед теле'];Швед халҡының теле
language;['иврит', 'йәһүд теле', 'he', 'heb', 'еврей теле', 'עברית'];Семит телдәр төркөмөндәге тел. еврей телдәренең береһе, Израилдең дәүләт теле
language;['һинд теле', 'һинди'];Һинд-арий телдәренең атамаһы йәки Һиндостандың[4] башлыса төньяҡ һәм үҙәк региондарында таралған телдәрҙең диалект континуумы.
language;['поляк теле'];Польшаның дәүләт теле
language;['урыҫ теле', 'рус теле', 'рус', 'урыҫ', 'русский язык'];Рәсәйҙең дәүләт теле
legal-possession-entity;['физик шәхестәрҙең килемдәренә һалым', 'килем һалымы', 'физик шәхестәрҙең килемдәренә һалым, физик шәхестең килеменә һалынған һалым', 'физик шәхестәрҙен килемдәрғә һалым'];Тура һалымдарҙың төп төрө
legal-possession-entity;['прогрессив һалым'];Һалым һалына торған базаның үҫеүенә бәйле һалымдың һөҙөмтәле ставкаһын арттырыу
