abstract-region;['quadratische funktion'];A quadratische Funktion is in da Mathematik a gonzrationale Funktion zwoatn Grades.
activity;['rugby'];Rugby is a Boispoat, dea wo zamma mid Fuaßboi in England entstandn is.
activity;['e-mail', 'e-post', 'elektronische post', '📧', 'e-briaf', 'elektrobriaf', 'email'];E-Mail is a Service im Internetz, des wo Leidln ealaubt, si gengseiti elektronische Nochrichtn z schicka.
activity;['go'];Go is a schbüü wos schu ua'oit is.
activity;['schoogii', 'shogi', 'shōgi'];Shōgi
activity;['numerus'];Da Numerus is in da Grammatik a Form, um de Ozoi z untascheidn.
activity;['heiligsprechung'];De Heiligsprechung is a Rechtsvafoahn in da Remisch-katholischn Kiach.
activity;['fasching', 'fosching und fosanocht', 'fosanacht', 'fosanocht', 'fosching', 'fosenocht', 'fåsching'];Fosching und Fosanocht
activity;['fuaßboi', 'fuasboi', 'fuassboi', 'fuaßboll', 'fuaßbåi', 'fußball', 'fußboi'];Fuaßboi is aa wahrscheinle oane vo de Mannschaftssportoatn, de de Leit bei uns, wo ma bairisch red, om liabsten meng.
activity;['hip hop', 'hip-hop'];Hip Hop ois a Musirichtung is a Genre, wos se i d Vaoanigtn Stootn unta stedtischn Afro-Amrikanan u Latein-Amerikanan i da Bronx i New York i de 1970ga entwicklt hod.
activity;['schach'];Schach is a Gschbüü fia zwoa Leit wous ma sait a boa houndat Joa mid noch de jezign Rejgnln schbüün duat.
activity;['spicka', 'darts', 'spickn'];Spicka is a Gschicklichkeitsspui und Spuatoat, ba dea wos mit klaan Pfeun auf a runde Scheim gwuafn wiad.
activity;['basketboi', 'basketball'];Basketboi is a Monnschoftsspoat, wo af an rechteckadn Fejd gspuid wead.
activity;['goif'];Goif is a oide Boispuatoat, de wos aus Schottlaund kummt.
activity;['eishockey'];Eishockey is oana vo de schneystn Mannschaftssportartn vo da Weyd, wobei gleichzeitig sechs gega sechs Spiela auf oana ungefea 60 Meta langa und 30 Meta broadn Eisflächn spuin.
activity;['cricket'];Cricket is a Schlogboispui.
activity;['baseball', 'baseboi'];Baseboi oda Baseball is a amerikanisches Schlogboispui.
activity;['tennis'];Tennis is a Spoat, wo zwo oda via Leit auf am sandichn Untergrund oda auf an kurzn Rosn an so genauntn Tennisboi üba a Netz schlogn.
activity;['gschlechtsverkehr', 'gschlechtsvakea', 'beischlaf', 'geschlechtsverkehr', 'gschlechtsvakeah', 'koitus', 'kopulation'];Gschlechtsvakea hod ma urspringle nur de gmischtgschlechtliche Vaeinigung gnennt, wo da Mo sein steifn Zipfe in de Fud vo da Frau steckt.
activity;['minigoif', 'miniaturgoif', 'miniaturgolf', 'minigolf'];Minigoif : Minigolf
