abstract-quality;['ідэнтычнасьць'];Ідэнты́чнасьць — самавызначэньне асобы, індывіда, асэнсаваньне свайго месца ў прасторы і часе.
abstract-region;['мнагасклад', 'мнагачлен', 'паліном'];У матэматыцы мнагаскладам (мнагачленам) або паліномам адной зьменнай завецца выраз выгляду
abstract-region;['квадратычная функцыя'];Квадратычная функцыя — гэта функцыя выгляду
abstract-region;['здабытак'];Здабытак — вынік апэрацыі множаньня.
abstract-region;['апэранд', 'operand'];Апэранд у мовах праграмаваньня — аргумэнт апэрацыі, дадзенае, якое апрацоўваецца камандай. граматычная канструкцыя, якая пазначае выраз, задае значэньне аргумэнту апэрацыі. часам апэрандам называюць месца, пазыцыю ў тэксьце, дзе павінен стаяць аргумэнт апэрацыі.
abstract-region;['ступеневы шэраг', 'ступеневы рад', 'ступенны рад', 'ступенны шэраг'];Ступеневы шэраг — функцыянальны шэраг выгляду
activity;['рэгбі'];Рэгбі (па-ангельску: rugby football, альбо rugby) — спартовая камандная гульня з авальным мячом, які гульцы кожнай з камандаў, перадаюць адзін аднаму рукамі й нагамі, стараюцца прызямліць яго ў заліковай зоне за брамай праціўніка ці забіць яго ў H-падобную браму.
activity;['электронная пошта', 'iмэйл', 'мэйл', 'e-mail'];Электронная пошта, e-mail — мэтад абмену паштовымі паведамленьнямі ў лічбавым фармаце.
activity;['мадуляцыя'];Мадуля́цыя — працэс зьмены аднаго або некалькіх парамэтраў высокачастаснага мадулюемага ваганьня пад узьдзеяньнем адносна нізкачастаснага кіруючага мадулюючага сыгналу.
activity;['траянская вайна'];Траянская вайна — вайна кааліцыі ахейскіх цароў на чале з царом Мікенаў Агамемнанам супраць Троі.
activity;['го'];Го — стратэгічная настольная гульня для двух гульцоў, у якой галоўнай мэтай зьяўляецца абкружэньне большай тэрыторыяў за праціўніка.
activity;['мэтар'];Мэ́тар — ідэальная схема чаргаваньня ў вершаваных радках мэтрычнага верша галоўных рытмастваральных кампанэнтаў (доўгіх і кароткіх складоў — у антычным, націскных і ненаціскных — у сілаба-танічным).
activity;['бэатыфікацыя', 'блаславёны'];Бэатыфікацыя — у каталіцтве — царкоўны і літургічны акт залічэньня асобы да блаславёных.
activity;['прыстаўкі сі', 'мікра'];Запыт «Мікра» перанакіроўваецца сюды.
activity;['кароткія нарды'];Кароткія на́рды — настольная гульня для двух гульцоў, адзін з найбольш папулярных відаў гульні ў нарды.
activity;['пацалунак', 'лацалунак'];Пацалунак — дакрананьне чалавека вуснамі да чаго-небудзь з мэтай выражэньня эмоцыяў, а ў сэксе — для ўзрушваньня сябе і партнёра.
activity;['пацалунак', 'лацалунак'];ТАА ESET (па-славацку: ESET, spol.
activity;['канфірмацыя', 'біжмаваньне'];Канфірма́цыя — таемства памазаньня ў каталікоў, якое зьдзяйсьняецца выключна біскупам і не адначасова з хростам, як у праваслаўных, а ў больш пазьнейшыя гады дзяцінства й малалецтва.
activity;['шашкі'];Ша́шкі — старажытная настольная гульня.
activity;['баптызм', 'баптысты'];Бапты́зм (паводле грэц.
activity;['цырк'];Цырк
activity;['першы крыжовы паход'];Першы крыжовы паход — аб’яўлены папам рымскім Урбанам II у 1095 годзе з мэтаю адваяваньня сьвятога гораду Ерусаліма й Сьвятой Зямлі у мусульманаў.
activity;['трэці крыжовы паход'];Трэці крыжовы паход (1189—1192), вядомы таксама як Паход каралёў, быў чарговай спробай эўрапейскіх лідэраў адваяваць Сьвятую Зямлю ў Саладына.
activity;['бітва пад аўстэрліцам', 'бітва пры аўстэрліцы'];Бітва пад Аўстэрліцам — вырашальная бітва напалеонаўскай арміі супраць арміяў трэцяй антынапалеонаўскай кааліцыі, створанай эўрапейскімі дзяржавамі.
activity;['тэрмапільская бітва', 'бітва пры тэрмапілах'];Тэрмапі́льская бі́тва — 3-дзённая абарона 5 тысячамі грэкаў Тэрмапільскага перавала ад праходу 70-тысячнага пэрсыдзкага войска ў пачатку жніўня 480 году да н. э.
activity;['кванзаа', 'kwanzaa'];Кванза — адзін з афраамэрыканскіх фэстываляў, які ўяўляе сабой тыдзень пераднавагодніх урачыстасьцяў, што доўжыцца па традыцыі з 26 сьнежня да 1 студзеня кожнага году.
activity;['вэстэрн'];Вэ́стэрн (па-ангельску: western, літаральна — «заходні») — кірунак у мастацтве, характэрны для ЗША, можа ўключаць розныя жанры, напрыклад, камэдыю, экшн, дэтэктыў, трылер і нават фантастыку. вэстэрн характэрны для кінэматографу, тэлебачаньня, літаратуры, жывапісу і інш.
activity;['футбол', 'сокер', 'футбаліст'];Футбол (па-ангельску: нажны мяч) — найбольш папулярны ў сьвеце від спорту.
activity;['фільм', 'кінафільм'];Фільм (па-ангельску: Film — плёнка) — тэрмін, які аб’ядноўвае сукупнасьць фатаграфічных малюнкаў (кадраў), зьвязаных адзіным сюжэтам, вобласьць ужываньня фільма як аднаго з кірункаў мастацтва — кінамастацтва, а таксама кінаіндустрыю.
activity;['снукер', 'snooker'];Сну́кер — адна з адменаў більярду.
activity;['гіп-гоп', 'хіп-хоп'];Гіп-гоп (па-ангельску: Hip-hop) — моладзевая субкультура, якая зьявілася ў ЗША пры канцы 1970-х у асяродзьдзі афраамэрыканцаў.
activity;['зубцоўка'];Зубцо́ўка — пэрфарацыя, што наносіцца на лісты або рулоны паштовых марак пэрфарацыйнымі машынамі для палягчэньня аддзяленьня марак адзна ад адной (краі марак ўяўляюць сабой рады зубцоў).
activity;['шахматы', 'шахматы ў беларусі', 'шахі', 'шахі ў беларусі'];Ша́хматы, ша́хі — настольная лягічная гульня, якая спалучае ў сабе элемэнты мастацтва, навукі і спорту.
activity;['крыжыкі-нулікі'];Крыжыкі-нулікі — гульня на паперы для двух гульцоў, адзін зь якіх гуляе O (нулікамі), а другі — X (крыжыкамі).
activity;['кампутарная гульня', 'відэагульня', 'кампутарныя гульні'];Кампутарная гульня і відэагульня (па-ангельску: Video game) — кампутарная праграма, якая служыць для арганізацыі гульнявога працэса, сувязі з партнэрамі па гульні, альбо сама выступаючая ў якасьці партнэра.
activity;['воднае пола'];Воднае пола — камандны від спорту зь мячом, у якім дзьве каманды імкнуцца закінуць гол у браму суперніка.
activity;['баскетбол', 'баскетбаліст'];Баскетбо́л (па-ангельску: basket — кошык, па-ангельску: ball — мяч) — гульня, якая была распрацавана амэрыканскім выкладчыкам Джэймзам Нэйсьмітам 21 сьнежня 1891 году.
activity;['бадмінтон', 'bádminton'];Бадмінтон — від спорту, які ўяўляе сабой перакідваньне празь сетку гульнявога снараду пад назвай валан з дапамогай ракетак.
activity;['гольф'];Гольф (па-ангельску: golf) — спартовая гульня, у якой асобныя ўдзельнікі альбо каманды спаборнічаюць, заганяючы маленькі мячык у спэцыяльныя лункі ўдарамі клюшак, імкнучыся прайсьці адведзеную дыстанцыю за мінімальную колькасьць удараў.
activity;['хакей з шайбай'];Хакей з шайбай — камандны від спорту, у які гуляюць на лёдзе, у якім гульцы на каньках выкарыстоўваць драўляныя або кампазытныя палкі для ўдараў па цьвёрдай гумовай хакейнай шайбе ў вароты суперніка, каб забіць гол і набраць пункты.
activity;['крыкет'];Кры́кет (па-ангельску: Cricket) — камандны від спорту, у якім выкарыстоўваюцца біта і мяч.
activity;['бэйсбол', 'бейсбол'];Бэйсбо́л — камандная спартовая гульня зь мячом і бітай.
activity;['тэніс'];Тэ́ніс (па-ангельску: tennis), або вялікі тэніс — від спорту, у якім гуляе два гульца адзін супраць аднаго, або дзьве каманды па два мужчыны ў кожнай, каманда супраць каманды, на поле — (корце), падзеленаму пасярэдзіне папярочнай сеткай.
activity;['настольны тэніс'];Настольны тэніс — адзін з самых папулярных відаў спорту ў сьвеце.
activity;['вайна за гішпанскую спадчыну'];Вайна́ за гішпа́нскую спа́дчыну — вайна, якая адбылася ў 1701—1714 гадах паміж Вялікабрытаніяй, Нідэрляндамі, Аўстрыяй, Прусіяй з аднаго боку і Францыяй, Гішпаніяй і Баварыяй з другога, за валадарства над Гішпаніяй і панаваньне ў Эўропе.
activity;['вершаваны памер'];Вершава́ны паме́р — паняцьце, якое ўжываецца найчасьцей для вызначэньня рытмічнай канвы мэтрычнага верша і паказвае колькасьць і характар стопаў у вершаваных радках
activity;['грамадзянскае непадпарадкаваньне'];Грамадзянскае непадпарадкаваньне — форма негвалтоўнага грамадзянскага супраціву, што выяўляецца праз актыўную, дэкляраваную адмову грамадзяніна падначальвацца пэўным законам, распараджэньням ці вымогам урада ці службовых асоб.
activity;['забастоўка', 'страйк', 'стачка', 'штрайк'];Стачка (забастоўка, штрайк) — шырока ладжанае, супольнае спыненьне працы з мэтай задавальненьня патрабаваньняў.
activity;['скачкі ў ваду'];Скачкі́ ў ваду́ — спаборніцтвы сярод мужчынаў і жанчынаў па скачках з вышкі й трампліну ў ваду.
activity;['баявыя дзеяньні', 'баявыя дзеі', 'бітва'];Бітва — форма ваенных дзеяньняў — складавая частка апэрацыі. сукупнасьць найбольш важных і напружаных баёў і ўдараў, аб’яднаных адзінай задумай, якія праводзяцца пэўнымі групоўкамі войскаў і скіраваныя на выкананьне адной апэратыўнай задачы.
activity;['баявыя дзеяньні', 'баявыя дзеі', 'бітва'];Баявыя дзеяньні — арганізаванае ўжываньне сіл і сродкаў для выкананьня пастаўленых баявых задачаў часткамі, злучэньнямі і аб’яднаньнямі відаў Узброеных Сіл і родаў войскаў, гэта значыць вядзеньне вайны на апэратыўным, апэратыўна-тактычным і тактычным узроўнях.
activity;['баявыя дзеяньні', 'баявыя дзеі', 'бітва'];Баявыя дзеі — арґанізаванае ўжываньне сілаў ды сродкаў для выкананьня баявых заданьняў часткамі, злучэньнямі ды аб’яднаньнямі родаў войскаў тыпаў узброеных сілаў, асобных родаў войскаў, адмысловых войскаў ды службаў, то бок вядзеньне вайны на апэратыўным, апэратыўна-тактычным ды тактычным узроўнях.
activity;['тэквандо'];Тэквандо — карэйскае адзінаборства.
activity;['залатая ліхаманка'];Залатая ліхаманка — неарганізаваная масавая здабыча золата на новых радовішчах, характарызуецца стыхійным наплывам старацеляў і драпежніцкімі мэтадамі здабычы.
activity;['банкруцтва'];Банкруцтва
activity;['рэфэрэндум'];Рэфэрэндум (ад па-лацінску: Referendium) — форма непасрэднага волевыяўленьня грамадзянаў, якая выяўляецца ў галасаваньні па найбольш значных пытаньнях агульнадзяржаўнага, рэгіянальнага або мясцовага маштабу.
activity;['заляцаньне', 'залёты'];Запыт «Залёты» перанакіроўваецца сюды.
activity;['джыў-джыцу'];Джыў-джыцу (па-японску: 柔術 — мяккае майстэрства) — баявое(be) мастацтва на аснове болевых прыёмаў, ударнай тэхнікі і кідкоў(en), заснаванае самураямі сярэднявечнай Японіі.
activity;['гамэапатыя'];Гамэапатыя — сыстэма лячэньня мізэрна малымі дозамі індывідуальна падабранаых лекаў.
activity;['спандэй'];Спандэ́й — такая стапа ў антычнай (мэтрычнай) сыстэме вершаваньня, у якую ўваходзяць два доўгія склады.
activity;['харэй', 'трахей'];Харэй (па-старажытнагрэцку: χορεῖος — «танец») ці трахей (па-старажытнагрэцку: τροχός — «кола») — 1) трохдольная антычная стапа з двух складоў — доўгага і кароткага, 2) двухскладовая стапа зь першым націскным складам, якая ляжыць у аснове аднаго зь пяці (харэічнага) мэтраў сыляба-танічнае сыстэмы вершаскладаньня.
activity;['дактыль'];Да́ктыль (па-грэцку: δάκτυλος — палец) — від трохскладовай стапы, у якой адзін доўгі і два кароткія склады (антычнае вершаваньне) або адзін націскны і два ненаціскныя склады (сілаба-танічнае вершаваньне).
activity;['ямб'];Ямб (па-старажытнагрэцку: ἴαμβος — íambos — імя старажытнагрэцкай багіні непрыстойнага, распуснага вершаваньня) — 1) трохдольная антычная стапа з двух складоў — кароткага і доўгага, 2) двухскладовая стапа з другім націскным складам, якая ляжыць у аснове аднаго зь пяці (ямбічнага) мэтраў сыляба-танічнае сыстэмы вершаскладаньня.
activity;['амфібрахій'];Амфібра́хій (па-грэцку: ἀμφίβραχυς — кароткі з абодвух бакоў) — від трохскладовай стапы, у якой доўгі склад знаходзіцца паміж кароткіх (антычнае вершаваньне) або націскны — паміж ненаціскных (сілаба-танічнае вершаваньне).
activity;['пірыхій'];Піры́хій (па-грэцку: πυρρίχιος) — стапа ў антычнай (мэтрычнай) сыстэме вершаваньня з двух кароткіх складоў.
activity;['анапэст', 'анапест'];Ана́пэст (па-грэцку: ἀνάπαιστος — зьвернуты назад) — від трохскладовай стапы з двух кароткіх і заключнага доўгага (антычнае вершаваньне) або двух ненаціскных і заключнага націскнога (сілаба-танічнае вершаваньне) складоў.
activity;['танец жывата'];Танец жывата — эўрапейская назва адмысловай танцавальнай тэхнікі, распаўсюджанай на Блізкім Усходзе і ў большасьці арабскіх краінаў.
activity;['перапіс насельніцтва'];Пе́рапіс насе́льніцтва — працэс збору, абагульненьня, ацэнкі, аналізу і публікацыі дэмаграфічных, эканамічных і сацыяльных зьвестак пра насельніцтва, якое пражывае на адпаведны момант часу ў краіне альбо на яе выразна акрэсьленай частцы.
activity;['м’юзыкал', 'мюзыкл'];М’ю́зыкал
activity;['мазурка'];Мазурка (ад польск.
activity;['маланкавая вайна', 'бліцкрыг'];«Маланкавая вайна»
activity;['літургія'];Літургі́я — багаслужба, якая займае першае і выключнае месца сярод усіх астатніх і грэка-каталіцкіх і праваслаўных багаслужбаў.
activity;['кабарэ'];Кабарэ — невялікая забаўляльная ўстанова з пэўнаю мастацка-забаўляльнаю праграмай, якая складаецца зь песень, аднаактовых п’есаў, скетчаў, танцавальных нумароў, аб’яднаных выступамі канфэрансье.
activity;['псыхааналіз'];Псыхаана́ліз — напрамак у псыхалёгіі, заснавальнікам якога зьяўляецца Зыгмунд Фройд.
activity;['сытуацыйная камэдыя', 'сыткам', 'сытком'];Сытуацыйная камэдыя, у скароце сыткам, — гэта тып камэдыі, які паўстаў на радыё.
activity;['дзюдо'];Дзюдо (па-японску: 柔道) — японскае баявое мастацтва, філязофія й спартовае адзінаборства бяз зброі, створанае ў канцы XIX стагодзьдзя на аснове дзюдзюцу японскім майстрам баявых мастацтваў Дзігора Кано (па-японску: 嘉纳 治 五郎), які таксама сфармуляваў асноўныя правілы й прынцыпы трэніровак і правядзеньня спаборніцтваў.
activity;['казка'];Ка́зка — займальны па сюжэце фальклёрны твор пра неймаверныя ці фантастычныя прыгоды.
activity;['народны танец', 'народныя танцы'];Наро́дныя та́нцы — танцы, якія маюць усе ці некаторыя з наступных прызнакаў: выконваюцца людзьмі без спэцыяльнай падрыхтоўкі, часта пад традыцыйную музыку. звычайна не прызначаныя для выступаў на сцэне, хоць пазьней могуць быць пад іх аранжыраваныя. традыцыйнае выкананьне пераважае над інавацыйным новыя танцоры навучаюцца візуальна ад іншых танцораў.Сустракаюцца таксама варыянты назваў «этнічны танец» ці «традыцыйны танец», хоць апошні панятак можа ўключаць і цырыманіяльныя танцы.
activity;['сўінг', 'swing'];Сўінг — кірунак джазавай музыкі, найболей шырока прадстаўлены ў выканальніцкай практыцы вялікіх аркестраў.
activity;['дзяржаўны пераварот'];Дзяржа́ўны пераваро́т — раптоўнае, незаконнае зьвяржэньне ўраду дзеля замены яго складу.
activity;['балет'];Бале́т
activity;['рок-музыка', 'рок-н-рол', 'рок'];Рок ці рок-музыка — абагульняючая назва шэрагу напрамкаў папулярнай музыкі другой паловы XX стагодзьдзя, што паходзяць ад рок-н-ролу ды рытм-энд-блюзу.
activity;['рок-музыка', 'рок-н-рол', 'рок'];Рок-н-рол — кірунак музыкі, які паўстаў у ЗША напачатку 1950-х гадоў і стаў фундамэнтам для шэрагу новых стыляў і кірункаў.
activity;['выбары', 'выбар'];Выбары — афіцыйны працэс прыняцьця рашэньня, паводле якога насельніцтва абірае асобу на кіраўніцтва дзяржаўнай ці грамадзкай установай.
