activity;['সিনেমা'];সিনেমা অইলতা শিল্পর আরাক মেঠেল যেহাত চলমান দৃশ্য পর্দাত দৃম্যমান অয়া নিকুলের।
agentive-figure;['জাতিসংঘ'];জাতিসংঘ বিশ্বর হাবি জাতির সংগঠন আহান, যেহার লক্ষ্যহান অইলতা আন্তর্জাতিক পরিসরে আইন, নিরাপত্তা, অর্থনৈতিক উন্নয়ন, সামাজিক অগ্রগতি, এবং মানবাধিকার বিষয়লো আগই উগর তুলো পাংলাকর পরিবেশ আহান হঙকরানি। ১৯৪৫ সালে ৫১ হান রাষ্ট্রই জাতিসংঘর সনদহানাত সই করিয়া জাতিসংঘ লিংখাত করেসিলা। এহান ১৯১৯ সালে প্রতিষ্ঠা পাসে, বারো পিসেদে মুতয়া গেলগা লীগ অফ নেশন্স'র জাগাহান কালকরলো।
agentive-figure;['ধর্ম'];ধর্ম বা লিচেত, এহানে মানুরে হবা পথে চলতে সাহায্য করের, মনহানরে ঙকখি-ঙারাল করেদের। মানুর নানান লিচেতর মা
agentive-figure;['হিন্দু লিচেত'];হিন্দু ধর্ম বা সনাতন ধর্ম, বিশ্বর মুরুসি লিচেত অতার মা অন্যতম। ভারতীয় উপমহাদেশে নিকুলেসে এরে লিচেত এহানর অনুসারী অতা এবাকা খা এশিয়া, খা-মুং এশিয়া বাদেউ বিশ্বর আবকচা জাগাত সালুইয়া আসি। আস্তা বিশ্বহাত ১০০ কোটির চুৱা হিন্দু আসি। ভারতর মা ৮৯০ লক্ষ হিন্দু থাইতারা। আর ডাঙর হিন্দু লিচেতর মানু এরে দেশ এহানিত থাইতারা: নেপাল, বাংলাদেশ, পাকিস্তান, শ্রীলঙ্কা, ভুটান, মায়ানমার, ইন্দোনেশিয়া, মালয়েশিয়া, সিঙ্গাপুর, খা আফ্রিকা, কেনিয়া, উগান্ডা, মরিশাস, সৌদি আরব, তিলপা আরব আমিরাত, ইয়েমেন, ফিজি, গায়েনা, সুরিনাম, ত্রিনিদাদ বারো টোবাগো, নেদারল্যান্ড, তিলপারাজ্য, কানাডা বারো তিলপারাষ্ট্র।
agentive-figure;['সোভিয়েত ইউনিয়ন'];মডেল:Infobox Former Country
agentive-figure;['জেসুইটাস'];জেসুইটাস, এহান ব্রাজিলর খা লয়ার পারানা রাজ্যর পৌরসভা আহান।
agentive-physical-object;['কম্পিউটার'];কম্পিউটার এহাননরে যন্ত্রগণক বুলানিয়উ একরের যেহানে অ্যালগোরিদমর মাতুঙ ইলয়া গণনা করে পারের বারো তথ্য দিয়া পারের। = কম্পিউটার বারো এহার উৎপত্তি = কম্পিউটার বর্তমান যুগর হাবিত্ব ডাঙর আবিস্কারহান। কম্পিউটার বুলতারা যন্ত্র এগ ইলেকট্রনিক্স যন্ত্রগ, যেগল আমি গাণিতিক বারো সত্য অসত্য বিচরি নিয়ামপারা ত্বরাকরে কোন ভুলভ্রান্তি নায়া করে পারিয়ার। উতাবাদে এ যন্ত্র এগ এলা, সিনেমা, বিভিন্ন গ্রাফচিত্র, রঙ বেরঙ, নানান খেল খেলা পারিয়ার। আগেকার যুগে মানু হুরু হুরু হিলনো সংখ্যা লেহানির কাম করলা। লেটিন ঠারে এর হুরু হুরু হিল উতারে কালক্স বুলতারা বারো হুরু হুরু হিলনো সংখ্যা লেহানি এহানরে ক্যালকুলি বুলতারা। এরে ‘Calculi’ ওয়াহি এগত্ত ইংরেজী ‘Calculate’ ওয়াহি এগ আহেসেগ. বারো এরে ‘Calculate’ ওয়াহি এগত্ত আজিকার ‘Computer’ ওয়াহি এগর উৎপত্তি। = ইতিহাস = EভEলীও Eশ ঊণ টড়োলআ্যো লE গূশটআ Eল পEডআ্যো লআড়আলআড়আলআড়আ!মে হুরুকাং যন্ত্র আহান ব্যবহার করেসিলা, নাঙহান ‘এবাকাস’ । ১৯৪২ খ্রীস্টাব্দত ফ্রান্সর গাণিতিক ব্লেইজ প্যাসকেল গিরকে যন্ত্র আহান হঙকরেসিল হুদ্দা যোগ-বিয়োগ য়াকরানিরকা। ১৬১৪ খ্রীস্টাব্দত স্কটিশ গানিতিক জন নেপিয়ার এ লগারিদম আবিস্কার করেসিল। উতার পিসে ১৭৭৩ খ্রীস্টাব্দত গটিফ্রাইড উইদেম ভন লেবনিজ বুলিয়া জার্মান গিরক আগই যন্ত্র আগ লিংখাত করেসিল যেহানল যোগ বিয়োগ পুরণ ভাগ করানি য়াকরল। এসাদে নানান সময়ে নানান নমুনার গননাযন্ত্র তঙাল তঙালক নিকুলেসিল বারো ঔ দেহা স্যাতে ১৮২৩ খ্রীস্টাব্দত চার্লস বেবেজ বুলিয়া ইংরাজ গাণিতিক আগই নুয়া যন্ত্র আহান হঙকরেসিল যেহানরে মাতলাতা ‘এনালাইটিক ইনজিন’। এযন্ত্র এগর কাম বর্তমান কম্পিউটারর লগে নিয়াম মান্না অনায় গিরক এগরে কম্পিউটারর আবির্ষ্কতাগ বুলিয়া মাততারা। কিন্তু ১৯৪৪ খ্রীস্টাব্দত হাওয়ার্ড ইউনিভারসিটির ড.
agentive-physical-object;['মাসকোটে'];মাসকোটে, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার বাহিয়া রাজ্যর পৌরসভা আহান।
agentive-physical-object;['নয়নতারা'];thumb| Catharanthus roseus নয়নতারা, বাংলানোও নয়নতারা উনিয়া পরিচিত। যেহার বৈজ্ঞানিক নাং - Vinca rosea.
agentive-physical-object;['নংসা', 'panthera leo'];নংসা এতা ফেলিডি পরিবারর জীবো আকতা, বারো এতারে "জংগলর রাজা" বুলিয়া মাত্তারা। এতা বপতা থাইতারাতা আফ্রিকার জংগলে বারো ভারতর লুপা ফাম কতহাত।
agentive-physical-object;['ইন্দ্রি'];ইন্দ্রি, ভারতর হরিয়ানা রাজ্যর কার্নাল জিলার শহর আগ।
agentive-physical-object;['গুৱাইউবা', 'ocyurus chrysurus'];গুৱাইউবা, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার কিয়েরা রাজ্যর পৌরসভা আহান।
agentive-physical-object;['পাভ্যাও'];পাভ্যাও, এহান ব্রাজিলর খামুঙ লয়ার মিনাস জেরায়িস রাজ্যর পৌরসভা আহান।
agentive-physical-object;['জাটোবা'];জাটোবা, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার পেরনামবুকো রাজ্যর পৌরসভা আহান।
amount-of-matter;['প্রাটা', 'ag'];প্রাটা, এহান ব্রাজিলর খামুঙ লয়ার মিনাস জেরায়িস রাজ্যর পৌরসভা আহান।
classification-system;['গ্রেগরিয়ান পাঞ্জী'];For the calendar of religious holidays and periods, see liturgical year.গ্রেগরিয়ান পাঞ্জী
cognitive-event;['আনন্দ'];আনন্দ, ভারতর গুজরাত রাজ্যর আনন্দ জিলার শহর বারো পৌরসভা এলাকা আগ।
cognitive-modal-description;['সমাজতন্ত্র'];সমাজতন্ত্রর বিতরর য়ারিহান অইলতা সাম্যবাদ - মানুর লগে মানুর খেইপা খেইপি নেয়নি । তত্ত্বগত বারাত্ত সমাজতন্ত্র অইলতা সামাজিক-অর্থনৈতিক ব্যবস্থা আহান যেহাত দন-সাম্পালর মালিকানা থারতা সমাজরাং।
functional-matter;['এসমেরআলডা'];এসমেরআলডা, এহান ব্রাজিলর খা লয়ার রিও গ্রান্ডে ডো সুল রাজ্যর পৌরসভা আহান।
functional-matter;['প্রাটা', 'ag'];প্রাটা, এহান ব্রাজিলর খামুঙ লয়ার মিনাস জেরায়িস রাজ্যর পৌরসভা আহান।
functional-matter;['গ্রানিটো'];গ্রানিটো, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার পেরনামবুকো রাজ্যর পৌরসভা আহান।
geographical-object;['কায়ম্যান দ্বীপমালা'];কায়ম্যান দ্বীপমালার পুরা নাঙহান কায়ম্যান দ্বীপমালা, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ জর্জটাউন।রাষ্ট্র এহানর মানুরে/নাগরিকরে কায়ম্যানিয়ান বুলতারা।
geographical-object;['তাইৱান'];তাইৱানর পুরা নাঙহান তাইৱান, এহান এশিয়া মহাদেশ বারো এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ তাইপে।রাষ্ট্র এহানর মানুরে/নাগরিকরে তাইৱানিজ বুলতারা।
geographical-object;['ফারো দ্বীপমালা'];ফারো দ্বীপমালার পুরা নাঙহান ফারো দ্বীপমালা, এহান ইউরোপ মহাদেশ বারো ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ থোর্সহাভন।রাষ্ট্র এহানর মানুরে/নাগরিকরে ফারোয়েসে বুলতারা।
geographical-object;['মার্শাল দ্বীপমালা'];মার্শাল দ্বীপমালার পুরা নাঙহান প্রজাতন্ত্রি মার্শাল দ্বীপমালা, এহান ওশেনিয়া মহাদেশ বারো মাইক্রোনেশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মাজুরা।রাষ্ট্র এহানর মানুরে/নাগরিকরে মার্শালিজ বুলতারা।
geographical-object;['বারমুডা'];বারমুডার পুরা নাঙহান বারমুডা, এহান ঔয়াং আমেরিকা মহাদেশ বারো ঔয়াং আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ হ্যামিলটন।রাষ্ট্র এহানর মানুরে/নাগরিকরে বারমুডান বুলতারা।
geographical-object;['নেদারল্যান্ড এন্টিল্লেস'];নেদারল্যান্ড এন্টিল্লেসর পুরা নাঙহান নেদারল্যান্ড এন্টিল্লেস, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ৱিলেমস্টেড।রাষ্ট্র এহানর মানুরে/নাগরিকরে এন্টিল্লেয়ান বুলতারা।
geographical-object;['ফ্লাকল্যান্ড দ্বীপমালা'];ফ্লাকল্যান্ড দ্বীপমালার পুরা নাঙহান ফ্লাকল্যান্ড দ্বীপমালা, এহান খা আমেরিকা মহাদেশ বারো খা আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ স্টানলি।রাষ্ট্র এহানর মানুরে/নাগরিকরে ফ্লাকল্যান্ড দ্বীপমালাবাসী বুলতারা।
geographical-object;['স্ভালবার্ড', 'svalbard'];স্ভালবার্ডর পুরা নাঙহান স্ভালবার্ড বারো জান মায়েন দ্বীপমালা, এহান আর্কটিক মহাদেশ বারো আর্কটিক উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ লোঙেয়েরবায়েন।রাষ্ট্র এহানর মানুরে/নাগরিকরে — বুলতারা।
geographical-object;['মন্টসের্রাট', 'montserrat'];মন্টসের্রাটর পুরা নাঙহান মন্টসের্রাট, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ প্লাইমাউথ।রাষ্ট্র এহানর মানুরে/নাগরিকরে মন্টসের্রাটিয়ান বুলতারা।
