activity;['anvonerezh elektronek', 'postel', 'post elektronek', 'mesajerezh elektronek'];Roadenn pe kemennadenn miret war urzhiataer a vez treuzkaset pe eskemmet eus an eil termenell stlenn d'eben, dre bellgehentiñ.
activity;['en em gannañ'];Kemer perzh en un tabut korf.
activity;['tennis', 'tenniser', 'tenniserez'];Sport c'hoariet a-zaou pe a-bevar war-bouez palikedoù kordennek, hag ur bellenn dezhi 6,4 cm treuzkiz, da 90 cm uhelder well-wazh, war ul leur traezh, leton, douar palumet pe war ar c'haled.
activity;['melestradurezh', 'mererezh'];Doare merañ pe ren aferioù un embregerezh, un aozadur pe ur framm foran pe brevez.
activity;['deverioù'];Labour kaset da benn er gêr, peurgetket al labour skol roet gant ur c'helenner.
activity;['disparti', 'kuitadenn'];Oberiadenn mont kuit.
activity;['sport', 'gourenelezh', 'sportoù'];Obererezh hiniennel pe stroll graet evit embreger e gorf pe evit ar blijadur hag a vez pleustret alies e stumm kevezadegoù.
activity;['meuse', 'maas'];Departamant eus biz Bro-C'hall a denn e anv eus hini ar stêr Meuse.
activity;["erc'h"];Furm voutinañ ar c'houezhadurioù dour skornet, peurliesañ e stummoù strink pe poulloù skornet dezho stumm steredennoù.
activity;['dezougen', 'treuzdougen'];Dilec'hiadenn traezoù fetis (tud pe varc'hadourezh) eus un eil lec'h d'egile. Alies dre implijout ur c'harbed bennak evit se.
activity;['enklask', "imbourc'h"];Klask skiantel zo e bal dizoleiñ fedoù nevez, teknikoù ha lezennoù naturel hag o lakaat da dalvezout.
activity;['bount', 'bountadenn', 'taol bount'];Nerzh bras lakaet da c'hoarvezout war un dra bennak evit ma pellafe eus orin an nerzh bet lakaet da c'hoarvezout warnañ.
activity;['adeo', "d'ar c'hentañ gwel", 'dada', 'kenavo'];Tro-lavar gimiadiñ a implijer pa vezer en un degouezh, kaoz pe lec'h ma ya tus zo kuit tra ma chom re all.
activity;['gouarnamant', 'melestradurezh', 'mererezh'];Stroll tud gantañ an aotrouniezh da embann lezennoù hag ar galloud d'o lakaat da dalvezout en un aozadur pe ur framm sivil, embregerezhel, akademek, relijiel pe ur framm all.
activity;['touristerezh'];Fiñv mareadek tud war-du lec'hioù disheñvel diouzh o lec'hioù annez pe labour boutin. an obererezhioù kaset da benn e-kerzh o chomadennoù el lec'hioù-se hag an aveadurioù savet evit pourchas d'o ezhommoù.
activity;['dezougen', 'treuzdougen'];Dilec'hiadenn traezoù fetis (tud pe varc'hadourezh) eus un eil lec'h d'egile. Alies dre implijout ur c'harbed bennak evit se.
activity;['arz', 'arzour'];Ar c'hrouiñ oberoù kenedus pe heverk en un dore bennak all.
activity;['medisinerezh', 'mezegiezh'];Skiant hag arz an dizarbenn hag ar prederiañ kleñvedoù.
activity;['amzer'];Doareoù an hin war ar pemdez, dreist-holl o gwrez, stankter ar c'houmoul hag ar c'houezhadurioù, a c'hoarvez en ul lec'h resis.
activity;['lukachenn'];glav munut ha tanav.
agentive-figure;["sal ar c'huzul"];Pezh m'en em vod kuzul-merañ un embregerezh.
agentive-figure;['stad', 'stad emveliek', 'bro', 'broad'];Framm stadel a samm an aotrouniezh uhelañ war un takad douaroniel bennak.
agentive-figure;['stad', 'stad emveliek', 'bro', 'broad'];Pobl ac'hubet ganti da vat un tiriad bennak, bodet en-dro d'ul lezenn voutin, boazioù ha kustumoù e diabarzh un unanenn bolitikel nemeti dre hanterouriezh ur gouarnamant aozet a astenn e veli riezek hag a gontrol an holl dud hag an holl draoù e diabarzh bevennoù e ziriad, nemet pe betek e vefe bet erlec'hiet e veli gant ur c'hevread pe un unaniezh etre meur a Stad.
agentive-figure;['aozadur publik', 'burev', 'ajañs publik', 'aozadur gouarnamantel', 'ensavadur publik'];Nep pezh, stroll pezhioù pe savadur, implijet evit un obererezh melestradurel, rentañ servijoù gouarnamant, pe sevel eskemmoù kenwerzhel pe difraeoù damheñvel.
agentive-figure;['ramz', 'brezel ar ramzed', 'kaour'];Den mojennel bras-meurbet e vent.
agentive-figure;['unaniezh europa', '🇪🇺', 'ue', 'unaniezh europeat', 'unvaniezh europa'];Ar 27 Stad (Alamagn, Aostria, Belgia, Breizh-Veur, Bulgaria, Danmark, Estonia, Finland, Frañs, Gres, Hungaria, Italia, Iwerzhon, an Izelvroioù, Kiprenez, Latvia, Luksembourg, Malta, Polonia, Portugal, Roumania, Slovakia, Slovenia, Spagn, Sveden ha Tchekia) o deus emezelet da stummañ ur gumuniezh armerzhel dezhi palioù moneizel, politikel ha sokial boutin.
agentive-figure;['strollad politikel', 'strollad'];Bagad tud frammet dezho da bal tapout ar galloud politikel ha lakaat o fennoù da vezañ dilennet war kargoù publik. Peurliesañ e embanno pennoù ur strollad politikel o youl da gas war-raok talvoudoù politikel, kevredigezhel, armerzhel, sevenadurel boutin.
agentive-figure;['relijion', 'feiz', 'feizad', 'kravez', 'relijiel'];Eztaoladur kred hag azeulerezh mab-den etrezek ur boud hollc'halloudek anavezet da grouer ha reolenner an hollved.
agentive-figure;['yuzevegezh'];Relijion dezhi feizidi er bed a-bezh hag a sav hec'h orin da bobl an Hebreed e Reter-Kreiz an Henamzer, evel m'eo testeniekaet gant o skridoù relijiel, an Torah hag an Testamant Kozh.
agentive-figure;['islam', 'muzulman', 'muzulmaned', 'muzulmat'];Stroll relijionoù diazezet war kelennadurezh ar profed Muhammad.
agentive-physical-object;['loen-ti'];Loen dalc'het en ti evit ober kavanden d'an dud hag a vez graet brav war e dro.
agentive-physical-object;['donald duck'];Houad faltazi brouezek bet ijinet gant Walt Disney
agentive-physical-object;['loen', 'animalia', 'aneval', 'loened'];Organeg vev heverk dre an dilechiañ youlek, dezhi kelligoù gant speurennoù kelligel ankelulozek, organoù santout arbennikaet a dalvez da respont prim d'ar stimuli hag a c'hall lonkañ danvezennoù organek kemplezh evel ar plant pe loened all.
agentive-physical-object;['plant', 'struzh'];Boud bev a genaoz e voued diwar danvezennoù anorganek, dezhañ speurennadoù kelligoù keluloz a respont goustadik hag alies da viken d'ur stimulus, hep organoù skiant arbennikaet na reizhiad nervennek ha divarrek da zilec'hiañ.
agentive-physical-object;['ki', 'canis lupus familiaris', 'chas', 'kiez', 'kon'];Bronneg pevarzroadek doñv (Canis familiaris), kar d'ar bleiz, ha boutin-kenañ dezhañ gouennoù liesseurt a vev nes d'an den abaoe marevezh ar ragistor.
agentive-physical-object;['foue', 'fungi', 'misetoù', 'fungus'];Organeg nukleek, gwiadennek peurliesañ, a daol spor, hep tamm klorofil ebet enni.
agentive-physical-object;['foue', 'fungi', 'misetoù', 'fungus'];Organeg underc'hanek ha sporek, gwiadennek peurliesañ, hep tamm klorofil ebet.
agentive-physical-object;['bleuñv', 'bleunienn', 'bleuñvienn', 'boked', 'fleur', 'bleunioù'];Struktur gouennañ ar plant angiosperm, a ya d'e ober etaminoù ha karpeloù gronnet gant petalennoù ha sepalennoù dalc'het-holl en un endalc'had.
agentive-physical-object;['kaol-bleuñv', 'kaol-fleur', 'brassica oleracea var. botrytis', 'brikoli', 'kaol-bouedek'];Seurt kaol (Brassica oleracea) gwenn o bleuñv debradus da legumaj ha glas o delioù bras.
agentive-physical-object;['geot', 'louzaouenn', 'gwelt'];Plant glas ha deliaouek, pe darn eus ar plant-se a reer ganto evit sasuniñ ar boued.
agentive-physical-object;['gwez'];Plant bras koadek dezho ur c'hef dalc'hus a sav skourroù pe delioù dioutañ.
agentive-physical-object;['parez', 'maouez'];Ezel eus spesad mab-den en e oad gour, eus ar jener a brodu vielloù hag a c'han bugale.
agentive-physical-object;['orañjez', 'orañjezenn'];Frouezh skildrenk an orañjezenn (citrus sinensis): splusek, orañjez o liv peurliesañ, ha tev ar bluskenn en-dro dezho.
agentive-physical-object;['den', 'homo', 'homo sapiens sapiens', 'homo sapiens', 'tud'];Ezel eus spesad an dud.
agentive-physical-object;['haleg'];Seurt bras a wez pe brousgwez dibourc'hidik eus ar genad Salix.
agentive-physical-object;['orkide'];Plant niverus eus kerentiad an orkideed a daol bleunioù divoas o stumm ha kaer o liv peurliesañ.
agentive-physical-object;['roudenneg', 'zebra'];Bronneg roudennek gwenn-ha-du eus Afrika, kar-nes d'ar c'hezeg.
agentive-physical-object;['primated', 'primat', 'primates'];Urzhad bronneged enni ar marmouzed ha mab-den.
agentive-physical-object;['avalenn', 'gwez avaloù'];Gwez frouezh eus ar genad ''Malus''.
agentive-physical-object;['keflusker', 'motor'];Ardivink ma implijer an energiezh anezhañ evit seveniñ labourioù, dre dreuzfurmiñ stummoù energiezhoù disheñvel e nerzh mekanikel ha lusk dilec'hiañ.
agentive-physical-object;['camelus', 'kañval', 'kañval baktria'];Loen samm eus ar genad Camelus, implijet-kenañ en takadoù dezherzhel.
agentive-physical-object;['karveged', 'karv', 'cervidae'];Anv boutin 41 spesad a vronneged diakirier anezho karneged eus kerentiad ar Cervidae. Moan eo o favioù, forc'hellek o c'harnioù (alese o renk e-touez an Artiodactyla), ledan eo o c'herc'henn ha brankoù zo ouzh penn ar pared.
agentive-physical-object;['azen', 'equus asinus'];Loen doñv, Equus asinus.
