amount-of-matter;['bók-séu-gáung'];Siŏh cṳ̄ng tiék gì hăk-gĭng
information-realization;['báik-kuŏ-ciòng-cṳ̆'];Gái-siêu ìng-lôi sū-iū dĭ-sék hĕ̤k-ciā siŏh lôi dê-sék gì gĕ̤ng-gê̤ṳ-cṳ̆
language;['lá-dĭng-ngṳ̄'];Gū-cā sèng-hâiu gì siŏh cṳ̄ng Éng-Ĕu ngṳ̄-ngiòng
parameter;['puái-dáu', '中午', '正午', '當午', '破晝'];日中12點正，也會使表示上晝11點遘下晝1點其茲蜀段時間
physical-object;['internet', 'hô-lièng-uōng', 'uōng-cié-uōng-lô'];siŏh cṳ̄ng uōng-lŏ̤k gâe̤ng uōng-lŏ̤k cĭ găng cháung-lièng diŏh siŏh dŏi gì siŏh ciáh dĕk-biék duâi gì uōng-lŏ̤k
political-geographic-object;['ĭng-guók', 'dâi bók-liĕk-diĕng gâe̤ng báe̤k ái-ī-làng lièng-hăk uòng-guók'];Ĕu-ciŭ să̤-buô gì 1 ciáh guók-gă
political-geographic-object;['belarus'];Dĕ̤ng Ĕu guók-gă
region;['cā-tàu', '上晝', '早頭'];趁日頭出其辰候開始算起，遘中午12點以前其時間
simple-collection;['dô-giŏng-cô̤'];Siŏh ciáh sĭng-cô̤
substance-role;['bók-séu-gáung'];Siŏh cṳ̄ng tiék gì hăk-gĭng
temporal-region;['冬節', 'dĕ̤ng-cé', '冬至'];廿四節氣臺中其蜀萆
temporal-region;['â-dáu', '下晝'];中午12點以後其時間
temporal-region;['cā-tàu', '上晝', '早頭'];趁日頭出其辰候開始算起，遘中午12點以前其時間
