activity;['سکاڵا'];سکاڵای یاسایی
activity;['فیلم', 'فلیم', 'فیلمەکان'];جۆرێک لە هونەری کاری فیلم
activity;['ڕێفراندۆم', 'ڕیفراندۆم', 'گشتپرسی', 'ڕێفراندەم', 'گشتپڕسی'];ریفراندۆم
activity;['سکاڵا'];سکاڵای یاسایی
activity;['هێرشي خێرا'];بلیتسکریگ
activity;['جەنگی جیھانیی دووەم', 'شەڕی جیھانیی دووەم', 'جه\u200cنگی جیهانی دووه\u200cم', 'جەنگی جیهانی دووەم', 'جەنگی جیھانی دووەم', 'جەنگی دووەمی جیھانی', 'شه\u200cڕی جیهانی دووه\u200cم', 'شه\u200cڕی جیهانیی دووه\u200cم', 'شه\u200cڕی دووه\u200cمی جیهانی', 'شەڕی جیهانی دووەم', 'شەڕی جیهانیی دووەم', 'شەڕی جیھانی دووەم', 'شەڕی دووەمی جیهانی', 'شەڕی دووەمی جیھانی'];پەڕەی ڕوونکردنەوەی ویکیمیدیا
activity;['كورد،'];الانتقام
activity;['پەروەردە', 'په\u200cروه\u200cرده\u200c'];حاڵەتی فێربوونی بابەتە جیاوازەکانە
activity;['ئاریا'];زاراوەیەکی مۆسیقا
activity;['ڤاڕێز', 'کەرەنتینە', 'قەرەنتینە', 'كەرەنتینە', 'ڤارێز', 'کەرەنتین', 'کەرەنتێن', 'کەرەنتێنە'];کەرەنتین
activity;['ڕاگتایم', 'ragtime'];چەشنێکی مۆسیقا
activity;['ڕێبەریکردن', 'ڕابەرایەتیکردن', 'ڕابەر', 'ڕابەرایەتیکردنی مۆسیقا', 'ڕابەری مۆسیقا'];کارێکی مۆسیقی
activity;['کەش', 'كەش', 'kashu hawa', 'كةش و هةوا', 'كەشوھەوا', 'کەش و هەوا', 'کەش و هەوای', 'کەش و ھەوا', 'کەش و ھەوای', 'کەشوهەوا', 'کەشوهەوای', 'کەشوھەوا', 'کەشوھەوای', 'کەشی', 'كه\u200cش', 'که\u200cش'];بارودۆخی تەوشک
activity;['پەروەردە', 'په\u200cروه\u200cرده\u200c'];حاڵەتی فێربوونی بابەتە جیاوازەکانە
activity;['جه\u200cنگی كیمیایی'];جەنگێکە کە چەکە کیمیاییەکان لەخۆدەگرێت
agentive-figure;['ئیسلام', 'ئیسلام\u200e', 'ئایینی ئیسلام', 'ئایینی ئاشتی', 'ئایینی موسڵمانان', 'ئایینی پێکەوەژیان', 'ئيسلام', 'دینی ئیسلام', 'ئیسلامی', 'اسلام', 'الله', 'موسڵمانان'];یەکێک لە ئایینەکانی جیھان
agentive-physical-object;['کۆمپیوتەر', 'بژمێر', 'كۆمپیوته\u200cر', 'كۆمپیوتەر', 'کامپیوتەر', 'کۆمپیتەر', 'کۆمپیوته\u200cر'];ئامێرێکە کە دەکرێ پرۆگرام بکرێت بۆ ھەر مەبەستێک
agentive-physical-object;['شووتی', 'شووتی\u200e', 'شفتی', 'شوتی', 'شامی', 'ھەنی'];میوەیەکی گەورەیە، ناوەوەی سوورە و بەرگێکی سەوز و لووسی ھەیە
agentive-physical-object;['کەروێشک', 'که\u200cروێشک', 'کەروێشک\u200e', 'كه\u200cروێشك', 'كەروێشك'];ئاژەڵێکی گیاخۆر
agentive-physical-object;['مار', 'مار\u200e'];جورةكانى
agentive-physical-object;['ammodytidae'];پەڕەی ڕوونکردنەوەی ویکیمیدیا
biological-object;['قوز', 'ئەندامی زاوزێی مێینە', 'كوز', 'کوز'];ئه‌ندامی زاوزێ
biological-object;['چاو'];چاو
biological-object;['باڵا بەرزە', 'باڵابەرزە\u200e', 'زەڕنەقووتە\u200e'];ژمارەی سێیەمی پەنجەی دەستی مرۆڤ
cognitive-event;['چاندی پێچەوانە'];وردەفەرھەنگێک کە بەھا و خووڕەوشت و بیروباوەڕە گشتییەکانیان جیاوازە لە کۆمەڵگەی باو
cognitive-event;['شەھوەت', 'ئارەزووی سێکسی', 'زەوقی سێکسی'];ھەستێکی دەروونی
cognitive-event;['بیرۆکە', 'ھزر', 'بیر', 'ئه\u200cندێشه\u200c', 'ئەندێشە', 'بیركردنه\u200cوه\u200c', 'بیركردنەوە', 'بیرکردنه\u200cوه\u200c', 'بیرکردنەوە', 'بیرۆكه\u200c', 'بیرۆكە', 'بیرۆکه\u200c', 'تێفکرین', 'هزر'];چالاکیی ئاگادارانەی زەین
commerce-role;['شتومەک', 'پیتەوا', 'شمەک', 'پیته\u200cوا', 'کاڵا'];پیتەوا
course;['پەرچوو', 'موعجیزە', 'دەرئاسا', 'موعجیزه\u200c', 'سەرئاسا', 'ده\u200cرئاسا', 'مۆجزات', 'مۆجزه\u200c', 'مۆجزە', 'نووازه\u200c', 'نووازە', 'په\u200cرجۆ', 'په\u200cرچوو', 'پەرجۆ'];موعجیزە، ڕووداوێکی زۆر نائاسایییە و واباوەڕە لە کاری خودایە
event;['تەقینەوە', 'تەقاندن\u200e'];ئەو ساتەی کە بەخێرای قەبارەکەی زیاد دەبێت، ووزەیەکی یەکجار زۆر بەرەڵا دەکات تا دوورترین ئاستی
functional-matter;['بەرھەمی ئاژەڵ'];ئەو بەرھەمانەی سەرچاوەکانیان ئاژەڵە
functional-matter;['کەڵبە'];جۆرێکی بەرد
functional-matter;['consomme'];پەڕەی ڕوونکردنەوەی ویکیمیدیا
functional-matter;['چێو', 'دار\u200e', 'چێو\u200e'];ماددەی فایبرۆس لە دار یان ڕووەکی ترەوە
genetic-collective;['خانەدان', 'خانه\u200cدان'];بە فەرمانڕوایانی پشتاوپشتی سەر بە یەک خێزان ئەوترێ خانەدان
geographical-object;['ئوقیانووسی پاسیفیک', 'ئۆقیانووسی ئارام', 'ئوقیانووسی ئارام', 'ئوقیانووسی پاسیفیك', 'ئۆقیانوسی ئارام', 'ئۆقیانووسی پاسیفیك', 'ئۆقیانووسی پاسیفیک'];یەکێک لە ئۆقیانووسەکانی زەوی
geographical-object;['دەریاچەی ئەنتاریۆ', 'دەریاچەی ئۆنتاریۆ'];یەکێک لە پێنج دەریا گەورەکەی ئەمریکای باکور
information-object;['دکتۆری مۆسیقا'];بڕوانامەیەکی ئەکادیمیی مۆسیقی
information-object;['کارناسی', 'كارناسی'];ناوی یەکێک لە ئاستەکانی خوێندنی باڵا لە كوردستانی عێراق دایە. ئاستی به‌كالۆریۆس، لە دیبلۆم سەرتر و لە ماسته‌ر (به‌كالۆریۆسی باڵا) خوارترە.
information-object;['ناوی قەڵەم'];ناوێکە لە باتی ناوی ڕاستەقینەی نووسەر بەکاردێت
information-object;['و'];پیتی شەشەم لە ئەلف و بێی عیبری
information-realization;['luqman muhamad'];Luqman
information-realization;['پەیژەی بچووک'];یەکێک لە پەیژە مۆسیقییەکان
information-realization;['پەیژەی گەورە'];یەکێک لە پەیژە مۆسیقییەکان
information-realization;['ئۆپێرا', 'operă'];چەشنێکی مۆسیقا
information-realization;['چانتی گریگۆری'];چەشنێکی مۆسیقا
information-realization;['سیمفۆنی'];مۆسیقای درێژکراوە
information-realization;['rondó'];پەڕەی ڕوونکردنەوەی ویکیمیدیا
information-realization;['ئۆراتۆریۆ'];شێوازێکی مۆسیقا
information-realization;['بەرز', 'دێز'];بەرزی تۆنی دەنگی مۆسیقا
information-realization;['ئینسایکڵۆپیدیا', 'زانستنامە', 'ئینسایكڵۆپیدیا', 'زانستنامه\u200c'];کۆکراوەی زانیاریی زانستی
information-realization;['فابل'];چیرۆکی خەیاڵی کورت
information-realization;['مۆسیقای وڵات', 'مۆسیقای کەنتری', 'مۆسیقای دێ'];چەشنێکی مۆسیقا
information-realization;['ھیمن'];چەشنێکی مۆسیقا
information-realization;['مۆسیقا', 'مووزیك', 'مووزیک', 'مووسیقا', 'مۆزیك', 'مۆزیک'];شێوازێک لە ھونەر کە بە دەنگ دروست دەکرێت
information-realization;['ئاریا'];زاراوەیەکی مۆسیقا
information-realization;['خەیاڵی زانستی', 'خەیاڵی-زانستی', 'زانستی خەیاڵی', 'ساینس فیکشن', 'زانستی-خەیاڵی'];ژانرێکی خەیاڵی
information-realization;['مۆسیقای کلاسیک', 'مۆسیقای ئەورووپی', 'مۆسیقای ڕۆژئاوا'];چەشنێکی مۆسیقا
information-realization;['ڕێگەی', 'رێگەی', 'reggae'];چەشنێکی مۆسیقا
information-realization;['قورئان', 'سیپارە', 'قورئانی پیرۆز', 'قورعان'];فەرموودەی خوا بۆ پێغەمبەر و موسڵمانان
information-realization;['سيبان', 'shareware'];سيبان
information-realization;['مۆسیقای فۆڵک', 'فۆلک', 'فۆڵک', 'مۆسیقای فۆلک'];چەشنێکی مۆسیقا
language;['زمانی مۆنگۆلی'];زمانی بەکاربراو لە مەنگۆلیا
language;['زمانی ئینگلیزی', 'ئینگلیزی', 'ئینگلیسی', 'زمانی ئینگلیسی'];یەکێک لە زمانەکانی جیھان
locative-role;['ڤۆڵگۆگراد', 'ڤۆلگۆگراد', 'ستالینگراد'];شارێکی ڕووسیا
locative-role;['مەککە', 'مه\u200cككه\u200c', 'مه\u200cککه\u200c', 'مەككە'];شارێک لە عەرەبستانی سعودییە
locative-role;['سربیا', 'سێربیا'];دەوڵەتی باڵادەست لە باشوری ڕۆژهەڵاتی ئەوروپا
locative-role;['ڕۆژھەڵاتی ناوین', 'ڕۆژهه\u200cڵاتی ناوه\u200cڕاست', 'ڕۆژھەڵاتی ناوەڕاست\u200e', 'رۆژهەڵاتی ناوەڕاست', 'ڕۆژهەڵاتی ناوەڕاست', 'ڕۆژھەڵاتی ناوەڕاست', 'رۆژھەڵاتی ناوین', 'رۆژهه\u200cڵاتی ناوه\u200cڕاست', 'رۆژھەڵاتی ناوەڕاست', 'ڕۆژهه\u200cڵاتی ناوین', 'ڕۆژهەڵاتی ناوه\u200cڕاست', 'ڕۆژهەڵاتی ناوین'];ناوچەی ڕۆژاوای ئاسیا و میسر
locative-role;['ئەستەمبوڵ', 'ئەستەمبوڵ\u200e', 'ئیستەنبوڵ', 'ئەستەنبوڵ', 'ئیستەنبووڵ', 'ئەستەنبووڵ', 'ئه\u200cستانبۆڵ', 'ئه\u200cسته\u200cمبوڵ', 'ئه\u200cسته\u200cنبوڵ', 'ئیستانبول', 'ئیسته\u200cنبوڵ', 'ئەستانبۆڵ'];گەورەترین شاری تورکیا
non-agentive-physical-object;['ڕێگە', 'ڕێگە\u200e', 'جادە', 'ڕێ', 'ڕێگا'];دووریەک لەنێوان دوو شوێن
non-agentive-physical-object;['سوخمە', 'مەمکبەند', 'مەمکدان', 'مەمکەبەند'];جلێکی ژێرەوەی ژن
non-physical-collection;['ڕای گشتی'];پێناسەی رای گشتی
non-physical-collection;['سێکۆلاریزم', 'سكۆلاریزم', 'سكۆلاریست', 'سکۆلاریزم', 'سکۆلاریست', 'سیكۆلاریزم', 'سێكولاریزم', 'سێكۆلاریزم', 'سێكیولاریزم', 'سێكیولاریست', 'سێکولاریزم', 'سێکیولاریزم', 'سێکیولاریست', 'عه\u200cلمانی', 'عیلمانی', 'عەلمانی'];باوەڕی جیاکردنەوەی ئایین لە سیاسەت و دەوڵەت
non-physical-collection;['نایڵزم', 'ھیچخوازی', 'نایەلسم', 'نایەڵزم', 'نیھیلسم', 'نیھیڵزم', 'وجودی', 'وجوودییەت', 'ھیچپەرستی', 'هیچخوازی'];فەلسەفەی ڕەتکردنەوەی واقیع
non-physical-collection;['ئیسلام', 'ئیسلام\u200e', 'ئایینی ئیسلام', 'ئایینی ئاشتی', 'ئایینی موسڵمانان', 'ئایینی پێکەوەژیان', 'ئيسلام', 'دینی ئیسلام', 'ئیسلامی', 'اسلام', 'الله', 'موسڵمانان'];یەکێک لە ئایینەکانی جیھان
parameter;['ڤاڕێز', 'کەرەنتینە', 'قەرەنتینە', 'كەرەنتینە', 'ڤارێز', 'کەرەنتین', 'کەرەنتێن', 'کەرەنتێنە'];کەرەنتین
parameter;['خۆراوابوون', 'خۆرئاوابوون', 'ڕۆژئاوابوون', 'کاتی خۆرئاوابوون'];ونبوونی ڕۆژانەی خۆر لە خوار نیوەی ڕۆژئاوای ئاسۆ
phenomenon;['کەش', 'كەش', 'kashu hawa', 'كةش و هةوا', 'كەشوھەوا', 'کەش و هەوا', 'کەش و هەوای', 'کەش و ھەوا', 'کەش و ھەوای', 'کەشوهەوا', 'کەشوهەوای', 'کەشوھەوا', 'کەشوھەوای', 'کەشی', 'كه\u200cش', 'که\u200cش'];بارودۆخی تەوشک
physical-body;['یوورۆوپا', 'یوورۆپا', 'europa', 'ئەورۆپا'];ھەیڤێکی ژوپیتەر
physical-body;['بارام', 'مەریخ', 'به\u200cهرام', 'بارام\u200e', 'بەھرام\u200e', '♂', 'مریخ', 'هه\u200cساره\u200cی\u200c مه\u200cریخ', 'بارام گه\u200cڕۆك', 'بارام گه\u200cڕۆک', 'بارام گەڕۆک', 'مه\u200cریخ'];مەریخ چوارەمین هەسارەی کۆمەڵەی خۆرەکەمانە بەرگەهەواکەی لە گازی میسان پێک هاتووە و تەنکە
physical-object;['وەگەڕخەری دیسکی ڕەق', 'hdd'];جؤرى
physical-object;['ئۆتۆمۆبیل', 'ئوتوموبیل\u200e', 'ترومبێل\u200e', 'سەیارە\u200e', 'ئۆتۆمبیل', 'ئۆتۆمبێل', 'ترۆمبێل', 'تڕۆمبێل', 'سەیارە'];ئامرازێکی ھاتوچۆ بۆ گواستنەوەی خەڵک
physical-object;['٤٥', '45', 'چل و پێنج'];ژمارەی سرووشتی
physical-object;['ترامپێت', 'ترەمپێت'];ئامێری مۆسیقا
physical-object;['برج لةندةن'];كوردي
physical-object;['کەڕەنا'];ئامێرێکی مۆسیقای باز
physical-object;['تەپڵ', 'ته\u200cپڵ', 'ده\u200cوڵ', 'تەپڵ\u200e', 'دەوڵ\u200e'];ئامێرێکی کوتانی مۆسیقی
physical-object;['قاوەخانە'];شوێنەک کە قاوەی تێدا پێشکەش دەکرێ
physical-object;['پیانۆ'];ئامێری مۆسیقا
physical-object;['electric toothbrush'];فڵچەى دانى كارەبايى
physical-object;['لێنز', 'عەدەسە', 'ھاوێنە'];ئامێرێکی بینایییە کە ڕووناکی دەگوازێتەوە و دەداتەوە
physical-object;['مەڵەغان', 'مه\u200cڵه\u200cغان', 'کەرەمتوو'];ناوی ئامرازێکی وەرزێڕییە
physical-object;['مووشەکی بالیستیکی'];جۆرێکی موشەک کە بە رێڕەوێکی بالیستیکی ژێر خولگەییدا دەڕوات
physical-object;['پەردە', 'په\u200cرده\u200c', 'پەردە\u200e', 'پەردی'];بەکارهێنانی پەردە بۆ شاردنەوەی رۆشنایی
physical-object;['کەمان', 'كه\u200cمان', 'كەمان', 'ڤیۆڵۆن', 'که\u200cمان', 'کەمانژەن'];ئامێرێکی ژێدار
physical-object;['ئینتەرنێت', 'ئینته\u200cرنێت', 'ئینتێرنێت'];میزویی ئەنتەرنیت
physical-object;['سوخمە', 'مەمکبەند', 'مەمکدان', 'مەمکەبەند'];جلێکی ژێرەوەی ژن
political-geographic-object;['ڕۆمانیا'];دەوڵەتی باڵادەست لە باشوری ڕۆژهەڵاتی ئەوروپا
political-geographic-object;['ڤۆڵگۆگراد', 'ڤۆلگۆگراد', 'ستالینگراد'];شارێکی ڕووسیا
political-geographic-object;['مەککە', 'مه\u200cككه\u200c', 'مه\u200cککه\u200c', 'مەككە'];شارێک لە عەرەبستانی سعودییە
political-geographic-object;['ژاپۆن', 'ژاپۆن\u200e', 'یابان', 'ja', 'jap', 'نیپۆن', '🗾', '\U000fe4e5'];دەوڵەتێکی دوورگەیی ڕۆژهڵاتی ئاسیایە
political-geographic-object;['بەلجیکا', 'بەلژیک', 'بەلجیکا\u200e', 'به\u200cلجیكا', 'به\u200cلجیکا', 'به\u200cلژیك', 'به\u200cلژیک', 'بێلژیك', 'بێلژیک', 'بەلجیكا', 'بەلژیك'];دەوڵەتی باڵادەست لە ڕۆژئاوای ئەوروپا
political-geographic-object;['سۆماڵیا', 'سۆماڵ'];وڵاتێک لە ڕۆژهەڵاتی ئەفریقا
political-geographic-object;['ئەڵمانیا', 'ئاڵمان', 'ئاڵمانیا', 'ئه\u200cڵمان', 'ئه\u200cڵمانیا', 'ئەڵمان'];وڵاتێک لە ئەورووپای ناوەندی
political-geographic-object;['جەزائیر', 'جه\u200cزائیر'];وڵاتێک لە باکوری ئەفریقا
political-geographic-object;['مۆزامبیک', 'مۆزەمبیق', 'مۆزامبیك'];وڵاتێک لە ئەفریقا
political-geographic-object;['عێراق', 'عێراق\u200e', 'كۆمارى عێراق', 'ئێراق', 'عێڕاق', 'عراق', 'عیراق', 'وڵاتی عێراق', 'کۆماری عێراق', 'ئێڕاق', 'كۆماری عێراق'];وڵاتێک لە ڕۆژاوای ئاسیا
political-geographic-object;['ڕۆد ئایلەند', 'رھۆد ئیسلەند', 'rhode island', 'ڕۆد ئایله\u200cند'];بچووکترین ویلایەتی ئەمریکا لە ڕووی ڕووبەرەوە
political-geographic-object;['عومان', 'عوممان'];دەوڵەتی باڵادەست لە ڕۆژئاوای ئاسیا
political-geographic-object;['لیسبۆن', 'lîsabon'];پایتەختی وڵاتی پرتوگال
political-geographic-object;['لیما', 'lima'];پایتەختی پیرۆ و سێیەم گەورەترین شاری ئەمریکا
political-geographic-object;['سۆفیا'];پایتەختی بولگاریا
political-geographic-object;['پراگ', 'پڕاگ'];پایتەختی کۆماری چیک
political-geographic-object;['بەغدا', 'bagdād', 'بەغداد', 'شاری بەغدا', 'پایتەختی عێراق', 'به\u200cغدا', 'به\u200cغداد'];پایتەختی عێراق
political-geographic-object;['کوالالومپور', 'kuala lumpur', 'كوالالامپور', 'كوالالومپور', 'کوالالامپور'];كوالالومبور
political-geographic-object;['ھانۆی', 'hanoi', 'هانۆی'];پایتەختی ڤێتنام
political-geographic-object;['مێلبۆرن', 'melbourne', 'مێڵبۆرن', 'مەلبۆرن'];شارێکی وڵاتی ئوسترالیایه
political-geographic-object;['ئەستەمبوڵ', 'ئەستەمبوڵ\u200e', 'ئیستەنبوڵ', 'ئەستەنبوڵ', 'ئیستەنبووڵ', 'ئەستەنبووڵ', 'ئه\u200cستانبۆڵ', 'ئه\u200cسته\u200cمبوڵ', 'ئه\u200cسته\u200cنبوڵ', 'ئیستانبول', 'ئیسته\u200cنبوڵ', 'ئەستانبۆڵ'];گەورەترین شاری تورکیا
political-geographic-object;['بەڕازیل', 'به\u200cڕازیل', 'بڕازیل'];دەوڵەتی باڵادەست لە ئەمریکای باشوور
political-geographic-object;['ئەدێلاید', 'adélaïde', 'ئه\u200cدێلاید'];ناوەندی ئەوسترالیای باشووره
quality;['دکتۆری مۆسیقا'];بڕوانامەیەکی ئەکادیمیی مۆسیقی
quality;['کارناسی', 'كارناسی'];ناوی یەکێک لە ئاستەکانی خوێندنی باڵا لە كوردستانی عێراق دایە. ئاستی به‌كالۆریۆس، لە دیبلۆم سەرتر و لە ماسته‌ر (به‌كالۆریۆسی باڵا) خوارترە.
quality;['مەودا'];نزمترین بۆ بەرزترین ئاستی توانای ژەنینی ئامێرێکی مۆسیقی
quality;['ئیسلام', 'ئیسلام\u200e', 'ئایینی ئیسلام', 'ئایینی ئاشتی', 'ئایینی موسڵمانان', 'ئایینی پێکەوەژیان', 'ئيسلام', 'دینی ئیسلام', 'ئیسلامی', 'اسلام', 'الله', 'موسڵمانان'];یەکێک لە ئایینەکانی جیھان
quality;['ئینسالپی', 'ئێنتالپی', 'ناوەڕۆکی گەرمی', 'گۆڕانی ئینسالپی', 'گۆڕانی ئێنتالپی', 'گۆڕانی گه\u200cرمی', 'گۆڕانی گەرمی'];قياس الطاقة الكلية للنظام الديناميكي الحراري.
quality;['مووشەکی بالیستیکی'];جۆرێکی موشەک کە بە رێڕەوێکی بالیستیکی ژێر خولگەییدا دەڕوات
region;['ئینچ', 'ئینج'];یەکەی درێژی
region;['ڕیاڵی ئێرانی', 'دراوی ئێران', 'ڕیالی ئێرانی', 'ڕیاڵ'];دراوی ئێران
region;['دیناری عێراقی', 'دینار', 'پارەی عێراق', 'iqd'];دراوی عێراق
