abstract-region;['limita', 'konečná limita', 'konvergence posloupnosti', 'nevlastní limita', 'vlastní limita', 'bod akumulace', 'limit', 'omezit bod'];Matematický pojem
abstract-region;['součin', 'produkt', 'matematické produktu'];Výsledek operace násobení
abstract-region;['skalární veličina', 'skalární'];Jednorozměrná fyzikální veličina (nabývá jediné hodnoty)
activity;['mikrobiální kultura', 'bakteriální kultury', 'mikrobiologické kultury', 'mikrobiální kultury', 'čisté kultuře'];Metoda používaná v mikrobiologii
activity;['e-mail', 'email', 'pošta elektronická', 'elektronická pošta', 'mail', '📧', 'e-maily', 'elektronické pošty', 'internetové pošty'];Metoda posílání digitálních zpráv od autora jednomu nebo více příjemcům
activity;['desktop publishing', 'dtp', 'digitální typografii', 'stolní ediční systém'];Příprava předlohy publikace k tisku pomocí osobního počítače
activity;['šógi', 'shogi', 'japonské šachy'];Desková hra
activity;['číslo', 'mluvnické číslo', 'gramatické číslo', 'paucal', 'čísla'];Lingvistická kategorie
activity;['soudní řízení', 'proces soudní', 'soudní proces', 'soud', 'litigace', 'snažil'];Proces rozhodování sporu prostřednictvím soudu
activity;['tomografie'];zobrazovací metoda
activity;['cyklóna', 'cyklon', 'cyklón', 'cyklona', 'tlaková níže', 'extratropická cyklóna', 'cyclonic', 'cyklóny'];atmosférický jev
activity;['křížová cesta', 'křížová', 'stanice', 'via crucis'];Symbolická cesta sledující události spojené s ukřižováním Ježíše Krista
activity;['foxtrot', 'fox trot', 'tanec', 'slowfox'];Společenský tanec, hudební žánr
activity;['balzám na rty', 'jelení lůj'];Kosmetický přípravek
activity;['bitva u ipsu', 'bitva ipsus', 'ipsus'];Bitva válek diadochů z roku 301 př. n. l.
activity;['bitva u saratogy', 'bitva o saratogu', 'bitva saratogy'];Bitva americké války za nezávislost z roku 1777
activity;['bitva u rossbachu', 'bitva rossbach', 'rossbach'];Bitva sedmileté války z roku 1757
activity;['bitva u mindenu', 'bitva minden', 'minden'];Bitva sedmileté války z roku 1759
activity;['bitva u boyne', 'bitva na řece boyne', 'bitva u řeky boyne', 'bitva boyne', 'boyne'];Bitva Jakuba II. Stuarta proti Vilémovi III. Oranžskému
activity;['intertropická zóna konvergence', 'intertropická fronta', 'tropická fronta', 'tropická zóna konvergence'];Tropické pásmo nízkého tlaku vzduchu
activity;['nepřátelství', 'vendeta', 'krevní msta', 'vendetta', 'soukromé války', 'spory', 'svár'];Dlouhodobý konflikt mezi dvěma skupinami, zejména rodinami či klany
activity;['rummy', 'remy', 'žolíky'];Karetní hra
activity;['whist', 'dlouho whist', 'karetní hra', 'krátké whist'];Karetní zdvihová hra
activity;['pasiáns', 'solitaire', 'patience'];Karetní hra
activity;['baccarat', 'chemin de fer'];Karetní hra
activity;['bésigue', 'bezique', 'bezik', 'pinochle', 'penuchle', 'pinocle'];Zdvihová karetní hra
activity;['zaměstnanecké vlastnictví akcií', 'zaměstnanecké vlastnictví', 'employee stock ownership plan', 'esop', 'zaměstnanci vlastněná společnost'];Zaměstnanecký benefit
activity;['samota'];pocit
activity;['druhá křížová výprava', 'druhá kruciáta', 'venedská křížová výprava'];křížové tažení do Svaté země z let 1147 až 1149
activity;['bitva u slavkova', 'bitva tří císařů'];Bitva napoleonských válek
activity;['kontroverze', 'hádka', 'kontroverzní', 'argument', 'argumentovat', 'argumenty', 'disceptation', 'diskuse', 'soutěžení', 'spor', 'spory'];druh názorového sporu
activity;['bitva u thermopyl', 'thermopyly', 'bitva u termopyl', 'thermopyles', 'thermopylae'];Bitvy legionářů
activity;['kwanzaa'];Svátek ve Spojených státech amerických
activity;['přestřelka', 'přestřelce', 'gunfighting', 'pistolníci', 'pistolník', 'pistolníků'];Bitva mezi ozbrojenými skupinami
activity;['dokumentární film', 'dokudrama', 'film dokumentární', 'dokument', 'filmový dokument', 'dokumentární drama', 'hraný dokument', 'docudrama', 'dokumentární', 'doku-drama', 'dokumentarista', 'dokumentární seriál', 'dokumentárních filmů', 'drama dokumentární', 'infotainment'];Dokumentární žánr audiovizuálních děl rekonstruující skutečné události
activity;['odsouzení', 'soudní stanovení trestu', 'rozsudek', 'usvědčení', 'odsouzen', 'odsouzení za trestný čin', 'odsuzujícího rozsudku', 'přesvědčení', 'trestu', 'vězení'];soudní verdikt, kterým soud stanoví, že je obžalovaný vinen trestným činem
activity;['fotbal', 'kopaná', 'football', 'fotbalista', 'fotbalistka', 'fotbalová brána', 'fotbalové hřiště', '⚽', 'fotbalový', 'fotbalový tým', 'nastaveném čase', 'po prodloužení'];Kolektivní míčová hra, ve které se týmy o 11 hráčích snaží kopnout míč do soupeřovy branky
activity;['moshing', 'mosh', 'mosh pit', 'moshpit', 'slam dancing', 'slam tanec'];Taneční styl
activity;['film', 'celovečerní film', 'filmování', 'filmů', 'divadelní film', 'filmu', 'filmy', 'hlavní film', 'motion-picture', 'motion-picture zobrazit', 'motion picture', 'obrázek zobrazit', 'pohyblivého obrazu zobrazit', 'pohyblivý obraz', 'pohyblivý obrázek', 'velkou obrazovku'];Sekvence obrázků vytvářející dojem pohybu
activity;['kanasta', 'canasta', 'meld', 'košík rummy'];Karetní hra
activity;['hip hop', 'hip-hop', 'hiphop', 'hip-hop hudbu', 'hip hop umělec', 'rap', 'rap music', 'rapová skupina'];Hudební žánr
activity;['softball', 'softbal', 'softball hra'];Týmový míčový sport podobný baseballu
activity;['šachy', 'šach', 'šachista', 'šachistka', 'šachistky', 'šachová hra', 'šachový tah'];Desková hra pro dva hráče
activity;['volejbalový míč', 'volejbal'];Míč používaný na volejbal
activity;['počítačová hra', 'videohra', 'video hra', 'počítačové hry', 'konzolová hra', 'hra počítačová', 'videohry', 'elektronické zábavy', 'interaktivní hru', 'počítačových her'];Software určený k zábavě
activity;['vodní pólo', 'vodní pólista', 'vodní pólistka', 'vodní'];Míčový týmový sport hraný ve vodě
activity;['golf', 'golfové hřiště', 'zelený sport', 'golfový turnaj'];Sport, ve kterém se hráči snaží dostat míček údery holí do jamky na co nejmenší počet úderů
activity;['desková hra', 'deskové hry', 'ameritrash', 'ameritresh', 'eurohry', 'hry německého stylu', 'boardgames', 'video desková hra'];Hra, ve které je průběh hry realizován na herním plánu
activity;['kriket', 'cricket', 'hráč kriketu', 'hráčů kriketu', 'kriketový klub', 'kriketový tým'];Týmová pálkovací míčová hra
activity;['stolní tenis', 'ping-pong', 'ping pong', 'pingpong', 'stolní tenista', 'stolní tenistka', 'tenisový stůl', 'ping pongový míček'];Míčový sport
activity;['válka o španělské dědictví', 'války o dědictví španělské', 'válka o dědictví španělské', 'války o španělské dědictví'];Velká evropská válka z let 1700–1714
activity;['kankán'];francouzský výstřední tanec
activity;['virtuální realita', 'virtualita', 'virtuální prostředí', 'virtuální reality', 'virtuálním prostoru'];Počítačem generované prostředí simulující pobyt ve virtuálním prostoru
activity;['bitva v korálovém moři'];námořní bitva druhé světové války z roku 1942
activity;['aikido', 'aikidó'];Umění sebeobrany
activity;['taekwondo', 'tae kwon do', 'taekwon-do', 'tchekwondo', 'taekwando'];korejské bojové umění
activity;['referendum', 'všelidové hlasování', 'plebiscit', 'referenda', 'non-závazné referendum', 'poradní referendum'];Přímé hlasování, ve kterém se všichni vyjadřují k danému návrhu
activity;['samba'];Latinskoamerický tanec
activity;['pohlavní styk', 'soulož', 'styk', 'pohlavní akt', 'sexuální styk', 'vaginální styk', 'coitus', 'jebání', 'koitus', 'milování', 'šukání', 'lidského sexuálního chování', 'páření', 'sexuální vztah', 'coition', 'lidské sexuální aktivity', 'lidské sexuální chování', 'milostná zkušenost', 'pářit', 'sexuální akt', 'sexuální akty', 'sexuální kongres', 'sexuální vztahy', 'sexuálních aktivit', 'soucit sex', 'vaginální sex', 'živočišné znalosti'];sexuální aktivita člověka
activity;['tarantela', 'tarantella', 'tarantelle'];Lidový tanec z jižní Itálie
activity;['bitva u pydny', 'bitva pydna', 'pydna'];bitva třetí makedonské války z roku 168 př. n. l.
activity;['tanec smrti', 'danse macabre', 'totentanz'];Umělecké téma
activity;['vysílání', 'plošné vysílání', 'rozhlasové a televizní vysílání', 'broadcasting', 'broadcastingové vysílání', 'broadcastové vysílání', 'vysílání médium'];Šíření zvukového nebo obrazového signálu velké skupině příjemců
activity;['průzkum bojem', 'průzkumný ohněm'];vojenská taktika
activity;['homeopatie', 'autopatie', 'homeopatika', 'homeopatikum', 'homeopat', 'homeopatický', 'homeopatický lék'];systém alternativní medicíny založený na léčení velmi silně nařdeděnými roztoky látky, která léčené problémy způsobila
activity;['námořní válka', 'námořní boj', 'námořní bitva', 'námořní střetnutí', 'námořních bitev', 'námořních bitvách'];Boj na a pod hladinou moře, oceánu či jiných velkých vodních ploch
activity;['muzikál', 'hudební divadlo', 'hudební komedie', 'hudební', 'hudební hry', 'hudební kniha', 'hudebních komedií', 'hudebního divadla', 'muzikály'];Dílo kombinující zpěv, mluvené slovo a tanec
activity;['prank', 'kanadský žert', 'prankster', 'žert', 'praktické vtipy', 'žerty'];typ humoru
activity;['televizní program', 'televizní pořad', 'tv program', 'program', 'pořad', 'programové schéma', 'televizní show', 'televizních programů', 'tv show', 'období', 'období televize', 'televizní produkce'];Ucelená část televizního vysílání
activity;['zpravodajský pořad', 'novinky program', 'ženy zobrazit'];Pravidelně vysílaný televizní nebo rozhlasový pořad
activity;['talk show', 'talkshow', 'talk-show', 'tókšou', 'chatshow', 'televizní debata'];Televizní či rozhlasový pořad zaměřený na rozhovory s pozvanými hosty
activity;['fandango', 'fandangos'];hudba
activity;['říhání', 'říhnutí', 'eruktace', 'krknutí', 'krkání', 'ructus', 'říhat'];Únik plynů ze zažívacího traktu
activity;['touchdown', 'přistání'];Skórování v americkém fotbale
activity;['mýdlová opera', 'soap opera', 'nekonečný seriál', 'soapka', 'mýdlová opereta', 'soap oper', 'denní drama', 'sinetron', 'soap-opery'];Žánr rozhlasového nebo televizního seriálu, zabývajícího se převážně mezilidskými vztahy
activity;['tetralogie', 'filmová tetralogie'];Série o čtyřech částech
activity;['napoleonské války'];Série konfliktů mezi napoleonskou Francií a jejími rivaly na počátku 19. století
activity;['modlitba před jídlem', 'milost'];typ krátké modlitby
activity;['válečná hra', 'počítač wargame', 'stolní wargame', 'wargaming'];Strategická hra spojená s válečnými operacemi
activity;['sitcom', 'situační komedie', 'sitkom', 'sit-com', 'situačních komedií', 'televizní situační komedie'];Televizní žánr
activity;['outdoor', 'outdoorová aktivita', 'outdoorové aktivity', 'pole sportovní', 'venkovní aktivity', 'venkovní pronásledování', 'venkovní sportovní'];činnost probíhající mimo uzavřené prostory
activity;['pohádka', 'pohádky', 'pohádek'];neveršovaný epický literární žánr
activity;['vichřice', 'bouře'];typ větru v Beaufortově stupnici
activity;['gól'];fotbalová situace, při které družstvo skóruje tím, že dostane míč do soupeřovy branky
activity;['puč', 'převrat', 'státní převrat', "coup d'état", 'politický převrat', 'putsch', 'vojenský převrat', 'palácovém převratu', "převrat-d'etat", "tahy d'état", "vojenský převrat d'état"];Převzetí státní moci zájmovou skupinou osob
activity;['magnetická bouře', 'geomagnetická bouře', 'geomagnetických bouří', 'magnetické bouře'];astronomický jev
activity;['kolostomie'];chirurgický zákrok
activity;['amputace', 'amputacích', 'amputovat', 'amputována'];Odstranění periferní části těla úrazem nebo chirurgicky
activity;['netball', 'netbal', 'nohejbal'];Míčový sport
activity;['hydroponie', 'aquiculture', 'hydroponické', 'nádrž zemědělství'];Pěstování rostlin bez zeminy za pomoci živin ve vodě
activity;['balet', 'baletka', 'baletů', 'klasického tance', 'koncertní tanec', 'showdance', 'taneční divadlo'];Forma scénického tance
activity;['objetí', 'objímání', 'obejmutí', 'obejmout'];forma nonverbální komunikace
activity;['vazelina', 'vazelína', 'petrolatum', 'vaselina'];Obchodní značka směsi uhlovodíků
activity;['rock and roll', 'rock', 'rock-and-roll', "rock'n'roll", "rock 'n' roll", 'rock & roll', "rock n' roll", 'rocková kapela', 'rock´n´ro', 'rock’n’roll', 'rokenrol', 'rock n roll', "rock'n roll", 'rock-n-roll', 'rock roll', 'rocková hudba', 'rockové hudby', 'rockový hudebník'];Hudební žánr
activity;['rock and roll', 'rock', 'rock-and-roll', "rock'n'roll", "rock 'n' roll", 'rock & roll', "rock n' roll", 'rocková kapela', 'rock´n´ro', 'rock’n’roll', 'rokenrol', 'rock n roll', "rock'n roll", 'rock-n-roll', 'rock roll', 'rocková hudba', 'rockové hudby', 'rockový hudebník'];Hudební styl
activity;['bridž', 'bridge', 'contract bridge', 'smlouva most'];Karetní hra
activity;['volby', 'volba', 'elektorát', 'přímá volba', 'přímé volby', 'veřejné volby', 'volič', 'znovuzvolení', 'demokraticky zvoleného', 'lidovým hlasováním', 'volební', 'volební politiky', 'volebního procesu'];Proces, kterým je vybrán zástupce nebo zástupci obyvatelstva k vykonávání veřejné funkce
activity;['francouzsko-indiánská válka', 'francouzská a indiánská válka', 'sedmiletá válka v americe', 'francouzské a indické války'];Označení pro severoamerickou část sedmileté války
activity;['prusko-francouzská válka', 'francouzsko-pruská válka', 'franco-pruská válka'];válečný konflikt mezi Francií a Pruskem a jeho spojenci z let 1870 až 1871
activity;['korejská válka', 'korejský konflikt', 'válka koreji', 'válka na korejském poloostrově', 'válka v korei', 'válka v koreii', 'válka v koreji'];Válečný konflikt mezi Severní a Jižní Koreou a jejich spojenci z let 1950 až 1953
activity;['druhá světová válka', '2. světová válka', 'world war ii', '2. světová', '2.sv.v.', '2.světová válka', '2ww', 'druhá světová', 'ii. světová válka', 'ww2', 'wwii', 'nacistické okupace', 'world war 2'];Globální válečný konflikt 1939–1945
activity;['první světová válka', '1. světová válka', 'světová válka', 'velká válka', 'i. světová válka', 'první světová', 'ww1', 'wwi', 'druhá světová válka 1', 'válka na konci války', 'válka ukončit válku'];Globální válečný konflikt probíhající v letech 1914 až 1918
activity;['španělsko-americká válka', 'americko-španělská válka', 'španělská válka'];válečný konflikt mezi USA a Španělskem z roku 1898
activity;['krymská válka'];Válečný konflikt mezi Ruskem a koalicí Velké Británie, Francie, Osmanské říše a Sardínie z let 1853 až 1856
activity;['peloponéská válka', 'peloponnéská válka', 'peloponéské války', 'peloponnesian válka'];Válka ve starověkém Řecku
activity;['světová válka', 'světové války', 'globální válku', 'světových válek'];Válečný konflikt zasahující většinu Země na všech nebo téměř všech kontinentech
activity;['válka v zálivu', 'první válka v perském zálivu', 'válka v perském zálivu', 'operace pouštní bouře', 'operace pouštní štít', 'první válka v zálivu', 'invaze iráku do kuvajtu', 'irácká invaze do kuvajtu', 'operation desert shield', 'operation desert storm', 'válka v perském zálivu 1990 - 1991'];válečný konflikt mezi Irákem a mezinárodní koalicí vedenou USA z let 1990 až 1991
activity;['chinook', 'chinook vítr', 'chinook větry', 'sníh jedlík'];Vítr
activity;['podzemní železnice', 'dráha podzemní', 'metro', 'podzemní dráha'];Síť sloužící k útěkům otroků v USA
activity;['půst', 'postní jídlo', 'rychle'];Lidské jednání zřeknutím se potravy ap.
activity;['kolaborace', 'kolaborant', 'collaborationism', 'quislingism'];spolupráce s nepřítelem vlastním země za války
