agentive-figure;['dewlete', 'dewleta xosere'];Dewleta ke xosera, nêbestiyena dewletê da bin
cognitive-modal-description;['ateist', 'ateizm'];Template:Atheism
genetic-collective;['xanedani', 'hanedani'];Ena pele de xanedananê dınya sero melumat esto
language;['danki', 'da', 'dan'];Lısan
language;['tırki', 'tırkiyê anadoli', 'tırkiyê estanboli', 'tirki', 'tirkî', 'zonê tırki'];zıwanê do Altaykiyo
language;['peştuki', 'peştunki'];Lısan
language;['guceratki'];Lısan
language;['estonki'];Lısan
language;['macarki'];Lısan
language;['letonki'];Lısan
language;['çeki'];Lısan
language;['almanki'];Lısan
political-geographic-object;['cao federal', 'cayo federal'];Cao kı federalo
political-geographic-object;['qraliya yewbiyayiye', 'britanya', 'britanya gırd', 'britanya gırdı', 'britanyaya gırde', 'i̇ngıltere', 'united kingdom'];Yew dewleta Ewropaya
political-geographic-object;['pakıstan', 'cumhuriyetê pakıstanio i̇slami', 'pakistan'];qıtay asya dı ju dewleta
political-geographic-object;['i̇skoçyay newey', 'i̇skoçyay newe', 'i̇skoçyaya newa', 'nova scotia'];Yew dewleta qıtay Ewropaya
political-geographic-object;['luanda'];Paytextê dewleta Angolayo
political-geographic-object;['atêna', 'atina'];dewleta Yunanistani de sûke u paytexta
political-geographic-object;['brasília'];paytextê dewleta Brezîlyayo
region;['roce'];Zeman
situation;['bronşit', 'nêweşiya nefes kuten'];Nêweşiya kezebe
socially-constructed-person;['deyırnuştoğ'];Merdımo ke deyıran nuşeno
socially-constructed-person;['lac', 'camêrd', 'mêrde'];Merdımo ke nerio
socially-constructed-person;['siyasetkar', 'merdumê siyaseti', 'politikawan'];Politikwan
socially-constructed-person;['tarixwan', 'verêner'];Keso kı tarixa meşğul beno
socially-constructed-person;['malım', 'musnaoğ', 'malım, mıelım, xoce, xoca'];Merdımo kı çiyê musneno
socially-constructed-person;['kimyager'];Merdımo ke kimya wendo
socially-constructed-person;['rocnameker'];Sernamewan
socially-constructed-person;['antrenor', 'menecerê taxıma futboli'];Keso ke taxıma futboli gureyneno
socially-constructed-person;['antrenor', 'menecerê taxıma futboli'];Qoçê taxıme
socially-constructed-person;['nuştekarê romani'];Nuştekaro ke roman nuseno
taxonomic-collective;['cıns'];Rêza taksonomiye
temporal-region;['1 temuz', '1 temmuz', '1 temmuze'];Deme
temporal-region;['1 çıle', '1 çele'];Deme
temporal-region;['2 şıbat', '2 sıbate', '2 gucige', '2 şıbate'];Deme
temporal-region;['1 tışrino peyên', 'roca ezizan', '1 tişrino peyên'];Deme
temporal-region;['25 kanun', 'gağand', '25 kanune'];Deme
temporal-region;['19 adar', '19 adare'];Deme
temporal-region;['14 nisane'];Deme
temporal-region;['24 tışrino verên', '24 tişrino verên'];Deme
temporal-region;['12 tışrino verên', '12 tişrino verên'];Deme
temporal-region;['4 temuz', '4 temmuz', '4 temmuze'];Deme
temporal-region;['24 gulane'];Deme
temporal-region;['17 keşkelun'];Deme
temporal-region;['1 tebaxe'];Deme
temporal-region;['14 heziran', '14 hezirane'];Deme
temporal-region;['29 heziran'];Deme
temporal-region;['29 keşkelun'];Deme
temporal-region;['21 heziran', '21 hezirane'];Deme
temporal-region;['1 gulane'];Deme
temporal-region;['2 adar', '2 adare'];Deme
temporal-region;['29 şıbat', '29 sıbate', '29 gucige', '29 şıbate'];Deme
temporal-region;['23 heziran', '23 hezirane'];Deme
temporal-region;['6 çele'];Deme
