activity;['རག་བི'];Rugby is an english sport.
geographical-object;['ཏའི་ཝཱན་', 'ཏའི་ཝཱན'];ཏའི་ཝཱན་
geographical-object;['བར་མུ་ཌ།', 'བར་མུ་ཌ'];བར་མུ་ཌ།
geographical-object;['ཨེན་ཊཱག་ཊི་ཀ་', 'ཨེན་ཊཱག་ཊི་ཀ'];ཨེན་ཊཱག་ཊི་ཀ་
locative-role;['ཀི་ཡ་ཊོ'];ཀི་ཡ་ཊོ, ཇཱ་པཱན།།
locative-role;['ལི་ཐུ་ནི་ཡ།'];ལི་ཐུ་ནི་ཡ ༼ Lietuva ༽
locative-role;['བལྤ་རཨིསོ', 'valparaiso'];ཁྲོམ་སྡེ།
locative-role;['རིའོ་དེ་ཞ་ནེའི་རོ་', 'rio de janeiro'];རིའོ་དེ་ཞ་ནེའི་རོ་, བཱརཱ་ཛིལ་།
phenomenon;['མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།'];མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།
physical-object;['ཁང་ཆེས་'];ཤིང་དང་ ལྕགས་ཀྱིས་ བཟོ་བཟོ་བའི་ ཁྱིམ་ནང་ གི་ཅ་ལ་ཚུ་ལུ་ཁང་ཆེས་ ཟེར་སླབ་འོང།
political-geographic-object;['ཀི་ཡ་ཊོ'];ཀི་ཡ་ཊོ, ཇཱ་པཱན།།
political-geographic-object;['བྱང་ཀོ་རི་ཡ་'];བྱང་ཀོ་རི་ཡ་(조선민주주의인민공화국, 朝鮮民主主義人民共和國)
political-geographic-object;['ནོ་ཝེ་', 'ནོ་ཝེ', 'noreg', 'norge'];ནོ་ཝེ་
political-geographic-object;['ནེ་དར་ལེནཌསི་', 'ནེ་དར་ལེནཌསི'];ནེ་དར་ལེནཌསི་
political-geographic-object;['ཇ་པཱན', 'ཇཱ་པཱན།', 'ཇཱ་པཱན', 'ཇ་པཱན་'];རྒྱལ་ཁབ ཇཱ་པཱན། 日本
political-geographic-object;['མ་ལེ་ཤི་ཡ་', 'མ་ལེ་ཤི་ཡ'];མ་ལེ་ཤི་ཡ
political-geographic-object;['བེ་ལིཛ།', 'བེ་ལིཛ', 'belize'];བེ་ལིཛ།
political-geographic-object;['སུའིཊ་ཛར་ལེན་', 'སུའིཊ་ཛར་ལེན', 'ch'];སུའིཊ་ཛར་ལེན་
political-geographic-object;['ཡུ་ནའི་ཊེཊ་ཨ་རབ་ཨེ་མི་རེཊསི་', 'ཡུ་ནའི་ཊེཊ་ཨ་ར བ་ཨེ་མི་རེཊསི'];ཡུ་ནའི་ཊེཊ་ཨ་རབ་ཨེ་མི་རེཊསི
political-geographic-object;['ཡུ་ནའི་ཊེཊ་ཀིང་ཌམ', 'ཡུ་ནའི་ཊེཊ་ཀིང་ཌམ་'];ཡུ་ནའི་ཊེཊ་ཀིང་ཌམ་
political-geographic-object;['སིཔཱེན་', 'སིཔཱེན', 'spain', 'ཨེ་སི་པན་ཡ་'];སིཔཱེན་
political-geographic-object;['སའུ་དི་ཨེ་ར་སྦི་ཡ་', 'སའུ་དི་ཨེ་ར་སྦི་ཡ'];སའུ་དི་ཨེ་ར་སྦི་ཡ་
political-geographic-object;['ཏ་ཇག་ཀིསི་ཏཱན་', 'ཏ་ཇག་ཀིསི་ཏཱན'];ཏ་ཇག་ཀིསི་ཏཱན་
political-geographic-object;['བེ་ལ་རུ་སུ།', 'བྷེ་ལ་རོ་སུ་'];བེ་ལ་རུ་སུ།
political-geographic-object;['ཛིམ་བབ་ཝེ་', 'ཛིམ་བབ་ཝེ'];ཛིམ་བབ་ཝེ་
political-geographic-object;['ཨཛར་བཡེ་ཇན།'];ཨཛར་བཡེ་ཇན།
political-geographic-object;['ཨུཛ་བེ་ཀིསི་ཏཱན་', 'ཨུཛ་བེ་ཀིསི་ཏཱན'];ཨུཛ་བེ་ཀིསི་ཏཱན་
