activity;['laboro', 'okupo', 'profesio'];Produktiva agado, servo, komerco aŭ metio por kiu oni estas regule pagata.
activity;['okupo', 'laboro', 'verko', 'profesio', 'metio', 'laborado', 'verkado', 'verkaro'];Produktiva agado, servo, komerco aŭ metio por kiu oni estas regule pagata.
agentive-figure;['banko', 'bankisto', 'bankoficisto', '🏦'];Financa instituo, ĉe kiu oni povas lui monon (por kio pagendas interezo) aŭ enmeti monon (por kio oni ricevas interezon).
agentive-physical-object;['sciuredoj', 'sciuro', 'sciuredo', 'sciuridae'];de mamuloj el la ordo de ronĝuloj, kun dika, hirthara vosto, kiun ili sidante tenas rekta post la dorso, vivantaj sur arboj k manĝantaj i.a. nuksojn
agentive-physical-object;['ino', 'ina sekso', 'inseksa organismo', 'virino', 'femalo', 'inbesto', 'ineco', 'inoj'];Plenkreska homo apartenanta al tiu sekso kiu generas ovulojn kaj naskas infanojn.
agentive-physical-object;['tritiko', 'triticum', 'triticum aestivum'];Plantaĵo el la genro tritiko, el la familio poacoj
agentive-physical-object;['anuroj', 'rano', 'anura', 'anuro', '🐸'];de senvostaj vertebruloj el la klaso de amfibioj, ordo de anuroj, similaj al bufo, sed kun longaj postaj kruroj, senveruka haŭto k kun dentoj
agentive-physical-object;['leono', 'leonino', 'virleono', 'afrika leono', 'panthera leo', '🦁'];Granda felido (Panthera leo) kies masklo surhavas karakterizan kaphararon, precipe vivanta en Afriko sed ankaŭ en Azio kaj pli frue ankaŭ en Eŭropo.
cognitive-event;['sonĝo'];Dumdormaj vidataĵoj.
cognitive-event;['timo', 'timego', '😨'];Emocio spertata kiam oni antaŭsentas specifan doloron aŭ danĝeron.
collection;['ekspozicio', 'ekspozicioj'];Granda publika montrado de objektoj aŭ produktoj.
dependent-place;['dekstre'];Direkto aŭ flanko kontraŭa al la maldekstra. Kiam iu tenas siajn manojn malfermaj, kun la platoj orientitaj al la malproksimo antaŭ si, la indekso kaj la polekso ne formas "L"-on en tiu direkto.
functional-matter;['gastronomio', 'kuirarto', 'kulinara arto'];specifa aro de kuiradaj metodoj kaj tradicioj, ofte ligita kun loko
functional-matter;['kuirarto', 'kulinara', 'kulinara arto', 'kuir-arto', 'kuireco'];specifa aro de kuiradaj metodoj kaj tradicioj, ofte ligita kun loko
