abstract-quality;['personalidad', 'perfil', 'caracter', 'carácter', 'personalidades'];Concepto en psicología
abstract-region;['polinomio', 'multinomial', 'polinomios', 'expresión polinómica', 'función polinómica', 'polinomio multivariante'];Expresión matemática constituida por una suma finita de productos entre variables y constantes
abstract-region;['polinomio mónico', 'polinomio normado', 'polinomio unitario'];Polinomio de una variable en el que el coeficiente del término de mayor grado vale 1
abstract-region;['polinomio cuadrático', 'función cuadrática', 'funcion cuadratica', 'polinomio cuadratico', 'funcion cuadrática', 'funcion polinomica de grado 2', 'funcion polinómica de grado 2', 'funciones cuadráticas', 'función cuadratica', 'función polinómica de grado 2', 'polinomios cuadraticos', 'polinomios cuadráticos', 'polinomio de segundo grado'];Función polinómica de grado 2
abstract-region;['polinomio cuadrático', 'función cuadrática', 'funcion cuadratica', 'polinomio cuadratico', 'funcion cuadrática', 'funcion polinomica de grado 2', 'funcion polinómica de grado 2', 'funciones cuadráticas', 'función cuadratica', 'función polinómica de grado 2', 'polinomios cuadraticos', 'polinomios cuadráticos', 'polinomio de segundo grado'];función polinómica de una o más variables en la que el término más alto es de segundo grado
abstract-region;['binomio', 'binomio al cuadrado', 'cuadrado de un binomio', 'el cuadrado de un binomio', 'binomios'];Expresión algebraica formada por la suma de dos monomios
abstract-region;['producto', 'producto matemático', 'productorio', 'multiplicatoria', 'multiplicatorio', 'pitatoria', 'producto infinito', 'productoria', '∏'];Resultado de una multiplicación
abstract-region;['escalar', 'magnitud escalar', 'magnitudes escalares'];Tipo de magnitud física
abstract-region;['producto vectorial', 'producto cruz', 'producto vector', 'producto vectorial de gibbs', 'cruzar producto', 'vector producto'];Operación matemática con dos vectores
activity;['cultivo', 'cultivo microbiológico', 'cultivo bacteriano', 'siembra', 'cultivo líquido', 'cultivo microbiano', 'cultivo puro'];Método utilizado para la proliferación de bacterias en un medio óptimo
activity;['rugby', 'rugbi', 'fútbol-rugby', 'rugby union', 'fútbol rugby', 'rugby a 15', 'rugby fútbol', 'rugger'];Deporte de equipo
activity;['acupresión', 'shiatsu', 'digitopuntura', 'acupresion', 'acupresura', 'digitopresion', 'digitopresión', 'masaje japones', 'masaje japonés', 'g-jo', 'puntos'];Terapia física alternativa de origen japonés.
activity;['acupuntura', 'acupuntor', 'acupuntura china', 'stylostixis'];Forma pseudocientífica de medicina alternativa proveniente de la medicina tradicional china en la que se insertan agujas en el cuerpo.
activity;['correo electrónico', 'e-mail', 'email', 'correo-e', 'correo', 'emilio', 'correo electronico', 'mensaje electronico', 'mensaje electrónico', 'correos electrónicos', 'e-mails', 'e mail', 'carta electronica', 'carta electrónica', 'correl', 'correo-e.', 'correo e', 'correo web', 'correos electronicos', 'direccion de correo electronico', 'direccion de correo electrónico', 'direccion electronica', 'dirección de correo electrónico', 'dirección electrónica', 'e mailing', 'e mails', 'mail', 'mensaje de correo electronico', 'mensaje de correo electrónico', 'web mail', 'correo de internet'];Servicio de red anterior a internet para enviar y recibir mensajes y archivos
activity;['producción', 'produccion', 'produccion economica', 'produccion económica', 'producción económica', 'productor', 'productor economico', 'productor económico'];Actividad económica
activity;['11-plus', 'eleven plus exam', '11 +', 'eleven-plus', 'once más', 'once más examen'];school test in England and Northern Ireland
activity;['guerra de troya', 'la guerra de troya', 'caída de troya'];Guerra mitológica
activity;['go', 'wei qi', 'atari', 'baduk', 'igo', 'juego de go', 'ojo', 'regla del ko', 'weiqi', '囲碁', 'ir partido'];Juego de mesa para dos jugadores
activity;['shogi', 'shōgi', 'ajedrez japones', 'ajedrez japonés', 'shougi', '☖', '☗'];Ajedrez Japonés
activity;['aviso legal', 'disclaimer', 'renuncias'];Mensaje de advertencia sobre los derechos del lector
activity;['número', 'número gramatical', 'morfema de número', 'numero', 'morfema de numero', 'numero gramatical', 'paucal'];Rasgo gramatical que indica la cantidad del referente de un sintagma o predicación
activity;['juicio', 'proceso', 'juicio oral', 'juicios', 'pleito', 'pleito legal', 'caso criminal'];Contenido material de un proceso jurisdiccional
activity;['métrica', 'metro', 'cadencia', 'medida', 'ritmo', 'metrica', 'metrica poetica', 'métrica española', 'métrica poética', 'metrica espanola', 'metrica española', 'metrica poética', 'métrica espanola', 'versificacion', 'versificación', 'metro cuantitativo', 'verso cuantitativo'];Estructura rítmica de un verso
activity;['canonización', 'beatificación', 'canonizado', 'canonizar', 'canonizacion', 'canoniza', 'canonizaciones', 'proceso canónico'];Acto mediante el cual la Iglesia católica declara como santo a una persona fallecida
activity;['vía crucis', 'estaciones de la cruz', 'viacrucis', 'estaciones', 'via crucis', 'pasion', 'pasión', 'pasion de cristo', 'pasion de jesucristo', 'pasion de jesus', 'pasión de jesus', 'pasion de jesús', 'pasión de jesucristo', 'camino de la cruz'];Recorrido Católico de Jesús cargando la Cruz
activity;['beatificación', 'beatificacion', 'beatificada', 'beatificado'];Reconocimiento concedido por la Iglesia católica a un difunto
activity;['revolución mexicana', 'revolución mejicana', 'revolucion mexicana', 'guerra civil mexicana', 'la revolucion mexicana', 'revolucion de mexico', 'revolución de 1910', 'la revolución mexicana', 'revolución de méxico', 'la revolucíon mexicana', 'revolucion de 1910', 'revolución de mexico'];Guerra civil desarrollada en México entre 1910 y 1928
activity;['fox-trot', 'foxtrot', 'fox', 'fox trot', 'fox trots', 'two step', 'two-step', 'slowfox'];Popular baile estadounidense de comienzos del S XX
activity;['vals', 'valse', 'waltz', 'valses'];Baile de salón a ritmo lento
activity;['batalla de maratón', 'maratón', 'batalla de maraton'];Enfrentamiento de Atenienses y Persas que definió el resultado de la Primera Guerra Médica
activity;['batalla de rossbach', 'rossbach'];Batalla de la Guerra de los Siete Años
activity;['la batalla de maldon', 'batalla de maldon', 'maldon'];Poema anónimo anglosajón
activity;['batalla de gettysburg', 'gettysburg'];Desarrolló alrededor del pueblo de Gettysburg, Pensilvania
activity;['enemistad', 'feudo', 'pelea', 'vendetta', 'animosidad', 'guerra privada'];Relación contraria a la amistad, basada en un antagonismo o desacuerdo extremo
activity;['backgammon', 'chaquete', 'tablas reales', 'chanchullo', 'juego de tablas', 'tavli'];Juego de mesa
activity;['cortometraje', 'corto', 'cortometrajes', 'cortometraje animado', 'tema corto', 'dos reeler'];Producción audiovisual o cinematográfica con una duración menor a 30 minutos
activity;['piaffe'];Forma artificial o antinatural de marcha de un caballo
activity;['batalla de okinawa', 'operación iceberg', 'operacion iceberg', 'okinawa campaña'];Campaña Militar en el Frente del Pacífico en la Segunda Guerra Mundial
activity;['rummy'];Juego de mesa
activity;['cribbage'];Juego de cartas
activity;['francisco lópez alfaro', 'francisco javier lopez alfaro', 'francisco javier lópez alfaro', 'francisco lopez alfaro'];Futbolista español
activity;['cinquillo', 'sevens'];Juego de naipes.
activity;['solitario', 'solitario de cartas', 'paciencia'];Juego de naipes
activity;['bacará', 'bacarrá', 'chemin de fer', 'bacara', 'bacarra'];Juego de cartas
activity;['beso', 'ósculo', 'buss', 'besar', 'besucador', 'besucar', 'besucon', 'besucón', 'besuqueador', 'besuquear', 'besuqueo', 'osculo', 'besos'];Acto de presionar los labios contra una superficie
activity;['extremaunción', 'últimos ritos', 'sacramento de la unción de los enfermos', 'unción de enfermos', 'unción de los enfermos', 'unción de los enfermos en la iglesia católica'];Sacramento de la Iglesia católica. forma de unción religiosa en beneficio de una persona enferma, practicada por la iglesia católica
activity;['extremaunción', 'últimos ritos', 'sacramento de la unción de los enfermos', 'unción de enfermos', 'unción de los enfermos', 'unción de los enfermos en la iglesia católica'];Los últimos ritos, en el cristianismo son las últimas oraciones y ministraciones dadas a un individuo de fe, cuando es posible, poco antes de la muerte.
activity;['confirmación', 'confirmacion', 'sacramento de la confirmacion', 'sacramento de la confirmación'];Sacramento católico
activity;['damas', 'corrientes de aire', 'dama', 'juego de damas'];Juego de mesa para dos contrincantes
activity;['datación por radiocarbono', 'datación por c-14', 'datacion con carbono 14', 'datacion por radiocarbono', 'datación con carbono 14', 'fechamiento por radiocarbono', 'carbono-14', 'datación por carbono', 'años de radiocarbono', 'carbono 14', 'carbono fechado', 'datación c14', 'fecha de radiocarbono', 'la datación por radiocarbono', 'radio datación por carbono', 'radiocarbono data'];Técnica para determinar la edad de materiales orgánicos
activity;['rayuela', 'infernáculo', 'bebeleche', 'cascayu', 'charranca', 'coxcojilla', 'coxcojita', 'golosa', 'luche', 'sambori', 'tejo', 'txingo', 'tángara', 'xarranca', 'ziriguizo', 'avion', 'avión', 'tangara'];Juego infantil
activity;['votación', 'voto', 'boleta electoral', 'votacíon', 'elección', 'papeleta electoral', 'boletas electorales', 'papeleta', 'papeletas', 'tarjeta electoral', 'votacion', 'votada', 'votado', 'votante', 'voto popular', 'un hombre, un voto', 'votador', 'papeleta de votación', 'papeleta mariposa', 'votantes'];Método por el cual un grupo toma una decisión o expresa una opinión
activity;['votación', 'voto', 'boleta electoral', 'votacíon', 'elección', 'papeleta electoral', 'boletas electorales', 'papeleta', 'papeletas', 'tarjeta electoral', 'votacion', 'votada', 'votado', 'votante', 'voto popular', 'un hombre, un voto', 'votador', 'papeleta de votación', 'papeleta mariposa', 'votantes'];Documento que manifiesta el sentido del voto de un votante en un proceso electoral
activity;['eucaristía', 'cena del señor', 'comunión', 'santísimo sacramento', 'liturgia eucarística', 'sacramento de la eucaristía', 'santo sacramento', 'cena del senor', 'communio', 'comulgar', 'comunion', 'eucaristia', 'eucaristico', 'eucaristía católica', 'eucaristía en la iglesia católica', 'eucarístico', 'eucharistia', 'eucharistía', 'liturgia eucaristica', 'sacramento de la comunion', 'sacramento de la comunión', 'santa cena', 'santisimo', 'santisimo sacramento', 'santisimo sacramento del altar', 'santísimo', 'santísimo sacramento del altar', 'fracción del pan', 'santo sacrificio', 'viatico', 'viático', 'sacramento eucarístico', 'sagrada eucaristía', 'comulgante', 'comulgantes', 'preciosísima sangre', 'sacramento', 'sagrada comunión'];Rito cristiano
activity;['eucaristía', 'cena del señor', 'comunión', 'santísimo sacramento', 'liturgia eucarística', 'sacramento de la eucaristía', 'santo sacramento', 'cena del senor', 'communio', 'comulgar', 'comunion', 'eucaristia', 'eucaristico', 'eucaristía católica', 'eucaristía en la iglesia católica', 'eucarístico', 'eucharistia', 'eucharistía', 'liturgia eucaristica', 'sacramento de la comunion', 'sacramento de la comunión', 'santa cena', 'santisimo', 'santisimo sacramento', 'santisimo sacramento del altar', 'santísimo', 'santísimo sacramento del altar', 'fracción del pan', 'santo sacrificio', 'viatico', 'viático', 'sacramento eucarístico', 'sagrada eucaristía', 'comulgante', 'comulgantes', 'preciosísima sangre', 'sacramento', 'sagrada comunión'];Sacramento de la Iglesia católica
activity;['iglesias bautistas', 'baptistas', 'iglesia bautista', 'bautistas', 'iglesia baptista', 'bautisita', 'bautismo', 'cristiano baptista', 'evangelismo bautista', 'iglesias baptistas', 'religión bautista', 'bautista', 'ministro bautista'];Denominación cristiana protestante
activity;['circo', 'artista de circo', 'artes circenses', 'arte circense', 'circense', 'circo ambulante', 'circos'];Persona que actúa en un circo
activity;['tramontana', 'tramontane', 'tramuntana', 'viento de tramontana'];Viento
activity;['coitus interruptus', 'coito interrupto', 'marcha atrás', 'onanismo', 'coito interrumpido', 'interrupción del coito', 'marcha atras', 'extracción', 'retirada método'];Método anticonceptivo
activity;['polémica', 'controversia', 'polemica'];Práctica de causar disputas y controversias en diversos campos discursivos
activity;['soledad'];Estado de seclusión o aislamiento de una persona
activity;['administración concursal', 'administración judicial', 'suspensión de pagos', 'administración temporal', 'tutela concursal', 'quiebra', 'receptor'];procedimiento aplicado por los acreedores para recuperar la deuda contraída
activity;['primera cruzada'];Conflicto armado
activity;['segunda cruzada'];Conflicto armado
activity;['tercera cruzada', 'cruzada de los reyes', 'iii cruzada'];Conflicto armado por el control de jerusalen
activity;['sexta cruzada'];Comenzó en 1228, tan sólo siete años después del fracaso de la Quinta Cruzada, y fue un nuevo intento de recuperar Jerusalén
activity;['séptima cruzada', 'septima cruzada'];Campaña militar liderada por Luis IX de Francia entre 1248 y 1254
activity;['quinta cruzada'];Conjunto de acciones militares provenientes de Europa Occidental para retomar Jerusalén y el resto de Tierra Santa
activity;['pas de deux'];Término de Ballet
activity;['batalla de austerlitz', 'austerlitz', 'batalla de los tres emperadores'];Enfrentamiento bélico durante las guerras napoleónicas
activity;['batalla de platea', 'platea'];Batalla de la segunda Guerra Médica
activity;['disputa', 'conflicto', 'diferencia', 'discusión', 'querella', 'repunta', 'conflicto interpersonal', 'contencioso', 'altercado', 'conflictos', 'confrontacion', 'diferencia de opinión'];Situación en que dos o más individuos con intereses contrapuestos entran en confrontación, oposición o emprenden acciones mutuamente antagonistas
activity;['guerra irán-irak', 'guerra entre irán e irak', 'batallas de la guerra irán-iraq', 'batallas de la guerra irán iraq', 'guerra de irán-irak', 'guerra de irán-iraq', 'guerra irak-irán', 'guerra irak irán', 'guerra irano-iraqui', 'guerra irano-iraquí', 'guerra irano iraqui', 'guerra irano iraquí', 'guerra irán-iraq', 'guerra irán irak', 'invasion de iran por parte de irak', 'invasion de iran por parte de iraq', 'invasión de irán por parte de irak', 'batallas de la guerra irán irak', 'guerra de irán irak', 'batallas de la guerra iran-iraq', 'batallas de la guerra iran iraq', 'guerra de iran-iraq', 'guerra de iran iraq', 'guerra de irán iraq', 'guerra irak-iran', 'guerra irak iran', 'guerra iran-irak', 'guerra iran-iraq', 'guerra iran irak', 'guerra iran iraq', 'guerra irán iraq', 'invasion de irán por parte de irak', 'invasion de irán por parte de iraq', 'invasión de iran por parte de irak', 'invasión de iran por parte de iraq', 'invasión de irán por parte de iraq', 'irán-iraq war'];Conflicto Belico en Oriente Medio
activity;['controversia', 'discusión', 'bronca', 'pelea', 'polémica', 'riña', 'disputa', 'lid', 'pendencia', 'quimera', 'controversial', 'controversias', 'desavenencia', 'argumentando', 'argumento', 'argumentos', 'disceptation', 'lucha'];Discusión de opiniones contrapuestas
activity;['sombras chinescas', 'espectáculo de sombras', 'teatro de sombras', 'sombra chinesca', 'galanty espectáculo', 'juego de sombras', 'sombra espectáculo'];Juego popular basado en un efecto óptico
activity;['performance', 'actuación', 'presentación', 'representación', 'presentación artística', 'ejecución', 'f', 'función', 'interpretación', 'presentación publica', 'realización', 'sesión', 'presentacion', 'presentacion artistica', 'presentación pública', 'realizar', 'realizó'];Evento de artes escénicas
activity;['batalla de las termópilas', 'termópilas', 'las termópilas', 'termopilas', 'batalla de las termopilas', 'guerra de las termopilas', 'guerra de las termópilas'];Enfrentamiento bélico entre griegos y persas
activity;['huelga de hambre', 'huelgas de hambre'];Herramienta de lucha no violenta
activity;['kwanzaa', 'cuansa', 'cuánsa', 'kwaanza', 'quanza'];Fiesta secular de los afroestadounidenses y africanos
activity;['western', 'película del oeste', 'wéstern', 'cine wéstern', 'película de vaqueros', 'cine de vaqueros', 'cine del oeste', 'películas de vaqueros', 'pelicula del oeste', 'peliculas del oeste', 'películas del oeste', 'ficcion del oeste', 'ficción del oeste', 'pelicula de vaqueros', 'peliculas de vaqueros', 'westerns'];Género cinematográfico
activity;['western', 'película del oeste', 'wéstern', 'cine wéstern', 'película de vaqueros', 'cine de vaqueros', 'cine del oeste', 'películas de vaqueros', 'pelicula del oeste', 'peliculas del oeste', 'películas del oeste', 'ficcion del oeste', 'ficción del oeste', 'pelicula de vaqueros', 'peliculas de vaqueros', 'westerns'];Género de ficción
activity;['dibujo animado', 'dibujos animados', 'animación tradicional', 'cómic', 'historieta', 'animacion 2d', 'película de animación tradicional', 'animacion tradicional', 'animación 2d', 'animatic', 'dibujos animado', 'dibujos de animación', 'serie animada', 'serie de animacion', 'serie de animación', 'serie de television animada', 'serie de televisión animada', 'comedia animada', 'película de animación', 'toon'];Secuencia de animación que se obtiene dibujando a mano cada uno de los fotogramas que la constituyen
activity;['documental', 'docudrama', 'película documental', 'cine documental', 'reportaje', 'docu-drama', 'pelicula documental', 'documentales', 'serie documental', 'docu drama', 'documental dramatico', 'documental dramático', 'película de montaje', 'series documentales', 'documentalista', 'drama documental', 'información y entretenimiento', 'películas documentales'];Género de cine, radio y televisión
activity;['sentencia', 'condena', 'sentencia condenatoria', 'juicio', 'pena', 'punición', 'veredicto condenatorio', 'sentencia judicial', 'condena penal', 'condenas', 'frase'];Resolución judicial dictada por un juez o tribunal
activity;['sentencia', 'condena', 'sentencia condenatoria', 'juicio', 'pena', 'punición', 'veredicto condenatorio', 'sentencia judicial', 'condena penal', 'condenas', 'frase'];Veredicto que resulta cuando una corte encuentra culpable a un acusado
activity;['fútbol', 'balompié', 'futbol', 'balón-pie', 'pambol', 'futbol soccer', 'fútbol soccer', 'balompedista', 'balompie', 'balompédico', 'balonpie', 'balonpié', 'balón pié', 'campo de futbol', 'campo de fútbol', 'cancha de futbol', 'cancha de fútbol', 'duracion de un partido de futbol', 'duracion de un partido de fútbol', 'duración de un partido de futbol', 'duración de un partido de fútbol', 'foot-ball', 'foot ball', 'football', 'furbo', 'futbol 11', 'futbol asociacion', 'futbol asociación', 'futbol asociado', 'futbol de asociacion', 'futbol de asociación', 'futbolero', 'futbolista', 'futbolistas', 'fútbol 11', 'fútbol asociacion', 'fútbol asociación', 'fútbol asociado', 'fútbol de asociacion', 'fútbol de asociación', 'jugador de fútbol', 'liga de fútbol', 'soccer', 'tiempo de descuento', 'equipo de fútbol', 'futbolista asociación'];Deporte de equipo jugado entre dos conjuntos de once jugadores cada uno
activity;['economía de fichas', 'economia de fichas'];técnica psicológica de modificación de la conducta
activity;['película', 'film', 'filme', 'cine', 'producción', 'películas', 'pelicula', 'obra cinematografica', 'peliculas', 'filmes', 'films', 'largometraje', 'largometrajes', 'obra cinematográfica', 'realizacion de cine', 'realización de cine', 'filmaciones', 'filmación', 'obras cinematograficas', 'obras cinematográficas', 'peli', 'pelicula cinematografica', 'pelicula cinematográfica', 'pelicular', 'peliculero', 'peliculon', 'peliculón', 'película cinematografica', 'película cinematográfica', 'imagen en movimiento', 'gran película', 'imágenes en movimiento', 'motion-picture show', 'movimiento se muestra la imagen', 'muestra la imagen', 'pantalla grande', 'película teatral'];Secuencia de imágenes que dan sensación de movimiento y narran una historia o un hecho real
activity;['snooker', 'billar', 'billar ruso', 'billar inglés', 'esnúquer', 'jugador billar'];Juego de billar
activity;['hip hop', 'rap', 'hip-hop', 'música hip hop', 'hiphop', 'historia del hip-hop', 'historia del hip hop', 'cultura hip hop', 'hh', 'hip hop music', 'historia del rap', 'historia hip hop', 'movimiento hip hop', 'movimiento urbano', 'musica hip hop', 'salto de cadera', 'música hip-hop', 'música rap', 'artista hip hop', 'grupo de rap'];Género musical y artístico
