abstract-region;['aldagai estokastiko', 'zorizko aldagai', 'aldagai aleatorio', 'ausazko aldagai'];Lagin-espazioko puntu bakoitzari zenbaki erreal bat esleitzen dion funtzioa. balio bakoitzari probabilitate jakin bat dagokio.
abstract-region;['biderketa bektorial', 'bektore biderkadura', 'biderkadura bektorial'];Hiru dimentsioko bektore-espazio batean definitzen den eragiketa bitarra, zeinen emaitza ezaugarri hauek dituen bektorea baita: modulua bektoreen moduluen eta haiek osatutako angeluaren sinuaren biderkadura da, eta norabidea bektoreek osatutako pl...
abstract-region;['multiplo komun txikien', 'multiplo komunetako txikien', 'multiplo komun(etako) txikien', 'm.k.t.'];Zenbaki oso batzuk emanik, zenbaki horien guztien multiploa dena, eta aldi berean multiplo posibleen artean zenbaki positibo txikiena.
abstract-region;['fourierren serie'];[FORMULA] formako serie trigonometrikoa, non koefizienteak formula hauen bidez lortzen diren: [FORMULA]. [FORMULA]. [FORMULA] Fourierren serieak erabiltzen dira fisika matematikoan funtzio periodiko bat funtzio trigonometrikoen batura gisa adieraz...
abstract-region;['berretura-serie'];Aldagai baten berreturak dituen seriea
activity;['monmoutheko gudua'];Ameriketako Estatu Batuen Independentzia Gerrako gudu bat, 1778ko ekainaren 28an gauzatua
activity;['tropiko arteko konbergentzia eremua', 'konbergentzia-zona intertropikal', 'kzit', 'take'];Bi hemisferioetako alisioek bat egiten duten eremu estua, ekuatoretik gertu
activity;['karbono-14 bidezko datazioa', 'karbono 14', 'erradiokarbono-datazio', 'karbono-14', 'karbono-14aren bidezko datazio'];Karbonodun materialak datatzeko karbonoaren C-14 isotopo erradioaktiboaren desintegrazioaz baliatzen den sistema.
activity;['austerlitzeko gudua', 'hiru enperadoreen gudua', 'austerlitzeko bataila'];Napoleondar Gerretako gudua
activity;['mamografia'];Ugatzen erradiografia
activity;['harmattan'];Afrikako mendebaldean, ipar-ekialdetik edo ekialdetik jotzen duen haize lehorra. Saharatik etorri ohi da eta hautsa eraman ohi du
activity;['futbol', 'futbola', 'futbolari', 'zangobaloi'];Taldekako kirol bat, hamaikana jokalariko bi talderen artean baloi esferiko batekin jokatua
activity;['film', 'zine', 'zinema', 'pelikula', 'filma', 'filmak', 'filme'];Istorio bat azaltzen duen zinema-lana
activity;['aikido', 'aikidō'];Japoniar arte martziala
activity;['linimentu'];Ukendua bezain lodia ez den prestakin farmazeutikoa, eszipiente gisa koipeak eta baltsamoak dituena. Erabilera topikoa du eta igurtziak emanez erabiltzen da
activity;['karman metodo'];Haurdunaldia eteteko teknika, anestesiarik gabekoa eta aspiragailu-moduko kanula bat erabiltzen duena. Haurdunaldiaren hasieran bakarrik erabil daiteke
activity;['diatermia'];Maiztasun handiko korronteak erabiltzen dituen aplikazio lokaleko terapia. Korronteek ehunen barnean beroa sorrarazten dute
activity;['pronostiko'];Gaixotasun edo zauri baten larritasunari eta bilakaerari buruzko iritzia
activity;['plasmaferesi'];Prozedura terapeutikoa, pertsonari plasma-kantitate jakin bat erauzi eta gero odolaren zelulak, bereziki globulu gorriak, atzera sartzean datzana
activity;['fandango', 'pandango'];Dantza folklorikoa
activity;['tronpen lotura', 'tronpen ligadura'];Falopioren tronpak lotzean datzan metodo antikontzeptibo itzulezina
activity;['kolostomia'];Uzki artifizial bat egiteko kolonetik azaleraino irekidura bat egitean datzan ebakuntza
activity;['keratoplastia'];Kornean mentu bat egiteko edo lesio bat sendatzeko egiten den ebakuntza kirurgikoa
activity;['anputazio'];Ebakuntza bidez gorputz-adar bat edo honen zati bat gorputzetik banantzea
activity;['txekeo', 'miaketa fisiko', 'azterketa', 'mediku-azterketa', 'osasun-azterketa', 'automiaketa', 'miaketa kliniko', 'propedeutika kliniko'];Azterketa mediko sakon eta sistematikoa
activity;['ikasgai', 'eskola', 'klase', 'lezio'];ikasliburu edo ikasbide bat banatzen den zati, atal edo gai bakoitza
activity;['bigarren mundu gerra', 'bigarren mundu-gerra', 'world war ii', 'bigarren gerra mundial', 'bigarren gerrate mundial', 'bigarren gerrate mundiala', 'bigarren mundu gerratea', 'bigarren munduko gerra', 'ii. mundu gerra', 'ii. munduko gerra', 'munduko bigarren gerra'];Wikimediako argipen orri
activity;['antzezpen', 'rol-joko', 'ofizioka aritu', 'rol joko'];Norberak ohi duen jokabidea aldatu beste rol bat antzeztuz
activity;['hezkuntza', 'irakaskuntza', 'didaktika', 'heziketa', 'hezkuntza-sistema'];Irakaskuntzaren bidezko ezagutzen, balioen eta tekniken ikasketa
activity;['prediku', 'sermoi'];hitzaldi formala moral edota erlijio kontuei buruz
activity;['zorizkotze', 'ausazko laginketa', 'laginketa aleatorio', 'zorizko laginketa'];Populazio nahiz azpipopulazio batetik lagin bat erauzteko metodoa, non multzoko elementu guztiek erauziak izateko aukera bera duten.
activity;['angioplastia'];Estenosi arteriala tratatzeko teknika, zunda baten bidez egiten dena. Zundak, muturrean, gatz-disoluzio baten bidez puzten den ponpa du. horren bidez, arteria buxatua ireki egiten da
activity;['atterberg mugak'];Pikor fineko lurzoruen portaera aztertzen duen ezaugarria. Egoera plastikoaren eta erdilikidoaren artean, eta egoera plastikoaren eta erdisolidoaren artean dagoen ur-kantitatearen mugak adierazten dituena.
activity;['abeltzaintza', 'zooteknia', 'abeltzain', 'abelzaintza', 'abere hazkuntza', 'ganadu', 'abelazkuntza', 'abere', 'azienda'];Abeltzainaren bizibidea, abereak zaintzeko lanbidea edo jardunbidea
