abstract-quality;['persoonallisuus', 'luonne', 'big five'];Persoonallisuus on ajatusten, tunteiden ja käyttäytymisen muodostama kokonaisuus, joka on kullekin ihmiselle luonteenomainen ja melko pysyvä eri tilanteissa ja eri aikoina.
abstract-region;['tensori', 'muuttuja', 'tensor', 'tensor analyysi', 'tensors'];Tensori on matematiikassa tietyn tyyppinen geometrinen kokonaisuus, tai vaihtoehtoisesti yleinen suure.
abstract-region;['polynomi', 'multinomi', 'polynomit', 'polynomifunktio', 'monimuuttuja polynomi', 'multinomial'];Matematiikassa polynomi on lauseke, joka saadaan yhdestä tai useammasta muuttujasta ja vakioista yhteen-, vähennys- ja kertolaskulla, sekä positiiviseen kokonaislukueksponentin osoittamaan potenssiin korottamisella.
abstract-region;['raja-arvo', 'kohta kertymisen', 'raja', 'rajakohta'];Raja-arvo on matematiikassa arvo, jota funktio tai jono "lähestyy", kun muuttuja tai jonon indeksi lähestyy tiettyä arvoa.
abstract-region;['toisen asteen polynomifunktio', 'toisen asteen polynomi', 'kvadraattinen funktio', 'asteen polynomi', 'toisen asteen funktio'];Toisen asteen polynomi eli kvadraattinen funktio on matematiikassa polynomifunktio, jonka asteluku on 2.
abstract-region;['binomi', 'binomi-', 'binomials', 'binomisen'];Binomi on algebrassa polynomi, joka koostuu kahdesta termistä.
abstract-region;['skins'];Skins on rap-artisti XXXTentacionin vuonna kolmas studioalbumi, joka julkaistiin postuumisti puoli vuotta artistin kuoleman jälkeen 7.
abstract-region;['satunnaismuuttuja', 'satunnaismuuttujan', 'mahdollisuus muuttuja', 'satunnainen satunnaismuuttujan', 'satunnaismuuttujia', 'stokastinen muuttuja'];Satunnaismuuttuja
abstract-region;['ristitulo', 'vektoritulo', 'vektori tuote'];Ristitulo eli vektoritulo on kolmi­ulotteisessa euklidisessa avaruudessa R 3 {\displaystyle \mathbb {R} ^{3}} määritelty kahden vektorin välinen laskutoimitus, jonka merkkinä käytetään vino­ristiä ×.
abstract-region;['vapausaste', 'vapausasteita'];Tilastotieteessä vapausaste on niiden muuttujien lukumäärä, jotka voivat vaihdella.
abstract-region;['pienin yhteinen jaettava', 'p.y.j.', 'kahden luvun pienin yhteinen jaettava', 'pyj', 'lcm'];Kahden tai useamman kokonaisluvun pienin yhteinen jaettava eli pienin yhteinen monikerta, p.y.j., on matematiikassa pienin kokonaisluku, joka on tasan jaollinen kyseessä olevilla luvuilla.
abstract-region;['fourier-sarja', "fourier'n sarja", 'fourier’n sarja', 'fourierin sarja', 'fourier-kerroin', 'fourier-kertoimet', 'fourier-laajennus', 'fourier-sarjat'];Fourier’n sarja on tapa esittää jaksollinen funktio trigonometristen sini- ja kosinifunktioiden avulla äärettömänä summana eli sarjakehitelmänä.
abstract-region;['potenssisarja', 'sarjakehitelmän neliö', 'potenssisarjat'];Potenssisarja on sellainen sarjakehitelmä, joka on muotoa f = a 0 + a 1 + a 2 2 + a 3 3 + … = ∑ i = 0 ∞ a i i {\displaystyle f=a {0}+a {1}+a {2}^{2}+a {3}^{3}+\ldots =\sum {i=0}^{\infty }a {i}^{i}}.
abstract-region;['äänestysprosentti', 'äänimäärä', 'äänestysaktiivisuus'];Äänestysprosentti tarkoittaa vaaleissa äänestäneiden prosenttiosuutta kaikista äänioikeutetuista.
activity;['rugby', 'rugby football'];Rugby (engl.
activity;["shove-ha'penny", 'lanttilautapeli', 'shove-halfpenny', 'shovel board', 'shoffe-grote', "shove ha'penny", 'shove halfpenny', 'eräänlainen rahantyöntöpeli', 'lapio aluksella', "työntää ha'penny"];Lanttilautapeli
activity;['fortuna', 'bagatelle', 'baaribiljardi', 'baari biljardi'];Fortuna on lautapeli, joka koostuu kuulavarastosta, viidestä kuulasta, rampista, pistealueista ja työntökepistä.
activity;['shiatsu', 'akupainanta', 'shiatsu-hieronta', 'akupainelu', 'accupressure', 'acupressure', 'g-jo'];Shiatsu on uskomushoitoihin kuuluva japanilainen hierontamenetelmä, joka perustuu kiinalaisen akupainannan perinteeseen.
activity;['akupunktio', 'akupunktuuri', 'neulahoito', 'pistelyhoito', 'stylostixis'];Akupunktio
