abstract-quality;['persoonallisuus', 'luonne', 'big five'];Kullekin ihmiselle luonteenomainen ajatusten, tunteiden ja käyttäytymisen muodostama kokonaisuus
abstract-region;['toisen asteen polynomifunktio', 'toisen asteen polynomi', 'kvadraattinen funktio', 'asteen polynomi', 'toisen asteen funktio'];Polynomifunktio matematiikassa
abstract-region;['toisen asteen polynomifunktio', 'toisen asteen polynomi', 'kvadraattinen funktio', 'asteen polynomi', 'toisen asteen funktio'];matemaattinen funktio
abstract-region;['binomi', 'binomi-', 'binomials', 'binomisen'];matemaattinen kahdesta termistä koostuva polynomi
abstract-region;['ristitulo', 'vektoritulo', 'vektori tuote'];kahden vektorin välinen laskutoimitus
abstract-region;['fourier-sarja', "fourier'n sarja", 'fourier’n sarja', 'fourierin sarja', 'fourier-kerroin', 'fourier-kertoimet', 'fourier-laajennus', 'fourier-sarjat'];yhtälö, joka kuvaa jaksollisen funktion trigonometristen funktioiden äärettömänä summana
abstract-region;['äänestysprosentti', 'äänimäärä', 'äänestysaktiivisuus'];Äänestäneiden osuus äänioikeutetuista
activity;['fortuna', 'bagatelle', 'baaribiljardi', 'baari biljardi'];lautepeli
activity;['sähköposti', 'sähköpostiviesti', 'viesti', 'e-mail', 'e-mail-viesti', 'e-posti', 'elektoninen posti', 'maili', 'sähköinen posti', '📧', 'email', 'sähköpostiohjelma', 'sähköpostipalvelin', 'webmail', 'sähköposteja', 'internet-sähköpostin', 'sähköpostin'];Digitaalisten, yleensä kirjallisessa muodossa olevien viestien välittämistä tietokoneilla
activity;['tulvasuojelu', 'tulvantorjunta', 'tulvasuojelun', 'tulvantorjuntainfrastruktuurien', 'tulvien ehkäisyyn'];menetelmiä, joilla torjutaan tulvia tai vähennetään tulvien haittoja
activity;['troijan sota'];Antiikin Kreikan myyttinen sota
activity;['go', 'go-peli', 'go suomessa', 'mennä peli'];Kiinalainen lautapeli
activity;['oikeudenkäynti', 'rikosasiassa', 'yritti'];menettely, jossa ratkaistaan oikeusriitoja
activity;['kanonisaatio', 'kanonisointi', 'pyhäksi julistaminen', 'pyhimykseksi julistaminen', 'kanonisoida', 'pyhimykseksi', 'kanonisoitu', 'canonise'];Pyhimykseksi julistaminen
activity;['meksikon vallankumous'];Yhteiskunnallisen ja poliittisen levottomuuden aika Meksikossa 1910- ja 1920-luvuilla
activity;['foxtrot', 'fokstrotti', 'foxtrotti', 'foksi', 'foxi', 'fox-ravi', 'kettu-ravi', 'slowfox'];paritanssi
activity;['valssi', 'valse', 'valssit'];tietty 3/4-tahtinen musiikki ja tanssi, jota tanssitaan valssin tahdissa
activity;['ipsoksen taistelu', 'ipsus', 'taistelu ipsus'];Neljännen diadokkisodan taistelu
activity;['monmouthin taistelu', 'monmouthin oikeustalo', 'monmouthin oikeustalon taistelu', 'monmouth court house', 'taistelu monmouth', 'taistelu monmouth court house'];Yhdysvaltain vapaussodan taistelu
activity;['saratogan taistelu', 'saratogan taistelut', 'saratoga', 'taistelu saratoga'];Yhdysvaltain vapaussodan taistelu
activity;['teutoburgin metsän taistelu', 'teutoburgin taistelu', 'teutoburgin metsä', 'taistelu teutoburger wald', 'teutoburger wald'];Vuonna 9 jaa käyty taistelu nykyisessä Saksan Kalkriesessä
activity;['gettysburgin taistelu', 'gettysburg', 'taistelu gettysburg'];Yhdysvaltain sisällissodan taistelu
activity;['backgammon'];lautapeli
activity;['lyhytelokuva', 'lyhytfilmi', 'lyhäri', 'animaation', 'elokuva short', 'kahden rullain', 'lyhyitä aiheita', 'lyhyt aihe', 'lyhyt otsikko', 'lyhytelokuvia'];Elokuva, jonka pituus on alle sovitun rajan
activity;['okinawan taistelu', 'okinawa', 'okinawan taistelut', 'okinawa kampanja'];Toisen maailmansodan taistelu
activity;['visti', 'lyhyt visti', 'pitkä visti', 'whist'];Neljän hengen korttipeli, jossa pakkana toimii tavallinen 52-kortin pakka
activity;['kasino', 'cassino'];Korttipeli
activity;['pasianssi', 'pasianssit', 'solitaire'];Yksin pelattava korttipeli
activity;['suudelma', 'pusu', 'suukko', 'suutelu', 'suuteleminen', 'pussaaminen', 'pussaus', 'suudella', 'buss'];Huulilla koskettaminen
activity;['radiohiiliajoitus', 'radiohiilimenetelmä', 'c-14-menetelmä', 'radioaktiivinen iänmääritys', 'hiili-14-menetelmällä', 'c-14', 'c14-vuosi', 'hiili-14-ajoitus', 'hiili-14-menetelmä', 'kalibroitu vuosi', 'radiohiili', 'radiohiili-ikä', 'radiohiilivuosi', 'rcbp', 'rcybp', 'c14 dating', 'hiilen dating', 'hiili-14-dating', 'hiili-14 dating', 'hiili 14 dating', 'hiili dating', 'hiili päivätty', 'radio-hiili dating', 'radio hiilen dating', 'radiohiili ajoitettu', 'radiohiili päivämäärä'];materian ajoitus hiilen isotooppia tutkimalla
activity;['äänestys', 'äänestyslippu', 'ääni', 'äänestäminen', 'vaalilippu', 'äänestykset', 'lippuäänestys', 'vaalilippuun', 'äänestysliput'];Päätöksenteon menetelmä
activity;['äänestys', 'äänestyslippu', 'ääni', 'äänestäminen', 'vaalilippu', 'äänestykset', 'lippuäänestys', 'vaalilippuun', 'äänestysliput'];äänestyksessä käytettävä paperilappu, johon äänestäjä merkitsee kannattamansa ehdokkaan tai vaihtoehdon
activity;['baptisti', 'baptismi', 'baptistikirkko', 'baptistit', 'babtismi', 'babtisti', 'babtistit', 'baptist church', 'baptist', 'baptist ministeri'];Kristillinen protestanttinen kirkkokunta
activity;['sirkus', 'sirkustaiteilija', 'sirkusta', 'sirkukset', 'sirkuksissa'];Ammatti
activity;['pyhä öljy', 'mirha', 'mirhami', 'khrisma', 'sakramentaalinen öljy', 'myrha', 'chrism', 'chrisom', 'sakramentaalisen öljy'];Tuoksuöljy
activity;['ensimmäinen ristiretki'];Ristiretki Palestiinaan 1095–1099
activity;['toinen ristiretki'];Ristiretki Palestiinaan 1147–1149
activity;['kolmas ristiretki', '3. ristiretki'];Ristiretki Palestiinaan 1189–1192
activity;['neljäs ristiretki', 'konstantinopolin hävitys'];Ristiretki 1202–1204
activity;['kuudes ristiretki'];Ristiretki 1228–1229
activity;['seitsemäs ristiretki'];Ristiretki Egyptiin 1248–1254
activity;['viides ristiretki'];Ristiretki Egyptiin 1217–1221
activity;['austerlitzin taistelu', 'austerlitz', 'kolmen keisarin taistelu', 'taistelu austerlitz'];Napoleonin sotien taistelu
activity;['irakin-iranin sota', 'irakin–iranin sota', 'persianlahden sota', 'ensimmäinen persianlahden sota', 'irakin-iranin sodan alkuvaiheet', 'irakin iranin sota', 'irakin ja iranin sodan tausta', 'irakin ja iranin sota', 'irakin vastahyökkäykset ja sodan loppu', 'irakin – iranin sota', 'iranin-irakin sota', 'iranin hyökkäykset irakin-iranin sodan tasapelitilanteessa', 'iranin ja irakin sodassa'];Sota Irakin ja Iranin välillä 1980–1988
activity;['harmattan'];Länsi-Afrikassa ensiintyvä tuuli
