abstract-quality;['personnalité', 'problème de personnalité', 'caractère'];Combinaison de caractéristiques émotionnelles, d'attitude et de comportement d'un individu
abstract-region;['tenseur', 'analyse tensorielle', 'composantes contravariantes', 'composantes covariantes', 'vecteur contravariant', 'tenseurs'];Objet très général dont la valeur s'exprime dans un espace vectoriel
abstract-region;['polynôme', 'polynome', 'polynomial', 'algèbre polynomiale', 'polynôme dérivé', 'expression polynomiale', 'fonction polynomiale', 'multinomiale', 'polynômes'];Expression mathématique formée uniquement de produits et de sommes de constantes et d'indéterminées
abstract-region;['limite', 'critère de cauchy pour une fonction', 'limite épointée', 'passage à la limite', 'passage à la limite dans les inégalités', "point d'accumulation", 'point limite', "valeur d'adhérence", 'limiter point de'];Valeur dont s'approche l'image par une fonction d'une variable lorsque cette variable s'approche d'un élément
abstract-region;['fonction du second degré', 'courbe quadrique', 'fonction trinôme', 'polynôme du second degré', 'trinôme du second degré', 'quadratique', 'polynôme quadratique', 'fonction quadratique'];Fonction polynôme du second degré
abstract-region;['binôme', 'binome', 'binomial', 'binômes'];Expression algébrique composée de deux termes (monômes)
abstract-region;['produit', 'produit mathématique', 'pesticide', 'viande'];Résultat d'un multiplication
abstract-region;['scalaire'];Classe de grandeur physique, comportant un nombre et une unité
abstract-region;['variable aléatoire', 'variables aléatoires', 'aléatoires', 'variante', 'variable stochastique', 'variate'];Application sur l'univers en probabilité
abstract-region;['produit vectoriel', 'produit extérieur', 'division vectorielle', 'double produit vectoriel', 'traverser produit'];Opération entre deux vecteurs dans un espace euclidien orienté de dimension 3, dont le résultat est un vecteur orthogonal aux deux vecteurs
abstract-region;['séquence', 'suite', 'épisode', 'série', 'sequence', "séquence d'ouverture"];série de scènes dans une œuvre audiovisuelle en tant qu'unité narrative distincte
abstract-region;['série de fourier', 'coefficient de fourier', 'séries de fourier', 'serie de fourier', 'coefficients de fourier', 'théorème de fourier', 'coefficients fourier', 'développement de fourier', 'la série de fourier'];Principe fondamental dans l'utilisation des fonctions périodiques
activity;['culture microbiologique', 'culture', 'culture bactérienne', 'cultures bactériennes', 'culture liquide', 'culture microbienne', 'culture pure'];Méthode de multiplication des microorganismes
activity;['rugby', 'histoire du rugby', 'rugby football', 'rugbyman', 'rugbymen', 'rugbywoman', 'équipe de rugby'];Appellation générique désignant les différentes formes de rugby
activity;['grève perlée', 'ralentissement'];type de grève
activity;['billard de pub', 'bagatelle', 'jeu de bagatelle', 'bar billiards', 'billards'];Jeu de table d'intérieur dérivé du billard
