abstract-region;['iolraí', 'il'];Sa matamaitic
activity;['cath gettysburg'];clár sa tsraith theilifíse The Outer Limits
activity;['francisco lópez alfaro'];Imreoir sacair
activity;['sacar', 'sacair', 'am díobhála', 'am íoc chuige', 'comhlachas peileadóir', 'cumann peile', 'foireann sacair', 'peile', 'tar éis am breise'];spórt foirne
activity;['sacraimintí na heaglais chaitliceach'];seacht deasghnáth infheicthe, a fheiceann Caitlicigh mar chomharthaí de láithreacht Dé, ar a bhfuil: tionscnamh (baisteadh, dearbhú, Eocairist), leigheas (athmhuintearas, ungadh na ndaoine breoite) agus seirbhís (ord naofa, pósadh)
activity;['ficheall', 'fichille', 'cluiche fichille'];cluiche boird
activity;['liathróid eitpheile', 'eitpheil'];Liathróid a úsáidtear in eitpheil
activity;['scuais', 'squash', 'raicéid squash'];Spórt raicéid
activity;['cispheil', 'basketballer', 'cispheile', 'club cispheile', 'cluiche cispheile', 'fonsaí', 'liathróid cliabh'];Spórt foirne
activity;['badmantan', 'bádminton'];spórt
activity;['galf', 'gailf', 'cluiche gailf', 'tournament gailf'];spórt
activity;['cruicéad', 'cricéad', 'club cruicéad', 'cricketers', 'foireann cruicéad'];Spórt foirne
activity;['hap and leonard'];sraith theilifíse
activity;['dráma grinn suímh', 'comedies staid', 'greann staid', 'greann staide', 'sitcom', 'sitcom teilifíse', 'sitcoms', 'suí-com'];seánra teilifíse
activity;['beiriste conartha', 'bridge', 'beiriste', 'droichead chonartha'];cluiche cártaí
activity;['oliver ackermann'];ceoltóir Meiriceánach
activity;['poker', 'pócar', 'cluiche poker', 'imreoir poker'];Fine cluichí cártaí
activity;['ardoideachas', 'oideachas tríú leibhéil', 'ollscolaíocht', 'ardoideachais', 'iar-mheánscoile', 'iar-mheánscoile oideachas', 'institiúid ardléinn', 'oideachas coláiste', 'oideachas ollscoile', 'oideachas postsecondary', 'oideachas tríú leibhéal', 'postsecondary', 'scoil treasach'];oideachas ag an tríú leibhéal, mar shampla in ollscoileanna
activity;['droichead átha', 'drogheda'];Baile i gContae Lú
activity;['punc-rac', 'punc', 'an punc-rac', 'punc-raic', 'carraig punc', 'athbheochan punc', 'ceol punc', 'punkrock'];seánra ceoil
activity;['luíochán', 'eadarnaí', 'oirchill', 'ambuscade', 'ambushes', 'atá suite i fóill', 'ionsaí sneak'];oirbheartaíocht mhíleata
activity;['turgnamh', 'tástáil', 'eolaíocht turgnamhach', 'ghrúpa turgnamhach', 'turgnaimh', 'turgnamh eolaíoch', 'turgnamhacha'];Modh oibre eolaíochta
activity;['léimneach sciála', 'sci-léimneach', 'léim sciála', 'sciála-léim', 'sciála eitilt'];spórt
activity;['snámh', 'snámha', 'snámha iomaíoch'];Spórt uisce
activity;['príomh-aire na ríochta aontaithe', 'príomh-aire'];ceannaire Rialtas na Ríochta Aontaithe
activity;['sciáil trastíre', 'langlauf', 'skier tír tras', 'skiing tír tras', 'tras-tír skier'];spórt geimhridh
agentive-figure;['éideapús', 'king oedipus', 'oedipus', 'oedipus rex'];Rí miotasach
agentive-figure;['antagana', 'antigone'];Iníon Éideapúis
agentive-figure;['foireann', 'meitheal', 'buíon', 'taobh', 'fhoireann'];Grúpa daoine a bhfuil sprioc i gcoitinne acu
agentive-figure;['dragan', 'firedrake', 'dragon', 'dragons'];neach ón miotaseolaíocht
agentive-figure;['páirtí greenback', 'pháirtí greenback'];páirtí polaitíochta
agentive-figure;['chónaidhme páirtí', 'federalist páirtí', 'meiriceánach federalist páirtí', 'páirtí federalist', 'stáit aontaithe federalist páirtí'];páirtí polaitíochta
agentive-figure;['páirtí an lucht oibre', 'na breataine páirtí an lucht oibre', 'pháirtí an lucht oibre na breataine'];Páirtí polaitíochta sa Bhreatain
agentive-figure;['an páirtí sóisialach'];páirtí polaitíochta sna Stáit Aontaithe
agentive-figure;['pháirtí toirmeasc', 'toirmeasc páirtí'];páirtí polaitíochta sna Stáit Aontaithe
agentive-figure;['tír', 'stát', 'náisiún', 'saorstát', 'náisiúin', 'cine', 'comhlathas', 'pobal', 'comhlacht polaiteach', 'náisiúnta', 'res foilseacháin', 'rialtais', 'sochaí polaitiúil', 'stáit', 'stát ceannasach', 'teoiric declarative de statehood'];Limistéar tíreolaíochta
agentive-figure;['institiúid teicneolaíochta', 'polaiteicnic', 'school of engineering and applied science', 'polytechnic institiúid', 'il-cheardscoil', 'coláiste innealtóireachta', 'coláiste polytechnic', 'coláiste teicniúil', 'innealtóireacht scoil', 'institiúid polytechnic', 'oideachas innealtóireachta', 'ollscoil teicneolaíochta', 'ollscoil teicniúla', 'polytechnic', 'polytechnics', 'scoil innealtóireachta', 'technikon'];Ollscoil teicneolaíochta
agentive-figure;['coláiste', 'coláistí'];Scoil ag an dara nó tríú leibhéal
agentive-figure;['ollphéist mhara', 'péist mhara', 'nathair mhara', 'péist chon', 'ollphéist fharraige', 'nathair farraige', 'serpents farraige'];nathair mhiotaseolaíoch
agentive-figure;['creideamh', 'creidmheach', 'reiligiún', 'crábhadh', 'chreidimh', 'creideamh reiligiúnach', 'creidimh reiligiúnacha', 'reiligiúin', 'traidisiún reiligiúnach'];Duine a chreideann i rud éigin
agentive-figure;['páirtí na naitsithe', 'an páirtí naitsíoch', 'nationalsozialistische deutsche arbeiterpartei', 'nazi páirtí', 'nsdap', "náisiúnta sóisialach na noibrithe gearmáinis 'páirtí"];páirtí polaitíochta sa Ghearmáin idir 1920 agus 1945
agentive-figure;['páirtí daonlathach', 'páirtí daonlathach stát aontaithe mheiriceá'];páirtí polaitíochta sna Stáit Aontaithe
