activity;['masal'];Masal meraklı çok büük fantazialı janrasıydır.
agentive-figure;['baamsız devletlär topluluu'];Baamsız Devletlär Topluluu (rus: Содружество Независимых Государств, СНГ)
agentive-figure;['i̇ngiliz milletler topluluu'];İngiliz Milletler Toplululuu (İngiliz: Commonwealth of Nations)
agentive-figure;['evropa birlii', '🇪🇺'];Evropa Birlii — Evropa da bir devlet.
agentive-figure;['arap birlii'];Arab Birlii Arab dili: جامعة الدول العربية, Jāmiʻat ad-Duwal al-ʻArabiyya) — ekonomika hem politika birlii.
agentive-figure;['i̇slam'];İslâm - ikinci büük din.
agentive-physical-object;['zebra'];Zebra — Afrika'da yaban beygiriydir.
agentive-physical-object;['aziya kara ayısı'];Aziya kara ayısı - Aziya da Kitay Halk Respublikası, Tibet, Rusiya Poyraz Koreya, Üülen Koreya, Nepal Tailand, Yaponiya, Sibir, Keşmir, Himalaya, Sıkkım, Assam, Honşu, Kyuşu, Hokkaidō hem Sikokundada yaşeer.
agentive-physical-object;['devä'];Devä - Bir hayvan.
agentive-physical-object;['ankara tauşanı'];Ankara Tauşanı ya da Ankara Tauşamı anavatanı Ankarada Türkiye.
agentive-physical-object;['kızılkanat', 'scardinius erythrophthalmus'];Kızılkanat (Latin: Scardinius erythrophthalmus)
agentive-physical-object;['fillär'];Fillär
agentive-physical-object;['büük panda', 'ailuropoda melanoleuca'];Büük panda - Aziya da Kitay Halk Respublikasında yaşeer.
agentive-physical-object;['leopard', 'panthera pardus'];Leopard - Aziya hem Afrikada yaşeer.
agentive-physical-object;['aslan', 'panthera leo'];Aslan (Latin: Panthera leo)
agentive-physical-object;['kaplan kedisi'];Kaplan kedisi - Üülen Amerika kontinentında yaşeer.
agentive-physical-object;['liger'];Liger — Evropa, Aziya, Poyraz Amerika, Avstraliya Kontinentlärında yaşeer.Boba Aslan mamu Kaplan
agentive-physical-object;['küçük panda', 'ailurus fulgens'];Küçük Panda Latin (Ailurus fulgens).
agentive-physical-object;['şebek'];Şebek — Aziya, hem Afrika da yaşeer.
agentive-physical-object;['ayva'];Ayva — Meeva.
agentive-physical-object;['kızıl tilki', 'tilki', 'vulpes vulpes'];Kızıl Tilki — Evropa, Aziya, Poyraz Amerika, Avstraliya Kontinentlärında yaşamak.
agentive-physical-object;['eşil aaçkakan', 'picus viridis'];Eşil Aaçkakan (Latin: Picus viridis)
amount-of-matter;['bor', 'b'];Bor kasabasi Türkiyenın bir kasabasidir.
geographical-object;['kayman adaları', 'caymanlar'];Kayman Adaları - Karayip Denizi Büük Britaniyaya baalı avtonom adalar devlet.
geographical-object;['anguilla'];Anguilla - Karayip Denizi da bir adaları.
geographical-object;['üülen amerika'];Üülen Amerika — bir kоntinent, Poyraz Amerika barabar.
geographical-object;['kitay respublikası', 'tayvan'];Kitay Respublikası - bir devlet Aziyada.
geographical-object;['farer adaları'];Farer Adaları - Atlas Okeaniyası Daniya baalı avtonom adalar devlet.
geographical-object;['marşall adaları'];Marşall Adaları - Okeaniyada bir devlet.
geographical-object;['bermuda'];Bermuda - Atlas Okeaniyası da bir adaları.
geographical-object;['niderland antilleri'];Niderland Antilleri Karayip Denizi adaları vardı.
geographical-object;['kanariya adaları'];Kanariya adaları - Afrika kontinentda İspaniyaya baalı avtonom adalar devleti.
geographical-object;['falkland adaları'];Falkland Adaları - Atlas Okeaniyası Büük Britaniyaya baalı avtonom adalar devlet.
geographical-object;['saba'];Saba - Karayip Denizi da bir adaları.
geographical-object;['okeaniya'];Okeaniya — dünnädä bir Kontinent.
geographical-object;['balkan'];Balkan yarımadası yaki Balkannar — Üülen-günduusu Evropada yarımada.
geographical-object;['bonaire'];Bonaire - Karayip Denizi da bir adaları.
geographical-object;['kara deniz'];Kara deniz — Evropanın günduusu sınırlarında deniz.
geographical-object;['montserrat'];Montserrat - Karayip Denizi da bir adaları.
geographical-object;['adriatik denizi'];Adriatik denizi — üülen Evropada, İtaliya hem Balkannar arasında deniz.Var İtaliya, Grețiya, Albaniya, Horvatiya, Bosniya hem Herțegovina, Sloveniya, Çernogoriya ilen deniz sınırı.
geographical-object;['eni kaledoniya'];Eni Kaledoniya - Pasifik Okeaniyası Franțiyaya baalı avtonom adalar devlet.
geographical-object;['martinik'];Martinik - Karayip Denizi da bir adaları.
geographical-object;['sint eustatius'];Sint Eustatius - Karayip Denizi da bir adaları.
geographical-object;['sint maarten'];Sint Maarten - Karayip Denizi Niderlandya baalı avtonom adalar devlet.
geographical-object;['guadeloupe'];Guadeloupe - Karayip Denizi Franțiyaya baalı avtonom adalar devlet.
geographical-object;['amerika'];Gagauz dili : Amerika
geographical-object;['evraziya'];Evraziya — Dünnädä bir materik, angısına girer Evropa hem Aziya.
information-encoding-system;['komediya'];Komediya
information-encoding-system;['drama yaratması'];Drama yaratması
information-realization;['peyzaj'];Peyzaj o bir erin resimi, naturanın bir köşesi, ya küüyün, kasabanın bir kenarı, ani literatura yaratmanın içindeliinnän personajlarınnan baalı.
language;['altay dilleri'];Altay dilleri. Türk dilleri, Mongol dilleri, Tungus dilleri, Yapon dilleri, Koreya dilleri, Aynu dilini içinä alan bir dil aylesidir.
language;['gruz dili'];Gruz dili — Gruziyanin ofițial dili.
language;['dan dili', 'da', 'dan'];Dan dili (Dansk) — nemtä dilleri grupasından bir dil, Daniya, Grenlandiya, Farer adaları ofițial dili.
language;['bulgar dili', 'bulgarca'];Bulgar dili, tukanca - günduusu slavän grupasından bir dil, Bulgariyanın ofițial dili.
language;['türk dilleri'];Türk dilleri — Günduusu Evropadan Sibir hem Kitayın günbatısına kadar uzanan bir territoriyada laf edilän diller.
language;['türk dili'];Türk dili (Türk: Türkçe) — türk dilleri gruppasına giren dil, angisindä laf eder türk halkı.
language;['romın dili', 'romınca', 'rumınca'];Romın dili (Romınca: limba română) — günduusu latin gruppasından bir dil, Rumıniyanın ofițial dili.
language;['i̇ngiliz dili', 'britaniyaca', 'i̇ngilizce'];İngiliz dili (inglis dili, İngilizce, angliyca. İngilizce: English Language, English , İngilizce söylenişi: /ˈɪŋɡlɪʃ/) - ikinci dil hem resmî dil olarak dünya genelinde, özellikle İngiliz Milletler Topluluğu ülkeleri hem çok sayıda uluslararası örgüt tarafından da kullanılmaktadır.
language;['latin dili'];Latin dili (Latin dili: Lingua Latīna) — italik diller grupasına giren dil, angisindä laf eder vatikan.
language;['eskimos-aleut dilleri'];Eskimos-aleut dilleri — Poyraz-günduusu Rusiyadan (Çukotka) hem Poyraz Amerikanın poyrazına kadar uzanan bir territoriyada laf edilän diller.
