abstract-quality;['વ્યક્તિત્વ'];વ્યક્તિત્વ એટલે જે-તે વ્યક્તિની વર્તનશૈલી, તેની બૌદ્ધિક શક્તિઓ, અભિયોગ્યતાઓ, વિચારો, ટેવો, આવેગો, મનોવલણો અને બીજાં એવાં વિશિષ્ટ પાસાંઓના ગત્યાત્મક સંગઠનથી ઊપજેલું સુગ્રથિત સ્વરૂપ.
activity;['ઇ-મેઇલ'];ઇ-મેઇલ કે વિજાણુ પત્ર એક પત્ર વ્યવહારની આધુનિક અને ઝડપી પધ્ધતી છે.
activity;['ચક્રવાત', 'વંટોળિયો'];વાયુશાસ્ત્રમાં, ચક્રવાત અથવા વંટોળિયો એટલે પૃથ્વી જે દિશામાં ફરે છે તે જ દિશામાં બંધ, વર્તુળાકારે ગતિમાં ફરતો વાયુનો ગોળો..સામાન્ય રીતે એને પૃથ્વીના ઉત્તર ગોળાર્ધમાં વામચક્રી દિશામાં અને દક્ષિણ ગોળાર્ધમાં દક્ષિણાવર્તમાં અંદરની તરફ સર્પિલ આકારે ચકરાવો લેતા પવન તરીકે વર્ણવવામાં આવે છે.
activity;['મતદાન', 'ચૂંટણી'];મતદાન એક પદ્ધતિ છે, જેનાથી સભા કે મતદારમંડળ જેવા જૂથ પોતાનો એક નિર્ણય લે છે કે મંતવ્યને રજૂ કરે છે - મોટેભાગે આમ થવા પાછળ ચર્ચા, વાદવિવાદ કે ચૂંટણી પ્રચાર કારણભૂત હોય છે.
activity;['પ્રારંભિક જાહેર ભરણું', 'આઇપીઓ'];પ્રારંભિક જાહેર ભરણું, સામાન્ય રીતે "જાહેર ભરણું" અથવા "ફ્લોટેશન,"ના નામે જેનો ઉલ્લેખ થાય તે IPOમાં કંપની પોતાનો સામાન્ય સ્ટોક કે શેર જાહેર જનતા માટે પ્રથમ વખત જારી કરે છે.
activity;['સંઘર્ષ'];સંઘર્ષ એટલે કોઈ પણ બે અથવા વધુ ઘટકો કે એકમો વચ્ચે પ્રત્યક્ષ અથવા પરોક્ષ વિવાદની સ્થિતિ.
activity;['અસોસિએશન ફુટબોલ', 'સોકર'];અસોસિએશન ફુટબોલ ની રમત વ્યાપકપણે ફુટબોલ કે સોકર તરીકે જાણીતી છે જે ખેલાડીઓના જુથ દ્વારા રમાતી જુથ રમત છે જેમાં અગિયાર ખેલાડીઓના બે જુથો એક ગોળાકાર દડાથી આમને-સામને રમત રમે છે.
activity;['સ્નૂકર', 'snooker'];સ્નૂકર એ એક કયૂ વડે રમાતી રમત છે, જેને લીલા જાડા-ઊનના કપડાથી આચ્છાદિત વિશાળ ટેબલ પર રમવામાં આવે છે, ટેબલના ચારે ખૂણે અને દરેક લાંબા લવચીક અસ્તરોની વચ્ચે પોલાણ સાથે કોથળી હોય છે.
activity;['સોફ્ટબોલ', 'softball'];સોફટબોલ એ બેઝબોલ રમતનો એક પ્રકાર છે, જે બેઝબોલ મેદાનથી નાના મેદાન પર અને થોડા મોટા દડા સાથે રમવામાં આવે છે.
activity;['ચેસ'];ચેસને ચતુરંગ અને શતરંજના નામથી પણ ઓળખવામાં આવે છે.
activity;['બાસ્કેટબોલ', 'ટોપલી-દડો'];બાસ્કેટબોલ એ આપણા વિશ્વમાં રમાતી સૌથી વધુ જોવાતી એક અત્યંત લોકપ્રિય રમત છે.
activity;['ક્રિકેટ'];ક્રિકેટ એ બેટ અને બોલ lદ્વારા રમાતી રમત છે જે મુળ દક્ષિણ ઈંગ્લેન્ડની રમત છે.
activity;['બેઝબોલ'];બેઝબોલ, બેટ-બોલ કક્ષાની ૯-૯ ખેલાડીઓના બનેલા બે દળ વચ્ચે રમાતી એક રમત છે.
activity;['વાદળ ફાટવું'];વાદળ ફાટવું, વરસાદનું એક વરવું રૂપ છે.
activity;['તાઈકવૉન્દો'];ઢાંચો:Infobox martial art ઢાંચો:Infobox Korean name
activity;['નિસર્ગોપચાર', 'કુદરતી ચિકિત્સા'];નિસર્ગોપચાર એક વૈકલ્પિક સારવાર વ્યવસ્થા છે જે શરીરની તંદુરસ્તી જાળવવા કુદરતી ઉપચારો અને શરીરને ટકાવી રાખવા જરૂરી અસરકારક ક્ષમતા પર કેન્દ્રીત છે.
activity;['હોમિયોપેથી'];હોમિયોપેથી અથવા સમચિકિત્સાવિજ્ઞાન એ એક ચિકિત્સાવિજ્ઞાન છે, કે જેને તેના સ્થાપક ડૉ.
activity;['ચોમાસુ'];ચોમાસું ભારતીય ઉપખંડની આબોહવા પ્રમાણેની એક મુખ્ય ઋતુ છે.
activity;['મનોવિષ્લેષણ'];મનોવિષ્લેષણએ મનોવિજ્ઞાનની એક શાખા છે.
activity;['જુડો'];ઢાંચો:Infobox martial art જુડો એ આધુનિક માર્શલ આર્ટ અને યુદ્ધ રમત છે જેનું સર્જન ડો.કાનો જિગોરો દ્વારા 1882માં જાપાનમાં કરવામાં આવ્યું હતું.
activity;['લોકનૃત્ય'];સ્થાનિક લોકોમાં પ્રચલિત નૃત્યને સામાન્ય રીતે લોકનૃત્ય કહેવાય છે.
activity;['બીજું વિશ્વ યુદ્ધ'];વિશ્વ યુદ્ધ ૨, અથવા બીજુ વિશ્વ યુદ્ધ એ વૈશ્વિક લશ્કરી સંઘર્ષ હતો, જેમાં મહા શક્તિ સહિત વિશ્વના મોટા ભાગના રાષ્ટ્રોનો સમાવેશ થતો હતો.
activity;['પ્રથમ વિશ્વ યુદ્ધ'];પ્રથમ વિશ્વ યુદ્ધ અન્ય જાણીતા નામે મહાન યુદ્ધ એ એક વૈશ્વિક યુદ્ધ હતું જેનો ઉદ્ભવ યુરોપમાંથી થયો હતો.
activity;['ગલ્ફ વોર'];સામાન્ય રીતે પર્સિયન ગલ્ફ વોર ને સાદી ભાષામાં ગલ્ફ વોર તરીકે ઓળખાય છે, જે યુ.એન.
activity;['રમત-ગમત'];રમત-ગમત ની વ્યાખ્યા સામાન્યરીતે વ્યવસ્થિત, સક્ષમપણે અને કુશળતાપૂર્વક કરાતી શારીરિક પ્રવૃત્તિ તરીકે કરાય છે, જે માટે નિષ્ઠા અને નિષ્પક્ષ રમત જરૂરી છે.
activity;['માર્શલ આર્ટસ'];માર્શલ આર્ટસ અથવા લડાઇની કલાઓ એ લડાઇની સંકેતાત્મક કવાયતો અને પરંપરાઓ છે.
activity;['પશુપાલન'];પશુપાલન એ પોતાના જીવનનિર્વાહ માટે માણસો દ્વારા કરવામાં આવતી પ્રવૃત્તિ છે.
activity;['સામાજિક નિયંત્રણ'];સામાજિક નિયંત્રણ એ સમાજશાસ્ત્રનો એક ખ્યાલ છે કે જે વ્યક્તિના વર્તન પર સામાજિક કે સાંસ્કૃતિક રીતે મુકાતાં નિયમનોનો નિર્દેશ કરે છે.
activity;['ઇલેક્ટ્રોમાયોગ્રાફી'];ઇલેક્ટ્રોમાયોગ્રાફી એ કંકાલ સ્નાયુઓ દ્વારા પેદા થતી વિદ્યુત સક્રિયતાનું મૂલ્યાંકન અને મુદ્રણ કરવા માટેની તકનીક છે.
activity;['પ્રાથમિક સારવાર'];કોઇ વ્યક્તિ રોગને કારણે કે ઇજાને થવાને કારણે અસ્વસ્થ થાય તે સમયે કોઇ સારવાર માટે અપ્રશિક્ષિત વ્યક્તિ દ્વારા જે સામાન્ય ઉપાયો પ્રયોજવામાં આવે છે, એને પ્રાથમિક સારવાર કહેવામાં આવે છે.
activity;['અફવા'];અફવા એટલે કોઈ એકાદી અંશત: સાચી અથવા તદ્દન ઉપજાવી કાઢેલી ઘટના વિશે વહેતા મૂકેલા અને કર્ણોપકર્ણ ફેલાતા જતા સમાચાર.
activity;['હોકી'];હોકી ભારતની રાષ્ટિય રમત છે.
activity;['ગર્ભનિરોધ', 'કુટુંબનિયોજન'];ગર્ભનિરોધ એટલે સંભોગ કે મૈથુન પછી નર અને માદા પ્રજનન કોષોનો સંયોગ થતો રોકવાની પદ્ધતિ.
activity;['ક્ષ-કિરણો', 'ક્ષ-કિરણ'];ક્ષ-કિરણો કે રૉંજન કિરણો એ એક પ્રકારના વિદ્યુત-ચુંબકીય તરંગો છે.
activity;['હિમવર્ષા', 'બરફ'];હિમવર્ષા એ આ પૃથ્વી પર થતી એક કુદરતી ઘટના છે.
activity;['ફાંસીની સજા', 'મોતની શિક્ષા'];અપરાધની સજા તરીકે કાનુની પ્રક્રિયા દ્વારા વ્યક્તિને મારી નાખવી એ ફાંસીની સજા, અથવા મૃત્યુ દંડ છે.
