abstract-quality;['זהות אישית', 'אינדיבידואליות'];מודל סוציולוגי
abstract-region;['משתנה מקרי', 'משתנה אקראי', 'משתנה מקרי בדיד', 'משתנה מקרי רציף', 'משתנה', 'משתנה סטוכסטי', 'משתנה סיכוי', 'משתנים אקראיים'];מושג מתמטי בתורת ההסתברות
abstract-region;['טור פורייה', 'אנליזת פורייה', 'ההתרחבות הפורה', 'המקדם הפורה', 'המקדמים הפורים', 'סדרה פורה'];מושג באנליזה הרמונית (מתמטיקה)
abstract-region;['אחוז הצבעה', 'שיעור הצבעה', 'אחוז ההצבעה', 'אחוז ההצבעה בישראל', 'שיעור ההצבעה'];חלקם היחסי של המצביעים בבחירות בפועל
activity;['רוגבי', 'ראגבי', 'ראק', 'רגבי', 'כדורגל רוגבי', 'רוגבי כדורגל'];ספורט קבוצתי
activity;['שיאצו', 'אקופרסורה', 'accupressure', "g-ג'ו"];סוג טיפול ברפואה משלימה
activity;['מרד האיכרים האנגלי', 'מרד האיכרים באנגליה', 'מרד העניים האנגלי', 'מרד גדול', 'מרד של האיכרים'];מרידה נגד המלך ריצ׳רד השני, מלך אנגליה
activity;['שוגי', 'חוקי השוגי', 'שוגים'];משחק שחמט המקורו ביפן
activity;['ציקלון', 'ציקלונית'];תופעת טבע
activity;['פוקסטרוט', 'foxtrot', 'פוקס טרוט', 'שועל טרוט', 'slowfox'];ריקוד סלוני במקצב 4/4
activity;['ואלס', 'valse'];ריקוד גרמני
activity;['קרב יער טויטובורג', 'טבח וארוס', 'טבח ורוס', 'קרב הרמאן', 'קרב הרמן', 'קרב וארוס', 'קרב יער טאוטבורג', 'קרב טאוטובורג', 'קרב טויטובורג', 'קרב יער טאוטובורג', 'קרב יער טבטובורג', 'יער טויטובורגר', 'קרב על יער טויטובורגר'];קרב של שבטים גרמאניים בראשות ארמיניוס נגד הלגיונות ה17, 18 ו19, בקרב הפסידו הרומאים
activity;['קרב ווגראם', 'קרב וגראם', 'קרב wagram'];קרב בין הצבא הצרפתי לאוסטרי. חלק מן המלחמות הנפוליאוניות
activity;['רמי', 'רֶמִי\u200e'];משחק קלפים
activity;['פרנסיסקו לופס אלפרו', 'francisco lopez alfaro'];כדורגלן ספרדי
activity;['קונפירמציה', 'אישור'];אחד מטקסי הקבלה לנצרות
activity;['קרב כריות', 'מלחמת כריות'];משחק ילדים
activity;['משגל נסוג', 'שיטת משיכה', 'תלישה'];אמצעי למניעת הריון
activity;['כינוס נכסים', 'כונס נכסים', 'צו כינוס', 'לכינוס נכסים', 'לכינוס נכסים מנהליים'];הליך משפטי הכולל תפיסת נכס ושליטה בו, כך שניתן יהיה להיפרע ממנו
activity;['מסע הצלב השני', 'מסע צלב שני'];מסע צלב שיצא מצרפת ומגרמניה אל ארץ ישראל ונערך בין השנים 1147 – 1149
activity;['מסע הצלב השישי', 'מסע צלב שישי'];מסע צלב בהנהגת פרידריך השני, קיסר האימפריה הרומית הקדושה שיצא מאיטליה אל ארץ ישראל בשנת 1228
activity;['מסע הצלב החמישי', 'מסע הצלב חמישי'];מסע צלב שנמשך משנת 1217 עד 1221,
activity;['פה דה דה', 'pas de deux'];דואט בריקוד בלט בין שני רקדנים.
activity;['קבע', 'תיקון'];נקודה גיאוגרפית מזוהה
activity;['מלחמת איראן-עיראק', 'מלחמת איראן–עיראק', 'מלחמת 8 השנים', 'מלחמת איראן-עירק', 'מלחמת איראן עיראק', 'מלחמת איראן עירק', 'מלחמת אירן-עיראק', 'מלחמת אירן עיראק', 'מלחמת הערים', 'מלחמת עיראק-איראן', 'מלחמת עיראק איראן', 'מלחמת עירק-אירן', 'מלחמת שמונה השנים', 'איראן עיראק המלחמה'];מלחמה שהתרחשה בשנים 1980–1988
activity;['הופעה', 'הופעה חיה', 'ביצוע', 'לבצע', 'מצגת הציבור'];אירוע שבו אמן (שחקן, זמר, רקדן וכדומה) או קבוצה של אמנים, מציגים יצירה (או יצירות) בפני קהל
activity;['קרב תרמופילאי', 'קרב תרמופילי', 'קרב תרמופיליי', 'תרמופילאי'];קרב בין ממלכות קדומות
activity;['קוואנזה', 'קואנזה', 'kwanzaa'];חג אפרו-אמריקאי
activity;['קרנבל', 'קרניבליות', 'קרנבלים'];פסטיבל תחפושות
activity;['כדורגל', 'כַּדּוּרֶגֶל', 'גול עצמי', 'חוקי הכדורגל', 'מגרש כדורגל', 'רחבת העונשין', 'בזמן הפסקה', 'בזמן פציעות', 'התאחדות כדורגל', 'זמן הפסקה', 'לאחר זמן נוסף', 'קבוצת כדורגל'];משחק כדור
activity;['סרט', 'סרט קולנוע', 'סֶרֶט', 'סֶרֶט-קוֹלְנוֹעַ', 'הצגת קולנוע', 'כתוביות פתיחה', 'סרטי קולנוע', 'סרטים', 'הזזת תמונה', 'המסך הגדול', 'הסרט', 'מופע מרגש, תמונה', 'מופע קולנוע של', 'ראינוע', 'תכנית תמונה', 'תנועה בתמונה'];רצף תמונות המעניק רושם של תנועה
activity;['סנוקר', 'סנוקר\u200e', 'snooker', 'שחקן סנוקר'];משחק שולחן
activity;['שחמט', 'אִשְׁקוּקָה', 'מִשְׂחַק-הַמְּלָכִים', 'שַׁח', 'שַׁח-מָט', 'שַׁחְמָט', 'שַׁחְמָט\u200e', 'אישקוקה', 'אישקוקי', 'אשקוקה', 'אשקוקי', 'הפסקה', 'משחק המלכים', 'שח-מט', 'שח מט', 'משחק שחמט'];משחק לוח אסטרטגי
activity;['כדורת', 'באולינג'];משחק בו מפילים פינים באמצעות כדור
activity;['חמש אבנים', '5 אבנים', 'knucklebones', 'שקעים'];משחק ילדים
activity;['לקרוס', 'lacrosse', 'לאקרוס'];ענף ספורט קבוצתי
activity;['משחק מחשב', 'משחק וידאו', 'מִשְׂחַק וִידֵאוֹ\u200e', 'מִשְׂחַק מַחְשֵׁב\u200e', 'משחקי וידאו', 'משחקי מחשב', 'בידור אלקטרוני', 'משחק מחשב אישי', 'משחקי מחשב אישיים'];סוג של משחק וידאו
activity;['הוקי קרח', 'פסק זמן בהוקי', 'הוקי משחק'];ענף ספורט קבוצתי
activity;['בייסבול', 'כדור-בסיס', 'בייזבול', 'ביסבול', 'כדור בסיס', 'משחק בייסבול', 'שחקני הבייסבול'];משחק כדור וספורט קבוצתי
activity;['טניס', 'הספורט הלבן', 'העידן הפתוח', 'טניס שדה', 'מערכה', 'טניס דשא'];ספורט כדור עם מחבט ורשת
activity;['קפיצה למים', 'צְלִילָה'];ספורט של קפיצה או נפילה למים מרציף או מקפצה
activity;['קאן-קאן', 'קאן קאן', 'קנקן'];מחול שמוצאו בצרפת של ראשית המאה ה-19
activity;['אוטומציה', 'מיכון', '!מִכּוּן', 'אוטומט', 'אוטומטי', 'אוטומציה תעשייתית'];שימוש באבזרים מכניים או אלקטרוניים, על-מנת לבצע סדרת פעולות, ברצף מתוכנן, ללא מגע יד אדם
activity;['מידה מסומנת'];מושג מתמטי
activity;['אייקידו', 'aikidó', 'אאיקידו', 'איקידו'];אמנות לחימה יפנית אשר פותחה על ידי מוֹרִיהֶיי אוּאֶשִיבָּה
activity;['טאקוונדו', 'טאי-קוו-נדו', 'טאיקוונדו', 'טקוואנדו', 'טקוונדו', 'טוקוונדו', 'טה קוון דו', 'taekwando', 'טאיקוון-לעשות'];אמנות לחימה קוריאנית
activity;['פשיטת רגל', 'דיני חדלות פירעון', 'חדלות פרעון', 'הונאת פשיטת רגל', 'להגנה מפני פשיטת רגל', 'לפשיטת מרצון', 'פשיטות רגל', 'פשיטת רגל מרצון'];הליך חדלות הפרעון החל על חייבים שהם יחידים
activity;['חיזור', 'מחזרים'];סוג של התנהגות בבעלי חיים הקשורה לרבייה
activity;["ג'ו ג'וטסו", "ג'ו ג'יטסו", "ג'יוג'יטסו", "ג'ו-ג'וטסו", "ג'ו-ג'טסו", "ג'יו-ג'וטסו", "ג'יו-ג'יטסו", "ג'יו ג'יטסו", "ג'יוג'יצו", "ג'יו ג'וטסו", 'jujutsu', 'jiujitsu', "ג'יאו ג'יטסו"];אמנות לחימה יפנית
activity;['מנהל עסקים', 'מנהלת עסקים'];תחום ידע אינטרדיסציפלינרי במדעי החברה העוסק בתורת הניהול של ארגונים בעלי מטרות רווח
activity;['נטורופתיה', 'רפואה טבעית', 'נטורופת', 'בריאות טבעית', 'נטורופתית'];סוג טיפול ברפואה משלימה
activity;['הומאופתיה', 'הומאופתיה\u200e', 'הומיאופתיה', 'הומאופטיה', 'הומופאתיה', 'homoeopathic', 'הומיאופת', 'הומיאופתי'];שימוש רפואי-לכאורה בחומר מדולל לטיפול בחולים
activity;['כירופרקטיקה', 'כירופרקטור', 'כירופרקטורים'];סוג טיפול ברפואה משלימה
activity;['ריקוד בטן', 'מחול מזרחי', 'מחול מזרחי\u200e', 'ריקודי בטן', 'ריקוד מזרחי', 'רקדנית בטן', 'bellydancing', 'המחול du נטר'];סגנון מחול שמקורו במזרח התיכון ובצפון אפריקה
activity;['קרב טרפלגר', 'טרפלגר'];הקרב הימי החשוב באוקינוס האטלנטי. ממלחמות נפוליאון 21 באוקטובר 1805
activity;['משפט חוזר', 'למשפט חדש'];הליך משפטי
