abstract-quality;['identifikasi', 'relasi ekivalen'];Perbuatan menyamakan diri dengan seseorang
activity;['kultur mikrobiologi', 'kultur', 'budaya mikroba', 'kultur bakteri', 'kultur cair', 'kultur murni'];Tumbuhan sel di makmal
activity;['e-mail', 'surat elektronik', 'surel', 'pos-el', 'posel', 'email', 'e-pos', 'imel', 'surat-e', 'surat-e-mail', 'surat digital', '📤', '📥', '📧', '📨', '📩', 'internet mail'];(Ilmu komputer) sistem komunikasi elektronik
activity;['modulasi', 'modulation', 'dimodulasi', 'modulasi digital', 'modulator'];(Elektronik) transmisi sinyal menggunakan suatu gelombang amplitudo
activity;['metrum', 'meter', 'irama', 'nada', 'pengukur', 'rentak', 'ayat kuantitatif', 'meter puitis', 'meteran kuantitatif'];Tempo dalam musik dan sajak
activity;['kembali', 'kepulangan', 'balik'];Yang datang atau pulang ke rumah
activity;['mengabaikan', 'melalaikan', 'melayas', 'melayaskan', 'melengahkan', 'melepas', 'melupakan', 'membelakangi', 'membelakangkan', 'memberhentikan', 'membiarkan', 'membubarkan', 'memecat', 'memecatkan', 'mempercapak', 'memperhentikan', 'mencapak', 'mencuaikan', 'mencupaikan', 'mendiamkan', 'mengeluarkan', 'mengentuti', 'mengesampingkan', 'mengetepikan', 'menghina', 'mengonslah', 'menjorokkan', 'menolak', 'menyampingkan', 'menyinggung', 'menyingkirkan', 'menyisihkan', 'singkir'];Menaruh di bawah paha
activity;['pengambilan'];Sering kali tanpa izin pemilik
activity;['akrobatik', 'aksi', 'stunts'];Tidak biasa atau berbahaya
activity;['permusuhan', 'darah perseteruan', 'vendetta'];Dendam antara keluarga yang bermusuhan
activity;['balsem'];Salep yang berbau damar
activity;['lalu', 'lari', 'tiupan', 'salju kebingungan'];Hujan salju tiba-tiba
activity;['eter'];Media untuk mendukung perambatan gelombang elektromagnetik
activity;['keanginan'];Suatu kondisi udara yang berangin lembut
activity;['keredaan', 'reda'];Suatu periode ketika cuaca tenang
activity;['lam', 'melarikan diri'];Melarikan diri dengan cepat (oleh penjahat)
activity;['kembali', 'kepulangan', 'pembahasan'];Jawaban yang cepat dan jitu
activity;['bakul', 'jaringan', 'keranjang', 'raga'];Angka yang didapat dari hasil lemparan bola masuk keranjang bola basket
activity;['epilog'];Kata penutup dalam sandiwara/drama
activity;['angin', 'angin sepoi-sepoi', 'bayu', 'lembut angin'];Angin yang bertiup pelahan
activity;['misi', 'tugas', 'kerja'];Pusat pengembangan agama Kristian
activity;['perang dunia ii', 'perang dunia kedua', 'perang dunia 2', 'world war ii', 'dampak perang dunia ii', 'pd ii', 'pdii', 'pemimpin sekutu pada perang dunia ii', 'perang dunia dua', 'perang dunia ke-2', 'kedua perang dunia', 'pendudukan nazi'];Perang Dunia ke 2
activity;['perang dunia i', 'perang untuk mengakhiri perang', 'perang dunia pertama', 'perang dunia 1', 'pdi', 'perang besar', 'lini masa perang dunia i', 'pd i', 'perang dunia ke-1', 'great war', 'pertama perang dunia'];Perang Dunia ke 1
activity;['berpesta pora', 'pesta', 'rusuh', 'bacchanal', 'mabuk pesta pora', 'melacurkan', 'penyelewengan'];Perbuatan yang mengikut hawa nafsu
activity;['demobilisasi', 'didemobilisasi', 'demob', 'demobbed'];Pemberhentian dari khidmat kerahan
activity;['pemerasan', 'tuntutan yg medesak'];Layanan atau perkhidmatan yang buruk
activity;['pantang', 'abstinensi', 'mengelak', 'berpuasa'];Tindakan menahan diri daripada
activity;['persetujuan', 'izin', 'kebenaran', 'keizinan', 'perkenan', 'setuju'];Persetujuan tanpa protes/dengan diam-diam
activity;['kesyahduan', 'keteduhan', 'ketenangan'];Ketidakadaan angin kencang atau hujan
activity;['hal', 'barang', 'benda', 'perkara', 'tindakan'];Sesuatu hal yang sepele
activity;['kawasan tekanan rendah', 'wilayah bertekanan rendah', 'wilayah tekanan rendah', 'sistem tekanan rendah', 'depresi', 'pusat tekanan rendah', 'siklon', 'daerah bertekanan rendah', 'tekanan rendah', 'daerah tekanan rendah', 'kerendahan', 'sistem cuaca'];Suatu massa udara bertekanan lebih rendah
activity;['halimun', 'kabus', 'kabut', 'kegelapan'];Suatu atmosfer di mana daya pandang berkurang karena awan beberapa bahan
activity;['panas terik'];Hari yang amat panas
activity;['bantahan', 'backtalk', 'kelancangan', 'sassing'];Kata-kata kurang ajar
activity;['medium', 'sederhana'];Sinyal yang dapat melakukan perjalanan sebagai alat untuk komunikasi
activity;['audiensi', 'pendengaran'];Kesempatan untuk menyatakan pendapat anda dan didengarkan
activity;['misi', 'misi militer'];Pusat pengembangan agama Kristian
activity;['keamanan', 'ketenangan', 'windlessness'];Ketenangan/kesyahduan tanpa angin
activity;['transmisi'];Komunikasi dengan menggunakan sinyal ditransmisikan
activity;['satuan kredit semester', 'kredit', 'kredit akademik', 'kredit kuliah', 'tentu saja kredit'];Pengakuan perguruan tinggi bahwa program studi telah berhasil diselesaikan
activity;['campur tangan', 'gangguan'];Masuk secara paksa atau tanpa izin
activity;['kedatangan'];Kedatangan yang telah ditunggu (terutama dari sesuatu yang penting)
activity;['belas kasihan'];Cuaca yang baik dengan temperatur yang nyaman
