agentive-figure;['comunitás europan', 'europan union', 'union europan', '🇪🇺', 'union european'];Un Union del states de Europa
locative-role;['mónaco'];Un Land in Europa
locative-role;['serbia', 'србија'];Un Land in Europa
locative-role;['lituania'];Un Land in Europa
political-geographic-object;['rumania'];Un Land in Europa
political-geographic-object;['norvegia', 'noreg', 'norge'];Un Land in Europa
political-geographic-object;['nederland'];Un Land in Europa
political-geographic-object;['mónaco'];Un Land in Europa
political-geographic-object;['svissia', 'ch'];Un Land in Europa
political-geographic-object;['luxemburgia'];Un Land in Europa
political-geographic-object;['reyatu unit', 'unit reyatu'];Un Land in Europa
political-geographic-object;['hispania'];Un Land in Europa
political-geographic-object;['bielorussia'];Un Land in Europa
political-geographic-object;['kazakstan'];Un Land in Europa
political-geographic-object;['belgia', 'belgique'];Un Land in Europa
political-geographic-object;['austria'];Un Land in Europa
political-geographic-object;['georgia'];Un Land in Europa
political-geographic-object;['hungaria'];Un Land in Europa
political-geographic-object;['polonia'];Un Land in Europa
political-geographic-object;['germania'];Un Land in Europa
political-geographic-object;['italia'];Un Land in Europa
political-geographic-object;['grecia'];Un Land in Europa
political-geographic-object;['ucraina', 'ukraina'];Un Land in Europa
political-geographic-object;['armenia'];Un Land in Europa
political-geographic-object;['francia'];Un Land in Europa
political-geographic-object;['irland'];Un Land in Europa
political-geographic-object;['svedia'];Un Land in Europa
political-geographic-object;['liechtenstein'];Un Land in Europa
political-geographic-object;['andorra'];Un Land in Europa
political-geographic-object;['vaticano'];Un Land in Europa
political-geographic-object;['island'];Un Land in Europa
political-geographic-object;['kiev', 'київ'];Cité capitel de Ucraina
political-geographic-object;['bahamas'];Un insul-state in li Atlantic
political-geographic-object;['finland'];Un Land in Europa
situation;['flatu', 'flatuentie'];gas in li intestine de mammiferes quel es secreet per li ánus
