abstract-region;['多項式', '整式', '多項式関数', '単項式', '3次関数', '単多項式', '多変数多項式', '文字式'];数と不定元（変数）を元にして、和と積によってつくられる式
abstract-region;['極限', '収束', '極限値', '関数の極限', '一様収斂', '函数の極限', '収束性', '各点収斂', '数列の収束', '数列の収束性', '集積点', 'ポイントを制限', '蓄積のポイント'];数列が限りなく近づく値
abstract-region;['スカラー', 'スカラー量'];大きさのみを持つ量
activity;['ラグビー', 'ラグビー・フットボール', 'ラグビーフットボール', 'ラ式蹴球', 'irb加盟主要ラグビープレー国', 'ラガーマン', 'ラグビー部', 'ラガー'];フットボール系スポーツの1つ
activity;['将棋', '將棋', '本将棋', 'しょうぎ', '将棋の反則', '将棋部', '棋'];2人で行うボードゲーム
activity;['数', '文法数', '件数', '番号', 'paucal'];文法範疇のひとつ。文法上の数
activity;['トライアル', '公判', '司法裁判', '審判', '審理', '裁判', '刑事件', '試み'];法廷での事実審理
activity;['フォックストロット', 'foxtrot', 'スローフォックストロット', 'フォックストロ'];社交ダンスのひとつ
activity;['バックギャモン', '西洋双六'];二人で遊ぶボードゲーム
activity;['沖縄戦', 'アイスバーグ作戦', 'ウチナー戦', '沖縄の戦い', '沖縄戦争', '沖縄本土戦', '菊水一号作戦', '鉄の暴風', '鉄の雨', '沖縄保衛戦', '沖縄', '沖縄キャンペーン'];1945年に日本の沖縄諸島で行われた日本軍と連合軍との戦役
activity;['接吻', 'キス', '口付け', 'チュー', 'キッシング', '口づけ', '口吸い', 'くちづけ', 'チュウ', '初ちゅー', '初チュー', 'ちゅう', 'キッス', 'ベーゼ', '口付', '口吸'];唇を相手の頬・唇、手などに接触させ、親愛・友愛・愛情などを示すこと
activity;['投票', '投票用紙', '選挙', '票', '投票所', '累積投票', '採決', '票決', '表決', '有権者'];何かを選び出したり、意思表示をする行為
activity;['投票', '投票用紙', '選挙', '票', '投票所', '累積投票', '採決', '票決', '表決', '有権者'];投票に用いる紙
activity;['膣外射精', '外出し', '尻射', '服射', '胸射', '腹射', '抜く', '離脱方法'];性交における男性の射精形態のひとつ
activity;['パ・ド・ドゥ', 'pas de deux', 'グラン・パ・ド・ドゥ', 'デュエット', 'ド·ドゥpas'];バレエ作品において男女2人の踊り手によって展開される踊り
activity;['イラン・イラク戦争', 'イランイラク戦争', 'イイ戦争', 'イライラ戦争', 'イ・イ戦争', 'イラク・イラン戦争', '湾岸戦争', 'イラン·イラク戦争'];1980年から1988年にかけてイランとイラクの間で行われた戦争
activity;['影絵', '写し絵', '影絵劇', '影絵芝居', '影人形', 'galantyショー', '影が遊ぶ', '影の劇場', '影ショー'];物体の後方から光を当ててその影をスクリーンに投影したもの
activity;['興行', 'パフォーマンス', '演技', '興行師', '見せ物', 'ステージ', 'パーフォーマンス', '上演', '公演', '演芸', '舞台', '公開プレゼンテーション', '実行', '行った'];鑑賞、観戦を主な目的とした観客を集めるための催事
activity;['西部劇', 'テキサス平原児', '馬オペラ'];アメリカの西部開拓時代を題材とするフィクション
activity;['サッカー', 'アソシエーションフットボール', 'アソシエーション・フットボール', 'ア式蹴球', 'アソシエイション・フットボール', 'アソシエーション式フットボール', 'アソッカー', 'サッカー協会', 'サッカー大会', 'サッカー部', 'ソッカ―', 'フースバル', 'プロサッカー', 'ホペイロ', '男子サッカー', 'フットボール', 'フートボール', '蹴球', 'のサッカーチム', 'サッカーチムの', 'ロスタイム', '余分な時間の後に'];フットボール系スポーツの1つ
activity;['映画', 'ムービー', '活動写真', '電影', 'モーション・ピクチャー', '映画の起源', '映画作品', '映画化', '映画鑑賞', 'エクラン', 'シネマ', 'ピクチャー', 'フィルム', 'ムーヴィー', '写真', '活動', 'モーション·ピクチャー·ショー', 'モーションピクチャ', '共進会', '劇場用映画', '大画面', '移動映像ショー', '絵を動かす'];動画作品の一形態。一般的に、専用施設（映画館等）の中でスクリーンに投射して公開する。
activity;['秘跡', '秘蹟'];カトリック教徒が神の存在のしるしとして見る7つの目に見える儀式は、開始（バプテスマ、確認、ユーカリスト）、癒し（和解、病人への油注ぎ）、奉仕（聖なる秩序、結婚）で構成されています。
activity;['水切り', '石切り', 'アヒルとドレイク', 'スキップ石'];川遊びの一種
activity;['ノーヒットノーラン', 'ノーノー', 'ノーヒッター', 'ノーヒットアリラン', 'ノーヒット・ノーラン', '無安打完封', '無安打無得点試合', 'ノーヒットゲーム'];投手が相手チームに安打を与えずに試合を終える、野球、ソフトボールの記録
activity;['完全試合', 'パーフェクトゲーム'];相手チームの打者を一度も出塁させずに勝利する、野球やソフトボールの記録
activity;['ゴルフ', 'golf', 'アマチュアゴルフ', 'ゴルフカート', 'ゴルフボール', 'ゴルフ用具', 'ゴルフ用品', 'ゴルフ道具', 'プロゴルフ', 'メジャートーナメント', '孔球', '高尓夫', 'ゴルフゲーム'];クラブでボールを打ち、ゴールの穴にいかに少ない打数で入れられるかを競う球技
activity;['アイスホッケー', 'ホッケー', 'アイス・ホッケー', '氷球', 'アイスホッケー競技日程', 'ホッケーゲーム', '女子アイスホッケー'];氷上でスティックとスケートを使用し競技するスポーツ
activity;['クリケット', 'クリケット選手', 'のクリケットチーム', 'クリケットラブ'];スポーツ、球技
activity;['野球', 'ベースボール', 'ベース・ボール', '日本の野球', '棒球', '野球のポジション', '野球チーム', '野球団', '野球文化', '野球用和製英語', 'ベイスボール', '野球の試合', '野球選手'];スポーツ、球技
activity;['助成金'];（公的な）事業への政府からの資金提供
activity;['ストライキ', '同盟罷業', '罷工', '同盟罷工', '罷業', 'ストライキ権', 'スト権', '山猫スト', '山猫ストライキ', '山猫争議', 'スト', '作業停止', '労働争議'];労働者による争議行為のひとつ
activity;['飛込競技', 'ダイビング', '飛び込み', '飛込み', 'シンクロナイズドダイビング', '飛込み選手', '高飛び込み', 'とび込', 'とび込み', 'ダイブ', 'ダイヴ', 'ダイヴィング', '飛こみ', '飛びこみ', '飛込'];水泳競技の一種
activity;['珊瑚海海戦', 'コーラル海海戦', 'mo作戦', '珊瑚海の戦い'];空母対空母の世界史上初の海戦
activity;['国民投票', '住民投票', 'レファレンダム', '国民表決', 'リファランダム', 'リファレンダム', 'レフェレンダム', '国民評決', '非拘束国民投票'];国政上の重要問題について、それを直接的に決定したり、議会の決定に資するよう実施される投票制度
activity;['滴定', '滴定法', '中和滴定', '滴定分析', '逆滴定'];化学反応を用いて化学物質の量を測定する定量分析法
activity;['演奏会', 'パフォーマンス', '演技', 'コンサート', 'ライブコンサート', 'リサイタル', 'コンサートツアー', 'コンサート・ツアー', 'ファミリーコンサート', 'ライブ公演', '定期演奏会', '演奏会形式', '音楽ライブ', '音楽ライヴ', '音楽会', 'コンサートツア', 'ツアー'];専ら音楽そのものを聞きにくる聴衆をターゲットとして音楽を演奏するイベント
activity;['国勢調査', '人口調査', '戸籍', 'センサス', '大規模調査', '人別改', '人別改め', 'nosecount', '鼻カウント'];人口および世帯に関する各種属性のデータを調べる全数調査
activity;['マズルカ', 'マヅルカ'];ポーランドの民族舞踊およびその形式
activity;['非常事態措置', '緊急処置'];非常事態に対応するための計画や行動
activity;['テレビ番組', 'テレビ番組送出', 'テレビプログラム', 'tv番組', 'テレビシリーズ', 'テレビジョンシリーズ', 'テレビ番組制作'];放送局における番組やその他映像作品群の総称
activity;['報道番組', 'ニュース', 'ニュース番組', 'ニュースショー', 'ミニニュース番組', 'テレビニュース', 'ニュース・ショー', 'ローカルワイドニュース番組', 'ニュースショウ', 'ニューズ', 'ワイドニュース', 'テレビのニュース'];ニュース・報道に特化したテレビ番組やラジオ番組
activity;['breath', 'ブレス'];芸能事務所
activity;['メルヘン', '童話', 'お伽話', 'メルヒェン', 'フェアリーテール', 'クンストメルヘン', '創作メルヘン', 'おとぎ話', 'お伽', 'お伽噺', 'メールヒェン', '伽話', '御伽', '御伽噺', '御伽話'];ドイツで発生した散文による空想的な物語
activity;['磁気嵐', '地磁気嵐', 'noaa宇宙天気スケール'];地磁気が通常の状態から変化し、乱れが生じること
activity;['バーレスク', 'ショーガール', 'バーレスク家'];文学・戯曲、音楽のジャンル
activity;['バレエ', 'コンサート・ダンサー', 'コンサートダンス', 'モダンバレエ', 'ロマンティック・バレエ', '舞台舞踊', '20世紀の劇場舞踊', '劇場舞踊', 'クラシックバレエ', 'クラシック・バレエ', 'モダン・バレエ', 'バレー', 'ショーダンス'];歌詞・台詞を伴わない舞台舞踊
activity;['ロック', 'ロックンロール', 'ロック音楽', 'ロックミュージック', 'ロックン・ロール', 'ロック・ミュージック', 'ロッケンロール', 'ロックミュージシャン', 'ロックンール'];音楽のジャンル
activity;['内戦', '内乱', '市民戦争', '内紛'];国家の領域内で対立した勢力によって起こる武力紛争
activity;['朝鮮戦争', '625動乱', 'コリア戦争', 'ストーキングラード戦線', 'ユギオ', '大韓戦争', '抗美援朝', '抗美援朝戦争', '朝鮮動乱', '朝鮮南北戦争', '祖国解放戦争', '韓国動乱', '韓国戦争', '韓國戰爭'];1950年から1953年にかけて朝鮮半島において行われた戦争
activity;['第二次世界大戦', '第2次大戦', '第二次大戦', '第2次世界大戦', 'ww2', '先の大戦', 'world war ii', 'wwii', 'wwt', '欧州戦線', '第二次世界大戦/log20120619', '第二次世界大戦中', '第二次欧州大戦', 'ナチス占領'];1939年から1945年にかけ戦われた全世界的規模の戦争
activity;['戦争を終わらせるための戦争', '第一次世界大戦', 'ww1', '第1次世界大戦', 'wwi', 'wwo', '全ての戦争を終わらせるための戦争', '大西洋の戦い', '欧州大戦', '第1次大戦', '第一次大戦', '大戦', '大戦争'];1914年から1918年にかけて戦われた人類史上最初の世界大戦
activity;['クリミア戦争', 'クリミヤ戦争'];オスマン帝国とのエルサレムを巡る聖地管理問題に付け込んだ南下政策を掲げたロシア帝国が、不凍港獲得の為にオスマン帝国に侵入しようとして勃発した戦争。
activity;['湾岸戦争', '湾岸危機', '砂漠の嵐作戦', '第1次湾岸戦争', '第一次湾岸戦争'];イラクによるクウェート侵攻をきっかけに、国際連合の多国籍軍がイラクを空爆したことで始まった戦争
activity;['フェーン現象', 'フェーン', 'シヌック', '風炎現象', 'fohn'];気流が山の斜面にあたったのちに風が山を越え、暖かくて乾いた下降気流となってその付近の気温が上がる現象
activity;['ステガノグラフィー', 'ステガノグラフィ', '符号化', 'コーディング'];データ隠蔽技術またはその研究。情報ハイディングの源流となった。
activity;['教育', '教授法', '教育システム', '教育制度', '指示', '教訓', '教育活動', 'education', '教育目標', '教育目的', '非公式教育', 'エジュケーション', 'エデュケイション', 'エデュケーション', '垂教', '垂訓', '指南', '指導', '教え', '教えること', '教授', '教示', '教諭', '教育者'];対象の人間の心身を変化させることを目的とした活動
activity;['雨乞い', '祈雨', '雨ごい', '雨乞', '人工降雨', 'こうこ'];雨を降らせるため行う呪術的・宗教的な儀礼
activity;['節約', '貯蓄', '倹約', '節倹', '節減', '節用', '貯蓄率'];所得のうち消費されなかったもの
activity;['対策', 'カウンターメジャー', '撹乱装置'];別の行動を抑えるために取られる特定の行動やシステム
activity;['エンターテインメント', '娯楽', 'エンターテイメント', 'エンタメ', 'アミューズメント', 'エンタテイメント', 'エンタテインメント', 'entertainment', 'エンターテーメント', '娯楽施設', '娯しみ', '愉しみ', '楽しび', '楽しみ', 'エンターテイメト', '楽しま', '楽しませる'];人々を楽しませる娯楽もの
activity;['社会福祉援助技術', 'ソーシャルワーク', '社会事業技術', '福祉事業', 'ソーシャルワカ', '社会サービス', '社会奉仕'];民間のボランタリーな活動であり、あらゆる国家や思想、権力、組織などから独立した学問を基礎とする実践
activity;['祝祭', '祭り', '祭', '祭典', 'festival', '祭事', 'まつり', '御祭礼', '日本の祭り', '村祭', '産業祭', '祀り', '祭儀', '祭式', '祭祀', '祭祀所', 'お祭', 'お祭り', 'フェス', 'フェスチバル', 'フェスティバル', 'フェスティヴァ', 'フェスティヴァル', '御祭', '御祭り', '祝典', '祝宴', '祭礼', '文化祭', '祭日'];感謝や祈り、慰霊のために神仏および祖先をまつる行為
activity;['十字軍', '十字軍の遠征'];宗教的目的のための一連の遠征軍
activity;['バルジの戦い', 'アルデンヌ反攻', 'アルデンヌの戦い', 'アルデンヌ攻勢', 'クリストローゼ作戦', 'ルントシュテット攻勢', 'ヴァハト・アム・ライン作戦', '秋の霜作戦', '秋の霧作戦', 'アルデンヌバルジ大作戦', 'バルジ大作戦'];1944年～1945年に発生した、ナチス・ドイツと連合国との戦闘
activity;['カウペンスの戦い', 'cowpens', 'cowpensの戦い'];アメリカ独立戦争での戦闘
activity;['定量分析', '分析化学', '基準試料', '定量分析法', '容量分析', '純度', '重量分析', '分析化学者', '定量化学分析'];試料中にある成分量を決定するために実施する化学分析
activity;['麻雀', '麻将', 'マージャン', '100点棒', 'mahjong', 'ありあり', 'ありなし', 'なしあり', 'なしなし', 'チョーマ', 'フリー', 'プロ雀士', '万点棒', '徹マン', '点棒', '競技ルール', '芝棒', '親決め', '賭け麻雀', '雀卓', '雀士', '雀荘', '麻雀の道具', '麻雀卓', '麻雀荘', '麻雀賭博'];中国を起源とし、世界中で親しまれているテーブルゲーム
activity;['人種差別', '人種主義', 'レイシズム', '人種理論', 'レイシャリズム', '人種差別主義', '人種的偏見'];優等人種が劣等人種を支配するのは当然であるという思想、イデオロギー
activity;['性差別', '性的差別', '男女差別', 'セクシスト', 'セクシズム', '女性差別'];個人の生物的/社会的性別に基づいた偏見や区別
activity;['中等教育', '中等学校', '中等教育機関', '中等教育論', '中間教育', '前期中等教育', '後期中等教育'];学校教育の区分のひとつ。発達段階（年齢）により3段階に分ける考え方での第2段階
activity;['男女共学', '共学', '男女共学の'];両性が同じ教室で同じ教育を受けること
activity;['第四次中東戦争', 'ダマスカス平原の戦い', '10月戦争', 'ヨムキップル戦争', 'ヨムキプル戦争', 'ヨム・キップル戦争', 'ヨム・キプル戦争', 'ヨム・キプール戦争', '十月戦争', '第4次中東戦争', 'アラブ·イスエル和平プロセ'];1973年の戦争
activity;['現金化', 'マネタイズ', 'マネタイゼーション', '収益化'];ウィキメディアの曖昧さ回避ページ
activity;['内視鏡検査', '内視鏡', '内視鏡手術'];生体の内部を観察するための検査方法
activity;['不登校', '登校拒否', '不登校児', 'ずる休み'];学校に登校していない状態
activity;['尋問', '職務質問', '不審尋問', '職質', '審問', '尋問調書', '査問', '訊問', '調査', '疑問の'];ウィキメディアの曖昧さ回避ページ
activity;['瀉血', 'しゃ血', '刺絡', '静脈切開'];血液を排出させる治療法
activity;['社会保険', '社会保険制度', '社会保険料', '社保'];疾病、失業、労災、介護などのリスクに備えて、事前に雇用者または雇用主、あるいは両者が社会的供出をすることで、保険によるカバーを受ける仕組み
activity;['物流', '運送', 'ロジスチック', '検針機', '物流業', 'ロジスティクス', 'ロジスティックス'];生産物を生産者から消費者へ引き渡すこと
activity;['フィールドホッケー', 'アイスホッケー', 'フォワード', 'ホッケー', 'フィールドホッケ', '女性のフィールドホッケ'];スティックと硬球を使い2チームが競うスポーツ
activity;['防諜', 'カウンターインテリジェンス', 'スパイ防止', '情報保全', '防諜活動', '反間', 'カウンターイテリジェス', 'スパイ防止活動'];外国政府やテロリストによる諜報や破壊活動を無力化する行動
activity;['自由貿易', '輸入自由化', 'フリートレード', '貿易自由化'];国家が輸出入に制限を設けない政策
activity;['エッチング', '食刻', 'しょっこく', '蝕刻', '異方性エッチング', 'エングレービング'];化学薬品などの腐食作用を利用した塑形ないし表面加工の技法
activity;['声楽', '声楽家', '声楽曲'];人声を中心とした音楽
activity;['ミッドウェー海戦', 'ミッドウェイ海戦', 'ミッドウェー作戦', 'ミッドウェー沖海戦'];大日本海軍が大敗した海戦
activity;['反乱', '反逆', '暴動', '反抗', '反発', '無視', '叛乱', '反乱軍', 'ご謀叛', '乱逆', '叛逆', '御謀叛', '謀反', '謀叛', '逆乱', '造反', '反乱は', '反抗的な', '民衆蜂起'];支配者に対して被支配層が暴力的、破壊的、示威的行動によってその不満の原因解決を迫り解決しようとする行為
activity;['エアドラフト', 'エアードラフト', '船高'];水面から船舶の最上部までの高さ
activity;['プロ野球', 'プロフェッショナルベースボール', 'プロフェッショナル野球', '職業野球', 'プロ野球チーム'];Sportsnavi
activity;['雪', '降雪', 'ゆき', '人工降雪', '六花', '雪天', '雪害', '雪日数', '大雪', '玉屑', '雪ふり', '雪降', '雪降り', '積雪'];氷の結晶が空から降下してくる気象現象、またはその氷晶の集合体のこと
activity;['エンバーミング', 'エンバーマー', '死体防腐処理', '遺体衛生保全', '防腐', 'ミイラ', 'ミイラ化', '防腐処置を施す'];消毒、保存処理、修復により遺体の長期保存を可能にする技法
activity;['オペレーションズ・リサーチ', 'オペレーションズリサーチ', 'オペレーショナルリサーチ', 'オペレーショナル・リサーチ', 'オペレーションリサーチ', '統計的手法', 'オペレーションズ·リサーチ', '運用分析'];数学的・統計的モデル、アルゴリズムの利用などによって、さまざまな計画に際して最も効率的になるよう決定する
activity;['乱交騒ぎ', '乱交', '乱行パーティー、同時性的乱交（あるいは単に同時乱交）'];参加者が自由に制約なく性行為をすることができるセックス・パーティー
activity;['ヨーデル', '密告者'];アルプス地方など発祥の歌唱法
activity;['パートソング', 'partsong'];合唱曲の形式
activity;['灌漑', '潅漑', '潅溉', '灌漑農業', 'かんがい', '潅漑農耕', '灌漑施設', '灌漑農法', '過灌漑', '灌漑システム'];農地に外部から人工的に水分を供給すること。
activity;['ロボトミー', '前頭葉白質切截術', '脳葉切除', 'leucotomy', 'leukotomy', '前頭leucotomy', '前頭ルコトミー', '前頭ロボトミー', '前頭葉ロボトミー'];外科的侵襲による精神疾患の治療法
activity;['仕入', '調達', '買い入れ', '購入', '仕入高', '購買', '買収'];受託交換により商品やサービスを獲得すること
activity;['一覧', 'リスト', '名簿', '目録', '表', '列挙', 'カウント', '勘定', '数えること', '計数', '計算', '命数', '集計'];収集物の全項目の順序付き一覧
activity;['キャンプ', 'キャンピング', '野営', '露営', 'キャンパー', 'キャンプリーダー', 'グランピング', 'デイキャンプ', 'デイキャンプ場', '宿営', '幕営', '野宿', 'bivouacking', 'テンティング法'];野外で一時的な生活をすること
activity;['展覧会', '美術展'];博物館や美術館で資料や作品等を公開するための展示企画
activity;['亡命', '流罪', '島流し', '追放', '国外追放', '流刑', '配流', '亡命者', 'しまながし', 'はいる', 'りゅうけい', 'るけい', 'るざい', '国外放浪', '政治亡命', '流人', '流刑地', '近流', '遠島', '遠流'];罪人を辺境や島に送る追放刑
activity;['退学', '排除', '追放', '中退', '中退者', '中途退学', '懲戒退学', '満期退学', '中途退学者', '単位取得満期', '教育終了', '自主退学', '排斥', '放逐', '追いだし', '追い出し', '追い立て', '追だし', '追出', '追出し', '駆逐', '駆除'];在学中に学校を途中でやめること、やめさせられること
activity;['政府', 'ガバナンス', '行政機関', '行政', '統治', '中央省庁', '参与機関', '行政官庁', '行政庁', '行政府', '行政組織', '支配', '統治すること', '政府のシステム', '政府活動'];行政権の行使に従事する国や地方の機関
activity;['シルクスクリーン', 'シルクスクリーン印刷', 'セリグラフィー', 'スクリーン印刷', 'シルクスリーン', 'シルクスリーン印刷'];印刷手法のひとつ
activity;['賭博', '博奕', '博打', 'ギャンブル', '賭け', '賭', '賭け事', '賭事', 'バクチ', 'ギャンブル産業', 'スポーツ賭博', '公営ギャンブル', '賭け将棋', '賭博事件', '違法賭博', '野球賭博', '勝負事', '博戯', '慰み事', '慰事', '手あそび', '手なぐさみ', '手慰み', '手遊', '手遊び', '袁彦道', 'ギャンブラー'];何らかの財物を賭けて偶然性のある勝負を行い、その結果によって賭けた財物のやりとりをおこなう行為
activity;['賃貸借', '賃貸', '賃貸料', '賃借', '月極', '賃借人', '賃借権', '賃貸人', '賃貸借契約', '借地権', '借家権', '借家人', '短期賃貸借', '転貸借', 'レンタル'];契約に基づき物の所有者（貸主、賃貸人）がその物の使用及び収益を相手方（借主、賃借人）に認めるととともに、その相手方が使用ないし収益の対価を支払うもの（借地権を含む）
activity;['企業', '事業システム', '事業体', '一般企業', '事業エンティティ', '企業人', '企業活動', '営利企業', '民営', '民間企業', '私企業', '第一セクター', '第二セクター', 'ビジネス', '事業', '仕事', '商', '商い', '商売', '商業', '商法', '商行為', '商賈', '営利', '営業', '実業', '稼業', 'ビジネス企業', '経営学', '非営利'];営利を目的として一定の計画に従って経済活動を行う組織
activity;['起工式', '画期的な'];土木建築工事に先だち、工事の無事や安全と建築物の安泰繁栄を祈る儀式。
activity;['切手収集', '郵便趣味', '切手蒐集', '郵趣', '切手集め', 'スタンプコレクション', '切手', '切手収集家'];郵便を対象とした趣味の総称
activity;['十月革命', 'ロシア革命', '10月革命', '11月革命', 'ボリシェヴィキ革命', 'ロシア十月革命', '十一月革命', 'ボリシェビキ革命'];1917年にロシア帝国で起きた2度の革命を指す名称
activity;['養蜂', '養蜂業', '定置養蜂', '移動養蜂', '養蜂家'];蜂蜜や蜜蝋、花粉を採取するために蜜蜂を飼育すること
activity;['園芸', 'ガーデニング', '庭いじり', '土いじり', '庭仕事', 'カーデニング', '作庭', '園芸部', '家庭園芸', '果樹園芸', '築庭', '蔬菜園芸', '園芸家', '植物栽培'];家庭で行われる造園や園芸の一種
activity;['判決', '裁判', '審判', '公裁'];社会関係における利害の衝突や紛争を解決・調整するために、一定の権威を持つ第三者が下す拘束力のある判定
