abstract-region;['tangkaran'];Wijil ngepingaké
activity;['dolanan komputer', 'gim vidéo', 'video gim'];dolanan sing nganggo komputer
activity;['cacah sirah', 'cacah jiwa', 'sènsus', 'sensus', 'sènsus pedunung'];Lelakon ngéntukaké lan nyathet katerangan bab warganing sawènèh cacah jiwa
activity;['positron emisi tomografi'];Teknik pencitraan fungsional kedokteran
agentive-figure;['gréja', 'gereja', 'greja'];Komunitas setya sing ngaku iman marang Yesus Kristus
agentive-physical-object;['kamomil'];jenis tetuwuhan
agentive-physical-object;['manungsa', 'homo sapiens sapiens', 'jalma', 'tiyang', 'wong', 'homo sapiens', 'menungsa'];Aran lumrah kanggo Homo sapiens (Q15978631), spésiès-spésiès jroning génus Homo. (Delenga uga ''manungsa fiktif (Q15632617)'' lan ''manungsa sing bokmanawa fiktif (Q21070568)'')
agentive-physical-object;['mlathi', 'kembang mlati', 'kembang mlathi', 'melati'];Génus wit-witan
agentive-physical-object;['orégano'];jinis tetuwuhan
agentive-physical-object;['suket lulangan'];Jinis suket
agentive-physical-object;['turunkan', 'toronkan'];Yooo
agentive-physical-object;['archaea', 'archaebacteria'];Domain mikroorganisme prokariotik
agentive-physical-object;['gajah'];Sato kewan
agentive-physical-object;['mindi'];jinis tetuwuhan
agentive-physical-object;['darès', 'dares', 'manuk beluk', 'manuk hantu', 'manuk dares'];Jinis manuk
agentive-physical-object;['rara ireng'];jinising tuwuhan
agentive-physical-object;['gèpi', 'iwak guppy', 'poecilia reticulata'];spesies iwak
agentive-physical-object;['térong walanda', 'terong belanda'];Jinis tuwuhan
agentive-physical-object;['gagarangan abang', 'vulpes vulpes'];Spésiès mamalia
agentive-physical-object;['mindi'];jinis tetuwuhan
agentive-physical-object;['ilat baya', 'lidah buaya'];jinising tuwuhan
agentive-physical-object;['rosméri', 'rosmarinus officinalis'];Tetuwuhan bumbon
biological-object;['wiji'];organ tanduran kang digawe perkembang biakan
biological-object;['driji tengah', 'driji panunggul', 'driji panengah', 'panunggul'];driji tangan kang tengah
cognitive-event;['grengseng'];Kamempengan ing ati arep nindakaké apa-apa
ecological-collective;['alas', 'wana'];Palemahan kang keteb tinuwuhan wit
event;['knell'];Jeneng pancer
functional-matter;['pastry'];olahan roti
functional-matter;['monolit'];Rupa géologis
functional-matter;['lenga samin'];Jinis lenga
geographical-object;['kapuloan nusa tenggara', 'kapuloan sunda kecil'];Kapuloan ing Indonésia
geographical-object;['segara', 'samudra donya', 'ꦱꦼꦒꦫ'];Pabanyon asin kang amba
geographical-object;['pulo', 'nusa'];Palemahan kinubengan banyu
geographical-object;['sulawesi', 'pulo sulawesi'];Pulo ing Indonésia
geographical-object;['sumatra', 'pulo sumatra', 'sumatera'];Pulo ing Indonésia
geographical-object;['gunung krakatau', 'krakatau'];Pulo ing Indonésia
geographical-object;['martinique'];Departemen ing Prancis
geographical-object;['luzon'];Agno³
information-object;['jeneng pancer'];Péranganing rékadaya jeneng wong sing dianggo ing akèh kabudayan sadonya
information-realization;['sistem operasi komputer', 'sistem operasi'];System oprasi com
information-realization;['aksara', 'ortografi', 'abjad', 'karakter'];Aturan baku ngenani cara panganggoné sawijining aksara kanggo nulisaké sawijining basa
information-realization;['lagu', 'tembang'];Anggitan swara
information-realization;['kuran', "al-qur'an", 'al-quran', 'al-qur’an', "al qur'an", 'al quran', 'al qur’an', "qur'an", 'quran'];kitab suci tiyang islam
language;['basa dhénemarken', 'dhénemarken', 'da', 'dan', 'basa denmark'];Basa Jermanik Lor kang kagunemaké ing Dhénemarken
language;['basa', 'bahasa'];Daya komunikasi mawa isarat kayata tembung utawa obahan
language;['basa indonésia', 'basa indonesia', 'id', 'bahasa indonesia', 'bahasa indonésia', 'cara indonésia'];Ulama Indonesia
language;['basa jawa', 'jawa', 'basa jawi', 'jv', 'ꦧꦱꦗꦮ', 'cara jawa', 'ꦕꦫꦗꦮ', 'ꦧꦱꦗꦮꦶ', 'dhialek basa jawa'];Basa Austronésia
language;['basa myanmar'];ျမန္မာဘာသာစကား
language;['basa hongaria', 'basa hungaria'];Basa
language;['basa céko', 'basa ceko'];Basa
language;['basa jerman', 'bahasa jerman'];Basa
legal-possession-entity;['pasepuluhan'];Menehi bangsa tumrap papan ngibadah utawa sasama
locative-role;['kutha bandhung', 'bandung', 'kota bandung', 'kutha bandung'];Kutha ing provinsi Jawa Kulon, Indonésia
locative-role;['worcester'];Jeneng pancer
locative-role;['haute-normandie'];Région Perancis
locative-role;['ara-ara'];Palemahan jembar ora tinanduran
locative-role;['franche-comté'];Région Perancis
locative-role;['bourgogne'];Région Perancis
locative-role;['bretagne'];Région Perancis
locative-role;['asia kidul-wétan', 'asia kidul-wetan', 'asia tenggara'];Tlatah ing jagad-wano Asia
locative-role;['centre-val de loire', 'centre'];Région Perancis
locative-role;['poitou-charentes'];Région Perancis
locative-role;['auvergne'];Région Perancis
locative-role;['nord-pas-de-calais'];Région Perancis
locative-role;['languedoc-roussillon'];Région Perancis
locative-role;['midi-pyrénées'];Région Perancis
locative-role;['limousin'];Région Perancis
locative-role;['île-de-france'];Région Perancis
locative-role;['champagne-ardenne'];Région Perancis
locative-role;['picardie'];Région Perancis
locative-role;['aquitaine'];Région Perancis
locative-role;['pays de la loire'];Région Perancis
locative-role;['segara wedhi'];Palemahan jembar langka udan
locative-role;['lorraine'];Région Perancis
locative-role;['light'];jeneng pancer
locative-role;['martinique'];Departemen ing Prancis
physical-body;['bumi', 'donya'];Planet katelu saka srengéngé ing Tata Surya
physical-object;['baita panambangan'];Jinis baita
physical-object;['koran', 'ariwarta', 'ariwara', 'ariwarti'];Babaran jadwalan isi warta kadadéan, artikel, fitur, édhitorial, lan tawa
physical-object;['musiyum', 'museum'];bebadan kang nyimpen artéfak, rélik, lan barang-barang ngèlmiyah, artistik, budaya, sajarah, utawa kawigatèn liyané
physical-object;['papan anggegana', 'ꦥꦥꦤꦔ꧀ꦒꦼꦒꦤ', 'papan gegana', 'setasiyun anggegana', 'bandhar udhara', 'bandhara'];Papan pamaburan lan pamandhegan montor mabur
physical-object;['reklame'];Iklan
political-geographic-object;['kutha bandhung', 'bandung', 'kota bandung', 'kutha bandung'];Kutha ing provinsi Jawa Kulon, Indonésia
political-geographic-object;['worcester'];Jeneng pancer
political-geographic-object;['belgia', 'bèlgi', 'bélgié', 'bèlgia', 'kraton bélgié', 'belgium', 'flanders'];Nagara ing Éropah
political-geographic-object;['honduras'];Nagara ing Amérika Kidul
political-geographic-object;['guatémala', 'guatemala'];Nagara ing Amérika Tengah
political-geographic-object;['indonesia', 'indonésia', 'indhiya nèderlan', 'indhia nèderlan', 'hindhia walanda', 'hindhia-walanda', 'hindia-walanda', 'indhonesia', 'negara kesatuan republik indonesia', 'republik indonesia', 'republik indonésia', 'républik indonésia'];Negara ing Asia Kidul-Wétan
political-geographic-object;['indonesia', 'indonésia', 'indhiya nèderlan', 'indhia nèderlan', 'hindhia walanda', 'hindhia-walanda', 'hindia-walanda', 'indhonesia', 'negara kesatuan republik indonesia', 'republik indonesia', 'republik indonésia', 'républik indonésia'];Koloni Walanda, saiki ingaran Indonésia
political-geographic-object;['mèksiko', 'meksiko', 'mexico'];Nagara ing Amérika Lor
political-geographic-object;['ékuadhor', 'ecu', 'ec', 'républik ékuador', 'ecuador', 'ekuador'];Nagara ing Amérika Kidul
political-geographic-object;['brussel', 'brussél', 'brusel'];Kutha lan padunungan ing Laladan Kutha Krajan Brussél, kutha krajan Bélgié
quality;['komédho', 'komédo'];perkara ing kulit
situation;['gangguan swasana ati'];perkara kang gegayutan karo pangrasa
situation;['ataksia'];lelara sistem saraf manungsa
situation;['cacah jiwa', 'padunung', 'populasi', 'pedhunung', 'penduduk'];Cacahing manungsa sing dumunung nunggal laladan
situation;['lampah anggegana', 'laku anggegana'];Werna laku sarana tetunggangan anggegana
social-role;['tanggung jiwa'];Wijil ing kahartakan
socially-constructed-person;['dante gabriel rossetti'];Wikimedia:Disambiguasi
socially-constructed-person;['mohandas gandhi', 'mahatma gandhi', 'mohandas karamchand gandhi'];Pimpinan politik lan agama India
socially-constructed-person;['lanang'];Manungsa kang lanang (anggonen tumrap properti P21)
socially-constructed-person;['usar'];Prajurit jejaranan asal Honggari
socially-constructed-person;['baron, nganjuk', 'baron', 'kecamatan baron, nganjuk'];Kacamatan ing Kabupatèn Nganjuk, Indonésia
socially-constructed-person;['wong tuwa among', 'kaki among', 'nini among'];Wong sing nyengkuyung pambatising bocah
