agentive-physical-object;['aɣbub'];tawsit n yigṭaṭ
agentive-physical-object;['timseɣẓaẓ'];Tafesna n temsuṭaṭ
biological-object;['imezṭi anesɣun'];d talmest n yimezṭiyen isnudranen
language;['c', 'tameslayt c', 'tameslayt n usihel c', 'tutlayt c', 'tutlayt n usihel c', 'langage c'];tutlayt n usihel
non-agentive-physical-object;['avarnous'];Avarnous
organized-collection;['amazellaw'];D tamsegrawt i meqqren s waṭas, tegber seg yimelyaṛen n yitran d yimtiwgen d wayyuren d yismilen d yiseffuden
parameter;['tazzla n teslullit'];Tazzla n tuzzya n tegnit
physical-body;['usuɣ', 'taḥbult n yiṭij ɣur-s takna'];d tumant tanafatet i d-ittilin mi ara ad yekcem useffud ɣer wadad agennaw
physical-object;['avarnous'];Avarnous
political-geographic-object;['tagduda n tefriqt talemmast', 'cf', '🇨🇫'];Tamurt deg tlemmast n umenẓaw n Tferka
political-geographic-object;['lezzayer', 'zzayer', 'ⴷⵣⴰⵢⴻ', 'dzayer', 'dzayer tamanaght', 'dzayer tamanaɣt', 'dzayer tamaneɣt'];Tamanaɣt n Lezzayer
simple-collective;['ineglizen'];aɣref n tmurt n unegliz
socially-constructed-person;['amezray', 'amnadi deg umezruy', 'anmezray', 'imezrayen', 'inmezrayen', 'tamezrayt', 'tanmezrayt', 'timezrayin', 'tinmezrayin'];amdan yettnadin neɣ yettaru ɣef umezruy
space-region;['aggad anafuk'];D anelfuy asnallan anda tettili tfukt srid sufella n usebges
subject;['tasnidegt'];d yiwen seg ifurken n tenzeggit d tusnakt
subject;['takrura'];D tussna yerzan taɣessa n tenga d ibeddilen i as-d-iḍerrun
subject;['tasengama'];Tusna n ugama d tusna yeqqaren timidranin tigejdanin am tfasa d tdusi d wakud d wayen yakk i d-yettasen deg-sent
temporal-region;['imalas', 'imalasen', 'yimalas', 'yimalasen'];tayunt n wakud, deg-s 7 n wussan
temporal-region;['lḥedd', 'acer', 'ačer', 'lḥed'];ass seg wussan n yimalas
temporal-region;['lexmis', 'amhad'];ass seg wussan n yimalas
temporal-region;['larebɛa', 'ahad'];ass seg wussan n yimalas
temporal-region;['meɣres'];D ayyur wis 3 deg teswast tagrigurt d teswast tamaziɣt
temporal-region;['furar', 'fuṛaṛ'];D ayyur wis sin deg teswast tagrigurt d teswast tamaziɣt
temporal-region;['letnayen', 'arim'];ass seg wussan n yimalas
temporal-region;['ssebt', 'sed'];ass n imalas
temporal-region;['lǧemɛa', 'sem'];ass seg wussan n yimalas
temporal-region;['ttlata', 'aram'];ass seg wussan n yimalas
