abstract-quality;['ವ್ಯಕ್ತಿತ್ವ'];ವ್ಯಕ್ತಿತ್ವವು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಭಾವನಾತ್ಮಕ, ಮನೋಭಾವದ, ಮತ್ತು ವರ್ತನಾತ್ಮಕ ಪ್ರತಿಕ್ರಿಯೆ ಮಾದರಿಗಳ ನಿರ್ದಿಷ್ಟ ಸಂಯೋಜನೆ.
activity;['ರಗ್ಬಿ ಫುಟ್\u200cಬಾಲ್\u200c'];ರಗ್ಬಿ ಫುಟ್ಬಾಲ್ ಹೆಚ್ಚಾಗಿ ರಗ್ಬಿ ಲೀಗ್ ಮತ್ತು ರಗ್ಬಿ ಯೂನಿಯನ್ ಎಂಬ ಎರಡು ಪ್ರಕಾರದ ಆಟಗಳಿಂದ ಪ್ರಸಿದ್ಧವಾಗಿದೆ.
activity;['ಸೂಜಿ ಚಿಕಿತ್ಸೆ', 'ಸೂಜಿಮಾಂಜುಗೆ', 'ಅಕ್ಯುಪಂಕ್ಚರ್'];ಸೂಜಿ ಚಿಕಿತ್ಸೆ ಎಂದರೆ ಚೀನದಲ್ಲಿ ಪ್ರಚಲಿತವಿರುವ ಒಂದು ರೀತಿಯ ಚಿಕಿತ್ಸೆ.
activity;['ಇ-ಅಂಚೆ', 'ಮಿಂಚೆ', 'ಇಮೇಲ್'];ಇ-ಅಂಚೆ ಅಥವಾ ಮಿಂಚ್-ಅಂಚೆ, ಮಿಂಚೆ, ಮಿಂಚೋಲೆ ಅಥವಾ ವಿ-ಅಂಚೆ .ವಿದ್ಯುನ್ಮಾನ
activity;['ವ್ಯಾಜ್ಯ', 'ಕಕ್ಷಿ', 'ಮೊಕದ್ದಮೆ'];ವ್ಯಾಜ್ಯವು ಒಂದು ನ್ಯಾಯಾಲಯದಿಂದ ಅಥವಾ ಯಾವುದೋ ಸಮಾನವಾದ ಕಾನೂನು ಪ್ರಕ್ರಿಯೆಯಿಂದ ನಿರ್ಧರಿಸಲ್ಪಡುವ ವಿರೋಧಿ ಪಕ್ಷಗಳ ನಡುವಿನ ವಿವಾದ.
activity;['ಹಕ್ಕು ನಿರಾಕರಣೆ', 'disclaimer'];ಹಕ್ಕು ನಿರಾಕರಣೆ ಎಂದರೆ ಸಾಮಾನ್ಯವಾಗಿ ಹಕ್ಕುಗಳು ಮತ್ತು ಭಾದ್ಯತೆಗಳ ವ್ಯಾಪ್ತಿಯನ್ನು ನಿರ್ದಿಷ್ಟಪಡಿಸುವ ಅಥವಾ ನಿರ್ಬಂಧಿಸುವುದಕ್ಕೆ ಉದ್ದೇಶಿತವಾದ ಯಾವುದೇ ಹೇಳಿಕೆಯಾಗಿರಬಹುದು, ಅದು ಒಂದು ಕಾನೂನು ಸಮ್ಮತ ಎಂದು ಪರಿಗಣಿಸಲ್ಪಟ್ಟ ಸಂಬಂಧಗಳಲ್ಲಿ ಪಕ್ಷಗಳಿಂದ ಆಚರಣೆಗೆ ತರಲ್ಪಡುತ್ತದೆ.
activity;['ವಿಚಾರಣೆ'];ಕಾನೂನಿನಲ್ಲಿ, ವಿಚಾರಣೆ ಎಂದರೆ ಒಂದು ವಿವಾದದಲ್ಲಿ ಭಾಗಿಯಾಗಿರುವ ಪಕ್ಷಗಳು ಮಾಹಿತಿಯನ್ನು ಪ್ರಸ್ತುತಪಡಿಸಲು ನ್ಯಾಯಮಂಡಳಿಯಲ್ಲಿ ಒಟ್ಟಿಗೆ ಸೇರುವುದು.
activity;['ಆವರ್ತಮಾರುತ'];ಆವರ್ತಮಾರುತ ವಾಯುಮಂಡಲದಲ್ಲಿ ಉಷ್ಣತೆ ಹೆಚ್ಚಾಗಿರುವ ಪ್ರದೇಶದಲ್ಲಿ ಕಡಿಮೆ ಒತ್ತಡವಿರುವ ಒಂದು ಕೇಂದ್ರದೆಡೆಗೆ ಎಲ್ಲ ಕಡೆಗಳಿಂದಲೂ ನುಗ್ಗುವ ಗಾಳಿ . ಸುಳಿಮಾರುತವೆಂದೂ, ಚಕ್ರವಾತವೆಂದೂ ಕರೆಯುತ್ತಾರೆ.
activity;['ಛಂದಸ್ಸು'];ಛಂದಸ್ಸು - ಪದ್ಯವನ್ನು ರಚಿಸುವ ಶಾಸ್ತ್ರ.
activity;['ಅರ್ಚಶಿಷ್ಟ ಘೋಷಣೆ', 'ಅಚ೯ಶಿಷ್ಟ ಘೋಷಣೆ'];ಅರ್ಚಶಿಷ್ಟ ಘೋಷಣೆ
activity;['ಗೆಟಿಸ್\u200dಬರ್ಗ್ ಕದನ'];ಗೆಟಿಸ್‍ಬರ್ಗ್ ಕದನ ಅಮೆರಿಕನ್ ಅಂತರ್ಯುದ್ಧದಲ್ಲಿ ನಿರ್ಧಾರಕ ಘಟ್ಟವೆಂದು ಪರಿಗಣಿತವಾಗಿರುವ, ಅತ್ಯಧಿಕ ಜೀವಹಾನಿಯನ್ನು ದಾಖಲಿಸಿದ ಒಂದು ಕದನ.
activity;['ಕಿರುಚಿತ್ರ'];ಕಿರುಚಿತ್ರವು ಯಾವುದೇ ಚಲನಚಿತ್ರವಾಗಿದ್ದು, ಚಲನಚಿತ್ರವನ್ನು ಪರಿಗಣಿಸಲಾಗುವುದಿಲ್ಲ.
activity;['ಚುಂಬನ', 'ಮುತ್ತು'];ಚುಂಬನ ಎಂದರೆ ತುಟಿಗಳಿಂದ ಇನ್ನೊಬ್ಬರ ತುಟಿಗಳನ್ನೋ ಕೆನ್ನೆ ಕೈ ಕಪೋಲಾದಿಗಳಲ್ಲೊಂದನ್ನೋ ಸ್ಪರ್ಶಿಸುವುದು.
activity;['ಮತದಾನ'];ಮತದಾನವು ಜನತೆಯು ಯಾವುದಾದರೂ ವಿಷಯ, ಅಥವಾ ಅಭ್ಯರ್ಥಿಗಳ ಬಗ್ಗೆ ತಮ್ಮ ನಿರ್ಣಯಗಳನ್ನು ಸೂಚಿಸಲು ಅನುವು ಮಾಡಿಕೊಡುವ ಒಂದು ಪ್ರಕ್ರಿಯೆ.
activity;['ಆರಂಭಿಕ ಸಾರ್ವಜನಿಕ ಷೇರು ಬಿಡುಗಡೆ', 'ipo'];ಆರಂಭಿಕ ಸಾರ್ವಜನಿಕ ಷೇರು ಬಿಡುಗಡೆ ಯನ್ನು ಸಾಮಾನ್ಯವಾಗಿ "ಆಫರಿಂಗ್" ಅಥವಾ "ಪ್ಲೋಟೇಷನ್" ಎಂದು ಕಂಪೆನಿಯು ಸಾಮಾನ್ಯ ಸ್ಟಾಕ್ ಅಥವಾ ಷೇರುಗಳನ್ನು ಸಾರ್ವಜನಿಕ ವಿತರಣೆಗೆ ಪ್ರಥಮಬಾರಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಿದ ಸಂದರ್ಭವನ್ನು ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ.
activity;['ಟ್ಯಾಪ್ ಡ್ಯಾನ್ಸ್'];ಟ್ಯಾಪ್‌ ಡ್ಯಾನ್ಸ್‌ ಎಂದರೆ ನುಣುಪಾದ ನೆಲದ ಮೇಲೆ ಎರಡು ಕಾಲುಗಳ ಆಧಾರದ ಮೇಲೆ ಒಬ್ಬರನ್ನೊಬ್ಬರು ತಟ್ಟುವ ರೀತಿಯಲ್ಲಿ ಇಬ್ಬರು ಮಾಡುವ ನೃತ್ಯಪ್ರಕಾರವಾಗಿದೆ.
activity;['ವಿವಾದ'];ವಿವಾದ ಎಂದರೆ ದೀರ್ಘಕಾಲೀನ ಸಾರ್ವಜನಿಕ ವಾಗ್ವಾದ ಅಥವಾ ಚರ್ಚೆಯ ಸ್ಥಿತಿ.
