activity;['анафема'];Ана́фема (грек.
activity;['референдум'];Референдум (лат.
activity;['мюзикл'];Мю́зикл (ингил.
activity;['граждан къазауат'];Граждан къазауат — бир къралны ичинде къуралгъан къауумланы арасында къазауатды, неда, бир къралны къурагъан эки миллетни арасында къазауат.
activity;['экинчи дуния къазауат', 'экинчи дуния къазаўат'];Экинчи дуния къазауат 1939 джылны 1-чи сентябрында башланыб — 1945 джылны 2-чи сентябрында бошалгъанды.
activity;['биринчи дуния къазауат'];Биринчи дуния къазауат (28 июль 1914 — 11 ноябрь 1918) — адам улуну тарихинде эм уллу къазауатланы бириди.
activity;['окъуу'];Окъуу — Билим, усталыкъ алыуда неда аны игилеуде адамланы нюзюрлю юрениу ишлеулериди.
activity;['расизм'];Расизм (фр.
activity;['асмакъ'];Асмакъ — закон бла эркинлик берилиб, аманлыкъгъа джолукъдуруу болуб (кёбюсюне ауур аманлыкъ этгенлеге) джашауну алыу.
activity;['кинематограф', 'кино'];Кинемато́граф (грек.
activity;['ёлчем'];Ёлчем неда Ёлчелеу деб, билинмеген уллулукъну, бу типли алай а билинген, биримге саналгъан эмда техника амалда сакъланнган (ёлчемлени амалы) уллулукъ бла тенглешдириуге айтадыла.
activity;['кюнню халы'];Кюнню халы (орус.
activity;['революция', 'инкъилаб'];Революция (лат.
activity;['чай'];Чай (къыт.
activity;['окъуу'];Окъуу — Билим, усталыкъ алыуда неда аны игилеуде адамланы нюзюрлю юрениу ишлеулериди.
activity;['журналистика'];Журналистика — бусагъатда магъаналы болгъан фактланы, багъаланы эмда комментарийлени джыйылыуун хайырланыб, социал къауумланы дуниягъа къарамларын, ангыларын актуализациясыды.
activity;['уллу француз революция'];Уллу француз революция (фр.
activity;['шпион'];Шпиона́ж — тыш къралланы органларыны башха къралда тахса джыйыууду.
activity;['плессиде сермешиу'];Плессиде сермешиу (тюзюрек — Палашиде сермешиу. ингил.
activity;['къазауат'];Къазауат — политика къуралышланы (къралланы, къауумланы, политика къауумлулукъланы д. а.
activity;['абш-да граждан къазауат', 'абш-да граждан къазаўат', 'американ граждан къазауат', 'американ ич къазауат'];АБШ-да граждан къазауат (ингил.
activity;['балкан къазауатла'];Балкан къазауатла — Биринчи дуния къазауатны аллы бла 1912—1913 эм 1913 джыллада баргъан эки къазауатды.
agentive-figure;['кърал', 'къырал'];Кърал — социал, маданият интереслери бла бирикген, белгили бир территориягъа ие, кесини оноу системасы, сауутлу кючлери, тыш эмда ич суверинитети болгъан джамагъатны къуралышыды.
agentive-figure;['дуния банк'];Дуния банк — айный тургъан къраллагъа болушлукъ этер нюзюр бла къуралгъан халкъла арасы финанс организацияды.
agentive-figure;['дуния саулукъ организация', 'who', 'world health organization', 'дсо'];Дуния саулукъ организация (ДСО, ингил.
agentive-figure;['халкъла арасы ачха фонд', 'мвф', 'хааф', 'хавф', 'халкъла арасы валюта фонд'];Халкъла арасы ачха фонд, ХААФ (ингил.
agentive-figure;['бмо-ну сабий фонду', "united nations international children's emergency fund", 'юнисеф'];БМО-ну сабий фонду неда ЮНИСЕФ (ингил.
agentive-figure;['бирлешген миллетлени окъуудан, илмудан эмда культурадан организациясы', 'бирлешген миллетлени окъуудан', 'юнеско'];ЮНЕСКО (ингил.
agentive-figure;['бойсунмагъан къралланы бирлиги', 'бкъб', 'бойсунмагъан кралланы бирлиги'];Бойсунмагъан Къралланы Бирлиги (БКъБ) (азер.
agentive-figure;['миллетлени биригиую', 'британ миллетлени биригиую', 'commonwealth of nations', 'британ биригиу', 'британ шохлукъ', 'содружество наций'];Миллетлени биригиую (ингил.
agentive-figure;['наса'];НАСА-хауада учуугъа эм аламны тинтиуюге миллет оноу бардырыу (инглиз.
agentive-figure;['шимал атлантика кесаматны организациясы', 'шимал атлантика альянс', 'нато'];Шимал Атлантика Кесаматны Организациясы, НА́ТО, Шимал Атлантика Альянс (ингил.
agentive-figure;['европа бирлик', '🇪🇺', 'еб'];Европа Бирлик — Маастрихт кесаматха къол салгъан, Европаны 28 къралыны биригиуюдю.
agentive-figure;['араб къралланы лигасы'];Араб къралланы лигасы (АКъЛ) (араб.
