geographical-object;['oseania', 'אוסיאניה', 'oceania', 'oceanía'];קונטינינטה פורמאנדו פור איזלאס
information-realization;['ansiklopedya', 'ansiklopedia', 'enciclopedia', 'ensiklopedia', 'אנסיקלופידיה'];Kompendio de konosimiento umano
information-realization;['muzika', 'מוזיקה', 'musika'];Arte de kombinar sonidos para provokar sensasiones
locative-role;['mayenne'];Departamento franses
locative-role;['galia', 'גאלייה'];Region de Evropa aktualmente okupada por Fransia, etc.
locative-role;['light'];alkunya
political-geographic-object;['abruzzo'];Rejion italiana
political-geographic-object;['almania', 'alemania', 'אלמאניה', 'deutschland'];Paez del sentro de Evropa
political-geographic-object;['venezuela', 'בנצואלה'];Payis de la Amerika del Sud
political-geographic-object;['fransia', 'פראנצײה', 'fransiya', 'fransya', 'repuvlika franseza'];Payis evropeo
political-geographic-object;['israel', 'medinat yisrael', 'yisrael', 'ישראל', 'מדינת ישראל', 'izrael'];Estado en Asia Oksidentala
subject;['arkeolojiya', 'ארקיולוג׳ײה'];La dissiplina dedikada al estudio de antiguas kulturas humanas
subject;['kemika', 'קימיקה'];Sensia ke investiga las interaksiones de los átomos
subject;['biolojiya', 'בײולוג׳ײה'];La sensia de la vida
subject;['linguistika', 'לינגויסתיקה'];Estudio sientifiko del lenguaje
temporal-region;['pesah'];Fiesta djudia
temporal-region;['shabat', 'sabeda', 'shabbat'];Diya de la semana
