activity;['twiede wereldoorlog', 'tjwedde waereldoorlog', 'twieëde waereldoerlog', 'twiède waereldoorlog', 'world war ii', 'tsweide weltkreeg', 'tweede waereldkrieg', 'tweede waereldoorlog', 'tweede wereldoorlog', 'tweide waereldaorlog', 'tweëde waereldaorlog', 'tweëde waereldoarlog', 'twiede waeltkreeg', 'twiede waeltkrèèg', 'twiede waereldaorlog', 'twiede waereldkreeg', 'twiede waereldoorlog', 'twiede weltkreeg', 'twiede weltoorlog', 'twieden wereldoorlog', 'twieëde waereldkrieg', 'twieëde waereldoorlog', 'twieëde weltkreeg', 'twieëde weltkrieg', 'twieëde weltkrig', 'twieëde wereldoorlog', 'twieëde werreldoorlog', 'twieëde weëreldoerlog', 'twieëdje waereldjkrieg', 'twieëdje waereldkrieg', 'twieëdje weltkrieg', 'twieëdje werreldjoerlog', 'twieëdje werreldkrieg', 'twieëdje werreldoorlog', 'twiède waereldaorlog', 'twièdje werreldkrieg', 'wo ll'];Wikimedia-verdudelikingspazjena
agentive-figure;['benelux', 'bènelux'];Unie tösse ''t Belsj, Nederland en Luxemburg
agentive-figure;['divan'];Wikimedia-lies
agentive-figure;['grieks-orthodoxie', 'grieks-orthodoxe kèrk', 'griechisch-orthodoxe kirche', 'grieks-orthodox', 'grieks-orthodoxe kerk', 'grieks-orthodoxe kirk', 'griekse orthodoxie', 'grieksj-orthodoxe kirk', 'grieksj-orthodoxe kèrk', 'grieksj-orthodoxie'];Wikimedia-verdudelikingspazjena
agentive-physical-object;['pisblóm', 'gal', 'kniensvoor', 'knijnsvoor', 'kèttekroed', 'kèttingblóm', 'lintblóm', 'luusblóm', 'molsjla', 'paersjblom', 'paersjbloom', 'piesbloom', 'pisblom', 'taraxacum officinale', 'zoermèlk', 'piesblóm', 'pisbloom'];Wikimedia-verdudelikingspazjena
agentive-physical-object;['ammodytidae'];Wikimedia-verdudelikingspazjena
amount-of-matter;['water', 'h₂o'];''n chemische verbinding vaan ein zuurstofatoom en twie waterstofatome
causal-role;['antimicrobiano'];Wikimedia-verdudelikingspazjena
event;['caduta massi'];Wikimedia-verdudelikingspazjena
event;['olympische speule', 'olympiesje sjpele', 'olympische sjpaele', 'olympische sjpele', 'olympische sjpäöle', 'olympische spele', 'olympische winterspeule', 'olympische wèntjersjpele', 'olympische zomersjpele'];Olympische Spelen
functional-matter;['consomme'];Wikimedia-verdudelikingspazjena
geographical-object;['nuuj-caledonië', 'nui-caledonië', 'nui-kaledonië', 'nuuj-kaledonië'];Wikimedia-categorie
information-realization;['encycliek'];Dit artikel is gesjreve in ''t Norbiks
information-realization;['rondeau', 'rondó'];Wikimedia-verdudelikingspazjena
information-realization;['deuteronomium'];Viefdje book Biebels, kompost 34 houfsjtads
information-realization;['numeri'];Veerde book Biebels, kompost 36 houfsjtads
information-realization;['leviticus'];Dèrdje book Biebels, kompost 27 houfsjtads
locative-role;['utrei', 'utrech', 'utrecht'];Nederlandse gemeinte
physical-object;['brögk', 'brök'];Wikimedia-lies
physical-object;['elettrometro'];Wikimedia-verdudelikingspazjena
physical-object;['flansch'];Wikimedia-verdudelikingspazjena
political-geographic-object;['utrei', 'utrech', 'utrecht'];Nederlandse gemeinte
political-geographic-object;['tonga'];Wikimedia-lies
political-geographic-object;['stockholm', 'sjtockholm', 'sjtokholm', 'stokholm'];Houfstad en de groeatste stad ven Zwede
practice;['tatakelakuan'];Wikimedia-verdudelikingspazjena
socially-constructed-person;['rossetti', 'dante gabriel rossetti'];Wikimedia-verdudelikingspazjena
socially-constructed-person;['gentilitas'];Wikimedia-verdudelikingspazjena
subject;['bloodslieër'];Wikimedia-lies
taxonomic-collective;['charales'];Wikimedia-categorie
temporal-region;['1 juli'];Datum
temporal-region;['1 jannewarie', '1 jannëwôrë', '1 januari'];Datum
temporal-region;['2 fibberwarie', '2 februari', '2 fibberwari'];Datum
temporal-region;['1 november', 'allerheilige', 'allerheilege'];Datum
temporal-region;['kaersjmes', '25 december', 'kaersmes', 'kaeërsjmès', 'keersemes', 'keersjmes', 'keersmes', 'keersmis', 'kersmes', 'kerstmis', 'keësjmes', 'krismes', 'wainachte', '25 dieëtsember', 'kaersjmis', 'kaersjmès', 'kaersmis', 'kaersmès', 'kaesjmes', 'kaeësjmes', 'keersemis', 'keersemès', 'keersjmis', 'keersjmès', 'keersmès', 'kersjmes', 'kersjmis', 'kersjmiseiland', 'kersjmès', 'kersmis', 'kersmès', 'kirsjmes', 'kirsjmis', 'kirsjmès', 'kirsmes', 'kirsmis', 'kirsmès', 'kosjmes', 'krisjmes', 'krisjmis', 'krisjmès', 'krismis', 'krismès', 'kèrsjmes', 'kèrsjmis', 'kèrsjmès', 'kèrsmes', 'kèrsmis', 'kèrsmès'];Datum
temporal-region;['19 miert', '19 maart', '19 meert', '19 mieërt', '19 mièrt'];Datum
temporal-region;['14 april', '14 aprèl'];Datum
temporal-region;['24 oktober', '24 oktoeaber'];Datum
temporal-region;['12 oktober', '12 oktoeaber'];Datum
temporal-region;['4 juli'];Datum
temporal-region;['24 mei'];Datum
temporal-region;['17 september'];Datum
temporal-region;['1 augustus'];Datum
temporal-region;['14 juni'];Datum
temporal-region;['29 juni'];Datum
temporal-region;['29 september'];Datum
temporal-region;['21 juni'];Datum
temporal-region;['1 mei'];Datum
temporal-region;['2 miert', '2 maart', '2 mieërt'];Datum
temporal-region;['29 fibberwarie', '29 februari'];Datum
temporal-region;['23 juni'];Datum
temporal-region;['6 jannewarie', 'epifanie', '6 januari'];Datum
