agentive-physical-object;['fissipedia'];Carnivora
amount-of-matter;['latton', 'lutùn'];lîga metàlica òscidàbile
language;['lengua græca antiga', 'lengua grega antiga', 'grego antigo'];Léngoa parlâ da-i grêghi de l'antichitæ
locative-role;['pisa'];Comûn italiàn
physical-object;['groppo de bandea'];groppo
political-geographic-object;['pisa'];Comûn italiàn
socially-constructed-person;['abraham lincoln'];16° prescidente USA
socially-constructed-person;['martin van buren'];prescidente do USA
socially-constructed-person;['millard fillmore'];13° prescidente de USA
substance-role;['latton', 'lutùn'];lîga metàlica òscidàbile
temporal-region;['ànno bizestîle'];ànno de 366 giòrni
