information-realization;['ເພງຊາດ', 'ພງຊາດ'];ພງຊາດ
phenomenon;['ลาว', 'ແຜ່ນດິນໄຫວ'];ลาว
physical-object;['ອິນເຕີເນັດ', 'ອິນເຕີຣ໌ເນັຕ'];ลวย แส้งสุลิยะabout
political-geographic-object;['ປະເທດລາວ', 'ເມືອງລາວ', 'ລາວ', 'sathalanalat paxathipatai paxaxôn lao', 'ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ', "lao people's democratic republic", 'laos', 'ประเทศลาว', 'ປະເທດ ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ', 'ປະເທດສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ', 'ສປປ ລາວ', 'ສາທາລະນະລັດປະຂາທິປະໄຕປະຊາຊົນລາວ', 'ສາທາລະນະລັດປະຊາທິປະໄຕປະຊາຊົນລາວ'];Lao
political-geographic-object;['ປະເທດເອກົວເຕີ', 'ເອກວາດໍ', 'ec', 'ecu', 'ecuador', 'república del ecuador', 'ສາທາລະນະລັດເອກົວເຕີ'];ແມ່ນປະເທດໃນພາກຕາເວັນຕົກສຽງເໜືອຂອງທະວີບອາເມລິກາໃຕ້
political-geographic-object;['ປະເທດໄທ', 'ເມືອງໄທ', 'ໄທ', 'thailand', 'ประเทศไทย', 'ไทย', 'ປະເທດສະຫຍາມ', 'ລາຊະອານາຈັກສະຫຍາມ', 'ລາຊະອານາຈັກໄທ', 'ລາດຊະອານາຈັກໄທ'];ປະເທດໃນອາຊີຕາເວັນອອກສຽງໄຕ້
political-geographic-object;['ເອທິໂອເປຍ'];ຕັ້ງຢູ່ທະວີບອາຟຣີກາ
political-geographic-object;['ຢ່າງກຸ້ງ', 'yangón'];ອະດີດນະຄອນຫຼວງຂອງພະມ້າແລະເປັນນະຄອນຫຼວງຂອງເຂດຢ່າງກຸ້ງ
political-geographic-object;['ບາງກອກ', 'ບັງກອກ', 'ກຸງເທບ', 'ກຸງເທບມະຫານະຄອນ', 'bangkok', 'ນະຄອນຫຼວງບາງກອກ'];ນະຄອນຫຼວງຂອງປະເທດໄທ
socially-constructed-person;['ຫລຸຍ ປັສເຕີ', 'louis pasteur', 'ປັສເຕີ'];ນັກເຄມີ ແລະ ນັກຊີວະວິທະຍາຄົນຝຣັ່ງ, ເປັນຜູ້ກໍ່ຕັ້ງສະຖາບັນປັສເຕີ
socially-constructed-person;['ມະຫາຕະມາ ຄານທີ'];ຜູ້ນໍາດ້ານການເມືອງແລະສາສະຫນາຂອງອິນເດຍ
