activity;['ledo ritulys', 'ledo ritulio', 'moterų ledo ritulio', 'ritulio žaidimas'];Žiemos sporto šaka
activity;['pamoka', 'pamokas'];Laikas, skirtas mokomajam dalykui
activity;['antrasis pasaulinis karas', '2pk', 'antras pasaulinis karas', 'ii pasaulinis karas', 'iipk', 'nacių okupacijos', 'world war 2'];Karinis konfliktas, trukęs nuo 1939 iki 1945 m.
activity;['pirmasis pasaulinis karas', 'didysis karas', 'didžkaris', '1 pasaulinis karas', '1pk', 'i pasaulinis karas', 'ipk', 'pirmas pasaulinis karas', 'karas karui', 'didžiojo karo', 'i pasaulinio karo', 'pasaulinio karo 1'];Karas, vykęs 1914 m. liepos 28 d. – 1918 m. lapkričio 11 d.
agentive-figure;['centrinis bankas', 'centrinių bankų'];Turkistano
agentive-figure;['europos sąjunga', 'es', 'europos ekonominė bendrija', 'eu', 'eeb', 'europos bendrija', '🇪🇺', 'europos sajunga', 'europos bendrijos', 'bendroji rinka', 'eb', 'es atsakomąsias', 'europos ekonominės bendrijos', 'europos sąjungos'];Europos valstybių ekonominė bei politinė bendrija
agentive-figure;['jungtinių tautų organizacija', 'jt', 'jungtinės tautos', 'jto', 'suvienytųjų nacijų organizacija', 'un', 'united nations', 'jungtinių tautų', 'u.n', 'jungtinių tautų organizacijos'];Organizacija
agentive-figure;['katalikų bažnyčia', 'romos katalikų bažnyčia', 'romos katalikai', 'romos katalikas', 'romos katalikybė', 'romos katalikų', 'romos katalikų bažnyčios', 'katalikai', 'katalikų bažnyčios'];Viena iš 23 katalikų bažnyčių
agentive-physical-object;['jūriniai paukščiai', 'jūros paukščių', 'seabird', 'jūrų paukščiams'];Paukščiai, adaptavęsi gyventi jūrose
agentive-physical-object;['bervidinis kailiavabalis', 'anthrenus scrophulariae', 'buivolo kilimų vabalas'];Vabalas iš kailiavabalių šeimos
agentive-physical-object;['žmogus', 'žmonės', 'žmogiška būtybė', 'homo', 'homo sapiens', 'homo sapiens sapiens', 'žmonija', 'žmogaus', 'žmonių'];Dvikojis primatas, priklausantis hominidų šeimai ir žinduolių klasei.
agentive-physical-object;['taurusis elnias', 'cervus elaphus', 'taurieji elniai', 'elaphus', 'red deer', 'tauriųjų elnių'];Elninių šeimos žinduolis
agentive-physical-object;['hind'];Moteriškas vardas
agentive-physical-object;['stingray', 'sting ray', 'stingrays'];Zuvis panasi i rykli
agentive-physical-object;['helix pomatia', 'vynuoginė sraigė', 'valgomieji sraigė'];Moliuskų rūšis
agentive-physical-object;['trijuostė sansevjera', 'uošvės liežuvis', 'sansevieria trifasciata', 'gyvatė augalų'];Smidrinių šeimos augalų rūšis
agentive-physical-object;['mažoji žiemė', 'vinca minor', 'vinca nepilnametis'];Stepukinių (Apocynaceae) šeimos šliaužiantis augalas
agentive-physical-object;['kačiukas', 'kačiukai'];kačių jauniklis
amount-of-matter;['linoleno rūgšties'];Nuorodinis straipsnis Vikimedija projekte
amount-of-matter;['kalcis', 'ca', 'atominis skaičius 20', 'kalcio'];Jo yra piene ir kituose pieno produktuose. Reikalingas dantims ir mūsų kaulams.
amount-of-matter;['coca cola', 'coca-cola', 'kokakola', 'koka kola', 'kola', 'koka-kola', '"coca cola"'];Gazuotas gaivusis gėrimas
biological-object;['skrandis', 'ventriculus', 'skrandžio', 'gaster', 'skrandžio sekreciją', 'tum', 'širdies angą'];virškinimo sistemos organas
biological-object;['obuolys', 'obuolių', 'green apple', 'malus domestica', 'žalioji apple'];Būdingas obelų vaisius, morfologiškai irgi vadinamas obuoliu
causal-role;['reagentas', 'cheminis reagentas', 'reagentai', 'reagento'];Reagentas - Tai medžiaga kuri reguoja.
cognitive-event;['laimė', 'laimingas', 'laimės'];Pasitenkinimo, gerovės, gyvenimo džiaugsmo būvis.
functional-matter;['limfa', 'limfinės', 'limfos'];Limfa
functional-matter;['makaronai', 'pusgalvis', 'makaronų'];Itališkai - Pasta
functional-matter;['kino studijos', 'kino studijas'];Akademinė disciplina, tirianti filmus įvairiais teoriniais, istoriniais ir kritiniais aspektais
functional-matter;['coca cola', 'coca-cola', 'kokakola', 'koka kola', 'kola', 'koka-kola', '"coca cola"'];Gazuotas gaivusis gėrimas
functional-matter;['obuolys', 'obuolių', 'green apple', 'malus domestica', 'žalioji apple'];Būdingas obelų vaisius, morfologiškai irgi vadinamas obuoliu
functional-matter;['durpės', 'durpė', 'durpių', 'durpynai', 'durpynų'];Organinė degioji nuosėdinė uoliena
functional-matter;['impostas', 'springer'];Nuorodinis straipsnis Vikimedija projekte
functional-matter;['nuodegos', 'šlakas', 'šlako', 'šlako krūvos'];Cheminė medžiaga
geographical-object;['didžioji britanija', 'didžiosios britanijos sala'];Šablonas Vikipedija
geographical-object;['martinika'];Prancūzijos departamentas
information-object;['prieveiksmis', 'prieveiksmiai', 'prieveiksmių'];Nei linksniais, nei asmenimis nekaitomaa kalbos dalis
information-object;['garbės medalis', 'medal of honor', 'kongreso medal of honor'];aukščiausia karinė puošmena, apdovanota JAV.
information-realization;['enciklika', 'enciklikoje', 'enciklikos', 'popiežiaus enciklikoje'];Popiežiaus kreipimasis į pasaulio katalikus
information-realization;['skaičių knyga'];Ketvirtoji Penkiaknygės ir Senojo Testamento knyga, sudaryta iš 36 skyrių
language;['mongolų kalba', 'mongolų kalbos', 'mong.', 'mongolic', 'mongolic kalba'];Kalba
language;['indoeuropiečių prokalbė', 'proto-indo europos'];Hipotetinė indoeuropiečių kalbų pirmtakė
language;['danų kalba', 'da', 'dan', 'danų', 'danijos'];Kalba
language;['puštūnų kalba', 'afganistaniečių', 'afganų kalba', 'puštu kalba', 'puštų', 'paxto', 'pukhto', 'pushto', 'pushtu', 'puštūnų'];Kalba
language;['amharų kalba', 'amcharų kalba', 'amherų kalba', 'amharų', 'etiopijos kalba', 'etiopijos semitų kalbos'];Kalba
language;['naujos graikijos', 'šiuolaikinėje graikų', 'šiuolaikinės graikų', 'šiuolaikinės graikų kalbos'];kalba
language;['gudžaratų kalba', 'gudžarati', 'gudžarati kalba'];Kalba
language;['hindi', 'hindi kalba', 'standartinis hindi'];Viena iš Indijos indoarijų kalbų
language;['estų kalba', 'estas', 'estė', 'esthonian', 'estijos'];Kalba
language;['vengrų kalba', 'vengrų'];Kalba
language;['latvių kalba', 'latvių', 'latviešu'];Kalba
language;['čekų kalba'];Kalba
language;['vokiečių kalba', 'vokiečių', 'aukštutinės vokiečių kalbos', 'hochdeutsch', 'vokiečių-aukštaičių', 'vokiečių aukštaičių', 'vokiečių aukštaičių tarmė', 'aukštos vokiečių', 'germanophone'];Kalba
locative-role;['florencija', 'firenze', 'florencij'];Komuna Italijoje
locative-role;['kaunas', 'kauno miesto savivaldybė', 'kauno', 'kovna', 'kovno'];Antras pagal dydį Lietuvos miestas
locative-role;['piza', 'pisa'];Komuna Italijoje
locative-role;['paduja', 'padova', 'paduva', 'patavijus', 'patavium'];Komuna Italijoje
locative-role;['majenas', 'mayenne'];Prancūzijos departamentas
