activity;['parang dunia ii', 'world war ii'];Laman disambiguasi
agentive-figure;['liga arab', 'liga nagara-nagara arab'];Organisasi bangso-bangso Arab
agentive-figure;['griechisch-orthodoxe kirche'];Laman disambiguasi
agentive-physical-object;['serralha'];Laman disambiguasi
agentive-physical-object;['taraxacum officinale'];Laman disambiguasi
agentive-physical-object;['capros aper'];Laman disambiguasi
agentive-physical-object;['ammodytidae'];Laman disambiguasi
biological-object;['serviks', 'lihia rahim'];bagian nan mahubuangan rahim jo vagina pado sistem reproduksi padusi
biological-object;['tangkurak'];tulang kapalo
causal-role;['antimicrobiano'];laman disambiguasi
ecological-collective;['wälder'];Namo asli
event;['caduta massi'];laman disambiguasi
event;['knell'];Namo asli
functional-matter;['consomme'];laman disambiguasi
information-realization;['kodepos', 'post code', 'postal code'];Sistem panandoan alamaik surek
information-realization;['rondó'];laman disambiguasi
information-realization;['sulaman tusuak silang'];jinih sulaman nan mamakai banang jahik nan saling basilangan (mambantuak huruf X)
language;['bahaso indonesia', 'baso indonesia'];bahaso rasmi di Indonesia
physical-body;['bulan'];Satelit alami Bumi
physical-body;['bumi'];Planet ka-3 pado Tata Surya
physical-object;['kandang situmbin', 'panjaro'];fasilitas tampek manguruang urang sacaro paso di bawah otoritas nagara
physical-object;['elettrometro'];laman disambiguasi
physical-object;['flansch'];laman disambiguasi
political-geographic-object;['korea utaro', 'korea utara'];Nagara di Asia
political-geographic-object;['inggirih', 'inggris'];Nagara
political-geographic-object;['austria'];Nagara di Eropa Tangah
political-geographic-object;['jerman', 'republik federal jerman'];Nagara di Eropa
political-geographic-object;['hindia-balando', 'indonesia', 'republik indonesia', 'hindia-bulando', 'hindia-ulando', 'hindia balando', 'hindia bulando', 'hindia ulando'];Nagara di Asia Tenggara
political-geographic-object;['andorra'];Nagara di Eropa
practice;['tatakelakuan'];laman disambiguasi
region;['mato uang'];Alaik pambayaran nan sah
region;['kina'];Mato uang Papua Nugini
situation;['baguak'];panyakik di lihia
social-role;['mato uang'];Alaik pambayaran nan sah
socially-constructed-person;['jawaharlal nehru', 'pandit jawaharlal nehru', 'pandit nehru', 'nehru'];Nagarawan India
socially-constructed-person;['urang'];Individu
socially-constructed-person;['jantan'];Jinih kalamin binatang
socially-constructed-person;['laki-laki'];Jinih kalamin untuak urang
socially-constructed-person;['gentilitas'];laman disambiguasi
socially-constructed-person;['wright'];Namo asli
taxonomic-collective;['charales'];kategori Wikimedia
