abstract-region;['скаларна физичка величина', 'скалар'];Еднодимензионална физичка величина
activity;['рагби'];Спорт
activity;['број'];Граматичка категорија
activity;['табла', 'та́бла'];една од најстарите игри на табла за двајца играчи
activity;['francisco lopez alfaro'];фудбалер
activity;['конфликт', 'судир', 'спор'];Несогласување и неслога во една група или помеѓу разни групи
activity;['термопилска битка'];Битка меѓу сојузот од градови-држави во Стара Грција и Персиското царство
activity;['снукер', 'snooker', 'снукерист'];Билијардска игра
activity;['хокеј на мраз', 'ice hockey', 'хокеар'];Зимски екипен спорт
activity;['крикет'];Екипен спорт со топче и палка
activity;['пантомима', 'makedonki'];Pantomima
activity;['наполеонови војни', 'наполеонски војни', 'наполеоновите војни'];низа војни помеѓу Франција под водство на Наполеон Бонапарт и други европски земји
activity;['осветување'];Свечено посветување на нешто за посебна намена или служба
activity;['геомагнетна бура', 'магнетна бура'];Привремено пореметување во Земјината магнетосфера предизвикано од пореметувања во меѓупланетарната средина
activity;['балет', 'сценски танц', 'балерина', 'балетан', 'балетски уметник'];Уметнички вид на игра
activity;['втора светска војна', 'ii светска војна', 'втората светска војна', 'vtora svetska vojna', 'всв'];Глобален вооружен конфликт во средината на XX век
activity;['обука', 'тренинг', 'тренирање'];Стекнување со знаења, вештини и други способности, освојувајќи ги со подучување
activity;['проповед'];говор на свештено лице
activity;['расизам', 'расна дискриминација'];Форма на расна или етничка дискриминација
activity;['кревање тегови', 'дигање тегови'];Поединечен спорт
activity;['логистика'];Раководење со протокот на ресурси
activity;['контрацепција', 'kontracepcija prezervativi', 'котрацепција'];Спречување на несакана бременост
activity;['иселување', 'емиграција'];Чин на напуштање на сопствената држава или регион со намера да се насели во друга држава или регион
activity;['снег'];Врнежи во облик на снегулки од кристализиран воден талог
activity;['моторџиство'];Возење на мотоцикл
activity;['лизгање на мраз', 'лизгање'];Зимска разонода
activity;['акредитација'];Појаснителна страница
activity;['возење'];управување со возило
activity;['список', 'спи́сок', 'листа'];Збир на информации
activity;['рударство'];Добивање на минерали и друг ископан материјал од земјата
activity;['скокање'];Појаснителна страница
activity;['нумизматичка збирка'];збирка на монети
activity;['деколонизација'];Процес на уникување на колонизација
activity;['заштита'];Викимедиина појаснителна страница
activity;['претпријатие'];Организација што се заниамва со продажба на стоки и/или услуги
activity;['акултурација'];Процес на културна и психолошка промена
activity;['рели'];Вид мототрки
activity;['премиера', 'праизведба'];Прва изведба на некое дело
activity;['претседател на соединетите американски држави', 'претседател на сад', 'претседателот на сад'];Шеф на државата и владата на Соединетите Американски Држави
activity;['славна револуција'];револуција во Британија во XVII век
activity;['шпионажа'];Потајно добивање на доверливи сознанија
activity;['жонглирање'];Циркуска вештина
activity;['преместување'];Процес на преселба од една локација (живеалиште или бизнис) на друго место
agentive-figure;['друштво со ограничена одговорност', 'д.о.о.'];појаснителна страница на Викимедија
agentive-figure;['терминатор: мрачна судбина', 'терминатор 6'];фил на Тим Милер од 2019 г.
agentive-figure;['divan'];Список на статии на Викимедија
agentive-figure;['мускоги', 'крик'];Домороден народ во САД
