abstract-region;['квадрат функц'];Квадрат функц нь 2-зэргийн олон гишүүнтээр илэрхийлэгдэх функц юм.
abstract-region;['хамгийн бага ерөнхий хуваагдагч'];Хамгийн бага ерөнхий хуваагдагч гэдэг нь 2 бүхэл тооны хувьд, аль алиных нь хуваагдагч болдог хамгийн бага натурал тоог хэлнэ.
activity;['регби'];Регби хөл бөмбөг нь Америк хөлбөмбөг, Канад хөл бөмбөгийн эцэг нь Регби хөл бөмбөг юм.
activity;['зүү эмчилгээ'];Зүү эмчилгээ нь хүний биен дээрх тодорхой цэг дээр зүү хатгах, төөнөх, дарах, барих, лазераар тусгах аргуудын аль нэгийг болон хослуулан хэрэглэж тодорхой төрлийн өвчин, зовиурыг эмчлэх арга болно.
activity;['цахим шуудан', 'и-мэйл', 'и мэйл'];Цахим шуудан, өөрөөр и-мэйл (англ.
activity;['үйлдвэрлэл'];Үйлдвэрлэл гэдэг нь хүний оролцоотойгоор тодорхой ажлын процессоор нөлөөлөн, байгалийн түүхий эд эсвэл хагас боловсруулсан, боловсруулсан анхны түүхий эдийг энерги болон үйлдвэрлэлийн техник ашиглан агуулах боломж бүхий эдийн засгийн болон хэрэглээний зориулалттай ямарваа нэг зүйлийг үйлдвэрлэхийг хэлнэ.
activity;['го'];Го бол хоёр тоглогчид зориулсан стратегийн хөлөгт тоглоом юм.
activity;['циклон'];Агаарын бага даралтын үед үүссэн агаарын хуйлрааг циклон гэнэ.
activity;['нэйсбигийн тулалдаан'];Нэйсбигийн тулалдаан (англ.
activity;['зуун буудалт даам', 'даам', '100 буудалт даам'];Зуун буудалт даам нь даамын нэг төрөл болох оюуны спорт юм.
activity;['загалмайтны анхны аян'];Загалмайтны анхны аян (англ.
activity;['загалмайтны гурав дахь аян'];1189 III Александр пап, Фредерик Барборас хаан, Английн хаан Арслан зоригт гэгддэг 1-р Ричард Францын хаан II Филипп нарын удирдлагаар гуравдахь довтолгоо эхэлсэн.
activity;['аустерлицийн тулалдаан'];Аустерлицийн тулалдаан буюу Гурван эзэн хааны тулалдаан нь 1805 оны 12 сарын 2 нд I Наполеоны удирдлага дорх Францын эзэнт гүрэн нь I Александр ба II Францын удирдсан Орос-Австрийн хамтарсан армийг бут цохисноор Гуравдугаар эвслийг төгсгөхөд хүргэсэн тулалдаан юм.
activity;['иран-иракийн дайн', 'ирак-ираны дайн'];Иран-Иракийн дайн 1980-1988 онд үргэлжилсэн.
activity;['баримтат кино'];Баримтат кино
activity;['хөлбөмбөг', 'хөлбөмбөгчин'];«Хөлбөмбөг» үгээр энд холбогдлоо.
activity;['кино', 'уран сайхны кино'];Кино нь урлагийн томоохон нэгэн хэсэг бөгөөд нарийн утгаараа кино театрт үзэгчдэд үзүүлдэг, хөдөлгөөнт дүрс бүхий бүтээлийг хэлнэ.
activity;['снукер', 'снукер биллиард', 'snooker'];Снукер (англ.
activity;['шатар'];Шатар нь хоёр хүн хоорондоо тоглодог хөлөгт тоглоом юм.
activity;['дартс'];Дартс (англ.
