information-realization;['esej', 'essay', 'saġġ', 'esejs'];tip ta' kitba normalment miktuba mill-perspettiva tal-awtur
locative-role;['light'];kunjom
physical-body;['id-dinja', 'l-art', 'art', 'dinja', 'tad-dinja'];It-tielet pjaneta fis-sistema solari
political-geographic-object;['ir-renju unit', 'renju unit', "ir-renju unit tal-gran brittanja u l-irlanda ta' fuq", 'ingilterra', 'gran brittanja', 'brittanja', "ir-renju unit tal-gran brittanja u l-irlanda ta 'fuq", 'u.k.', 'uk'];Pajjiż fl-Ewropa
political-geographic-object;['ekwador', 'ec', 'ecu', 'repubblika tal-ekwador'];Repubblika demokratika rappreżentattiva fl-Amerika t'Isfel
region;['lira eġizzjana', 'eġizzjan lira'];il-munita tal-Eġittu
region;['lira maltija', 'lira', 'liri', 'liri maltin'];il-munita preċedenti ta' Malta
situation;['vjaġġ', 'jivvjaġġaw', 'l-ivvjaġġar'];Ċaqliq ta' persuni minn post għall-ieħor fuq medda ta' distanza
temporal-region;["1 ta' lulju", 'jum dominion', 'lulju 1'];Data
temporal-region;["1 ta' jannar", '01 jannar', '1 jan', '1 jannar', 'jannar 1', "solennita 'ta' marija"];Data
temporal-region;["2 ta' frar", '2 frar', 'groundhog jum'];Data
temporal-region;['jum il-qaddisin kollha', "1 ta' novembru", '1 novembru', 'allhallows', 'hallowmas', 'hallowmass', 'jum il-qaddisin', 'jum kollha saint'];Data
temporal-region;['milied', "25 ta' diċembru", 'jum il-milied', 'xmas', '25 diċembru'];Data
temporal-region;["19 ta' marzu", '19 mar', 'san ġużepp'];Data
temporal-region;["14 ta' april", 'april 14', 'pan amerikana jum'];Data
temporal-region;["24 ta' ottubru", '24 ottubru', 'nazzjonijiet uniti jum', 'ottubru 24'];Data
temporal-region;["12 ta' ottubru", '12 ottubru', 'columbus day', 'jum columbus', 'jum discovery'];Data
temporal-region;['jum l-indipendenza', "4 ta' lulju", 'lulju 4', "raba 'lulju"];Data
temporal-region;["24 ta' mejju", 'jum imperu', 'commonwealth day', 'jum commonwealth', 'mejju 24'];Data
temporal-region;["17 ta' settembru", 'jum ċittadinanza', 'settembru 17'];Data
temporal-region;["1 ta' awwissu", 'lammas', 'awissu 1', 'jum lammas'];Data
temporal-region;["14 ta' ġunju", 'jum bandiera', 'ġunju 14'];Data
temporal-region;["29 ta' ġunju", 'ġunju 29', 'san pietru u pawlu'];Data
temporal-region;["29 ta' settembru", 'michaelmas', "f'jum michaelmas", 'jum michaelmas', 'michaelmas jum', 'settembru 29'];Data
temporal-region;["21 ta' ġunju", 'nofs is-sajf', 'ġunju 21', 'solstizju tas-sajf'];Data
temporal-region;["1 ta' mejju", "ewwel ta 'mejju", 'mejju 1', 'mejju jum'];Data
temporal-region;["2 ta' marzu", 'jum l-indipendenza texas', 'marzu 2'];Data
temporal-region;["29 ta' frar", 'frar 29', 'bissextile jum', 'jum leap', 'qabża jum'];Data
temporal-region;["23 ta' ġunju", 'eve san ġwann', 'ġunju 23', 'lejla san ġwann', 'night nofs is-sajf', 'nofs is-sajf eve'];Data
temporal-region;['epifanija', "6 ta' jannar", 'tre re', 'epifanija tal-mulej', 'jannar 6', 'jum tliet kings "', 'tnax jum'];Data
