abstract-quality;['شخصیت'];شخصیت یا شخسیت مفهومی کلی هسه که معانی مختلفی داینه.
activity;['تروا جنگ', 'تروآ جنگ', 'تروی جنگ'];شِمه منظور شاید اینتا بی‌بائه: تروا.
activity;['خاش'];خاش هاکردن،خاش، خِش و یا خوش هدائن لوی تماس دیگه جای بدن ره گانّه گه معمولاً محبت سِراق هدائن‌سه استفاده وونه.
activity;['فوتوال', 'futbal'];فوتبال اتا تیمی ورزش هسه که ونه دله دتا یازده نفره تیم همیدگه جلو کا کننه و ویشتر وه ره پرطرفدارترین ورزش دنیای دله دوننه.
activity;['ویدئو کاء'];ویدئو کاء اتا جور سرگرمی هسه که اتا الکترونیکی سیستم پرداجشگر دار جا تعامل صورت گینه و ونه دله بشنه اتا موحیط ره شبیه ساجی هاکردن و ونه تصاویره مونیتور دله سراغ هدائن.
activity;['بسکتوال', 'بسکتبال'];بَسکِتوال «به پارسی زوون: بسکتبال» اتا ورزش گروئی و با کومک اتا توپ هسته.
activity;['کاباره', 'کاواره'];کاباره اتاقی عمومی و سر پوشیده جای نوم هسته که ونه دله موزیک، آواز، تیاتر، رقص یا کومدی اجرا کانّه و تماشاگرون صندلیون دور نیشرنه و خارنه و اشنّه.
activity;['روان کاوی'];روانکاوی همون گونه که از نوم اون بر انه، به معنی تحلیل روان اتا شخص هسه.
activity;['کودتا'];کودتا اون گادِر خَوِری گانّه که اتا پچیک دسته ، زورپشتی اتا حکومت ره برکنار کانّه و شه ونه جا ره گیرنه و نظامی حکومت ساجنّه.
activity;['جهونی جنگ دوم', 'جهانی دووم جنگ', 'دوم جهونی جنگ'];جهونی جنگ دوم به سلسله حملات و اقدامات نظامی کشورون مختلف بین سال‌ئون جهون دله بائوت وونه.
activity;['جهونی جنگ اول', 'اول جهانی جنگ', 'جنگ جهانی اول', 'جنگ جهونی ابّـِل', 'جهانی اول جنگ', 'جهانی اولی جنگ', 'جهونی اول جنگ'];جهونی اول جنگ اتا نبرد جهونی بیه که از ماه اوت ۱۹۱۴ تا نوامبر ۱۹۱۸ روی هداهه.
activity;['شوونیسم'];شوونیسم ات‌تی افراطی میهن‌پرستی هسته که خشن‌تر از انواع دیگوئه.
activity;['ورزش', 'vərzesh / ورزش'];ورزش اوئان کارایی ره گننه که تن جا انجام بونه و شه قوانین ره داینه و کا و قدآزمایی ونه ارمون هسه.
activity;['فرانسوی خاش'];فرانسوی خاش یا عاشقونه خاش یا لو بَیتِن ات‌تی خاش هسته که تحریک کنندوئه ونه سَره زوون و لو جه بنشنه کار بکشی‌ین.
activity;['ایکس ری', 'ایکس-ری'];ایکس-ری ات‌جور الکترومغناطیسی اشعه هسته که ونه طول موج حدود ۰/۰۱ تا ۱۰ نانومتر معادل ۳۰ پتاهرتز تا ۳۰ اگزاهرتز و ونه انرژی میون ۱۰۰ الکترون‌ولت تا ۱۰۰ کیلو الکترون‌ولت بائه.
activity;['ورف'];ورف اتا اسپه یخ هسه که آسمون جا واینه و بنه ره اسپه کنه.
activity;['خونش'];خونش اتا کار هسه که خونشکر کنه و ونه بن‌مایه ونگ و سکوت هسه‌.
activity;['تیاتر', 'تئاتر'];تیاتر اتا مردم جمع بین جا ره گنه که که وشون اونجه اتا نمایش هارشین وسر جمع بونه.
activity;['شلونزان شامپاین'];شلونزان شامپاین اتا شهر نوم هسته که فرانسهِ مرن دله دره.
activity;['هنر', 'həner / هه نر', 'هه\u200cنر', 'هونر'];توان و اثری که انسان تصور و آفرینش جا بسات بونه ره هِنر گننه.
activity;['اوج لذت جنسی', 'اوج لذت جنسي'];مردون دله اوج لذت جنسی اتا بازتابی عمل هسه که تحریک جنسی جواب وسّه منجر به انقباضون منظم آلت جنسی و انزال منی بونه.
activity;['کشتی', 'köşti', 'که\u200cشتی', 'کِشتی', 'کەشتی'];شاید شِمه منظور کشتی جه چیز دیگه بی‌یه ، اگه واقعأ اینتی‌یه صفحه کشتی ره هارشین.
activity;['ضماد'];ضِماد یا سُنوش ات‌تی نیمه‌جامد دوا هسته که آدِم ِتَن ِگرما جه ئو وانه و پوست سَر پوشننده.
activity;['وارش', 'varəş'];ئو ئی هسه که بخار سرد بهیه نه په آسمون جه وارنه.
agentive-figure;['هلن'];هِلِن بنابر یونانی حماسه‌ئون، ایلیاد اثر هومر هلن اسپارتی منلائوس ِزنا توطئه آفرودیت جه، پاریس وه ره بدزدی‌یه و بَورده تروی دله.
agentive-figure;['ایژدیها'];ایژدیها اتا از حیوون‌ئون افسانه‌ئی در فرنگ‌ئون جهون هسته.
agentive-figure;['کلیسا'];کلیسا جایی هسته که مسیحیت ِپه‌روون ونه دله عبادت کانّه.
agentive-figure;['سازمان'];سازمان مجموعه هدفمندی هسته که پیرو اتا نظام هسته، و سامون و حدودی دانّه که وه ره شه محیط جه سِوا کانده.
agentive-figure;['مهایانه'];مهایانه گت‌ترین چلّه‌ای هسته که بودایی مذهبون دله درنه.
agentive-figure;['یونسکو'];سازمان آموزشی، علمی و فرهنگی سازمان ملل موتحد که به‌طور خلاصه یونسکو بائوته وانه، اتا از سازمان‌ئون تخصصی وابسته به سازمان ملل موتحد هسته که سال ۱۹۴۵ تشکیل بیّه.
agentive-figure;['مستقل مشترک\u200cالمنافع کشورون', 'مشترک\u200cالمنافع مستقل کشورون', 'همسود مستقل کشورون'];مستقل ِمشترک‌المنافع ِکشورون ِاتحادیه اتا اتحادیه هسته که بعضی کشورونی که قدیم شوروی دله دَیینه، ونه عضو هستنه.
agentive-figure;['مشترک\u200cالمنافع کشورون اتحادیه', 'مشترک المنافع کشورون', 'مشترک المنافع کشورون اتحادیه', 'مشترک\u200cالمنافع کشورون', 'همسود کشورون', 'همسود کشورون اتحادیه'];مشترک‌المنافع کشورون اتحادیه یا همسود کشورون اتسری کشور هستنه که به جز موزامبیک و کامرون همگی قبلاً بریتانیا مستعمره بینه.
agentive-figure;['مؤسسه'];مؤسسه به سازمانی بائوته وانه که هدف مشخصی وسّه تأسیس بیّه.
agentive-figure;['ناسا'];ناسا مخفف «سازمان ملی هوانوردی و فضایی» موتحده ایالات آمریکا هسته.
agentive-figure;['ناتو', 'سازمان پیمون شومالی آتلانتیک', 'شمالی آتلانتیک پیمان سازمان'];شمالی آتلانتیک ِپیمون ِسازمان یا ناتو روز ۴ آوریل ۱۹۴۹ میلادی جمعی دفاع هاکِردِن وسّه واشنگتن دله بساته بیّه و اسا ۲۸تا عضو دانّه.
agentive-figure;['اتحادیه اروپا', 'اروپای اتحادیه', '🇪🇺', 'ئوروپا اتحادیه', 'اتحادیه ئوروپا', 'اروپا اتحادیه', 'اوروپا اتحادیه'];اروپایِ اتحادیه اتا اقتصادی-سیاسی کنفدراسیون هسته که ۲۸ تا اروپایی کشور جه بسات بَئی‌یه.
agentive-figure;['اتحادیه عرب', 'عرب اتحادیه', 'عرب کشورون اتحادیه', 'عربی کشورون', 'عربی کشورون اتحادیه'];عرب اتحادیه یا عربی کشورون ِاتحادیه' اتا بین‌المللی و منطقه‌یی سازمان هسته که کشورون عمدتاً عربی ونه دله عضو هستنه.
agentive-figure;['اوپک', 'opec'];سازمان کشورهای صادر کننده نفت با نوم اختصاری اوپک ، اتا کارتل نفتی هسه که متشکل از کشورای الجزایر، ایران، عراق، کویت، لیبی، نیجریه، قطر، عربستان سعودی، امارات متحده عربی٬ اکوادور، آنگولا و ونزوئلا هسه.
agentive-figure;['متحد ملل سازمان', 'سازمان ملل', 'سازمان ملل متحد', 'سازمان ملل موتحد', 'متحدِ مللِ سازمان', 'ملل سازمان'];متحد ِملل ِسازمان اتا بین‌المللی سازمان نوم هسته که ۱۹۴۵ میلادی تأسیس و ملل جامعه‌ی ِجایگزین بَیّه.
agentive-figure;['کاتولیک کلیسا', 'رم کاتولیک کلیسا', 'کاتولیک'];روم کاتولیک کلیسای یا رومی کاتولیک کلیسا یا کاتولیک کلیسا اتا از سه‌تا اصلی چلّه‌ئون مسیحیت جه هسته.
agentive-figure;['شرقی ارتدوکس', 'شرقی ارتدوکس کلیسا', 'شرقی ارتدکس', 'شرقی ارتدکس کلیسا', 'شرقی ارتودوکس', 'شرقی ارتودوکس کلیسا', 'شرقی ارتودکس', 'شرقی ارتودکس کلیسا', 'شرقی اورتودوکس', 'شرقی اورتودوکس کلیسا', 'شرقی اورتودکس', 'شرقی اورتودکس کلیسا'];شرقی ارتدوكس کلیسا اتا مذهب هسته که اواخر قرن پنجم میلادی مسیحیت دله بساته بیّه یعنی همون گادِر که روم دَیّه شرقی و غربی قسمتون جه تجزیه بی‌یه.
agentive-figure;['فراماسونری'];فراماسونری اتا نهاد نوم هسه که ویشتر اوروپایی کشورون دله دره.
agentive-figure;['پاندورا', 'pandora'];پاندورا شابلون:یونانی جه، یونانی اسطوره‌ئون دله، اولین زنی بی‌یه که بموئه زمین سر.
agentive-figure;['دین'];دین ایزدی یا فراطبیعی موضوعات ره باور داشتن هسه که ایمان ره مبتنی هسه و پرستش ره سبب بونه.
agentive-figure;['ایسلام', 'izlam', 'اسلام'];اسلام یا ایسلام دین اتـّاپرستی و ابراهیمی ادیان جا هسته.
agentive-figure;['تشیع'];شیعه کلمئون دله دِتا معنا دنه ۱- توافق و هماهنگی ۲ یا چن نفر بر اتا موضوع ۲- قبول هکردن ات نفر یا گروه از مردم یا گروهی دیگه.
