activity;['eaket eb ii'];Eaket Eb II, 1939 - 1945
activity;['president', 'potus', 'president of the united states', 'president of the united states of america'];President Eben Merika - Ing.: President of the United States, bet "POTUS"
agentive-physical-object;['dogiga', 'daguiga', 'octopoda'];Dogiga, atsiu Octopoda (bet daguiga. dorerin Ingerand: octopus. dorerin Djermani: Kraken), wono inim-gokoro.
agentive-physical-object;['husky'];Ngea Husky, eiy ngea robar.
agentive-physical-object;['pinus ponderosa'];Pinus ponderosa (Ing.: ponderosa pine, bull pine, blackjack pine, western yellow pine) - inim ero.
agentive-physical-object;['olea europaea'];Olea europaea (dorerin Ingerand: olive) - inim ero. ijeiji
agentive-physical-object;['luzern', 'medicago sativa', 'lucerne'];Luzern wono tekawa ian Witsierand.
agentive-physical-object;['carcharodon carcharias'];Carcharodon carcharias - ebawo oburubur ouwak
agentive-physical-object;['syzygium aromaticum'];Syzygium aromaticum (Ing.: clove) - inim ero.
agentive-physical-object;['duck'];Duck (Anatidae) - inim-gokoro met imin-oeta
agentive-physical-object;['huso huso'];Huso huso (Linnaeus, 1758), bet beluga, sturgeon Iurop, me sturgeon ouwak - eiy yuw.
amount-of-matter;['ebok', 'h₂o'];Ebok won.
amount-of-matter;['chloride, arizona', 'chloride'];Chloride wono tekawa kadudu ian Arizona, Eben Merika. 352 engame.
functional-matter;['ijeiji in ijoran'];Ijeiji in ijoran.
geographical-object;['republik tsiene'];Republik Tsiene wono eb ian Eija.
geographical-object;['madjol'];Ñea Madjol, eiy ñea eben Oceania.
geographical-object;['bermuda'];Bermuda wono eb ian America.
geographical-object;['mississippi'];Mississippi - ekaw iat Eben Merika.
geographical-object;['ebabobo'];Ekaw Ebabobo, bet Huang He - ekaw iat Tsiene.
geographical-object;['volga', 'wolga'];Volga wono ekaw ian Ratsiya.
geographical-object;['amur'];Amur - ekaw iat Tsiene.
geographical-object;['yangtze'];Yangtze wono ekaw iat Tsiene.
geographical-object;['nile'];Nile wono ekaw ian Idjipt.
information-realization;['a kamawireij uw maria'];A kamawireij uw, Maria (bet Ave Maria) ekekur iriang latin ian ecclesia katholik won.
language;['dorerin mongoriya'];Dorerin Mongoriya (Монгол хэл Mongol khel, ᠮᠣᠨᠭᠭᠣᠯ ᠬᠡᠯᠡ Mongɣol kele) eiy edorer it Mongoriya me Tsiene.
language;['esperanto'];Esperanto eiy edorer it eman.
language;['dorerin ingerand', 'dorerin iburubur'];Dorerin Ibũrũbũr eij edorer it Ingerand, Eben Merika, Kanada, Otereiriya, Niu Djiran, me ñama eb.
language;['dorerin latin'];Dorerin Latin (lingua latīna) - edorer ima ian Roma obua.
language;['dorerin tsiene', 'dorerit tsiene'];Dorerin Tsiene eiy edorer it Tsiene.
language;['dorerin korea'];Dorerin Korea eiy edorer it Ripubrikin Korea me Ripubrikit Engame Korea.
language;['dorerin airerand'];Dorerin Airerand (Gaeilge. Ing.: Irish, bet Gaelic) eiy edorer it Ripubrikit Airerand.
language;['dorerin grit'];Dorerin Grit (ελληνικά [eliniˈka], bet ελληνική γλώσσα [eliniˈci ˈɣlosa]) eiy edorer ian Grit me Taiprus, bet Arbainiya, Arminiya, Djiordjiya, Eben Merika, Itari (Apulia me Calabria), Romaniya, Terki, Ukraine, met Ungari.
language;['dorerin persian'];Dorerit Persian eiy edorer it Iran, bet Apeganitan, Tadjikitan, me Uzbekistan.
