activity;['e-mail'];E-mail ītōcā āmatl Cemtlālticpamātlacopa.
activity;['mēxihcatl tēahcomanaliztli', 'mēxihcatl icnīuhyāōyōtl'];Nemachiyōtīlli:Mēxihco Tlahtōllōtl In Mēxihcatl Tēahcomanaliztli ītōcā in yāōyōtl Mēxihco ōmopēuh īpan 1910 auh ōmotlamic 1917.
activity;['neicxitapayōlhuiliztli', 'neicxitapayolhuiliztli', 'futbol', 'fútbol', 'xotlachpatoliztli', 'xotlapayoliztli', 'xōtlachpatoliztli'];Neicxitapayolhuiliztli ītōcā cē huēyi britanitēcatl momotlalcāyōtl.
activity;['īxiptlayōlli', 'ixiptlayolli', 'película'];Īxiptlayōlli ītōcā cē īxiptli īhuān tozquitl huēytlachīhualiztli.
activity;['cuappatōlli', 'ajedrez', 'chess'];Cuappatōlli ahnōzo Cuauhpatōlli ītōcā cē patōlli mopatōlia ic ōme tlācah.
activity;['chiquiuhtapayōlhuiliztli', 'chiquiuhtapayolhuiliztli', 'chiquiuhpatoliztli'];Chiquiuhtapayōlhuiliztli nō Chiquiuhpatōliztli.
activity;['āmapatōlli'];Āmapatōlli, cē patōlli.
activity;['īxiptlayōltzintli'];Īxiptlayōltzintli ītōcā ehēcayōtl huehcaīxīpcaxipampa.
activity;['rock'];Rock ītōcā cē cuīcayōtl neneuhcāyōtl.
activity;['īyāōyo in cemānāhuac inic ōme'];Inic ōme Cemānāhuac yāōyōtl in huēyi yāōyōtl, nochitlācah, īpan 1938 xihuitl.
activity;['īyāōyo in cemānāhuac inic cē'];Inic cē Cemānāhuac yāōyōtl in huēyi yāōyōtl, nochitlacah, in Tlachicēnti 28, 1914 xihuitl.
activity;['māīxnāmiquiliztli', 'maixnamiquiliztli'];Māīxnāmiquiliztli ītōcā cē huēyi momotlalcāyōtl.
activity;['cepayahuitl'];Cepayahuitl.
activity;['texihuitl'];Texihuitl.
activity;['punk'];Punk ītōcā cē cuīcayōtl neneuhcāyōtl.
activity;['īxiptlayōlcāyōtl'];Īxiptlayōlcāyōtl ītōcā tlachīhualiztli nozo tlamachtiliztli īxiptlayōltechcopa.
activity;['tlamahuizoltequitiliztli'];Tlamahuizoltequitiliztli
activity;['misa'];Misa ce cristiani itlachihualiz chihualcalli tlen neteotiliztli in Cristianoyotl.
activity;['tequichihualiztli', 'tōltēcayōtl'];Tequichihualiztli ce itlayeyehcoliz tlacatl.
activity;['tlayōlītīliztli'];In tlayōlītīliztli ītōca īxiptli iciuhcac panōliztli pampa chīhua yōlīztli.
activity;['īxiptlayōllācatl', 'tlamahuizoltequitini', 'ixiptlayollacatl'];Īxiptlayōllācatl ītōcā cē tlācatl īxiptlayōli.
activity;['ōmmalacapayīnaliztli', 'omalacapainaliztli'];Ōmmalacapayīnaliztli ītōcā cē huēyi momotlalcāyōtl.
activity;['quiyahuitl'];Ihcuāc ātl temoa ilhuicahuīcpa, ītōcā quiyahuitl.
agentive-figure;['ichtac olōltzintli'];Ichtac olōltzintli ītōca olōlli tlapiyac īca cequīntīn tlācah, tlein ahmo nextiah ītlapōhual auh ītlanōnōtzaliz.
agentive-figure;['sherlock holmes'];Sherlock Holmes in ixtoyotl nextiac ic sir Arthur Conan Doyle in 1887 xihuitl.
agentive-figure;['tlācacuetlāchtli'];In Tlācacuetlāchtli ce moxīcohcātlācatl.
agentive-figure;['āltepētlahtohcāyōtl'];Āltepētlahtohcāyōtl, ce cemitqui tlahtocayotl ipan tlalticpac.
agentive-figure;['europan cētiliztli', 'europan cetiliztli', '🇪🇺', 'europanēcatl cetiliztli', 'europanēcatl cetilīztli', 'europanēcatl tlacetilīztli', 'tlacetilīztli europanēcatl'];In Europan Cētiliztli ahnōzo in ompa cemantoc tlalli Europan ca.
agentive-figure;['tlacetililli tlacatiyan', 'tlacetilīlli tlācatiyān', 'onu'];Tlacetilīlli Tlācatiyān nozo ONU ītōcā olōlli quipiya yōcoxcāyōtl tlācatiyān.
agentive-figure;['catolicismo romano', 'catōlicoquīxtianāyotl', 'teocalli cemanauhtic roma'];In Cristianismo católico romano ca tlayehyecōlli ic āquihqueh quīxihmatih in centiāchcāuh tēīxmauhtiliztli in Obispo de Roma īhuān in āquihqueh tēpan iti iuhqui nelli ītētoquil in San Pedro, tlatlālīlli ic zan ye nō Jesucristo iuhqui in Iglesia ītzontecon.
agentive-figure;['iglesia ortodoxa'];In neltica motēnēhua iuh "Santa Iglesia Oriental Católica Apostólica Ortodoxa", quichīuhticateh ic necaqueh iglesias in ōmomolocaqueh niman in chicōme Concilios Nōhuiyānyoh.
agentive-figure;['teōmatiliztli', 'teomatiliztli', 'estudios religiosos', 'religión', 'teología', 'teotlamatiliztli', 'teōtlamatiliztli'];Teōmatiliztli in teōtl tlamatiliztli.
agentive-figure;['islam', 'islamismo', 'mahomayōtl'];In Islam ca inic ōme teōmatiliztli oc ye cencah manihua tlālticpatli auh motlahcohuiā īpan tlacēcempōhualōni īcelteōtēizcaltiliztica īhuān in tlatōctilōni necēcetiliztli ītloc cequi teōmatiliztica tlayehyecoliztli.
agentive-figure;['el ingenioso hidalgo don quixote de la mancha'];El Ingenioso Hidalgo Don Quixote de la Mancha ītōcā cē āmoxtli ōtlahcuiloc īpal Miguel de Cervantes īpan 1605 xihuitl.
agentive-figure;['tlācanēxquimilli'];In tlācanēxquimilli ce ītetonal.
agentive-physical-object;['zapalōtl', 'tzapaloliczotl'];Zapalōtl, īxōchihcual zapalōtl ca.
agentive-physical-object;['tlaōlcapolcuahuitl', 'tlayolcapolcuahuitl', 'prunus virginiana'];Tlaōlcapolcuahuitl īxōchihcual ca in tlaōlcapōlin.
agentive-physical-object;['teōcuahuitl', 'ahuacuahuitl', 'teocuahuitl', 'teokwawitl', 'āhuacuahuitl', 'āhuatl'];Teōcuahuitl, Āhuacuahuitl‎ ahnzo Āhuatl.
agentive-physical-object;['ocelotl', 'ocēlōtl', 'panthera onca', 'huēyi ocēlōtl', 'ocelot', 'tlatlauhquiocēlōtl'];Ocelotl, tlatlauhquiocelotl ihuan yohualocelotl noihqui huehuehcauhtica quitoznequi in tepeyollohtli ipampa in teotl Tepeyollotl, ce teoyolcatzin. itoca ce tecuani yolcatl onemi ipan Ixachitlan in ompa Arizona huitztlampa ipan Tlacetililli Tlahtohcayotl xiuhpan 1990, axcan nemi ipan Mexihco, Ixachitlan Tlahcopampa huan Ixachitlan huitztlampa canahpa Argentina ayamictlampa.
agentive-physical-object;['yōlcatl', 'yolcatl', 'animalia', 'yolcame', 'yolcatontli', 'yolcatzintli', 'yolcatzitzinti', 'yolkatl', 'yolkatzintle', 'yólcatl'];Yolcatl itōca cē cātl īnin cēmanāhuaco in tlēin quipīa yōlilīztli ihuan quipīa olinilīztli ica āmoneneuhcāyotl īcpac quilīmeh, nanacāmeh ihuan occē cāmeh tlēin ahmo quipīah olinilīzli.
agentive-physical-object;['tlanelhuayōtl', 'tlanelhuayotl', 'kilitl', 'plantae'];Tlanelhuayōtl.
agentive-physical-object;['chīuhpōhualhuaztli', 'chiuhpohualhuaztli', 'computadora', 'pc'];Chīuhpōhualhuaztli.
agentive-physical-object;['itzcuintli', 'canis lupus familiaris', 'chichi', 'perro'];Itzcuintli ahnozo chichi, in yōlcatl.
agentive-physical-object;['centzīntiliztica', 'centzintiliztica', 'liliopsida'];Centzīntiliztica quihtōznequi ic caxtillāntlahtōlli Monocotiledoneo, āxcān mihtoā Liliopsida.
agentive-physical-object;['ocotzocuahuitl'];Ocotzocuahuitl ahnozo Xōchiocotzocuahuitl.
agentive-physical-object;['nanacatl', 'fungi', 'hongo'];Nanacatl (Fungi).
agentive-physical-object;['xochitl', 'xōchitl', 'flor', 'xochime', 'xochimeh', 'xochitli', 'xóchitl'];Xōchitl ītōcā tlamantli cuauhcopa.
agentive-physical-object;['xihuitl'];Xihuitl, tlanelhuayōtl.
agentive-physical-object;['limacuahuitl', 'limoncuahuitl'];Limacuahuitl īxōchicual ca in limaxocotl.
agentive-physical-object;['peyōtl'];Peyōtl.
agentive-physical-object;['cuitlacochin'];Cuitlacochin, nanacatl ten mochihua īpan in cintli.
agentive-physical-object;['cempōhualxōchitl', 'cempohualxochitl'];In cempohualxochitl ahnozo miccaxochitl, ce tlanelhuatlamantli ipan in cenyeliztli in Asteraceae, ipehualiz tlatectli Mexihco ixquichca in Cuauhtemallan.
agentive-physical-object;['cuahuitl'];Cuahuitl, tlanelhuayōtl.
agentive-physical-object;['matzahtli', 'matzatli'];Matzahtli Quihtōznequi ic caxtillāntlahtōlli piña.
agentive-physical-object;['omixōchitl'];In omixōchitl.
agentive-physical-object;['tlalcoyotl', 'tlālcoyōtl'];Tlālcoyōtl.
agentive-physical-object;['xōchicamohtli', 'xochicamohtli', 'caxtillān camohtli'];Xōchicamohtli ahnozo Caxtillān camohtli.
agentive-physical-object;['xomotl', 'xomōtl'];In Xomōtl cē tōtōtl.
agentive-physical-object;['xalcanauhtli', 'xālcanauhtli', 'anas americana'];Xālcanauhtli in tōtōtl.
agentive-physical-object;['chicalotl'];Chicalotl Argemone mexicana, Argemone ochroleuca.
agentive-physical-object;['caxtillān tlaōlli'];Caxtillān tlaōlli ahnozo trigo.
agentive-physical-object;['perexil', 'petroselinum crispum'];Perexil tlanelhuayōtl.
agentive-physical-object;['chīmalxōchitl'];In Chīmalxōchitl.
agentive-physical-object;['tlācatl', 'tlacatl', 'homo sapiens', 'lacal', 'tlaca', 'tlacah', 'tlacame', 'tlahca', 'tlākatl'];Tlacatl (caxtillahtolcopa Ser humano).
agentive-physical-object;['huexotl', 'huexōtl'];Quihtōznequi ic caxtillāntlahtōlli sauce.
agentive-physical-object;['hueyi cuetzpalin', 'tēpouhtitlāzcuetzpalin', 'dinosauria', 'dinosaurioh'];In tēpouhtitlāzcuetzpaltin īntōcā huehcauh yōlcameh.
agentive-physical-object;['cebra', 'zebra'];Cebra.
agentive-physical-object;['amiztli', 'āmiztli'];Āmiztli.
agentive-physical-object;['acocohxōchitl'];In Acocohxōchitl.
agentive-physical-object;['cuauhcamohtli', 'manihot esculenta'];Cuauhcamohtli.
agentive-physical-object;['mōtohtli', 'mototli'];Mototli in tlalyōlcah.
agentive-physical-object;['tlatzqui', 'ozomahtlatzqui'];Tlatzqui ahnozo coyotlacamayeh, ce yolcachichini ipan Ixachitlan.
agentive-physical-object;['āzcacoyōtl', 'azcacoyotl'];Āzcacoyōtl.
