activity;['tarantella'];Ballo tradizzionale d''a Campania, Italia.
activity;['turismo'];'O muvimento passaggiero 'e ggente a ddestinaziune fore 'e luoche nurmale 'e fateca o dummiciliare lloro, l'attività ntrapresso durante 'o ntrattenemiento lloro 'into chelle ddestinaziune e 'e servizie criato ppe servì 'e besuogne lloro.
agentive-figure;["asilo p''e ccriature", 'scola materna'];Na stituzione aducativa p''e piccirille, primma ca chiste vanno â scola alementare
agentive-figure;["asilo p''e ccriature", 'scola materna'];Na stituzione aducativa p''e piccirille, primma ca chiste vanno â scola alementare
agentive-figure;['cumplesso'];Gruppo 'e perzone ca sonano 'a museca.
agentive-physical-object;['vasenicola', 'vasinicòla', 'vasenecola', 'vasenicòla', 'vasinicola', 'ocimum basilicum'];Na chianticella annuale d''a Famiglia d''e Lamiaceae (o Labiatae), cultivata comme chianta aromàteca e ausata int'â cucìna comme cunnemienno.
locative-role;['lituania'];'A Lituania è na repubbreca europea baltica ca cunfina a nord cu' 'a Lettonia, a est cu' 'a Bielorussia, a sud cu' 'a Pulonnia a sudovest cu' l'enclave russa 'e Kaliningrad e a ovest cu' 'o Mar Baltico.
organized-collection;['libbraria'];Nu luoco addó 'e libbre e ate materiale lettararie songo mantenute.
parameter;['chioggia aceta'];'A chioggia cu nu pH cchiù vascio ca 5,6.
political-geographic-object;['il cairo', "'o cairo", 'cairo'];'A capitale d''o Nagitto.
region;['ddoje', 'doje', 'dùje', '2'];'O secónno nùmmero naturale (2).
situation;['chioggia aceta'];'A chioggia cu nu pH cchiù vascio ca 5,6.
technique;['recerca scientifica'];Appurazzione vota â scuperta 'e fatti nove od ô 'ntennere 'e zo' affetuata secutanno 'o metodo scientifico.
temporal-region;['giùgno', 'giugno'];'O sesto mise d''o calannario gregoriano, cu 30 journe.
temporal-region;['iuórno', 'juórno', 'juorno'];Periodo 'e tiempo nfra ll'alba 'e 'o tramuonto addò 'a terra gira attuorno a sé stessa. Tene 24 periode uguale ca se chiammano ore.
theory;['nfromma', 'nfurmazione'];Tutte 'e fatte, 'e ppenzate o 'e fateche 'e fantasia d<nowiki>''</nowiki>a mente ca so' state ditte, prubbrecate o despenzate furmalmente o nfurmalmente 'int' qualonca formato, o 'a canuscenza ca è ditta o ricevuta.
