agentive-physical-object;['cierr', 'quercus cerris'];Spec e piant'. mascl 'ra cerqua
functional-matter;['pizza'];piatto napulitano
information-realization;['museca', 'múseca'];Arte ca ausa 'o suono
locative-role;['sciorenza', 'firenze'];''nu comune italiano
locative-role;['pisa'];''nu comune italiano
locative-role;['padova', 'padua'];''nu comune italiano
locative-role;['genova'];''nu comune italiano
locative-role;['milano'];''nu comune italiano
physical-object;['flauto'];Nu strumiento a sciato
political-geographic-object;['sciorenza', 'firenze'];''nu comune italiano
political-geographic-object;['pisa'];''nu comune italiano
political-geographic-object;['padova', 'padua'];''nu comune italiano
political-geographic-object;['genova'];''nu comune italiano
political-geographic-object;['romma', 'roma'];''nu comune italiano
political-geographic-object;['milano'];''nu comune italiano
taxonomic-collective;['charales'];categurìa 'e nu pruggette Wikimedia
