abstract-region;['वर्ग फलन'];बिजगणितमा, एक वा अधिक चरसँग बहुपद कार्यनै बहुपदिए फलन हो जसलाई डिग्री २ को बहुपद
activity;['इमेल', 'इ-डाँक', 'ईमेल'];इलेक्ट्रोनिक मेल वा इमेल इन्टरनेटको सबै भन्दा बढी प्रयोग हुने सेवा मध्येको एक हो । यो सेवा प्रयोग गरेर इमेल ठेगाना भएका ब्यक्तिहरू बीच आपसमा विद्युतिय माध्यमबाट पत्राचार गर्न सकिन्छ । यो सेवा हुलाक चिठ्ठि जस्तै हो, तर यसको गति धेरै नै छिटो हुन्छ । यसबाट विद्युतिय रूपमा सन्देशहरू पठाइने हुँदा, भौतिक रूपमा पाउनको लागि मुद्रण गर्नुपर्ने हुन्छ । मुख्यतः सन्देशरू टाइप गरिएका अक्षर, चित्र, श्रवण सामग्री, चलचित्र आदि हुनसक्छन् । यो सेवा धेरै जसो नि:शुल्क हुन्छ । इमेल प्रयोग गर्न कम्प्युटर, इन्टरनेट र इमेल प्रोग्रम चाहिन्छ । कम्प्युटरको विकल्पमा मोबाइलबाट पनि इमेल सेवा प्रयोग गर्न सकिन्छ ।
activity;['छन्द'];छन्द वेदको अर्को नाम हो । वर्णहरू र मात्राहरूको गेय व्यवस्थालाई छन्द भनिन्छ । संस्कृतमा यो छन्दस् शब्द नपुंसक लिङ्गमा प्रयोग हुनाले यसको छन्दः, छन्दसी, छन्दांसि प्रकारले एक बचन द्विवचन र बहुबचनको रूपमा प्रयोग गरिन्छ । यहि अर्थमा पद्य शब्दको प्रयोग पनि गरिन्छ। भाषामा शब्द र शब्दहरूमा वर्ण र स्वर रहन्छ। निश्चित विधानबाट सुव्यवस्थित गर्दा छन्दको नाम दिइन्छ। छन्द भनेको ध्वनिहरूको समष्टि हो। सानो सानो अथवा सानो ठुलो ध्वनिहरू जब एउटा व्यवस्थामा सामंजस्य प्राप्त गर्दछ तब यस्तोलाई शास्त्रीय नाम छन्द दिइन्छ। जबमात्रा अथवा वर्णहरूको संख्या, विराम, गति, लय तथा तुक आदि हरको नियम सँग युक्त कुनै रचना हुन्छ, यस्तोलाई छन्द अथवा पद्य भनिन्छ। यसैलाई वृत्त पनि भनिन्छ। छन्दको प्रयोगले काव्यलाई स्तरीय, प्रभावकारी र पाठकलाइ सहजै स्पर्श गर्छ । छन्द भनेको कविताको 'लय' हो । नेपाली वृहत् शब्दकोशमा छन्दलाइ " यति, गति, र लय मिलेको वर्ण, मात्रा आदिको गणना अनुसार पद्यात्मक रचना गरिने कुनै निश्चित रुप, त्यसरी गठन हुने विभिन्न किसिमका विशिष्ट वाक्य" भनेर परिभाषित गरिएको छ । == शब्द बयान == छन्दस् शब्द 'छद' धातुबाट बनिएको छ। यसको धातुगत व्युत्पत्तिमूलक अर्थ हुन्छ - 'जो आफ्नो इक्षाले चल्छ'। अत: छन्द शब्दको मूलमा गतिको भाव हुन्छ। यस प्रकार, छन्दको परिभाषा 'जब वर्णहरू यामात्राहरूको नियमित संख्याको विन्यासबाट यदि आह्लाद पैदा हुन्छ, तब यस्तोलाई छंद भनिन्छ'। == इतिहास == छन्दको सर्वप्रथम उल्लेख ऋग्वेदमा गरिएको छ। यदी गद्यको नियम व्याकरण हो भने, पद्यको नियम छंद शास्त्र हो। छन्द= तामाङ भाषा पनि हो । छन्दको अर्थ मिलाएर राख्ने सजायको ठाँउ बस्तुलाई तामाङ भाषामा छ्न्द भनिन्छ । जस्तै: ता जयनेले छ्न्द खाबाल । जस्तै: कति राम्रो सजायको । ओ हो चु दिम ता जयनेले छन्द खाबाल । अर्थ : यो घर कति राम्रो सजायको । चु नाम्स बे ले छन्द खाबाल । अर्थ : यो गाउँ कति राम्रो सजायको । तामाङ्को एउटा भाषाले र सब्दले हजारौं सब्द बन्छ । इतिहासलाई हेर्दा हरेक शब्दमा तामङ भाषा भेटिन्छ । जस्तैः लिंग, गाङ्लिंङ, नाम्सलिंङ, शिवलिंङ, ग्यिङ, र याम्बुलिंङ । तामाङ भाषामा लिंङ अर्थ विशाल अति ठुलो हेर्दा खेरि पनि नभ्याउने ठाँउलाई लिंङ भनिन्छ । क्रौञ्च दम्पत्ती मध्ये एउटालाइ व्याधाले मारेको दृश्यबाट पीडित महर्षी वाल्मीकिका मुखबाट लौकिक संस्कृत पद्यका रुपमा अचानक निस्किएको श्लोकलाई पहिलो पद्य मानिएको छ भने लौकिक संस्कृत साहित्यमा प्रयुक्त प्रथम छन्दको उपमा पनि अनुष्टुप् छन्दले पाएको छ । उक्त श्लोक यस प्रकार रहेको छ: मा निषाद !
activity;['चुम्बन', 'म्वाइँ'];चुम्बन भन्नाले मानिसले आफ्नो ओठलाई अरुको ओठमा वा शरीरको अन्य अङ्गमा छुवाउनु अथवा चुम्नु भन्ने बुझिन्छ ।
activity;['कार्बन १४ डेटिङ', 'कार्बन १४ डेटिंग'];कार्बन काल निर्धारण विधि को प्रयोग पुरातत्व-जीव विज्ञानमा जंतुहरु एवं विरुवाहरुका प्राप्त अवशेषहरुका आधारमा जीवन काल, समय चक्रको निर्धारण गर्नमा गरिन्छ। यसमा कार्बन-१२ एवं कार्बन-१४का मध्य अनुपात निकालिन्छ कार्बनका दुई स्थिर अरेडियोधर्मी समस्थानिक: कार्बन-१२, र कार्बन-१३ हुन्छन्/छौं्। यिनका बाहेक एक अस्थिर रेडियोधर्मी समस्थानिक का अंश पनि पृथ्वीमा मिल्दछन्। अर्थात कार्बन-१४को एक निर्धारित मात्राको नमूना ५७३० वर्षहरू पछि आधी मात्राको हुन जान्छ। यस्तो रेडियोधर्मिता क्षयका कारण हुन्छ। यस कारणबाट कार्बन-१४ पृथ्वी भन्दा धेरै समय पूर्व समाप्त भइसकेको छ, यदि सूर्यको कर्मिक किरणहरुका पृथ्वीका वातावरणको नाइट्रोजनमा प्रभावबाट र उत्पादन न भएको हुन्थ्यो। ब्रह्माण्डीय किरणहरूबाट प्राप्त न्यूट्रन नाइट्रोजन अणुहरु बाट निम्न परमाणु प्रतिक्रिया गर्दछन्: n + 7 14 N → 6 14 C + p {\displaystyle n+\mathrm {^{14} {7}N} \rightarrow \mathrm {^{14} {6}C} +p} कार्बन-१४का उत्पादनको अधिकतम दर ९-१५ कि.मी.
activity;['प्रारम्भिक सार्वजनिक निष्कासन', 'आईपिओ'];जुनसुकै व्यक्ति वा संस्थाहरूले खरिद गर्न पाउने गरी प्रतिभूतिहरूको बिक्री गर्ने कार्यलाई सार्वजनिक निष्काशन भनिन्छ । पहिलो पटक सार्वजनिक निष्काशन गर्ने कार्यलाई प्रारम्भिक सार्वजनिक निष्कासन भनिन्छ ।
activity;['प्रौढ़ शिक्षा'];प्रौढ शिक्षा शिक्षण र वयस्कहरूलाई शिक्षित गर्ने व्यवस्था हो। वयस्क शिक्षा 'एक्सटेन्सन' वा स्कुल वा 'सामान्य अध्ययनको स्कुल' 'सतत शिक्षाको स्कुल' को माध्यमले कार्यस्थलमा स्थान लिन्छ। अन्य शिक्षण स्थानहरु लोक उच्च विद्यालय हो, सामुदायिक कलेज हो, र आजीवन शिक्षण केन्द्र शामिल छन्। अभ्यासको रूपमा प्रशिक्षण र विकास र विशेष गरी कार्यबल या व्यावसायिक विकाससँग जोडि.
activity;['इरान-इराक युद्ध', 'इरान इराक युद्ध', 'ईरान-इराक युद्ध', 'ईरान-इराक़ युद्ध'];ईरान र इराकका बीच युद्ध सन् १९८०-८८का बीच लडाइयो । यो युद्ध अनिर्णीत खतम भएको थियो । यस युद्धको मुख्य कारण सीमा-विवाद थियो । ७०का दशकमा इराक सहित सीमा विवादलाई लिएर जुन सन्धि भए थियो त्यससित इराक सन्तुष्ट थिएन । ती समय इरान राजनीतिक रूपबाट कमजोर थियो किन भने देशमा इस्लामिक क्रान्ति भर्खरै भए थियो । यसका सबै भन्दा खतरनाक परिणामहरूमा भन्दा एक थियो - लेबनानमा हिजबुल्लाहको जन्म ।
activity;['अनसन'];अनसन, भोक हडताल वा अहिंसक प्रतिरोध वा दबाव दिने एउटा विधि हो जसमा व्यक्तिले राजनीतिक विरोधका अधिनियमको रूपमा व्रत बस्ने गर्दछन्, वा अर्को अर्थमा भन्नुपर्दा अपराधका भावनाहरुलाई भडकाउनका लागि, वा साधारण अर्थमा कुनै विशिष्ट लक्ष्य प्राप्त गर्ने उद्देश्यले, जस्तो कि कुनै नीति नियममा परिवर्तन ल्याउनका लागि गरिने व्रत हो । अधिकांश भोक हडताल गर्ने व्यक्तिले तरल पदार्थहरुको सेवन गर्ने गर्दछन् जस्तै कि पानी वा फलफूलको जुस आदि तर कुनै ठोस भोजनको सेवन भने गर्दैनन्।
activity;['फुटबल खेल', 'एसोसिएशन फुटबल'];एसोसिएसन फुटबल जसलाई प्राय: फुटबल वा सकर भन्ने गरिन्छ, यो संसारकै लोकप्रिय खेलहरू मध्ये एक हो। यो एउटा सामूहिक खेल हो र यसलाई ११/११ खेलाडीहरूको दुई समूह बीच खेल्ने गरिन्छ। फुटबललाई सामान्यत: एउटा आयताकार घाँस वा कृत्रिम घाँस भएको मैदानमा खेलिन्छ जसको अन्तिममा एउटा गोलपोस्ट हुन्छ। खेलाडीहरूद्वारा विरोधी समूहको गोलपोस्टमा आफ्नो चालाकीले भकुण्डोलाई गोल गर्नुनै यस खेलको उद्देश्य हो। खेलमा गोलरक्षक नै एउटा मात्र यस्तो खेलाडी हुन्छ जसले भकुण्डोलाई रोक्न अथवा बचाउनका लागि आफ्नो हात प्रयोग गर्न अनुमति हुन्छ। समूहको बाँकी खेलाडी प्रायजसो भकुण्डोलाई हिर्काउन का लागि आफ्नो खुट्टाको प्रयोग गर्छन्। तथा कहिलेकाहीं हावामा भकुण्डो रोक्नका लागि आफ्नो छाती या टाउकोको प्रयोग गर्छन्। जुन समूह खेलको अन्त वा समय समाप्ति सम्म बढी गोल गर्न सफल हुन्छ त्यहि टोली विजय घोषित हुन्छ। खेलको अन्त अर्थात समय समाप्तिसम्म यदि खेल बराबर रहेमा त्यस खेललाई बराबर वा टाई घोषित गर्न सकिन्छ अथवा खेललाई अतिरिक्त समयमा लिएर जानु र पेनाल्टी-सुटआउटद्वारा जितहारको निर्णय गर्नु प्रतियोगिताको स्वरुप माथि निर्भर हुन्छ।आधुनिक फुटबललाई इङ्ल्यान्डमा 'द फुटबल एसोसिएसन' को गठनसँगै गाँसिएको थियो र त्यस लगत्तै सन् १८६३ मा बनाइएको 'लव्ज अफ द गेम' को आधारमा नै आज फुटबल खेल्ने गरिन्छ। अन्तर्राष्ट्रिय आधार वा स्वरूप माथि फुटबलको नियन्त्रण वा एसोसिएसन फुटबलको अन्तर्राष्ट्रिय महासङ्घ जसलाई सङ्क्षेपमा FIFA वा एसोसिएसन फुटबलको अन्तर्राष्ट्रिय महासङ्घले गर्छ। फुटबलको सबैभन्दा प्रतिष्ठित अन्तर्राष्ट्रिय र लोकप्रिय प्रतियोगिता फिफा विश्व कप हो जसको आयोजन प्रत्येक चार वर्षको अन्तरमा गरिन्छ। यस प्रतियोगितालाई व्यापक रूपमा सम्पूर्ण विश्वमा हेर्ने गरिन्छ र यसको दर्शक ग्रीष्मकालीन ओलम्पिक खेलहरूलाई हेर्ने दर्शकहरूको लगभग दुई गुणा बढी हुन्छ।
activity;['धर्ना'];धर्ना नेपालको राप्ती अञ्चलको दाङ जिल्लाको एक गाँउ विकास समिति हो। यो ठाउँमा १२२० वटा घर छन्।
