activity;['regn', 'lukta etter regn', 'petrichor', 'regnbye', 'regnbyge', 'regnvêr'];Nedbør i form av vassdropar med diameter større enn 0,5 millimeter.
geographical-object;['svartehavet'];Eit innlandshav mellom Søraust-Europa og Anatolia.
information-object;['palindrom'];Eit symmetrisk ord som er likt anten ein les det frå høgre eller venstre.
language;['norsk', 'norsk språk', 'det norske språket'];Eit nordgermansk språk tala i Noreg.
language;['islandsk', 'isl.', 'islandsk språk', 'islendsk', 'islendsk språk'];Eit nordgermansk språk snakka hovudsakleg på Island.
language;['svensk', 'svensk språk', 'svenska'];Eit nordgermansk språk snakka hovudsakleg i Sverige og delar av Finland.
language;['esperanto'];Eit internasjonalt planspråk snakka verda over, grunnlagd av L. L. Zamenhof.
language;['afrikaans', 'afrikaans språk'];Eit vestgermansk språk, snakka hovudsakleg i Sør-Afrika og Namibia.
language;['nynorsk', 'norsk', 'nn', 'norsk nynorsk', 'norsk mål', 'norskt mål', 'nynorsk språk'];Eitt av to offisielle norske skriftspråk, bygd på dialektar. Det andre er bokmål.
language;['bokmål', 'riksmål'];Eitt av to offisielle norske skriftspråk, bygd på dansk. Det andre er nynorsk.
language;['mandarinspråk', 'mandarin', 'mandarinkinesisk', 'høgkinesisk', 'mandarin-kinesisk', 'mandarin-språket', 'mandarinspråket', 'språket mandarin'];Det offisielle språket i Kina og Taiwan.
language;['angloamerikansk', 'angloamerikansk språk', 'engelsk', 'amerikansk engelsk', 'amerikansk-engelsk', 'amerikansk engelsk språk', 'amerikansk språk', 'anglo-amerikansk', 'anglo-amerikansk språk', 'anglo amerikansk språk', 'us-engelsk', 'us engelsk'];Eit vestgermansk språk som stammar frå England, men som no blir brukt i heile Storbritannia, Det britiske samveldet, USA og andre delar av verda.
language;['indoeuropeisk', 'indoeuropeiske språk', 'indogermansk', 'indogermanske språk', 'jafetisk', 'jafetiske språk', 'indo-europeisk språk', 'indo-europeiske språk', 'indoeuropeisk språk'];Ein større språkfamilie som inneheld mange av språka frå Europa til India, med viktige indiske, iranske og europeiske underfamiliar.
language;['armensk', 'armensk språk', 'hayeren'];Eit indoeuropeisk språk tala av armenarar.
language;['nordgermansk', 'nordgermanske språk', 'nordisk', 'nordisk språk', 'nordiske språk'];Ei undergruppe av germanske språk, snakka i Skandinavia (Danmark, Noreg og Sverige), på Færøyane og Island.
language;['finsk', 'alfabetet i finland', 'fi.', 'finsk språk'];Eit finsk-ugrisk språk tala hovudsakleg i Finland.
language;['spansk', 'kastiljansk', 'kastiljansk språk', 'spansk språk'];Eit romansk språk som hovudsakleg blir tala i Spania, Latin-Amerika og i Karibia.
language;['arabisk', 'ar.', 'arab.', 'arabisk språk', 'arabiyya'];Eit semittisk språk som blir snakka i det meste av Nord-Afrika, på den arabiske halvøya og i Midtausten, og som det liturgiske språket i islam.
language;['polsk', 'polsk språk', 'polski', 'polszczyzna'];Eit vestslavisk språk snakka hovudsakleg i Polen.
language;['russisk', 'russ.', 'russisk språk'];Eit austslavisk språk som hovudsakleg blir snakka i Russland og dei tidlegare sovjetrepublikkane.
language;['tysk', 'høgtysk', 'tysk språk', 'de', 'deutsch', 'hochdeutsch', 'høgtyske språk', 'ty.'];Eit indoeuropeisk språk hovudsaklig tala i Tyskland, Austerrike, Liechtenstein, Sør-Tyrol, Sveits og ein liten del av Belgia.
language;['nederlandsk', 'nederlandsk språk', 'nl', 'ndl.', 'nederlands'];Eit vest-germansk språk tala hovudsakleg i Nederland, Flandern og Surinam.
phenomenon;['regn', 'lukta etter regn', 'petrichor', 'regnbye', 'regnbyge', 'regnvêr'];Nedbør i form av vassdropar med diameter større enn 0,5 millimeter.
quality;['raud', 'fargen raud', 'raudfarge', 'rød'];Fargen ein får om ein tar grønt og blått vekk frå kvitt. Ein primærfarge i det additive fargesystemet, og ein sekundærfarge i det subtrahive fargesystemet. Det er komplementærfargen til turkis.
socially-constructed-person;['baskisk'];Eit språk som hovudsakleg blir snakka i Baskarland.
socially-constructed-person;['serbarar', 'serbisk'];Eit sørslavisk språk snakka hovudsakleg i Serbia, Montenegro, Bosnia og Herzegovina og av serbarar elles.
socially-constructed-person;['bretonsk'];Eit keltisk språk snakka av nokre av innbyggjarane i Bretagne og Loire-Atlantique i Frankrike.
socially-constructed-person;['bulgarsk'];Eit sørslavisk språk som hovudsakleg blir snakka i Bulgaria.
socially-constructed-person;['tyskar'];Person med tysk nasjonalitet.
socially-constructed-person;['italienar'];Ein person frå Italia eller av italiensk opphav.
socially-constructed-person;['japansk'];Eit språk snakka hovudsakleg i Japan.
temporal-region;['jul', 'jol', '25. desember', 'første juledag', 'juledagen', 'ainndan'];Høgtid som feirer fødselen til Jesus.
