abstract-region;['produkt', 'produkt i matematikk'];Resultatet av multiplikasjon
activity;['numerus', 'tal'];Grammatisk kategori som viser til mengd
activity;['francisco lópez alfaro'];Spansk fotballspelar
activity;['skyggespel'];Skodespel med figurskyggar
activity;['subrette'];Opera/teaterfag
activity;['musikal'];Musikkteaterform
activity;['situasjonskomedie', 'sitcom'];komediesjanger
activity;['andre verdskrigen', 'world war ii', '2. verdenskrig', '2. verdskrig', '2. verdskrigen', 'anden verdenskrig', 'andre verdenskrig', 'andre verdenskrigen', 'andre verdskrig', 'annen verdenskrig', 'den 2. verdenskrig', 'den 2. verdskrigen', 'den andre verdenskrig', 'den andre verdenskrigen', 'den andre verdskrig', 'den andre verdskrigen', 'den annen verdenskrig'];Wikimedia-fleirtydingsside
activity;['internasjonale relasjonar', 'internasjonale forhold'];Relasjon mellom to eller fleire statar
activity;['bytehandel', 'byteøkonomi', 'bytte'];Byting av varer
activity;['intramuskulær injeksjon', 'i.m. inj.', 'i.m. injeksjon'];Det å injisere eit stoff i ein muskel
activity;['angioplastikk', 'ballong-angioplastikk', 'ballongangioplastikk', 'perkutan transluminal angioplastikk', 'pta'];Minimalt invasiv, endovaskulær prosedyre for å vide ut tronge eller blokkerte pulsårer eller vener, oftast for behandling av aterosklerose
activity;['auskultasjon', 'auskultering'];Det å lytte til indre kroppslydar, vanlegvis ved hjelp av eit stetoskop
activity;['mimeleiken', 'charades'];Selskapsleik
activity;['pønkrock', 'punkrock', 'punk', 'punk-rock', 'pønk-rock', 'punk rock'];Sjanger innan rock
activity;['thyroidektomi', 'partiell thyroidektomi', 'total thyroidektomi', 'tyroidektomi'];Kirurgisk fjerning av heile eller delar av skjoldbruskkjertelen
activity;['hysterektomi'];Operativ fjerning av livmor
activity;['trygging', 'vern'];Wikimedia-fleirtydingsside
activity;['akkulturasjon'];Prosess med kulturell og psykologisk endring
activity;['rifling'];Spiralforma spor på innsida av eit våpenløp
activity;['nedbør', 'nedburd'];Vatn som fell frå himmelen
activity;['bergpreika'];Det uforstålige språk
activity;['velgjerar', 'filantrop', 'menneskeven', 'menneskevenn'];Person som hjelper andre ut frå ueigennyttig nestekjærleik
agentive-figure;['aksjeselskap'];Wikimedia-fleirtydingsside
agentive-figure;['kor i arkitekturen', 'kor i arkitektur'];Wikimedia-fleirtydingsside
agentive-figure;['diwan', 'divan'];Wikimedia-listeartikkel
agentive-figure;['konsortium', 'syndikat'];Forbund av sjølvstendige føretak
agentive-figure;['rollefigur', 'fiktiv figur', 'oppdikta figur', 'karakter'];Oppdikta figur i e forteljing (for et fiktivt menneske, nytt Q15632617)
agentive-figure;['den europeiske unionen', 'det europeiske økonomiske fellesskapet', 'den europeiske union', 'eu', 'europaunionen', 'europeiske union', 'europeiske unionen', 'den europeiske fellesmarknaden', 'eec', 'eøf', 'fellesmarknaden', '🇪🇺', 'dei europeiske fellesskapa', 'ef', 'europa unionen'];Økonomisk og politisk union som består av 27 europeiske medlemsland
agentive-figure;['dei sameinte nasjonane', 'fn', 'sn', 'sameinte nasjonar', 'de forente nasjonene', 'de forente nasjoner', 'de sameinte nasjonane', 'dei foreina nasjonane', 'dei foreina nasjonar', 'dei foreinte nasjonane', 'dei foreinte nasjonar', 'dei forente nasjonane', 'dei forente nasjonene', 'dei forente nasjoner', 'dei sameinte nasjonar', 'un', 'united nations'];Mellomstatleg organisasjon
agentive-figure;['griechisch-orthodoxe kirche', 'den greske ortodokse kirkja'];Wikimedia-fleirtydingsside
agentive-figure;['sekretariatet i dei sameinte nasjonane', 'fn-sekretariatet', 'sekretariatet', 'sekretariatet i fn', 'sekretariatet i sn', 'sn-sekretariatet'];Hovudorgan i Dei sameinte nasjonane
agentive-figure;['brannstell', 'brannvesen'];Organisasjonseining for å bekjempe brann
agentive-figure;['verdas meteorologiorganisasjon', 'den meteorologiske verdsorganisasjonen', 'verdsmeteorologiorganisasjonen', 'wmo', 'world meteorological organization', 'den internasjonale meteorologiorganisasjonen', 'den internasjonale meteorologiske organisasjonen', 'den meteorologiske verdensorganisasjon', 'den meteorologiske verdsorganisasjon'];særorganisasjon i Dei sameinte nasjonane
agentive-physical-object;['sandbier', 'andrena', 'sandbie'];Slekt av gravebier
agentive-physical-object;['coryphantha'];Planteslekt
agentive-physical-object;['dichondra'];Planteslekt
agentive-physical-object;['sceptridium'];Planteslekt
agentive-physical-object;['flora i botanikken', 'plantar', 'planteriket', 'plante', 'flora', 'plantae', 'planter', 'flora i botanikk', 'plantemateriale', 'plantæ', 'planteslag'];Rike av fleircella organismar
agentive-physical-object;['kleslus', 'kledelus', 'kroppslus', 'pediculus humanus corporis', 'pediculus humanus humanus'];lus som lever ektoparasittisk på menneske
