activity;['arbeidsløshetstrygd', 'pogey', 'pogy'];Penger som arbeidsledige får fra staten eller fra en forsikring.
activity;['tale'];Et foredrag, det å snakke foran et publikum om en sak eller ens opplevelser, følelser, ofte i en bestemt hensikt.
activity;['arbeidsledighetstrygd', 'arbeidsløshetstrygd', 'arbeidsledighetsforsikring', 'dagpenger', 'arbeidsledighet forsikring'];Penger som arbeidsledige får fra staten eller fra en forsikring.
activity;['valg'];Det å velge noen eller noe.
activity;['regn', 'regnvær', 'regnvann', 'regnbyge', 'styrtregn', 'nedbør', 'rains', 'rainstorm', 'regn storm'];Nedbør i form av vanndråper med diameter større enn 0,5 millimeter.
agentive-physical-object;['hval', 'hvalfisk', 'kval'];Stort marint dyr i ordenen Cetecea. kroppen er strømlinjeforma, den brede flate halen brukes til framdrift, og lemmene brukes til å balansere.
agentive-physical-object;['katt', 'pus', 'pusekatt', 'tamkatt', 'huskatt', 'felis catus', 'felis silvestris catus', 'kattene', 'kattepus', 'kattunge', 'kjette', 'domestic cat', 'katter', 'sanne katt'];Et vanlig firbeint dyr (Felis silvestris) som ofte holdes som kjæledyr.
agentive-physical-object;['gulrot', 'daucus carota sativa', 'dyrket gulrot', 'gulrøtter'];En guloransje avlang rotvekst som spises enten rå eller kokt.
agentive-physical-object;['gnager', 'gnagere', 'enkelttannede gnagere', 'rodentia', 'smågnager', 'smågnagere', 'gnawer'];Navn på pattedyr i ordenen Rodentia.
agentive-physical-object;['bringebær', 'blå bringebær', 'bringebær bush'];Lite og spiselig bær fra plantearten Rubus idaeus.
agentive-physical-object;['kalv'];Ungt fe.
amount-of-matter;['salt', 'salter', 'ionisk salt', 'kalium salt', 'kaliumsaltet'];Produktet i en reaksjon der et metall erstatter hydrogenet i en syre.
biological-object;['hjerte', 'hjertemuskel', 'hjertekammer', 'hjertet', 'hvor mange liter blod pumper hjertet i minuttet', 'hjertekammeret', 'menneskelige hjertet', 'venstre hjerte'];En muskel som pumper blod gjennom kroppen.
biological-object;['hjernestamme', 'hjernestammen', 'hjerne-stammen'];Hjernens nederste del som forbinder hjernen med ryggmargen. Den består av edulla oblongata, mesencephalon og hjernebroen.
biological-object;['stein', 'endocarp'];Treskallet som omgir frøemnet i noen frukter, især steinfrukter.
functional-matter;['yoghurt', 'jogurt', 'joghurt', 'yogurt', 'tilsatt'];Et syrnet melkeprodukt.
functional-matter;['is', 'naturis', 'is høsting'];Det faste stoffet som dannes når vann fryser. Forekommer ofte i form av sekskantede iskrystaller.
functional-matter;['iskrem', 'is', 'is krem', 'italiensk is'];Mat som inneholder hovedsakelig fryst fløte, melk eller vann/saft.
functional-matter;['stein', 'bergart', 'bergarter', 'bergartssekvens', 'sten', 'rock', 'steiner'];Små uregelmessige stykker av forskjellige mineraler, ca. 20-200 mm i diameter
functional-matter;['is', 'naturis', 'is høsting'];Det faste stoffet som dannes når vann fryser. Forekommer ofte i form av sekskantede iskrystaller.
geographical-object;['svartehavet', 'sortehavet', 'svartehavskysten', 'svarthavet', 'euxine sea', 'svart sea'];Et innlandshav mellom Sørøst-Europa og Anatolia.
language;['jiddisch', 'jiddisk', 'jiddisch språk', 'jiddish', 'jiddisk språk', 'yiddisch', 'yiddish', 'yiddisk'];Et germansk språk som snakkes av tre til fire millioner mennesker verden over, primært askenasiske jøder.
language;['urindoeuropeisk', 'protoindoeuropeisk', 'proto-indoeuropeisk språk', 'proto-indoeuropeisk', 'ur-indoeuropeisk', 'urindoeuropeisk språk', 'proto-indo european'];Et hypotetisk språk som er felles opphav for de indoeuropeiske språkene.
language;['norsk', 'norsk språk', 'no', 'det norske språk', 'norsk sprog', 'samnorsk'];Et nordisk språk som snakkes i Norge.
language;['dansk', 'da', 'dan', 'dansk sprog', 'dansk språk', 'danske språket'];Et nordgermansk språk som hovedsakelig snakkes i Danmark.
language;['svensk', 'svensk språk', 'svenska', 'svenske', 'svenske språket'];Et nordisk språk som hovedsakelig snakkes i Sverige og deler av Finland.
language;['esperanto'];Et internasjonalt planspråk snakket verden over, grunnlagt av L. L. Zamenhof.
language;['rumensk', 'romensk', 'rumensk språk', 'rumenske språk'];Et romansk språk som hovedsakelig snakkes i Romania, Moldova og Vojvodina.
language;['afrikaans', 'oranjerivier-afrikaans', 'østgrense-afrikaans', 'afrikans', 'afrikaans språk', 'sørafrikanske dutch', 'taal'];Et vestgermansk språk, snakket hovedsaklig i Sør-Afrika og Namibia.
language;['nynorsk', 'landsmål', 'landsmålet', 'nynorsken', 'landsmaal', 'landsmal', 'ny norsk', 'nynorsk språk'];Et av to offisielle norske skriftspråk, bygd på dialekter. Det andre er bokmål.
language;['riksmål', 'bokmål', 'riksmaal'];Et av to offisielle norske skriftspråk, bygd på dansk. Det andre er nynorsk.
