activity;['kombata'];Partisipa in fisikal konfrontatione.
agentive-physical-object;['hunde', 'canis lupus familiaris'];Mamifere kun quar pedes (Canis familiaris) kel on tena kom dorlotate o por garda koses o por chasa.
agentive-physical-object;['fema', 'femala'];Adulti homal membre del sexu kel produkte oves e partura infantes.
agentive-physical-object;['fogle', 'aves'];Irgi varmi-sangal vertebrose ek li klase Aves.
agentive-physical-object;['lause'];Mikri parasiti insekte sin alies in li ordine Phthiraptera kel habita sur plantes, homes e altri mamiferes.
biological-object;['grasu', 'grasum'];Spesialisat tisu in animales kontenant multi olie, usat por longitempal staplo de energie.
biological-object;['mame'];Li karnosi organe sur li pektore de sexualim maturi female kel kontena mamari glandes.
biological-object;['fingre-ungle'];Li hardi, plani, travidabli kovre proxim li punte de homal fingre, util por grata e fa delikat manipulationes.
biological-object;['tripes'];Li interni organes de animal.
biological-object;['korne'];Hardi kreskatu de keratine kel salia del kulmine del kape de serteni animales.
biological-object;['bruste', 'pektore'];Li parte del korpore fro li base del kole al kulmine del abdomene. li toraxe.
biological-object;['kordie'];Musklosi organe kel pumpa sange tra li korpore.
biological-object;['nase'];Li organe de fasie usat por flara.
biological-object;['kole'];Parte del korpore (trovat in kelki animales, inklusent homes) kel konekte li kape e li torso.
biological-object;['tripes'];Li interni organes de animal.
biological-object;['bruste', 'pektore'];Li parte del korpore fro li base del kole al kulmine del abdomene. li toraxe.
biological-object;['abdomene', 'stomake', 'ventre'];Li plu basi parte del fronte del torso (o de simil parte de animal), limitat fro subu dal pelvise e fro supru dal diafragme. Lu kontena li intestines.
biological-object;['kape'];Li parte del korpore de animal o home kel kontena li serebre, boke e chefi organes de sensu.
cognitive-event;['odoro'];Tu kel bli sensua da li nasal organes.
dependent-place;['strate'];Strate de roke (primim de sedimantal roke).
ecological-collective;['homaro'];Omni homes.
functional-matter;['glasie'];Li densi substantie format per frosto de aque en li solid fase. ordinarim exista in forme de hexagonal kristales.
functional-matter;['stone'];Mikri (e ordinarim nonreglari) piese de minerale, sirk 20-200 mm ye diametre.
functional-matter;['glasie'];Li densi substantie format per frosto de aque en li solid fase. ordinarim exista in forme de hexagonal kristales.
functional-matter;['sale'];Kondimente (NaCl) usat por grandisa o plubonisa li sapore de manjaje.
information-object;['nome'];Irgi vorde o frase kel indika partikulari persone, loke, klase o kose.
language;['danum', 'da', 'dan'];Nordi-germani lingue parlat primim in Dania.
language;['anglum'];West-germani lingue kel orignad in Anglia ma nun lu bli parla in omni partes del Britani Isles, li Commonwealth of Nations, li Unionati States de Amerika e in altri partes del monde.
non-agentive-physical-object;['vie'];Longi sektione de duri tere along kel on pove gida fro loke a loke.
phenomenon;['nube'];Suspensiones de tre mikri gutes o kristales de glasie produktet dal kondensatione de aque-vapore.
quality;['nigri'];Kolore (li kolore del siele noktim e de plumes de merle) kel bli krea dal absorbo de omni lume sin reflektione de ulu. deslumosi e sin kolore.
region;['sero', '0'];Li kardinal nombre kel signifika totim nuli quantitate.
region;['sink', '5'];Li kardinal nombre after quar e ante six, representat in romani nombres kom V, e in arabi nombres kom 5.
region;['tri', '3'];Li kardinak nombre after du e ante quar, representat in roman nombres kom III e in arabi nombres da 3.
region;['du', '2'];Li duesmi natural nombre (2).
relevant-part;['korke'];Li extri kovre del trunke e branches de arbre.
socially-constructed-person;['patre'];Persone havent un o plu multi filies.
socially-constructed-person;['patro'];Maskulin patre.
socially-constructed-person;['marito'];Marit viro.
socially-constructed-person;['marita'];Marit fema.
socially-constructed-person;['fondere'];Persone kel ha fonda o origina, kom in ''li patre de nusen patria".
socially-constructed-person;['marito'];Marit viro.
socially-constructed-person;['matra'];Fema kel have aminim un infante.
socially-constructed-person;['fema'];Adulti homal membre del sexu kel produkte oves e partura infantes.
socially-constructed-person;['viro'];Adulti homal membre del sexu kel genita infantes per fertilisatione de oves.
spatial-feature;['siele'];Li parte del atmosfere del tere e spatie exter lu, kel es vidabli fro li surfase del tere. Jornim lu apari blu, e noktim nigri.
taxonomic-collective;['morue', 'gadus morhua'];Maral fishe del familie Gadidae.
temporal-region;['auguste'];Li otesmi mensu del gregoriani kalendre, kel have 31 dies.
temporal-region;['jorne'];Li periode inter li levo e li desenso del sune, durant kel li sune brilia.
