abstract-region;['ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ', 'ଲ. ସା. ଗୁ.', 'ଲସାଗୁ', 'least common multiple'];ପାଟିଗଣିତ ତଥା ସଂଖ୍ୟାତତ୍ତ୍ୱରେ ଅନ୍ତତଃ ଦୁଇଟି ପୂର୍ଣ୍ଣାଙ୍କର ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ
activity;['ଇମେଲ'];ଇଲୋକ୍ଟ୍ରୋନିକ ମେଲ ବା ଡାକ, ସାଧାରଣତଃ ଇମେଲ ବୋଲି ୧୯୯୩ ମସିହାରୁ ଜଣାଯାଏ । ଏହାଦ୍ୱାରା ଇଣ୍ଟରନେଟ ମାଧ୍ୟମରେ ଗୋଟିଏ ବ୍ୟବହାରକାରୀ ଅନ୍ୟ ଏକ ବ୍ୟବହାରକାରୀକୁ ବାର୍ତ୍ତା, ରେକର୍ଡ କରାଯାଇଥିବା ବାର୍ତ୍ତା, ଛବି, ଭିଡିଓ ଆଦି ପଠାଇ ପାରିବ । ପୂର୍ବରୁ ତତ୍-କ୍ଷଣାତ ବାର୍ତ୍ତାବାହ ଭଳି ବାର୍ତ୍ତା ପଠାଳୀ ଓ ବାର୍ତ୍ତା ଗ୍ରହଣକାରୀ ଦୁଇ ଜଣକୁ ଏକା ସମୟରେ ଅନଲାଇନ ରହିବାକୁ ପଡୁଥିଲା । କିନ୍ତୁ ବର୍ତ୍ତମାନ store-and-forward ପ୍ରକ୍ରିୟାକୁ ଆଧାରିତ କରି ପ୍ରସ୍ତୁତ କରାଯାଇଥିବାରୁ ଏକ ସମୟରେ ଦୁଇ ଜଣଙ୍କୁ ଅନଲାଇନ ରହିବା ଆବଶ୍ୟକ ପଡୁନାହିଁ ।
activity;['ଘୂର୍ଣ୍ଣିବାତ୍ୟା', 'cyclone'];ଘୂର୍ଣ୍ଣିବାତ୍ୟା, ପ୍ରତିଶବ୍ଦ ଘୂର୍ଣ୍ଣିବାତ, ଘୂର୍ଣ୍ଣିବାୟୁ, ଝଟିକାବର୍ତ୍ତ, ବାତାବର୍ତ୍ତ, ଚକ୍ରବାତ୍ୟା ବା ଖଣ୍ଡିଆଭୂତ ଏକ ବିରାଟ ଧରଣର ବାୟୁ ପିଣ୍ଡ ଯାହା ଶକ୍ତିଶାଳୀ କେନ୍ଦ୍ରୀୟ ବାୟୁମଣ୍ଡଳୀୟ ନିମ୍ନ ଚାପ ଚତୁର୍ଦ୍ଦିଗରେ ଘୂରିବୁଲେ । ଘୂର୍ଣ୍ଣିବାତ୍ୟାରେ ଏକ ନିମ୍ନ‌ଚାପ ବିଶିଷ୍ଟ କ୍ଷେତ୍ର ଚାରିପାଖରେ ଅନ୍ତଃଗାମୀ କୁଣ୍ଡଳାକାର ପବନ ଘୂରିବୁଲେ । ସବୁଠାରୁ ବଡ଼ ନିମ୍ନ-ଚାପ ସିସ୍ଟମକୁ ପୋଲାର ଭର୍ଟେକ୍ସ ଓ ସବୁଠାରୁ ବଡ଼ ସିନୋପ୍ଟିକ ସ୍କେଲକୁ synoptic scaleextratropical cycloneMesocyclonetornadodust devilCyclogenesisweather frontbandHenry PiddingtonThe Journal of the Asiatic SocietyLaws of the Storms
activity;['ଚୁମ୍ବନ'];ବିଭିନ୍ନ ସଂସ୍କୃତି ଓ ପରମ୍ପରାକୁ ଆଧାର କରି ଚୁମ୍ବନ ପ୍ରେମ,ରୋମାନ୍ସ,ଯୌନ ଆକର୍ଷଣ,ସମ୍ମାନ,ବନ୍ଧୁତା,ସ୍ନେହ ଓ ଶାନ୍ତି ର ପ୍ରତୀକ.
activity;['ଲୁଚକାଳି', 'hide-and-seek', 'ଲୁଚୁକାଳି', 'ଲୁଚୁଲୁଚାଣି'];ଲୁଚକାଳି ଖେଳରେ ଜଣେ କିମ୍ବା ତତୋଽଧିକ ଖେଳାଳିଙ୍କୁ ଲୁଚି ରହିଥିବା ଅନ୍ୟାନ୍ୟ ଖେଳାଳିଙ୍କୁ ଖୋଜିବାକୁ ପଡ଼ିଥାଏ । ଏହି ଖେଳକୁ ଭିନ୍ନ ଭିନ୍ନ ସ୍ଥାନରେ ଭିନ୍ନ ଭିନ୍ନ ପ୍ରକାରେ ଖେଳା ଯାଇଥାଏ.
activity;['ଥର୍ମୋପାୟଲି ଯୁଦ୍ଧ', 'ଥର୍ମୋପିଲୀ ଯୁଦ୍ଧ'];ଥର୍ମୋପିଲୀ ଯୁଦ୍ଧ, ଗ୍ରୀକ ନଗର ରାଜ୍ୟ ମାନଙ୍କର ଏକ ସଂଗଠନ ଏବଂ ପାରସ୍ୟ ସାମ୍ରାଜ୍ୟ ମଧ୍ୟରେ ହୋଇଥିବା ଏକ ଯୁଦ୍ଧ, ଯାହା ପାରସ୍ୟର ଦ୍ୱିତୀୟ ଗ୍ରୀକ ଆକ୍ରମଣ ସମୟରେ ତିନିଦିନ ଧରି ହୋଇଥିଲା । ୧ମ ଜେରକ୍ସେସ ନେତୃତ୍ତ୍ୱରେ ଆକ୍ରମଣ କରିଥିବା ପାରସ୍ୟ ସୈନ୍ୟବାହିନୀକୁ ଗ୍ରୀକମାନେ ରାଜା ଲିଓନାଇଡ଼ସଙ୍କ ନେତୃତ୍ତ୍ୱରେ ସାମନା କରିଥିଲେ । ଏହି ଯୁଦ୍ଧ ଆର୍ଟମେସିୟମ ନୌଯୁଦ୍ଧ ସହ ଏକ ସମୟରେ, ଖୀ.ପୂ.
activity;['ଚେସ', 'ସତରଞ୍ଜ', 'chess'];ଚେସ ଏକ ଦୁଇଜଣିଆ ଖେଳ ଯାହାକି ଘର ଭିତରେ ଖେଳା ଯାଉଥିବା ଖେଳ ମଧ୍ୟରୁ ଗୋଟିଏ । ଏହା ଏକ ଚାରିକଣିଆ ଚେସବୋର୍ଡରେ ଖେଳା ଯାଇଥାଏ । ଏଥିରେ ପ୍ରତ୍ୟେକ ଖେଳାଳି ପାଖରେ ୧୬ଟି ଦାନା ଥାଏ ଏବଂ ସେମାନଙ୍କୁ ନେଇ ଚାଲ ଚଳେଇବାକୁ ପଡେ । == ଅଧିକ ବିବରଣୀ == == ନିୟମ == == ଲୋକପ୍ରିୟତା == == ଜଣାଶୁଣା ଚେସ ଖେଳାଳି == == ଆଧାର == == External links == http://www.chess.com/learn-how-to-play-chess.htmlଅନ୍ତର୍ଜାତୀୟ ସଙ୍ଗଠନ ସମୂହFIDE – World Chess FederationOfficial rules – FIDE Laws of Chess FIDE list of top rated playersICCF – International Correspondence Chess Federation ACP – Association of Chess ProfessionalsଖବରChessbase news The Week in Chessଅନ୍ୟାନ୍ୟChessGames.com – online chess database and community Chess records – details of longest game, most passed pawns, fewest captures etc.
activity;['କମ୍ପ୍ୟୁଟର ଗେମ', 'ଭିଡ଼ିଓ ଗେମ', 'କମ୍ପୁଟର ଗେମ'];କମ୍ପୁଟରଦ୍ୱାରା ଖେଳା ଯାଉ ଥିବା ଗେମ୍କୁ କମ୍ପୁଟର ଗେମ୍ କୁହାଯାଏ। ଆଜିକାଲି ପିଲାମାନେ ଏହି ଖେଳ ପ୍ରତି ଅଧିକମନ ବଳାଉଛନ୍ତି। ସହର ମାନଙ୍କରେ ଘରେଘରେ କମ୍ପୁଟର୍ ଓ ଇଣ୍ଟରନେଟ୍ ବ୍ୟବସ୍ଥା ରହୁଥିବାରୁ ପିଲାମାନେ ଅଧିକରୁ ଅଧିକ ଏହା ପ୍ରତି ଅକ୍ରୁଷ୍ଟ ହେଉଛନ୍ତି ।
activity;['ବ୍ୟାଡମିଣ୍ଟନ', 'ବ୍ୟାଡ଼ମିଣ୍ଟନ', 'badminton'];ବ୍ୟାଡ଼ମିଣ୍ଟନ ଏକ ରେକେଟ ଖେଳ । ଏହି ଖେଳକୁ ଏକ ଜାଲି ଉପରେ ରେକେଟଦ୍ୱାରା ପରଯୁକ୍ତ କକ୍‌କୁ ମାରି ଖେଳାଯାଏ । ଏହି ଖେଳର ନିୟମ ହେଉଛି ସିଙ୍ଗଲସ୍ ଓ ଡବଲସ୍ । ଏହି ଖେଳ ସାଧାରଣତଃ ଘର ବାହାରେ ଖେଳାଯାଏ । ନିୟମ ଅନୁଯାୟୀ ଏହି ଖେଳ ଏକ ୟାର୍ଡ଼ ଆୟତାକର କ୍ଷେତ୍ରରେ ଖେଳାଯାଏ । ପରଯୁକ୍ତ କକ୍‌କୁ ରେକେଟରେ ମାରି ବିପରୀତ ଦଳ ପଟେ ଜମିରେ ଏବଂ ନିର୍ଦ୍ଧାରିତ ସୀମା ରେଖା ମଧ୍ୟରେ ପକାଇ ପାରିଲେ ଏକ ପଏଣ୍ଟ ହିସାବ କରାଯାଏ ।
activity;['କ୍ରିକେଟ', 'cricket'];କ୍ରିକେଟ ଏକ ଖେଳର ନାମ ଯାହା ବ୍ୟାଟ ଏବଂ ବଲକୁ ନେଇ ୧୧ଜଣ ବିଶିଷ୍ଟ ଦୁଇ ଦଳ ଏକ କ୍ରିକେଟ ପଡ଼ିଆରେ ଖେଳନ୍ତି ଓ ପ୍ରତି ଦଳରେ ୧୧ ଜଣ ଖେଳାଳୀଙ୍କୁ ନେଇ ଖେଳାଯାଇଥାଏ । ପଡ଼ିଆର ମଧ୍ୟ ଭାଗରେ ୨୨ଗଜ ବିଶିଷ୍ଟ ଏକ ଆୟତ୍ତାକାର କ୍ଷେତ୍ର ଥାଏ ଯାହାକୁ ପିଚ୍ କୁହାଯାଏ । ଏହାର ଦୁଇ ମୁଣ୍ଡରେ ତିନୋଟି କରି କାଠ ନିର୍ମିତ ବାଡ଼ି ପୋତା ଯାଇଥାଏ ଯାହାକୁ ଉଇକେଟ କ‌ହନ୍ତି ଯେଉଁଥିରେ ତିନୋଟି ସ୍ଟମ୍ପ ଥାଏ । ପ୍ରତି ଉଇକେଟ ଆଗରେ ଗୋଟିଏ କରି କ୍ରିଜ ଥାଏ । ଦୁଇ ଦଳ ମଧ୍ୟରୁ ଗୋଟିଏ ଦଳକୁ ବ୍ୟାଟିଙ୍ଗ ଦଳ ଓ ଅନ୍ୟଟିକୁ କ୍ଷେତ୍ରରକ୍ଷକ ଦଳ କୁହାଯାଏ । ଏଥିରେ ଗୋଟିଏ ଦଳ ପ୍ରଥମେ ବ୍ୟାଟିଂ କରି ଅଧିକରୁ ଅଧିକ ଦୌଡ ସ୍କୋର କରିବାକୁ ଚେଷ୍ଟା କରିବା ବେଳେ, ଦ୍ୱିତୀୟ ଦଳ ବୋଲିଂ ତଥା କ୍ଷେତ୍ରରକ୍ଷଣ କରିଥାନ୍ତି । ବ୍ୟାଟିଂ କରୁଥିବା ଦଳର ସମସ୍ତ ଖେଳାଳୀ ଆଉଟ କିମ୍ବା ଏକ ନିର୍ଦ୍ଧାରିତ ଓଭରର ବୋଲିଂ ଶେଷ ହେବା ପରେ ଦ୍ୱିତୀୟ ଦଳ ବ୍ୟାଟିଂ କରି, ପ୍ରଥମ ଦଳ ସ୍କୋର କରିଥିବା ଦୌଡ କୁ ହାସିଲ କରିବାକୁ ଚେଷ୍ଟା କରିଥାନ୍ତି । ଖେଳର ପରିଣାମ ସର୍ବାଧିକ ଦୌଡ ଉପରେ ନିର୍ଭର କରିଥାଏ । ବର୍ତ୍ତମାନ ଭାରତର ସବୁଠାରୁ ଲୋକପ୍ରିୟ ଖେଳ ହେଲା କ୍ରିକେଟ । ବର୍ତ୍ତମାନ କ୍ରିକେଟ ତିନୋଟି ଫର୍ମାଟରେ ଖେଳା ଯାଊଛି, ଯଥା ଟେଷ୍ଟକ୍ରିକେଟ, ଏକ ଦିବସୀୟ ବା ୱନ୍ ଡେ କ୍ରିକେଟ ଏବଂ ଟ୍ୱେଣ୍ଟି ଟ୍ୱେଣ୍ଟି କ୍ରିକେଟ ।
activity;['ଜେଟ ସ୍ରୋତ', 'jet stream'];ଜେଟ ସ୍ରୋତ କ‌ହିଲେ ପୃଥିବୀ ଓ ଅନ୍ୟାନ୍ୟ ଗ୍ରହମାନଙ୍କର ବାୟୁମଣ୍ଡଳରେ ଥିବା ଦୃତଗାମୀ, ଅଣଓସାରିଆ, ବିଷର୍ପିତ ବାୟୁ ସ୍ରୋତକୁ ବୁଝାଏ । ପୃଥିବୀର ଜେଟ ସ୍ରୋତ ଟ୍ରୋପୋପଜ ଉଚ୍ଚତାରେ ସ୍ଥାନିତ ହୋଇଥାଏ ଓ ପଶ୍ଚିମରୁ ପୂର୍ବକୁ ପ୍ରବାହିତ ହେଉଥାଏ । ତାହାର ସର୍ପିଳ ପଥର ଆକାର ଥାଏ । ଜେଟ ସ୍ରୋତ ଆରମ୍ଭ ହୋଇପାରେ, ବନ୍ଦ ହୋଇପାରେ, ଦୁଇ ଭାବରେ ବିଭକ୍ତ ହୋଇପାରେ ବା ସ୍ରୋତର ବିଭିନ୍ନ ଦିଗରେ ଓ ଓଲଟା ଦିଗରେ ମଧ୍ୟ ଗତି କରିପାରେ । ସର୍ବଶକ୍ତିଶାଳୀ ଜେଟ ସ୍ରୋତରେ 'ପୋଲାର ଜେଟ' ନାମ ଅଛି ଯାହା ସମୁଦ୍ର ପତ୍ତନର ୯–୧୨ କି.ମି.
