agentive-physical-object;['ane'];Tinduk ning insektu
functional-matter;['paelia', 'paella', 'paelya'];Parálan ning pámagsariâ ning násî at úlam
geographical-object;['martinique'];Departamentu ning France
geographical-object;['pacific kadayatmalatan', 'pasifiko kadayatmalatan', 'pasipiku kadayatmalatan', 'kadayatmalatan ning pasipiku', 'karayatmalatan ning pasipiku', 'pasipiku', 'pasipiku karayatamalatan', 'pacific', 'pacific ocean'];Ing pekamaragul a karayatmalatan king yatu
information-realization;['bhagavad gita'];Sagradung sulat da rengreng Hindu
information-realization;['tanka', 'tanca', 'tangka', 'kapampangan tanka'];Úrî ning kawatásang Hapones
information-realization;['akrostiku', 'acrósticu', 'acrostic', 'kapampangan acrostic'];Úrî ning kawatásan
language;['amanung danes', 'da', 'dan', 'danish language'];Amánung Hermániku
language;['amanung sweku', 'swedish language'];Amánung Hermániku
language;['amerikanung ingles', 'estadounidenseng ingles', 'ingles amerikanu', 'ingles estadounidense'];Diyalektu ning Amanung Ingles a gagamitan king Estadus Unidus
locative-role;['mayenne'];Departamentu ning France
locative-role;['serbia'];Bangsâ king maúlîng Europa
locative-role;['martinique'];Departamentu ning France
locative-role;['detroit, michigan'];Kapil yadav
physical-body;['yatu'];Katlung planeta ibat king aldo
political-geographic-object;['toskana', 'toscana', 'tuscany'];Labuwad ning Italya
political-geographic-object;['alemanya', 'germany', 'aleman', 'alemania', 'deutschland'];Bangsa king Kalibudtarang Europa
political-geographic-object;['mauling korea', 'republika ning korea', 'south korea'];Bangsa king Aslagang Asya
political-geographic-object;['filipinas', 'pilipinas', 'republika ning pilipinas', 'filipino', 'filipinu', 'filipínu', 'memaleng filipínu', 'philippines', 'pilipino', 'pilipinu', 'pángamemaleng filipínu'];Bangsa king Mauling Aslagang Asya
political-geographic-object;['tungku', 'kabesera', 'kabisera', 'pun lakanbalen'];Pun lakanbalen ning entidad political (bangsa, estadu, kondadu, aap.)
political-geographic-object;['pyongyang', 'pyeongyang'];Tungku (pun lakanbalen) ning Pangulung Korea
political-geographic-object;['kopenhage'];Tungku (pun lakanbalen) ning Dinamarka
political-geographic-object;['luksemburgu', 'lakanbalen ning luksemburgu', 'luksemburgu lakanbalen'];Tungku (pun lakanbalen) ning bangsang Luksemburgu
political-geographic-object;['barsobya', 'barsobia', 'warsaw'];Tungku (pun lakanbalen) at pekamaragul a lakanbalen ning Polonya
political-geographic-object;['seoul'];Tungku (pun lakanbalen) ning Mauling Korea
political-geographic-object;['edmonton'];Tungku ning lalawigan ning Alberta
political-geographic-object;['detroit, michigan'];Kapil yadav
political-geographic-object;['brasil', 'brazil', 'republikang pederatiba ning brasil', 'republikang pederatibu ning brasil'];Bangsa king Mauling Amerika
socially-constructed-person;['francisco de asis', 'francis of assisi', 'francisco de asís', 'saint francis of assisi', 'san francisco de asis'];Catholic saint and founder of the Franciscan order
socially-constructed-person;['victor hugo'];French poet, novelist, dramatist
socially-constructed-person;['richard wagner'];German composer, conductor, music theorist, and essayist
socially-constructed-person;['rené descartes'];French philosopher, mathematician, and scientist
socially-constructed-person;['abraham lincoln'];16th President of the United States of America
socially-constructed-person;['carolus linnaeus', 'carl von linné'];Botanist and physician
socially-constructed-person;['george washington'];1st President of the United States, Commander in Chief of the Continental Army
socially-constructed-person;['grover cleveland'];Pang22 at pang24 Pamuntuk ning United States
socially-constructed-person;['john adams'];2nd U.S. President
socially-constructed-person;['franklin d. roosevelt'];Pang32 Pamuntuk ning United States
socially-constructed-person;['gerald ford'];Pang38 Pamuntuk ning United States
socially-constructed-person;['jimmy carter'];President of the United States
socially-constructed-person;['thomas jefferson'];American President
socially-constructed-person;['bill clinton'];Pang42 Pamuntuk ning United States (1993–2001)
socially-constructed-person;['jesus'];Religious figure, founded Christianity
socially-constructed-person;['cicero'];Roman statesman, philosopher
socially-constructed-person;['thomas edison'];American inventor and businessman
socially-constructed-person;['dante alighieri'];Italian poet
socially-constructed-person;['dwight d. eisenhower'];United States general and President
socially-constructed-person;['thomas aquinas', 'tomas de aquino'];Philosopher and theologian
socially-constructed-person;['nicolaus copernicus'];Astronomer
socially-constructed-person;['miguel de cervantes'];Espaniol novelista, watas ampong talasulatlage
socially-constructed-person;['richard nixon'];American politician, pang37 Pamuntuk ning United States (1969-1974)
socially-constructed-person;['george h. w. bush', 'george h.w. bush'];Pang41 Pamuntuk ning United States (1989-1993)
spatial-feature;['banwa', 'banua', 'banuwa'];Sanu mang ati yu king babo ning yatu
taxonomic-collective;['charales'];Kategoriya ning Wikimedia
