non-physical-collection;['میٹیریلزم'];فلسفہ
temporal-region;['1 جولائی'];تریخ
temporal-region;['1جنوری', '1 جنوری'];تریخ
temporal-region;['2 فروری'];تریخ
temporal-region;['1 نومبر'];تریخ
temporal-region;['25 دسمبر'];تریخ
temporal-region;['19 مارچ'];تریخ
temporal-region;['14 اپریل'];تریخ
temporal-region;['4 جولائی', 'آزادی دیہاڑا'];تریخ
temporal-region;['24 مئی'];تریخ
temporal-region;['17 ستمبر'];تریخ
temporal-region;['1 اگست'];تریخ
temporal-region;['14 جون'];تریخ
temporal-region;['29 جون'];تریخ
temporal-region;['29 ستمبر'];تریخ
temporal-region;['21 جون'];تریخ
temporal-region;['1 مئی'];تریخ
temporal-region;['2 مارچ'];تریخ
temporal-region;['29 فروری'];تریخ
temporal-region;['23 جون'];تریخ
temporal-region;['6 جنوری'];تریخ
