activity;['e-mail'];Electronic mail, ni curt e-mail, stat per sistems da trametter novitads d'in computer a l'auter.
activity;['sontga tschaina', 'eucaristia'];La Sencha Tschaina es üna acziun i'l cult divin cristiaun chi vuless fer früttaivel la mort e la resüstaunza da Gesu pels partecipants da la celebraziun i'l temp preschaint.
activity;['ballape'];Ballape è in gieu da balla che vegn giugà tranter duas squadras.
activity;['schah'];Schah è in gieu da tavla strategic, tar il qual dus giugaders muventan a moda alternanta figuras sin la tavla da gieu.
activity;['ballabasket', 'basketball'];Ballabasket è in sport da balla che vegn per ordinari giugà en halla e tar il qual duas squadras emprovan da bittar la balla en il chanaster da l’adversari.
activity;['tennis'];Il Tennis è in Sport individual giuga tranter dus giugadurs u dus dus equipas da dus giugadurs.
activity;['saut dals morts'];Il saut dals morts è ina interpretaziun figurativa che mussa la violenza da la mort sur da la vita dals umans sut il maletg dal saut.
activity;['liturgia'];La liturgia significha las ceremonias in connex cul cult divin i'l spazi dal giudaissem e dal cristianissem.
activity;['judo'];Judo vul dir verbalmain "via miaivla" e vegn dal Giapun.
activity;['paraula'];Paraulas èn texts da prosa che raquintan d’eveniments miraculus.
activity;['segunda guerra mundiala', 'world war ii', 'secunda guerra mundiala', 'seguonda guerra mundiela'];La Segunda Guerra mundiala è stada in conflict tranter las Pussanzas da l’axa ed ils Alliads.
activity;['emprima guerra mundiala', 'emprema uiara mundiala', 'prüma guerra mundiela'];L’Emprima Guerra mundiala è vegnida manada tranter il 1914 ed il 1918 en l’Europa, il Proxim Orient, l’Africa e l’Asia da l’Ost ed ha chaschunà radund 17 milliuns victimas.
activity;['sport'];Pussaivladad da sa mover, savens en furma da gieu.
activity;['pregia', 'predgia', 'predi', 'priedi'];La predgia es ün discuors in fuorma d'ün monolog chi proclamescha publicamaing l'evangeli da Gesu Crist.
activity;['rassissem'];Rassissem è ina tenuta ubain ideologia, tenor la quala umans vegnan, tenor singulas caracteristicas exteriuras che laschan supponer ina tscherta provegnientscha, categorisads e giuditgads sco ‹razza›.
activity;['hockey sin terren'];Il Hockey sin terren u hockey sin prà è in Sport da squadra en che duas equipas da indesch giugadurs u giugaduras giogan ina encunter l'autra.
activity;['communicaziun'];La communicaziun è far linguatg en ina media.
activity;['revoluziun franzosa'];La Revoluziun franzosa ha effectuà ina midada radicala da las cundiziuns da basa politicas e socialas en Frantscha.
activity;['revoluziun americana'];Il term Revoluziun americana denominescha ils eveniments tras ils quals las tredesch colonias en l’America dal Nord èn sa decleradas libras da l’Empire britannic ed han proclamà lur independenza sco Stadis Unids da l’America.
agent-driven-role;['maschinist'];Il maschinist è il professiunista che charra il tren.
agentive-figure;['agamemnon'];Agamemnon d'eira ün rai da la mitologia greca.
agentive-figure;['antigone'];Antigone è ina figura da la mitologia greca.
agentive-figure;['banca'];Tar ina banca sa tracti d’in institut da credit che porscha cunter pajament servetschs da traffic da pajaments, da credit e da chapital.
agentive-figure;['stadi', 'stedi'];Stadi
agentive-figure;['fond monetar internaziunal'];Il Fond monetar internaziunal è in’organisaziun speziala da las Naziuns unidas cun sedia a Washington, D.C., USA. L’incumbensa principala dal FMI è la concessiun da credits a pajais senza reservas monetaras suffizientas, ils quals èn vegnids en difficultads areguard la bilantscha dals pajaments.
agentive-figure;['nato'];La NATO, per rumantsch Organisaziun dal pact da l’Atlantic dal Nord u er NATO, è in’organisaziun internaziunala senza dretgs da suveranitad.
agentive-figure;['uniun europeica', '🇪🇺'];L’Uniun europeica è ina federaziun da stadis europeics che dumbra actualmain 27 stadis commembers.
agentive-figure;['sindicat'];In sindicat è in’associaziun da lavurants – ch’èn per ordinari en relaziun d’engaschament – cun l’intent da far valair lur interess economics, socials e culturals.
agentive-figure;['organisaziun da las naziuns unidas', 'naziuns unidas', 'onu', 'uno'];L’Organisaziun da las Naziuns unidas è ina uniun interguvernamentala da 193 stadis.
agentive-figure;['baselgia catolica romana', 'baselgia catolica romauna'];La baselgia catolica romauna, es la confessiun la pü granda infra il cristianissem e cumpiglia arduond 1,8 milliards aderents sül muond inter.
agentive-figure;['giudaissem'];Il giudaissem es la pü veglia religiun monoteistica.
agentive-figure;['islam'];L’islam è cun ca.
agentive-figure;['hinduissem'];Il hinduissem è cun radund ina milliarda cartents u ca.
agentive-figure;['uniun sovietica'];L’Uniun sovietica è stada in stadi federativ che vegniva regì da la partida communistica a moda centralistica.
agentive-figure;['sontg imperi roman'];Sontg Imperi roman è stà la denominaziun uffiziala per il domini dals imperaturs roman-tudestgs dal temp medieval fin l’onn 1806.
agentive-figure;['temp dal naziunalsocialissem'];Sco temp dal naziunalsocialissem vegn designà il temp da regenza da la Partida naziunalsocialistica tudestga dals lavurers en il Reich tudestg.
agentive-physical-object;['castur'];Il castur europeic u castur eurasian, en la lingua da mintgadi er be castur, è il pli grond ruider derasà en l’Europa.
agentive-physical-object;['ischi giz'];L’ischi giz è ina spezia da planta or dal gener dals ischis.
agentive-physical-object;['chaun', 'canis lupus familiaris'];Il chaun è in animal da chasa che vegn tegnì sco animal da cumpagnia e/u sco animal da niz.
agentive-physical-object;['planta'];Sco planta – en il senn da bostg, planta da lain – designesch’ins ina planta lignifitgada che consista d’ina ragisch, d’in bist aut e d’ina curuna cun feglia.
agentive-physical-object;['elefant african', 'loxodonta africana'];L’elefant african è ina spezia or da la famiglia dals elefants.
agentive-physical-object;['rinoceros nair'];Il rinoceros nair è ina spezia da mammals or da la famiglia dals rinoceros.
agentive-physical-object;['stailalva alpina'];La stailalva alpina è ina spezia da plantas che fa part dal gener Leontopodium entaifer la famiglia da las cumpositas.
agentive-physical-object;['reptils', 'reptil', 'reptilia'];Ils reptils dal latin reptilis furman tenor la concepziun tradiziunala ina classa dals vertebrats.
agentive-physical-object;['dinosaurs', 'dinosaur', 'dinosauria'];Ils dinosaurs èn la gruppa dals vertebrats terresters che dominava avant ca.
agentive-physical-object;['mammals', 'mammalia', 'animal lactant', 'animals lactants', 'mamifer', 'mamifers', 'mammal'];Ils mammals, mamifers u animals lactants èn animals vertebrats che sa caracterisen per sudar.
agentive-physical-object;['ren', 'rangifer tarandus'];Il ren è ina spezia da mammal or da la famiglia dals tschiervs.
agentive-physical-object;['amfibis', 'amfibi', 'amphibia'];Sut la denominaziun amfibis vegnan subsummads tut ils vertebrats che vivan sin la terra che pon, cuntrari als amniots, sa reproducir be en l’aua.
agentive-physical-object;['ruver puschlà'];Il ruver puschlà
agentive-physical-object;['ulm da muntogna'];L’ulm da muntogna è ina gronda planta or dal gener dals ulms e tutga tar la famiglia Ulmaceae.
agentive-physical-object;['ischi da muntogna'];L’ischi da muntogna è ina planta da feglia ch’appartegna al gener dals ischis.
agentive-physical-object;['flur-portg', 'taraxacum officinale'];La flur-portg, num scientific Taraxacum sect.
agentive-physical-object;['culaischen'];Il culaischen è ina spezia da planta or dal gener Sorbus entaifer la famiglia dals Rosaceae.
agentive-physical-object;['badugn pendus'];Il badugn pendus è ina planta da feglia dal gener dals badugns.
agentive-physical-object;['sorber grond'];Il sorber grond è ina spezia da planta or dal gener dals sorbers en il subtribus fritgs da minz entaifer la famiglia da las roseras.
agentive-physical-object;['giat', 'felis silvestris catus'];Il giat domestic, giat da chasa u simplamain giat è in mammal.
agentive-physical-object;['lucerna', 'medicago sativa', 'lucerna.'];La citad da Lucerna è il center economic e cultural da la Svizra centrala.
agentive-physical-object;['schember'];Il schember è ina spezia da planta or da la famiglia Pinaceae.
agentive-physical-object;['corv grond', 'corvus corax'];Il corv grond è in utschè chantadur or da la famiglia dals Corvidae.
agentive-physical-object;['panda grond', 'ailuropoda melanoleuca'];Igl panda grond, bler numno panda, è en animal lactond.
agentive-physical-object;['fau verd'];Il fau verd è ina planta da feglia dal gener dals faus ch’è derasada en vastas parts da l’Europa.
agentive-physical-object;['leopard', 'panthera pardus'];Il leopard è ina spezia or da la famiglia dals giats ch’è derasada en l’Africa ed en l’Asia.
agentive-physical-object;['liun', 'panthera leo'];Il liun è ina spezia d’animal ch’appartegna a la famiglia dals giats.
agentive-physical-object;["tigl d'enviern"];Il tigl d’enviern u tigl cun feglia pitschna è ina spezia da planta or dal gener dals tigls.
agentive-physical-object;['salesch alv'];Il salesch alv è ina planta entaifer il gener dals saleschs ch’appartegnan a la famiglia dals Salicaceae.
agentive-physical-object;['tieu da muntogna'];Il tieu da muntogna, per part er tieu alpin u tieu grisch, è ina spezia da planta dal gener dals tieus or da la famiglia dals Pinaceae.
agentive-physical-object;['marsupialia'];Ils Marsupials èn mamifers che sa differenzan dals Mamifers placentals cunquai che las femelas han ina tastga.
agentive-physical-object;['tieu da guaud'];Il tieu da guaud è ina spezia da planta or dal gener dals tieus entaifer la famiglia Pinaceae.
agentive-physical-object;['ruver cumin'];Il ruver cumin, er numnà ruver tempriv, è ina spezia da planta or dal gener dals ruvers entaifer la famiglia Fagaceae.
agentive-physical-object;['vertinet'];Il vertinet u vertinet europeic è ina spezia da plantas da feglia or dal gener Ostrya. quest ultim dumbra en tut il mund radund otg fin diesch spezias e tutga tar la famiglia dals badugns.
