abstract-quality;['identitate', 'identitate personală', 'identității personale', 'individualitate', 'personală de identitate'];Se referă la identitatea numerică (în sensul continuității existenței) a persoanelor în timp
activity;['go', 'du-te joc'];Joc de strategie
activity;['ciclon', 'clasificarea ciclonilor', 'cicloane', 'ciclonic'];Un vânt puternic cu deplasarea aerului în spirală
activity;['lacrosse'];Un sport.
activity;['golf', 'jocul de golf', 'turneu de golf'];Numele unui sport.
activity;['picior', 'ritm', 'metric picior', 'metric unitate', 'picioare metrice', 'picior metric'];Așezare simetrică și periodică a silabelor accentuate și neaccentuate într-un vers
activity;['realitate virtuală', 'virtual', 'realitatevirtuală', 'virtual reality'];Din engleză: Virtual reality
activity;['duel', 'dueluri', "affaire d'honneur"];Care poate avea loc cu pistolul, sau cu spada (scrimă)
activity;['blitzkrieg', 'atac-fulger', 'război fulger', 'schwerpunkt'];Un termen desemnând o doctrină militară și o anumită modalitate de a desfășura un război.
activity;['mistral'];Un vânt local în Franța și Italia
activity;['bel canto', 'canto', 'belcanto'];O tehnică vocală
activity;['bridge', 'contract de pod'];Cel mai complex joc de cărți
activity;['post', 'ajun', 'posti', 'rapid'];Abținerea de la mâncărurile și băuturile de frupt pentru un anumit timp
activity;['violență', 'forță', 'violent', 'violenţă', 'violente'];Putere de constrângere, violență
activity;['box', 'pugilism', 'pugilat', 'pugilistică', 'boxului', 'pugilist', 'bareknuckle', 'lupta premiu', 'luptător premiu', 'prizefighting'];Sport în care doi adversari luptă între ei, pe ring, după anumite reguli, cu pumnii îmbrăcați în mănuși speciale. pugilism
activity;['bătălia de la midway', 'bătăliadelamidway', 'midway'];Din timpul celui de al doilea război mondial
activity;['loterie', 'loto', 'bilet de loterie', 'loterii'];Formă de joc de noroc
activity;['navigație', 'orientare', 'pilotaj', 'pilotare', 'navigaţie', 'transport acvatic', 'naviga'];Azi acest lucru fiind ușurat prin sistemele de navigație prin satelit.
