activity;['задача', 'зада́ние', 'зада́ча', 'поруче́ние', 'задание', 'обязанность назначения'];цель
activity;['правовая имплементация', 'исполнение', 'внедре́ние', 'воплоще́ние в реа́льность', 'имплемента́ция', 'осуществле́ние', 'реализа́ция', 'имплементация', 'реализации'];процесс выполнения какого-то плана
activity;['приобретение', 'приобретения'];процесс покупки услуг или товара
activity;['рабочий контракт', 'занятости'];акт, которым кого-то принимают на работу
activity;['анимация', 'мультипликация', 'анимирование', 'динамическая графика', 'анимации', 'анимационный фильм', 'анимационных фильмов', '2d анимации', 'анимационного фильма'];кинематографическая техника, приводящая в движение рисунки
agentive-figure;['подразделение'];часть какой-то системы или организации
agentive-figure;['политическая партия', 'партия', 'па́ртия', 'полити́ческая па́ртия', 'партии', 'партии политические', 'партийный деятель', 'партийный орган', 'партия политическая', 'политическая группировка', 'политическая общность', 'политические партии', 'политическое сообщество', 'факции', 'факция', 'политических групп', 'политических партий', 'политической принадлежности'];Общественная организация, непосредственно ставящая перед собой задачи овладеть политической властью в государстве или принять в ней участие через своих представителей в органах государственной власти и местного самоуправления.
agentive-figure;['марсиане', 'вымышленный марсианин', 'марсианин', 'вымышленные марсиане', 'марсианский'];Житель Марса.
agentive-figure;['снежный человек', 'йети', 'бигфу́т', 'йе́ти', 'сне́жный челове́к', 'алмасты', 'вети', 'йетти', 'реликтовый гоминид', 'реликтовый гоминоид', 'сосквач'];Неизвестный зверь. часто сказан что он живёт в Гималаях.
agentive-physical-object;['дерево', 'деревцо', 'деревья', 'крона', 'деревьев'];Большое деревянное растение с чётким стволом которым имеет ветви или листья в какое-то положение над землёй.
agentive-physical-object;['хищник', 'хищное животное'];Зверь который убивает и есть других животных.
agentive-physical-object;['олень', 'оленевые', 'олениха', 'cervidae', 'олени', 'оленьи', 'cervid', 'cervids'];Самка оленя.
agentive-physical-object;['домашний осёл', 'осёл', 'equus asinus', 'equus asinus asinus', 'ишак', 'осел', 'осел домашний', 'ослы', 'осёл домашний', 'степной осел', 'степной осёл', 'дикий осёл', 'внутренние задницу', 'ослов'];Домашний зверь, Equus asinus.
agentive-physical-object;['осёл', 'equus asinus', 'задницу'];Домашний зверь, Equus asinus.
agentive-physical-object;['змея', 'змеи', 'змея́', 'serpentes', 'змеевидный', 'змей'];Пресмыкающееся из подотряда Змеи (Serpentes), обычно с чешуйчатым цилиндрическим телом без конечностей, глазами без подвижных век и подвижным соединением левой и правой частей челюстей, позволяющим заглатывать крупную добычу целиком.
agentive-physical-object;['оленёнок'];Mолодой олень.
amount-of-matter;['мед', 'медовые напитки', 'мёд', 'медову́ха', 'медовый напиток', 'мед питный', 'медовое вино', 'питный мёд'];Вино, сделанное из меда.
biological-object;['яйцо', 'яйца'];Женская половая клетка, превращающаяся в новый организм в результате оплодотворения.
biological-object;['гребень', 'гре́бень', 'гребешок'];Тучный красный гребень петуха.
classification-system;['выборка', 'метод отбора проб', 'вы́борка', 'выборочная совокупность', 'статистической выборки', 'выборочного обследования', 'распределение выборок', 'эмпирической функции распределения'];в статистике. Часть, выбрана для того, чтобы показать поведение целого
cognitive-event;['страх', 'боя́знь', 'испу́г', 'опасе́ние', 'испуг'];отрицательная эмоция в ситуации реальной или воображаемой опасности
cognitive-event;['антропоморфизм', 'антропоморфность', 'антропоморф', 'anthropomorphic', 'anthromorphic', 'anthropomorph', 'антропоморфные', 'антропоморфным', 'очеловечивать', 'персонифицирован'];Наделение человеческими свойствами нечеловеческих существ, предметов, явлений природы или идей.
cognitive-modal-description;['установка', 'позиция', 'психологическая установка', 'социальная установка', 'отношение', 'психологический настрой'];отнощение к кому-то или чему-то
cognitive-modal-description;['предрасположенность', 'тенденция', 'предрасположенность к болезни', 'позиция', 'склонность', 'диспозиция'];отнощение к кому-то или чему-то
cognitive-modal-description;['безграмотность', 'неграмотность', 'безгра́мотность', 'негра́мотность', 'analphabetism', 'неграмотности'];Неумение читать.
cognitive-modal-description;['атеизм', 'атеисты', 'атеизм с точки зрения богословия', 'атеист', 'афей', 'безбожие', 'критика атеизма', 'теоретический атеизм', 'атеизма'];Точка зрения, согласно которой не существует Бога или богов.
course;['солнечное затмение', 'со́лнечное затме́ние', 'полное солнечное затмение', 'кольцеобразное солнечное затмение', 'частное солнечное затмение', 'гибридное солнечное затмение', 'затмение солнца', 'касание', 'солнечные затмения', 'частичное солнечное затмение', 'солнечных затмений'];Астрономическое явление, которое заключается в том, что Луна полностью или частично закрывает Солнце от наблюдателя на Земле.
functional-matter;['баклажан'];Фиолетовый овальный овощ, плод растения "Solanum melongena".
functional-matter;['мед', 'медовые напитки', 'мёд', 'медову́ха', 'медовый напиток', 'мед питный', 'медовое вино', 'питный мёд'];Вино, сделанное из меда.
functional-matter;['свинина', 'свини́на', 'porc', 'свинины'];Мясо свиньи.
functional-matter;['эклер', 'экле́р'];пирожное
functional-matter;['лист', 'клочок бумаги', 'лист бумаги'];Одиночный прямоугольный кусок бумаги.
geographical-object;['евразия', 'евра́зия'];Самый большой суши на Земле, состоящий из Европы и Азии.
gestalt;['прямоугольник', 'прямоуго́льник', '▬', '▭', '▮', '▯', 'прямоугольников'];Плоская фигура с 4 боками и 4 прямыми углами.
information-realization;['книга', 'книги', 'печатная книга'];Коллекция листах бумаги связаны друг с другом, чтобы петля на одном краю, содержащие печатные или письменные материалы, фотографии и т.д.
information-realization;['договор об учреждении', 'устав', 'догово́р об учрежде́нии'];правила касающие некой компании или ассоцияции, как указаны в акте ее создания.
information-realization;['прикладное программное обеспечение', 'программа', 'приложе́ние', 'програ́мма', 'прикладная программа', 'бизнес-приложение', 'бизнес-приложений', 'прикладное по', 'прикладное программирование', 'прикладные программы', 'компьютерных приложений', 'программных приложений'];программное обеспечение, нацеленное на решение специфической проблемы.
information-realization;['иллюстрация', 'рисунок', 'иллюстра́ция', 'карти́нка', 'рису́нок', 'иллюстрации', 'книжная иллюстрация', 'иллюстрация, рисунок в книге', 'иллюстрирование', 'иллюстрированные книги'];детальное изображение человека или объекта
information-realization;['образ', 'рисунок', 'живописных', 'изображение'];детальное изображение человека или объекта
language;['африкаанс', 'африка́анс', 'бурский язык', 'африкаанс язык', 'африканс', 'язык африкаанс', 'taal', 'южноафриканская голландский', 'языка африкаанс'];Западногерманский язык, на котором говорят преимущественно в Южно-Африканской республике и Намибии.
language;['украинский', 'украинский язык', 'украи́нский', 'украи́нский язы́к', 'державна мова', 'державная мова', 'малорусский язык', 'мова', 'малороссийское наречие', 'малорусское наречие', 'українська', 'українська мова'];Государственный язык Украины, относящийся к восточно-славянским языкам.
language;['русский язык', 'русский', 'ру́сская', 'ру́сские', 'ру́сский', 'великорусский язык', 'великорусское наречие', 'по-русски', 'рус. яз.', 'рус 570', 'русск.', 'русскоязычие'];Язык восточно-славянской группы, на котором говорят преимущественно в России и республиках бывшего СССР.
language;['немецкий язык', 'немецкий', 'верхненемецкие языки', 'deutsch', 'hochdeutsch', 'высоконемецкий язык', 'верхненемецкий язык', 'верхненемецкий', 'дойч', 'хохдойч', 'верхненемецкие диалекты', 'верхненемецкий кластер', 'нем.', 'нем 481', 'germanophone', 'высокого немецкого языков', 'немецком языке'];Индоевропейский язык, на котором говорят главным образом в Германии, Австрии, Лихтенштейне, Южном Тироле, Швейцарии и небольшой части Бельгии.
locative-role;['ателье', 'мастерская', 'хранилище', 'мастерска́я', 'цех', 'гараж', 'мастерской', 'мастерскую'];складское помещение
locative-role;['водосборный бассейн', 'водосбор', 'водоем', 'бассе́йн', 'бассе́йн водоёма', 'водосбо́р', 'водосбо́рная пло́щадь', 'бассейн реки', 'бассейн водоёма', 'водный бассейн', 'площадь бассейна', 'водосборная площадь', 'площадь водосбора', 'бассейн речной', 'речной бассейн', 'водосборного бассейна', 'бассейна', 'бассейне реки', 'площадь, дренируемая скважиной', 'речных бассейнов'];низкой плозкость земли, где вода создала море
locative-role;['водосборный бассейн', 'водосбор', 'водоем', 'бассе́йн', 'бассе́йн водоёма', 'водосбо́р', 'водосбо́рная пло́щадь', 'бассейн реки', 'бассейн водоёма', 'водный бассейн', 'площадь бассейна', 'водосборная площадь', 'площадь водосбора', 'бассейн речной', 'речной бассейн', 'водосборного бассейна', 'бассейна', 'бассейне реки', 'площадь, дренируемая скважиной', 'речных бассейнов'];низкой плозкость земли, где вода создала море
locative-role;['нью-йорк', 'нью-йо́рк', 'нью-йорк сити', 'большое яблоко', 'new york', 'new york, ny', 'new york city', 'ny', 'nyc', 'нью-йорк-сити', 'нью йорк', 'большой нью-йорк', 'нью-йорке'];Крупнейший город в штате Нью-Йорк и крупнейший город в Соединённых Штатах Америки.
non-agentive-physical-object;['бассейн', 'плавательный бассейн', 'плавательный центр', 'закрытый бассейн', 'закрытый плавательный бассейн', 'бассе́йн', 'пла́вательный бассе́йн', 'бассейн плавательный', 'плавательные бассейны', 'характеристика и классификация бассейнов', 'детский бассейн', 'общественный бассейн', 'плавательные ванны'];Плавательный бассейн в здании.
