abstract-region;['многочлен', 'многочлены', 'полином', 'полиномы', 'полиномиальная функция', 'делимость многочленов', 'многочлен лорана', 'нормированный многочлен', 'приведённый многочлен', 'свободный член', 'степень многочлена', 'трёхчлен', 'унитарный многочлен', 'полиномиальной', 'полиномиальной функции'];Формальная сумма одночленов
abstract-region;['приведённый многочлен', 'унитарный многочлен', 'нормированный многочлен'];Многочлен от одной переменной, старший коэффициент которого равен 1
abstract-region;['квадратичная функция одной переменной', 'квадратичная функция', 'квадратный многочлен', 'квадрати́чная фу́нкция', 'квадратный полином', 'полином второй степени', 'функция второго порядка', 'ax²+bx+', 'многочлен степени 2', 'квадратичной функции', 'квадратичный полином'];Функция, задаваемая многочленом второй степени
abstract-region;['произведение', 'математические продукт'];Результат операции умножения
abstract-region;['skins', 'staring at the sky'];альбом XXXTentacion (2018)
abstract-region;['скалярная физическая величина', 'скалярная величина', 'скалярные величины', 'скаляр', 'скалярный'];Физическая величина, задаваемая одним числом
abstract-region;['векторное произведение', 'векторное умножение', 'ве́кторное произведе́ние', 'векторное произведение векторов', 'левая тройка векторов', 'оператор произведения', 'правая тройка векторов'];Математическая операция между двумя векторами
abstract-region;['наименьшее общее кратное', 'нок', 'наиме́ньшее о́бщее кра́тное', 'lcm'];Наименьшее натуральное число, которое делится на целые числа без остатка
abstract-region;['последовательность', 'слу́чай', 'собы́тие', 'эпизо́д'];серия сцен, образующих отдельную повествовательную единицу, которая обычно связана либо единством места, либо единством времени
abstract-region;['степенной ряд', 'радиус сходимости степенного ряда', 'степенные ряды'];Формальный функциональный ряд, бесконечная сумма степеней одной переменной
activity;['регби', 'регби-футбол', 'рагби'];Контактные командные виды спорта с мячом
activity;['производство', 'изде́лия', 'проду́кция', 'продукция', 'производства'];Процесс создания товаров и услуг
activity;['сёги', 'сеги', 'японские шахматы', 'shogi', 'shougi', 'сёгист', 'шоги'];Японская логическая игра шахматного типа
activity;['грамматическое число', 'число', 'paucal', 'числа'];Грамматическая категория на основе счёта
activity;['томография', 'томогра́фия', 'оптг', 'ортопантомограмма', 'томограмма', 'томографии'];Исследование внутренних структур объекта
activity;['циклон', 'индийский циклон', 'тихоокеанский циклон', 'циклоны'];Атмосферный вихрь
activity;['циклон', 'индийский циклон', 'тихоокеанский циклон', 'циклоны'];Название меторологического явления в Тихом и Индийском океанах
activity;['беатификация', 'беатификации', 'причислен к лику блаженных'];Обряд причисления умершего к лику блаженных в католической церкви
activity;['вальс', 'вальсы'];Классический бальный танец
activity;['приставки си', 'десятичные приставки', 'дольные единицы', 'кратные единицы', 'кратные приставки для образования производных единиц', 'приставка си', 'деци', 'фемто...', 'экса...'];Префиксы, который образуют степень десятки
activity;['битва при иссе', 'исс', 'иссус', 'issus'];Сражение 333 года до н. э.
activity;['битва при гогенлиндене', 'битва hohenlinden'];Сражение Войны Второй коалиции
activity;['битва при мадженте', 'битва magenta'];Сражение австро-итало-французской войны 1859 года
activity;['сен-миельская операция', 'saint-mihiel', 'битва санкт-mihiel', 'санкт-mihiel'];наступление союзных войск против германской армии во время Первой мировой войны
activity;['ваграмская битва', 'битва под ваграмом', 'битва при ваграме', 'ваграмское сражение', 'сражение при ваграме', 'битва wagram'];Сражение Австро-Французской войны 1809 года
activity;['короткие нарды', 'на́рды', 'триктра́к', 'backgammon', 'куб даве', 'нарды'];Разновидность игры в нарды
activity;['халма', 'галма', 'гальма', 'хальма', 'chinese checkers', 'halma', 'уголки'];Настольная логическая игра на квадратном поле
activity;['игра в боулз', 'боулз', 'игра́ в боулз', 'bowls', 'шары', 'игра в шары', 'газон боулинг', 'газон чаши', 'кегли', 'лужайка для боулинга'];вид спорта
activity;['короткометражный фильм', 'короткометра́жный фильм', 'короткий метр', 'короткометражка', 'короткометражное кино', 'короткометражные фильмы', 'короткометражный', 'короткометражных мультфильмов'];Формат кинофильма
activity;['битва за окинаву', 'вторжение на окинаву', 'штурм окинавы', 'окинава кампании'];операция по захвату японского острова Окинава войсками США
activity;['рамми', 'ра́мми', 'ре́мик', 'джин рамми'];Ряд карточных игр
activity;['экарте', 'écarte'];Карточная игра
activity;['вист', 'whist', 'долго вист', 'короткие виста'];Карточная игра
