event;['knell'];Прузвище (Knell)
language;['україньскый язык'];Выходославяньскый язык
language;['російскый язык', 'русскый язык', 'руськый язык'];Выходославяньскый язык
locative-role;['worcester'];Прузвище (Worcester)
locative-role;['light'];прузвище
political-geographic-object;['worcester'];Прузвище (Worcester)
political-geographic-object;['київ', 'киев', 'кыёв'];Головне місто Україны
qualitative-role;['tontine'];Tontine
socially-constructed-person;['wright'];Прузвище (Wright)
socially-constructed-person;['doyen'];Прузвище (Doyen)
temporal-region;['1. юл', '1. юла', '1. юля', '1. юлія'];Датум
temporal-region;['1. януар', '1. януара'];Датум
temporal-region;['2. фебруар', '2. фебруара'];Датум
temporal-region;['1. новембер', '1. новембра'];Датум
temporal-region;['25. децембер', 'різдво хрістове', '25. децембра'];Датум
temporal-region;['19. марец', '19. марца'];Датум
temporal-region;['14. апріль', '14. апріля'];Датум
temporal-region;['24. октобер', '24. октобра'];Датум
temporal-region;['12. октобер', '12. октобра'];Датум
temporal-region;['4. юл', '4. юла', '4. юля', '4. юлія'];Датум
temporal-region;['24. май', '24. мая'];Датум
temporal-region;['17. септембер', '17. септембра'];Датум
temporal-region;['1. авґуст', '1. авґуста'];Датум
temporal-region;['14. юн', '14. юна', '14. юня', '14. юнія'];Датум
temporal-region;['29. юн', '29. юна', '29. юня', '29. юнія'];Датум
temporal-region;['29. септембер', '29. септембра'];Датум
temporal-region;['21. юн', '21. юна', '21. юня', '21. юнія'];Датум
temporal-region;['1. май', '1. мая'];Датум
temporal-region;['2. марец', '2. марца'];Датум
temporal-region;['29. фебруар', '29. фебруара'];Датум
temporal-region;['23. юн', '23. юна', '23. юня', '23. юнія'];Датум
temporal-region;['6. януар', '6. януара'];Датум
