activity;['идэ', 'идэтийии', 'үлэлиир дьарык'];Үлэһит сүрүн дьарыга
biological-object;['кулгаах'];Истэр уорган
political-geographic-object;['экуадор', 'ec', 'ecu', 'ecuador', 'república del ecuador', 'экуадор республиката', 'эквадор'];Соҕуруу Америка дойдута
socially-constructed-person;['ырыа суруйааччы', 'мелодист', 'ырыа ааптара'];Ырыа суруйуутугар идэтийбит киһи
socially-constructed-person;['быраас', 'луохтуур', 'эмчит'];Анал үөрэхтээх идэтийбит эмчит
socially-constructed-person;['бэлиитик', 'судаарыстыбаннай диэйэтэл'];Бэлиитикэннэн идэтийэн дьарыктанар киһи
socially-constructed-person;['математик'];Математиканан дьарыктанар киһи
socially-constructed-person;['бааһынай', 'сир оҥорооччу', 'фермер', 'пиэрмэр'];Тыа хаһаайыстыбатынан дьарыктанар киһи
socially-constructed-person;['ускуустуба диэйэтэлэ', 'артыыс', 'уус'];Уус-уран эйгэҕэ идэтийэн үлэлиир киһи
socially-constructed-person;['учуонайдар', 'учуонай', 'билимдьи', 'чинчийээччи'];Билиминэн идэтийэн дьарыктанар киһи, идэтийэн чинчийэр киһи, айылҕа, аан дойду сокуоннарын тиһиктээхтик чинчийэр киһи
socially-constructed-person;['астроном'];Астрономияҕа идэтийбит киһи
socially-constructed-person;['албакаат'];Силиэстийэ уонна суут кэмигэр, суут да кэнниттэн буруйданааччыга, эмсэҕэлээччигэ уонна атын да манна сыһыаннаах дьоҥҥо сүбэ-ама буолар, кинилэр интэриэстэрин көмүскүүр анал юридическэй үөрэхтээх киһи
socially-constructed-person;['бибилитиэкэр'];Бибилитиэкэ үлэһитэ
socially-constructed-person;['антрополог', 'этнограф', 'этнолог'];Антропологияннан дьарыктанар киһи
socially-constructed-person;['артыыс', 'артыыска', 'киинэ артыыһа', 'тыйаатыр артыыһа'];Киинэҕэ, тэлэбиидэнньэҕэ, тыйаатырга эбэтэр араадьыйаҕа оруолу толорор киһи
socially-constructed-person;['хампаһыытар', 'композитор'];Муусуканы идэтийэн айар киһи
socially-constructed-person;['драматуур', 'дыраамаһыт'];Пьеса ааптара
temporal-region;['от ыйын 1'];Күнэ-дьыла
temporal-region;['тохсунньу 1'];Күнэ-дьыла
temporal-region;['олунньу 2'];Күнэ-дьыла
temporal-region;['сэтинньи 1'];Күнэ-дьыла
temporal-region;['ахсынньы 25', 'ороһуоспа', 'ороhуоспа', 'ороһооспо', 'рождество'];Күнэ-дьыла
temporal-region;['кулун тутар 19'];Күнэ-дьыла
temporal-region;['муус устар 14'];Күнэ-дьыла
temporal-region;['алтынньы 24'];Күнэ-дьыла
temporal-region;['алтынньы 12'];Күнэ-дьыла
temporal-region;['от ыйын 4'];Күнэ-дьыла
temporal-region;['ыам ыйын 24'];Күнэ-дьыла
temporal-region;['балаҕан ыйын 17'];Күнэ-дьыла
temporal-region;['атырдьах ыйын 1'];Күнэ-дьыла
temporal-region;['бэс ыйын 14'];Күнэ-дьыла
temporal-region;['бэс ыйын 29'];Күнэ-дьыла
temporal-region;['балаҕан ыйын 29'];Күнэ-дьыла
temporal-region;['бэс ыйын 21'];Күнэ-дьыла
temporal-region;['ыам ыйын 1'];Күнэ-дьыла
temporal-region;['кулун тутар 2'];Күнэ-дьыла
temporal-region;['олунньу 29'];Күнэ-дьыла
temporal-region;['бэс ыйын 23'];Күнэ-дьыла
temporal-region;['тохсунньу 6'];Күнэ-дьыла
