abstract-region;['grannizza fìsica scalari', 'rannizza fìsica scalari'];Grannizza fìsica chi si po'' misurari cûn nùmmiru sulu
activity;['pruduzzioni'];L''attu di priparari e mèttiri a dispusizzioni beni e sirvizza
activity;['nùmmiru grammaticali', 'nùmmiru'];Nùmmiru chi s''attribbuisci a n''entità grammaticali comu ad esempiu un nomu o n''aggittivu
activity;['pizzìu', 'cunflittu'];Attritu, disaccordu, o discordia d''intra di na cumunità
activity;['palluni', 'calciu', 'cauciu', 'football', 'càuciu'];Sport di squatra
activity;['pillìcula', 'film', 'pillicula', 'pilliculi', 'pillìculi'];Siguenza di mmàggini in muvimentu riggistrati supra ôn supportu appòsitu
activity;['scacchi'];Jocu di tavulu pi 2 jucaturi
activity;['golf'];Sport innividuali unni s''havi a tirari cûn bastuni na pallina nta nu bucu
activity;['jocu di tàvulu', 'giocu di tàvula', 'giocu di tàvulu', 'jocu di tàvula'];Jocu chi cuntempla l''usu di na tàvula o di pidini
activity;['hockey supra ô ghiacciu', 'hockey ntô ghiacciu'];Varietà di hockey chi si joca supra ô ghiacciu
activity;['cricket'];Sport di squatra chi si joca cu mazzi, pallini e nguantuna
activity;['rissa'];reato ḍḍ'ordinamentu giurìdicu 'tàlianu
activity;['cinsimentu'];Cugghiuta e riggistrazzioni di nfurmazzioni ca riguàrdunu ê genti chi fannu parti di na pupulazzioni
activity;['hockey supra ô pratu', 'hockey ntô pratu'];Varietà di hockey chi si joca supra a l''erba
activity;['tassunumìa', 'tassinumìa'];Disciplina dâ classificazzioni sistimàtica, ad esempiu di l''èssiri viventi, ma nun sulu
activity;['nivi'];Pricipitazzioni atmusfèrica fatta di cristalli fini d''acqua jilata
activity;['espusizzioni artìstica'];Postu unni si mèttunu òpiri d''arti pi fàrili a vìdiri ô pùbblicu
activity;['disignu'];Pruggettu e organizzazzioni di n''oggettu o nu sistema
activity;['facenna', 'cumpagnìa', 'azzienda', 'azzienna', 'imprisa', 'mprisa'];Assuciazzioni chi s''incàrrica di vìnniri beni, sirvizzi, o tutti dui
activity;['turismu', 'turisimu', 'turìsimu'];Lu viaggiari pû piaciri di fàrilu
activity;['canterìstica navali'];Innustria dâ custruzzioni e dâ riparazzioni di l''imbarcazzioni
activity;['arti'];Attività di cui, pû piaciri propiu o di l''autri, esprimi sinsazzioni o li sùscita nta l''autri, o pruduci òpiri chi hannnu stu prupòsitu
activity;['pricipitazzioni atmusfèrica'];Finòminu dî cosi chi càlunu nterra di l''atmusfera, comu ad esempiu nivi, acqua e grànnula
activity;['tempu', 'cunnizzioni mitiurulòggichi', 'tempu atmusfèricu'];Cunnizzioni dî finòmini di l''atmusfera chi nfluenzunu l''omu: caudu, friddu, ventu, nivi, etc.
activity;["prisidenti dî stati uniti d'amèrica"];Capu dû statu e dû guvernu dî Stati Uniti d''Amèrica
activity;['cuffari', 'chiffari'];Chiddu chi è jè ch''un cristianu passa tempu a fari (passatempu, travagghiu, prufissiuni...)
activity;['caccia'];L''attività di pigghiari armali, di sòlitu mmazzànnuli, nta l''ambienti naturali unni càmpunu, pi prucuràrisi manciari o piddizzi, o pi passa-tempu
activity;['cursa di cavaddi', 'cursa dî cavaddi', 'cursa re cavaddi', 'cursa ri cavaddi', 'cursi di cavaddi'];Sport equestri unni li cavaddi cùrrunu supra a na pista fatta apposta
activity;['acqua', 'chiuvuta', 'chioggi', 'chiova', 'acqua di celu', 'pioggia', 'acqua chiuvana', 'acqua di chioggi', 'acqua di cielu', 'acqua di cioggi', 'acqua di ghioggi', 'acqua di gioggi', 'acqua ri celu', 'chioggia', 'cioggi', 'cioggia', 'ghioggi', 'ghioggia', 'gioggi'];Pricipitazzioni atmusfèrica fatta di acqua, senza jilata, ca scinni dû celu
agentive-figure;['leva', 'forza armata', 'arma'];Suttadivisioni ufficiali dû cumplessu di tutti li militari di na nazzioni
agentive-figure;['òrganu'];Ntâ giurisprudenza, entità chi pigghia ligalmenti dicisioni a nomu di na pirsuna giurìdica, la quali nun essennu na pirsuna fìsica nun po'' pigghiari dicisioni ntô senzu naturali dû tèrmini
agentive-figure;['banca cintrali'];Enti chi guverna la munita, la so offerta, e li tassi d''intiressi d''un paisi o di n''aria ecunòmica
agentive-figure;['ufficiu pustali'];Ufficiu pùbblicu dûn sirvizzu pustali
agentive-figure;['statu', 'statu suvranu'];Organizzazzioni pulìtica e giurìdica di nu tirritoriu dilimitatu
agentive-figure;['statu', 'statu suvranu'];Entità pulitica chi guverna n''aria giugràfica in manera autònuma
agentive-figure;['asilu', 'scola materna'];Istitutu educativu e ricriativu unni si pòrtunu li picciriddi quannu ancora nun hannu l''età pi jiri â scola
agentive-figure;['cosa nostra', 'mafia', 'maffia'];Cosa che non esiste
agentive-figure;['agginzìa di viaggi'];Ufficiu chi organizza viaggi pi cuntu di l''autri
agentive-figure;['istitutu educativu'];Postu ca li genti friquèntunu pi fini d''istruzzioni
agentive-figure;['culleggiu', 'college', 'colleggiu'];Istitutu educativu chi, ntê varî paìsi, offri gradi diffirenti d''educazzioni
agentive-figure;['nazziuni uniti', 'nazzioni uniti', 'onu', 'nazziona unita', 'organizzazzioni dî nazzioni uniti', 'united nations', 'urganizzazzioni dî nazzioni uniti'];Organizzazzioni intirnazziunali chi cumprenni tutti li nazzioni dû munnu
agentive-figure;['partitu pulìticu', 'partitu', 'partitu puliticu', 'pattitu puliticu'];Assuciazzioni di innividui cu principî pulìtici sìmili, cû scopu d''aviri rapprisintanza nta l''òrgani liggislativi, guvirnativi o amministrativi di na nazzioni
agentive-figure;['chiesa cattòlica', 'chiesa cattòlica rumana', 'chiesa cattolica', 'chiesa cattolica romana', 'chiesia cattolica', 'cattolicesimu', 'cattolici', 'cattolicismu', 'cattolicismu romanu', 'cattolicèsimu', 'cattulicesimu', 'cattulicismu', 'cattulicèsimu', 'chiesa cattolica rumana', 'chiesia cattolica rumana', 'cresia cattolica', 'cresia cattòlica', 'cresia rumana', 'crèsia cattòlica', 'crèsia cattòlica rumana'];Cumunità cristiana ca ricanusci l''auturità dî vìscuvi comu succissura di l''apòstuli e dû Papa comu succissuri di Santu Petru
agentive-figure;['pandora'];Pirsunaggiu dâ mituluggìa greca
agentive-figure;['statu'];Cuncettu tiòricu
agentive-figure;['forzi armati', 'milizzia'];Istituzzioni chi havi la funzioni di cummattiri ntê guerri, e l''arti, li menzi e li genti chi nni fannu parti o sunnu propî d''idda
agentive-physical-object;['armali', 'animalia', 'armalu'];Regnu tassunòmicu di l''armali
agentive-physical-object;['plantae', 'chianta', 'pianta'];Èssiri viventi chi apparteni ô regnu viggitali
agentive-physical-object;['bàncumat', 'bancomat', 'atm'];Spurteddu autumatizzatu a sirvizzu di nu bancu unni si po'' annari pi prilivari sordi o fari autri opirazzioni
agentive-physical-object;['computer', 'calculaturi elittrònicu', 'carculaturi', 'caṛculaturi', 'compiuter', 'compiuteri', 'compiuteru', 'computeri', 'computeru', 'cumpiuter', 'cumpiuteru', 'cumputer', 'cumputeru'];Màchina elittrònica ca s''adòpira pi fari cunti
agentive-physical-object;['mulinu'];Arnesi chi sfrantuma nu matiriali duru nta pùrvuli, di sòlitu lu granu nta farina
agentive-physical-object;['cani', 'canis lupus familiaris'];Suttaspecia dumèstica dû canis lupus
agentive-physical-object;['chianta pirenni', 'pianta pirenni'];Chianta chi nurmalmenti campa cchiu'' ssai di du'' anni
agentive-physical-object;['personal computer', 'pc'];Calculaturi elittrònicu a usu ginèricu e pirsunali
agentive-physical-object;['lumiuni', 'citrus limon', 'limuni', 'limunara', 'lumiunara', 'pedi di lumiuni', 'limiuni', 'lumia', 'lumìa'];Àrvulu di fruttu
agentive-physical-object;['àrvulu', 'macchia', 'àrbiru', 'àrburu', 'arbiru', 'arviru', 'àrbulu', 'àrvuru'];Chianta granni, cûn truncu lignusu chi susteni rami e fogghî
agentive-physical-object;['procarioti'];Duminiu di l''essiri viventi cu cèlluli senza nucliu
agentive-physical-object;['tetrapodi'];Supraclassi dî primi vertibbrati a quattru ciampi e dî so discinnenti
agentive-physical-object;['pudditru', 'putriddru', 'putru'];cavaddu giùvini
agentive-physical-object;['simîformi', 'simiiformi'];Infraòrdini dî Primati chi cumprenni tutti li scimî di Vecchiu e Novu Munnu, macari l''Omu, ma nun li tarsî
agentive-physical-object;['vertebrata', 'craniati', 'vertibbrati', 'vertebbrati', 'virtibbrati', 'virtibrata', 'virtibrati'];Cladi dî Curdati
agentive-physical-object;['vertebrata', 'craniati', 'vertibbrati', 'vertebbrati', 'virtibbrati', 'virtibrata', 'virtibrati'];Suttaphylum dî Curdati
agentive-physical-object;['curdati', 'chordata', 'curdata'];Filu di armali Deuterostomi chi hannu na struttura di sustegnu interna
agentive-physical-object;['urganismu', 'èssiri', 'organismu'];Entità filusòfica difinuta vagamenti comu na cosa chi esisti o chi campa
agentive-physical-object;['èssiri umanu', 'umanu', 'homo', 'homo sapiens sapiens', 'homo sapiens', 'omu'];Specia dâ famigghia di l''Ominidi, unica specia oggi esistenti dû gèniri Homo
agentive-physical-object;['èssiri umanu', 'umanu', 'homo', 'homo sapiens sapiens', 'homo sapiens', 'omu'];Gèniri dâ famigghia di l''Omìnidi, chi cumprenni l''Omu mudernu e li specî mparintati
agentive-physical-object;['aranciu amaru', 'arancia amara'];Àrvulu di fruttu
agentive-physical-object;['ominoidi'];Suprafamigghia di l''òrdini dî Primati, chi cunteni scimî antropumorfi e l''Omu stissu
agentive-physical-object;['gattu sarvaggiu', 'jatta sarvaggia', 'jattu sarvaggiu'];Specia di felinu
agentive-physical-object;['mammalia', 'mammìfiri', 'mammifiri', 'mammifiru', 'mammìfiru'];Classi dî Vertibbrati
agentive-physical-object;['varcocu', 'pircocu', 'barcocu', 'crapopu', 'pricopa', 'chiricopu', 'chiricuopu', 'piricocu', 'pricopu'];Fruttu
agentive-physical-object;['purpu', 'puppu'];òrdini ḍḍè mulluschi
agentive-physical-object;['pipi spezzi', 'pipi spezzî', 'spezziu', 'spezzî'];Specia di chianta, dâ quali simenza si fa'' na conza picanti
agentive-physical-object;['carcarazza', 'caccarazza'];Aceddu nìuru e biancu
agentive-physical-object;['ciaula', 'ciàvula'];Specia di aceddu
agentive-physical-object;['giniraturi elèttricu', 'giniraturi'];Apparicchiu chi pruduci enirgìa elèttrica a partiri di quarchi n''autra forma d''enirgìa
agentive-physical-object;["fonti d'enirgìa"];Cosa chi pruduci enirgìa
agentive-physical-object;['camiddu', 'camelus', 'gamiddu'];Gèniri di mammìfiru
agentive-physical-object;['sceccu', 'equus asinus', 'camaru', 'ciucciu', 'sumaru', 'àsinu', 'sciccareddu'];Specia di mammìfiru
agentive-physical-object;['pàssaru di campagna'];Specia di aceddu
agentive-physical-object;['merru pettu biancu', 'turdus torquatus', 'merru a cullana', 'merru cû cuddaru jancu', 'merru pettu jancu', 'merru varvariscu'];Specia di aceddu
agentive-physical-object;['jattu', 'gattu', 'felis silvestris catus', 'attu', 'iattu', 'jatta'];Specia dumèstica di filinu
agentive-physical-object;['hind'];Nomu di battìu fimmininu
agentive-physical-object;['lefanti', 'lifanti', 'elifanti', 'liotru', 'elefanti', 'liafanti', 'liufanti'];Armali mammìfiru
agentive-physical-object;['borrago officinalis', 'vurrani', 'vurrania'];spèci ḍḍì pianta ḍḍà famigghia Boraginaceae
agentive-physical-object;['arthropoda', 'artropudi', 'artropoda', 'artropodu'];Filu di armali invertibbrati chi hannu n''esuschèlitru, un corpu sigmintatu, e appinnici articulati
agentive-physical-object;['tacchinu', 'gaddudinnia', 'gaddurinnia', 'jaddudinnia', 'jaddurinnia', 'pipìu', "gaddu d'innia", "gaddu r'innia", "jaddu d'innia", "jaddu r'innia", 'nuzz', 'gaddu d’innia', 'gaddu r’innia', 'iaddu d’innia', 'iaddu r’innia', 'iaddudinnia', 'iaddurinnia', 'jaddu d’innia', 'jaddu r’innia', 'meleagris gallopavo', 'nuzza', 'pi-pìu', 'pi pìu'];Specia d''aceddu
agentive-physical-object;['nipitedda', 'clinopodium nepeta', 'niputedda'];Specia di chianta
agentive-physical-object;['euteri', 'euplacintati'];Infraclassi dî Terî chi cumprenni l''armali cu'' placenta vera e propia
