abstract-region;['vektorski produkt', 'vektor izdelek', 'vektorski izdelka', 'čez izdelek'];Binarni operator v trirazsežnem prostoru
activity;['akupunktura', 'stylostixis'];Metoda zdravljenja, ki temelji na zabadanju iglic v živčne vozle
activity;['trojanska vojna', 'mit o trojanski vojni', 'trojanski mit'];Po izročilu vojna Ahajcev proti mestu Troja v Mali Aziji, povod zanjo pa je ugrabitev/pobeg Helene, žene špartanskega kralja Menelaja s Parisom, sinom trojanskega kralja Priama
activity;['anticiklon', 'anti-ciklon', 'anticiklona', 'anticiklonske'];Območje visokega zračnega tlaka
activity;['križev pot', 'postaje', 'via crucis'];(Roman Catholic Church) a devotion consisting of 14 prayers before the 14 stations of the cross (referring to Jesus' suffering and crucifixion). Poleg tega tudi molitev, ki jo verniki molijo, ko se spominjajo tega trpljenja
activity;['bannockburn'];Vas južno od mesta Stirling na Škotskem
activity;['soissons', 'bitka soissons-reims', 'bitka za aisne', 'bitka za chemin-des-dames'];Zgodovinski kraj in občina v severni francoski regiji Pikardiji, podprefektura departmaja Aisne
activity;['dama', 'pripravljavec'];Miselna igra na plošči med dvema igralcema. Figure se gibljejo diagonalno, jemanje nasprotnikove figure pa je obvezno. Angleški naziv za igro je draughts, ameriški pa checkers
activity;['evharistija', 'sveta evharistija', 'obhajilo', 'sveta večerja', 'najsvetejše', 'najsvetejši zakrament', 'sveto obhajilo', 'liturgija', 'communicants', 'evharistije', 'evharistični', 'evharistično bogoslužje', 'gospodova večerja', 'najbolj dragocena kri', 'pričesni', 'sveti evharistija', 'sveti zakrament', 'zakrament evharistije'];En od najpomembnejših krščanskih zakramentov
activity;['prva križarska vojna'];Vojni pohod evropskih krščanskih sil, katerega namen je bil pomagati Bizantinskemu cesarstvu v boju proti seldžuškim Turkom in iztrgati Jeruzalem in Sveto deželo iz rok muslimanov
activity;['bitka pri platajah', 'bitka pri platejah', 'bitka za plataje', 'bitka za plateje', '!?bitka pri platajah', 'bitka plataea'];Bila bitka, ki je potekala avgusta 479 pr. n. št. med grško koalicijo in perzijskimi napadalci. Grki so Perzijce odločilno premagali
activity;['iransko-iraška vojna', 'iraško-iranska vojna', 'prva zalivska vojna', 'zalivska vojna'];Vojna med Irakom in Iranom med 1980 in 1988
activity;['nogomet', 'branilec', 'napadalec', 'nogometaš', 'vratar', 'nogometaš združenje', 'nogometno ekipo', 'po podaljšku', 'sodnikovem podaljšku', 'združenje nogomet', 'združenje nogometaš', 'času škode'];Moštvena igra z žogo in eden najbolj priljubljenih športov na svetu z izjemo Severne Amerike
activity;['računalniška igra', 'video igra', 'videoigra', 'video igre', 'računalniške igre', 'videoigre', 'računalniška igrica', 'računalniških iger', 'interaktivno igro', 'osebne računalniške igre', 'osebnih računalniških iger', 'pc gaming', 'pc igre', 'video iger', 'zabavne elektronike'];Računalniški program, ki ga uporabljamo za razvedrilo in zabavo
