abstract-quality;['osebnost', 'osebnosti'];Osebnost je trajna, edinstvena celota vseh duševnih, vedenjskih in telesnih značilnosti posameznika.
abstract-region;['tenzor', 'tenzorska enačba', 'tenzor analize', 'tenzorja'];Ténzor je v matematiki posplošena linearna količina, oziroma geometrijska entiteta, ki jo lahko izrazimo z večrazsežno tabelo, oziroma matriko, relativno glede na izbiro baze.
abstract-region;['geometrična vrsta', 'geometrijska vrsta', 'geometrijsko zaporedje'];Geométrična vŕsta je v matematiki vrsta, kjer je količnik med sosednjima členoma konstanten.
abstract-region;['polinom', 'mnogočlenik', 'veččlenik', 'multinomska', 'polinomov'];Polinóm, mnogočlénik ali veččlenik stopnje n, je linearna kombinacija potenc z nenegativnimi celimi eksponenti.
abstract-region;['kvadratna funkcija', 'kvadratična funkcija', 'kvadratne funkcije', 'kvadratne polinoma'];Kvadrátna fúnkcija je realna funkcija, ki se jo da zapisati z enačbo oblike: f = a x 2 + b x + c, {\displaystyle f=ax^{2}+bx+c\!\,,} kjer so koeficienti a, b in c realna števila in je a različen od 0.
abstract-region;['binom', 'dvočlenik', 'binomials'];Binóm ali dvóčlénik je v matematiki izraz, ki ima dva člena.
abstract-region;['zmnožek', 'produkt', 'matematični izdelek', 'proizvod'];Zmnóžek ali prodúkt je v matematiki rezultat deljenja ali izraz, ki označuje delitelje, na katerih se izvaja množenje.
abstract-region;['slučajna spremenljivka', 'variabla', 'varianta', 'možnost spremenljive', 'naključnih spremenljivk', 'naključno variate', 'stohastične spremenljivke', 'variate'];Slučajna spremenljivka je količina, ki nastopi kot rezultat poskusa, kjer je možnih več izidov.
abstract-region;['vektorski produkt', 'vektor izdelek', 'vektorski izdelka', 'čez izdelek'];Véktorski prodúkt je binarni operator v trirazsežnem prostoru.
abstract-region;['prostostna stopnja'];Prostostna stopnja je število neodvisnih vrednosti slučajne spremenljike, ki se lahko v statističnih izračunih spreminjajo.
abstract-region;['najmanjši skupni mnogokratnik', 'najmanjši skupni večkratnik', 'lcm'];Najmanjši skupni mnogokratnik ali najmanjši skupni večkratnik je v aritmetiki in teoriji števil število, kjer se dve števili prvič srečata.
abstract-region;['fourierjeva vrsta', 'fourierova vrsta', 'fourierevo koeficienti', 'fourierjeve koeficiente', 'fourierove vrste', 'širitev fourier'];Fourierove vrste v matematiki omogočajo razstavljanje poljubne periodične funkcije ali periodičnega signala v vsoto skupine periodičnih funkcij kot sta sinus in kosinus.
abstract-region;['potenčna vrsta', 'potenčne vrste', 'moč serije'];Poténčna vŕsta je v matematiki neskončna vrsta oblike: f = ∑ n = 0 ∞ a n n = a 0 + a 1 + a 2 2 + a 3 3 + ⋯ {\displaystyle f=\sum {n=0}^{\infty }a {n}\left^{n}=a {0}+a {1}+a {2}^{2}+a {3}^{3}+\cdots } kjer je an koeficient n-tega člena, a konstanta in x neodvisna spremenljivka okrog a.
activity;['rugby', 'ragbi', 'rugby nogomet', 'rugger'];Ragbi je igra za 2 ekipi s po 15 igralci, včasih so ekipe po 8 ali 7 igralcev, kar je zelo redko.
activity;['akupunktura', 'stylostixis'];Akupunktura ali zhen jiu je zdravilska metoda, ki temelji na zabadanju iglic v akupunkturne točke.
activity;['elektronska pošta', 'e-pošta', 'e-mail', 'email', 'e-naslov', 'e-pošte', 'internetno pošto'];Elektronska pošta je način sestavljanja, pošiljanja in sprejemanja sporočil po elektronskih komunikacijskih sistemih.
activity;['modulacija', 'modulacije', 'modulator'];Modulacija v elektroniki in telekomunikacijah pomeni način spreminjanja lastnosti periodičnega signala z uporabo t. i.
activity;['trojanska vojna', 'mit o trojanski vojni', 'trojanski mit'];Trojánska vòjna je po izročilu vojna Ahajcev proti mestu Troja v Mali Aziji, povod zanjo pa je ugrabitev/pobeg Helene, žene špartanskega kralja Menelaja s Parisom, sinom trojanskega kralja Priama.
activity;['go', 'go igre'];Gó je abstraktna strateška miselna igra na deski za dva igralca.
activity;['slovnično število', 'število', 'ednina', 'paucal'];Slovnično število je v slovnici količina, ki izraža število.
activity;['ciklon', 'območje nizkega zračnega pritiska', 'cikloni', 'ciklonsko'];Cikloni so velika sklenjena območja nizkega zračnega tlaka.
activity;['anticiklon', 'anti-ciklon', 'anticiklona', 'anticiklonske'];Anticiklon je območje visokega zračnega tlaka.
activity;['kanonizacija', 'kanonizacijo', 'canonise', 'kanoniziran', 'kanonizovati'];Kanonizacija ali proglasitev za svetnika je dejanje, s katerim neka oseba postane svetnik rimsokatoliške cerkve.
activity;['križev pot', 'postaje', 'via crucis'];Krížev pót je likovna upodobitev Jezusovega trpljenja od trenutka, ko ga je Poncij Pilat obsodil na smrt, do trenutka, ko ga mrtvega položijo v grob.
activity;['beatifikacija', 'blažena', 'blaženec', 'blaženi', 'blaženica', 'beatifikacijo', 'razglašen za blaženega'];Beatifikacija ali proglasitev za blaženega je prvi korak v postopku razglasitve neke osebe za svetnika katoliške Cerkve.
activity;['mehiška revolucija'];Mehiška revolucija je bil oborožen spopad, ki se je začel v Mehiki 20.
activity;['valček', 'valse', 'valčkov'];Valček je zvrst plesa, ki se pojavi koncem 18.
activity;['balzam za ustnice'];Balzam za ustnice ali vazelin za ustnice je vosku podobna snov.
activity;['predpone si', 'predpona si'];Predpóna SI je desetiška predpona, določena z mednarodnim sistemom enot, ki jo lahko pritaknemo osnovnim ali izpeljanim enotam SI. Uporabne so kot okrajšava za izražanje vrednosti, ki so bodisi dosti večje, bodisi dosti manjše od osnovne enote.
activity;['bitka pri ivryju', 'bitka ivry', 'ivry', 'ivry la bataille'];Bitka pri Ivyrju se je zgodila 14.
activity;['bitka pri isu', 'bitka issus', 'issus'];Bitka pri Isu se je zgodila v južni Anatoliji, 5.
activity;['bitka pri saratogi', 'bitka saratoga'];Bitka pri Saratogi je bila pravzaprav niz bitk v ameriški vojni za neodvisnost, ki so se odvijale v bližini kraja Saratoga Springs, kakih 240 km severno od New Yorka.
activity;['bitka na maratonskem polju', 'bitka pri maratonu'];Bitka na Maratonskem polju je bitka, ki je potekala na Maratonskem polju med Grki na eni strani ter Perzijci na drugi strani leta 490 pr. n.
activity;['bitka v tevtoburškem gozdu', 'teutoburger wald', 'teutoburger wald bitka'];Bitka v Tevtoburškem gozdu je bila bitka med združenimi germanskimi plemeni pod poveljstvom Heruska Arminija in Rimljani pod poveljstvom Publija Kvintilija Vara, ki se je po pisanju rimskih zgodovinarjev zgodila leta 9 n.
activity;['bitka pri reki boyne', 'bitka boyne', 'boyne'];Bitka pri reki Boyne
activity;['bitka pri verdunu', 'bitka za verdun', 'verdun', 'meuse'];Bitka pri Verdunu je ime za niz napadov na francosko mesto Verdun, ki so potekali od februarja do decembra 1916, med prvo svetovno vojno.
activity;['bitka pri gettysburgu', 'battle of gettysburg'];Bitka pri Gettysburgu je bila najbolj krvava bitka v secesijski vojni in do danes največja v Severni Ameriki.
activity;['fajda', 'fevd', 'feuds', 'maščevanje'];Fajda (iz nem.
activity;['backgammon'];Backgammon je igra na igralni deski za dva igralca.
activity;['halma', 'iz kota v kot'];Halma je abstraktna namizna igra na deski, ki jo je leta 1883 ali 1884 iznašel George Howard Monks, ameriški torakalni kirurg na Harvard Medical School.
activity;['bitka za okinavo', 'okinawa akcija'];Bitka za Okinavo je bila največji amfibijski napad v pacifiški vojni med drugo svetovno vojno, hkrati je bila največja pomorsko-kopenska-zračna bitka v vsej zgodovini in zadnja velika bitka druge svetovne vojne.
activity;['seznam iger s kartami', 'bezique', 'pinochle', 'penuchle', 'pinocle'];To je seznam iger s kartami.
activity;['poljub', 'ljubček', 'buss', 'poljubljanje'];Poljub je dotikanje z ustnicami.
activity;['birma', 'sveta birma', 'potrditev'];Bírma je eden od krščanskih zakramentov.
activity;['dama', 'pripravljavec'];Dama je miselna igra na plošči med dvema igralcema.
activity;['evharistija', 'sveta evharistija', 'obhajilo', 'sveta večerja', 'najsvetejše', 'najsvetejši zakrament', 'sveto obhajilo', 'liturgija', 'communicants', 'evharistije', 'evharistični', 'evharistično bogoslužje', 'gospodova večerja', 'najbolj dragocena kri', 'pričesni', 'sveti evharistija', 'sveti zakrament', 'zakrament evharistije'];Evharistija, tudi obhajilo ali Sveta večerja ali Najsvetejši oltarni zakrament, je eden od najpomembnejših krščanskih zakramentov.
activity;['tramontana', 'tramontane', 'tramuntana'];Tramontána je kratkotrajen prehoden veter, ki na Jadranu piha s severa.
activity;['krizma', 'chrism', 'chrisom', 'sveto olje', 'zakramentalno olje'];Krizma je posvečeno mazilo s katerim duhovnik mazili vernike pri nekaterih krščanskih obredih, na primer pri podelitvi zakramentov krsta, birme, bolniškega maziljenja, duhovniškega posvečenja.
activity;['coitus interruptus', 'prekinjeno občevanje', 'koitus interruptus', 'onanizem', 'izvlečete', 'umik metoda'];Coitus interruptus, prekinjeno občevanje ali onanizem je pretrgano spolno občevanje ali ejakulacija semena zunaj ženskih genitalij.
