abstract-region;['taran'];Taran Xisaab ahaan waa natiijada Iskudhufasho laba walxoox.
activity;['email'];Maqaalkani wuxuu ku saabsan yahay email-ka.
activity;['wax soo saar'];Wax soo saar waa badeecad iyo alaabaha warshad, wadan ama urur sameeyo isla markaana iibgeeyo.
activity;['codbixin'];Codbixin waa nidaamka koox dad ah ku doortaan hogaamiye.
activity;['iraq-iran war'];Dagaal Ciraaq- Iran Iraq iyo Iiraan Ciraaq-Ciraaq waa dagaal khilaafaad ah oo u dhexeeya Iran iyo Ciraaq, laga bilaabo 22-kii September 1980-kii, markii Ciraaq uu ku soo duulay Iran, iyo dhammaadkii 20kii Agoosto 1988-kii, markii Iran ay aqbashay xabbad joojin UN-ka ah.
activity;['ruwaayad', 'riwaayad'];Ruwaayad waa bandhig faneed iskugu jira heeso, tixo, majaajilo, sheeko iyo shactiro, kaasi oo loogu talogalay in lagu madadaaliyo dad.
activity;['kubadda cagta'];Kubadda Cagta sidoo kale loo yaqaano banooni waa isbortiga ugu caansan caalamka, waxeena ka midtahay ciyaaraha tan ugu duqsan caalamka.Kubada Cagta waxaa laga yaqaanaa caalamka oo dhan, waxaana la ciyaari jiray qarni aad u dheer.Kubada Cagta waxaa loo ciyaaraa koox koox oo ka kooban 11 ciyaaryahan, waxeena isticmaalayaan banooni ama kubad oo koox kasto iska difaaceeyso in gool laga dhaliyo.
activity;['filim'];Kani waa maqaal ku saabsan filim-ka, qoraalo kale fadlan fiiri shaneemo Filim waa muuqaal-socde la duubay ayadoo la isticmaalayo Kamera ama sawir-qabte.
activity;['kubadda koleyga'];Kubadda Koleyga
activity;['ciyaarta teeniska'];Ciyaarta Teeniska waa cayaar ka mid ah cayaaraha sportiga sida aad muuqaalka sawirka ka arakto waxaa lagu cayaaraa shabaqa yar ee gacanta kaasi oo lagu tuuro kubad aad u yar waana tan loo yaqaano tenis-ka.
activity;['shukaansi'];Safoon KaalaayShukaansi
activity;['afganbi'];Afganbi amaba waa iyada oo xukunka wadanka lagu badalo xaalad dagaal ama mid nabad galyo caadatana waxa uu badalkaasi ka imaadaa dadka markaa xukunka haysta ha ahaado qaar siyaasadeed ama milatari == Dhawaanahan == Badi inqilaabyada waxa sameeya rag kamida saraakiisha ama militariga markasta oo uu inqilaabdhaca waxa ay qolada xukunka wadanka la wareegtay ay soo saaran waxa loo yaqaano bayaanka koobaaad kuwaas oo marina war faafinta sida idaacada ama tv ga wadanka waxa kale oo badanaa ay sheegaan dadka xukunka inqilaabka ku qabsadaaa asbaata keentay in ay taas sameeyaaan.
activity;['doorasho', 'doorashada'];Doorashada
activity;['dagaal sokeeye'];Dagaal Sokeeye waxaa la dhahaa marka ee dagaalamaan koox ka soo wada jeeda hal dal.Sida dagaalada ka socda soomaaliya oo kale.
