abstract-quality;['personaliteti', 'personalitet', 'personaliteti njerëzor'];Personalitetit mund të përkufizohet si një grup i organizuar dhe dinamik i karakteristikave të një personi.
abstract-region;['trajtimi klasik i tensorëve', 'tensori', 'tensors'];Një tensor është një përgjithësim i koncepteve të vektorit dhe matricave.
abstract-region;['funksioni kuadratik', 'polinom kuadratik'];Në algjebër, një funksion kuadratik, një polinom kuadratik, një polinom i shkallës 2, ose thjesht një kuadratik, është një funksion polinom me një ose më shumë ndryshore në të cilat termi i shkallës më të lartë është i shkallës së dytë.
abstract-region;['shvp', 'shumëfishi më i vogel i përbashkët', 'shumëzimi më i vogel i përbashkët', 'lcm', 'shumta pak e zakonshme', 'shumta të ulët të përbashkët'];Shumfishin më të vogël të përbashkët, të dy ose më shumë numrave të plotë të ndryshëm prej 0.
abstract-region;['seritë e furierit', 'furierit seri', 'koeficientët furierit', 'seri furierit', 'zgjerimi furierit'];Në matematikë, seritë e Furierit dekompozojnë një funksion periodik ose një sinjal periodik në një shumë të funksioneve të thjeshtë oshilatore, përkatësisht sinusoidale dhe kosinusoidale.
activity;['futbolli regbi', 'regbi', 'regbi futbollit', 'rugger'];Regbi është një emër kolektiv për sportet ekipore të ligës së regbidhe bashkimit të rugby, si dhe format e mëparshme të futbollit nga të cilat evoluuan të dyja lojërat.
activity;['posta elektronike', 'postë elektronike', 'e-mail', 'email', 'posta elektronik', 'postës elektronike', 'postës internet'];Posta elektronike, e-mail ose posteli është një ndër shërbimet më të kërkuara që ofron interneti.
activity;['prodhim', 'prodhimi'];Prodhimi është një proces i ndërthurjes së inputeve të ndryshme të materialeve dhe inputeve jomateriale me qëllim që të bëhet diçka për konsum.
activity;['lufta e trojës', 'lufta e trojes', 'trojan war'];Në mitologjinë Greke, Lufta e Trojës u zhvillua kundër qytetit të Trojës nga Akeasit pasi Paridi i Trojës mori Helenën nga burri i saj Menelaus, mbreti i Spartës.
activity;['go', 'shkoni lojë'];Go është një lojë tavoline për dy lojtarë.
activity;['ciklon', 'cikloni', 'ciklone', 'ciklonet', 'cyclonic'];Cikloni është hapsira me shtypje të ulët atmosferike në krahasim me rrethinën.
activity;['anticikloni', 'anticiklon', 'anti-ciklon makinë', 'anticyclonic'];Anticikloni është hapësirë me shtypja atmosferike të lartë në krahasim me rrethinën.
activity;['kanonizimi', 'kanonizuar', 'canonise', 'canonised', 'kanonizim', 'kanonizoj', 'kanonizua'];Kanonizimi ose Kononizmi, në kuptimin e tij më të saktë historik, i referohet një deklarate papale që besimtarët katolikë mund të nderojnë një anëtar të veçantë të vdekur të kishës.
