abstract-quality;['анални карактер', 'анални личности', 'анални памти личности'];Анални карактер је дескриптивни појам који потиче из психоаналитичке теорије и односи се на индивидуу која је ексцесивно педантна, ригидна и компулзивно опсесивна.
abstract-quality;['личност', 'личности'];Личност је један од темељних појмова психологије који се односи на непоновљив, релативно чврсто интегрисан, стабилан и комплексан психички склоп особина, који одређује карактеристично и доследно понашање индивидуе.
abstract-region;['тензор', 'тензори', 'тензорски рачун', 'тензора', 'тензора анализе'];Тензор (грч.
abstract-region;['геометријски ред', 'геометријска серија'];У математици, геометријски ред је ред са константном размером између узастопних израза.
abstract-region;['полином', 'монички полином', 'монични полином', 'полиноми', 'linear polynomial', 'полинома', 'мултиваријационе полинома', 'мултиномиал', 'полином израз', 'полинома изражавања'];У математици, полином је израз који је сачињен од једне или више променљивих и константи, коришћењем операција сабирања, одузимања, множења, и степеновања позитивним целим степенима.
abstract-region;['гранична вредност', 'лимес', 'limit', 'ограничавају тачку', 'тачка акумулације'];Гранична вредност је један од основних појмова математичке анализе.
abstract-region;['операнд', 'operand', 'операнада'];Операнд је аргумент оператора.
abstract-region;['случајна променљива', 'случајне променљиве', 'randomna promenljiva', 'случајна варијабла', 'случајне варијабле', 'случајних променљивих', 'могуће променљива', 'променљивих', 'стохастичка променљива'];Случајна променљива је функција дефинисана на ансамблу могућих исхода случајног процеса.
abstract-region;['степени слободе', 'број степени слободе', 'степен слободе'];У статистици, број степени слободе је број вредности у финалној рачуници статистике, који је слободан да варира.
abstract-region;['најмањи заједнички садржилац', 'најмањи заједнички садржалац', 'лцм', 'најнижи заједнички садржалац'];У аритметици, најмањи заједнички садржалац два цела броја јесте најмањи природан број који је дељив без остатка са оба.
abstract-region;['фуријеов ред', 'фуријеови редови', 'fourier series', 'фурије серија', 'фуријеова експанзија', 'фуријеових коефицијената'];Фуријеов ред је математичка операција којом се периодична функција разлаже на своје „спектралне компоненте“ ради једноставније анализе.
abstract-region;['степени ред', 'степени редови', 'снага серије'];У математици, степени ред је ред облика
activity;['рагби', 'ragbi', 'рагби фудбал', 'rugby football', 'руггер'];Рагби или рагби фудбал
activity;['акупресура', 'шиацу', 'шиатсу', 'схиатсу', 'аццупрессуре', 'г-јо'];Шиатсу лат.
activity;['акупунктура', 'стилостикис'];Акупунктура је терапија наводног отклањања бола и лечења одређених болести уз помоћ танких иглица које се забадају пацијенту у прецизно одређене тачке.
